Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SJFC,Game Score,Team Indicator,Play,Period
09:26,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",1
09:26,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
09:26,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",1
09:26,,,,,"SUB IN by HARRINGTON,DYLAN",,,"SUB IN by HARRINGTON,DYLAN",1
09:08,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",1
09:07,,,,,"STEAL  by HARRINGTON,DYLAN",,,"STEAL  by HARRINGTON,DYLAN",1
08:46,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",1
08:46,,,,,"MISS FT by ROBINSON,SAMMY",,,"MISS FT by ROBINSON,SAMMY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:46,,21 (+2),,19,"GOOD FT by ROBINSON,SAMMY",SJFC 21-19 (+2),,"GOOD FT by ROBINSON,SAMMY",1
08:24,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",1
--,,,,,"REBOUND DEF by HARRINGTON,DYLAN",,,"REBOUND DEF by HARRINGTON,DYLAN",1
08:02,,,,,"TURNOVER  by HARRINGTON,DYLAN",,,"TURNOVER  by HARRINGTON,DYLAN",1
08:01,"STEAL  by MOORE,KADEN",,,,,,,"STEAL  by MOORE,KADEN",1
07:44,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",23 (+4),,19,,BSC 23-19 (+4),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,"ASSIST  by BAK,CALVIN",,,,,,,"ASSIST  by BAK,CALVIN",1
07:17,,,,,"MISS 3PTR by ENGLISH,TYLER",,,"MISS 3PTR by ENGLISH,TYLER",1
--,,,,,"REBOUND OFF by HENDERSON,RYAN",,,"REBOUND OFF by HENDERSON,RYAN",1
07:12,,,,,"MISS LAYUP by HENDERSON,RYAN",,,"MISS LAYUP by HENDERSON,RYAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:09,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
07:09,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
07:09,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
07:09,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
07:09,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
07:09,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
07:09,,,,,"SUB IN by HAIGHT,JAKE",,,"SUB IN by HAIGHT,JAKE",1
07:09,,,,,"SUB IN by D'AMICO,MICHAEL",,,"SUB IN by D'AMICO,MICHAEL",1
07:09,,,,,"SUB OUT by ROBINSON,SAMMY",,,"SUB OUT by ROBINSON,SAMMY",1
07:09,,,,,"SUB OUT by VALERIANI,MARK",,,"SUB OUT by VALERIANI,MARK",1
07:04,,,,,"MISS 3PTR by ENGLISH,TYLER",,,"MISS 3PTR by ENGLISH,TYLER",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
06:33,"MISS LAYUP by ALLISON,ZACH",,,,,,,"MISS LAYUP by ALLISON,ZACH",1
--,,,,,"REBOUND DEF by HENDERSON,RYAN",,,"REBOUND DEF by HENDERSON,RYAN",1
06:27,,,,,"MISS 3PTR by HENDERSON,RYAN",,,"MISS 3PTR by HENDERSON,RYAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:24,"FOUL  by LOVING,JIBRI",,,,,,,"FOUL  by LOVING,JIBRI",1
06:07,,23 (+1),,22,"GOOD 3PTR by HENDERSON,RYAN",SJFC 23-22 (+1),,"GOOD 3PTR by HENDERSON,RYAN",1
--,,,,,"ASSIST  by ENGLISH,TYLER",,,"ASSIST  by ENGLISH,TYLER",1
05:56,"GOOD 3PTR by DENBESTIN,COLE",26 (+4),,22,,BSC 26-22 (+4),,"GOOD 3PTR by DENBESTIN,COLE",1
--,"ASSIST  by ALLISON,ZACH",,,,,,,"ASSIST  by ALLISON,ZACH",1
05:47,,26 (+2),,24,"GOOD JUMPER by ENGLISH,TYLER(in the paint)",SJFC 26-24 (+2),,"GOOD JUMPER by ENGLISH,TYLER(in the paint)",1
05:28,,,,,"FOUL  by HARRINGTON,DYLAN",,,"FOUL  by HARRINGTON,DYLAN",1
05:28,"MISS FT by SPENCE,BEN",,,,,,,"MISS FT by SPENCE,BEN",1
--,,,,,"REBOUND DEF by HENDERSON,RYAN",,,"REBOUND DEF by HENDERSON,RYAN",1
05:28,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
05:28,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
