Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
01:05,"GOOD FT by GROGAN,TAYLAN",90 (+12),,78,,LCM 90-78 (-12),,"GOOD FT by GROGAN,TAYLAN",2
01:05,"MISS FT by GROGAN,TAYLAN",,,,,,,"MISS FT by GROGAN,TAYLAN",2
--,,,,,"REBOUND DEF by ALLISON,ZACH",,,"REBOUND DEF by ALLISON,ZACH",2
01:05,"SUB IN by WASHINGTON,DEVON",,,,,,,"SUB IN by WASHINGTON,DEVON",2
01:05,"SUB OUT by SCHULTZ,TRAVIS",,,,,,,"SUB OUT by SCHULTZ,TRAVIS",2
00:50,,,,,"MISS LAYUP by DENBESTEN,COLE",,,"MISS LAYUP by DENBESTEN,COLE",2
--,"REBOUND DEF by GROGAN,TAYLAN",,,,,,,"REBOUND DEF by GROGAN,TAYLAN",2
00:39,,,,,"FOUL  by DENBESTEN,COLE",,,"FOUL  by DENBESTEN,COLE",2
00:39,"GOOD FT by GROGAN,TAYLAN",91 (+13),,78,,LCM 91-78 (-13),,"GOOD FT by GROGAN,TAYLAN",2
00:39,"GOOD FT by GROGAN,TAYLAN",92 (+14),,78,,LCM 92-78 (-14),,"GOOD FT by GROGAN,TAYLAN",2
00:37,,92 (+11),,81,"GOOD 3PTR by ALLISON,ZACH",17BSC-M 92-81 (-11),,"GOOD 3PTR by ALLISON,ZACH",2
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",2
00:30,,,,,"FOUL  by DENBESTEN,COLE",,,"FOUL  by DENBESTEN,COLE",2
00:30,"GOOD FT by GROGAN,TAYLAN",93 (+12),,81,,LCM 93-81 (-12),,"GOOD FT by GROGAN,TAYLAN",2
00:30,"GOOD FT by GROGAN,TAYLAN",94 (+13),,81,,LCM 94-81 (-13),,"GOOD FT by GROGAN,TAYLAN",2
00:24,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND DEF by HOLLIS,REX",,,,,,,"REBOUND DEF by HOLLIS,REX",2
00:18,,,,,"FOUL  by DENBESTEN,COLE",,,"FOUL  by DENBESTEN,COLE",2
00:18,"GOOD FT by HOLLIS,REX",95 (+14),,81,,LCM 95-81 (-14),,"GOOD FT by HOLLIS,REX",2
00:18,"GOOD FT by HOLLIS,REX",96 (+15),,81,,LCM 96-81 (-15),,"GOOD FT by HOLLIS,REX",2
00:15,,96 (+12),,84,"GOOD 3PTR by DENBESTEN,COLE",17BSC-M 96-84 (-12),,"GOOD 3PTR by DENBESTEN,COLE",2
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",2
00:08,"TURNOVER  by GROGAN,TAYLAN",,,,,,,"TURNOVER  by GROGAN,TAYLAN",2
00:08,,,,,"STEAL  by RUDAK,MATEUSZ",,,"STEAL  by RUDAK,MATEUSZ",2
00:08,,96 (+10),,86,"GOOD LAYUP by RUDAK,MATEUSZ(fastbreak)(in the paint)",17BSC-M 96-86 (-10),,"GOOD LAYUP by RUDAK,MATEUSZ(fastbreak)(in the paint)",2
