Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,IWU,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by ALLISON,ZACH",,,,,,,"REBOUND DEF by ALLISON,ZACH",2
01:36,"MISS JUMPER by YANCEY,RICH",,,,,,,"MISS JUMPER by YANCEY,RICH",2
--,,,,,"REBOUND DEF by O'NEILL,ALEX",,,"REBOUND DEF by O'NEILL,ALEX",2
01:08,,70,,77 (+7),"GOOD JUMPER by O'NEILL,ALEX(in the paint)",IWU 70-77 (-7),,"GOOD JUMPER by O'NEILL,ALEX(in the paint)",2
--,,,,,"ASSIST  by GREGOIRE,JASON",,,"ASSIST  by GREGOIRE,JASON",2
00:53,"GOOD 3PTR by DENBESTIN,COLE",73,,77 (+4),,17BSC-M 73-77 (-4),,"GOOD 3PTR by DENBESTIN,COLE",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
00:52,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:23,,73,,79 (+6),"GOOD LAYUP by GREGOIRE,JASON(in the paint)",IWU 73-79 (-6),,"GOOD LAYUP by GREGOIRE,JASON(in the paint)",2
--,,,,,"ASSIST  by ROSE,BRADY",,,"ASSIST  by ROSE,BRADY",2
00:17,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",2
--,,,,,"REBOUND DEF by GREGOIRE,JASON",,,"REBOUND DEF by GREGOIRE,JASON",2
00:14,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
00:14,,73,,80 (+7),"GOOD FT by GREGOIRE,JASON",IWU 73-80 (-7),,"GOOD FT by GREGOIRE,JASON",2
00:14,,73,,81 (+8),"GOOD FT by GREGOIRE,JASON",IWU 73-81 (-8),,"GOOD FT by GREGOIRE,JASON",2
00:14,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
00:14,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",2
00:14,,,,,"SUB IN by BURDINE,TYLER",,,"SUB IN by BURDINE,TYLER",2
00:14,,,,,"SUB IN by CURRY,MILES",,,"SUB IN by CURRY,MILES",2
00:14,,,,,"SUB OUT by BAKER,DANNY",,,"SUB OUT by BAKER,DANNY",2
00:14,,,,,"SUB OUT by O'NEILL,ALEX",,,"SUB OUT by O'NEILL,ALEX",2
00:07,,,,,"FOUL  by GREGOIRE,JASON",,,"FOUL  by GREGOIRE,JASON",2
00:07,"MISS FT by DENBESTIN,COLE",,,,,,,"MISS FT by DENBESTIN,COLE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:07,"GOOD FT by DENBESTIN,COLE",74,,81 (+7),,17BSC-M 74-81 (-7),,"GOOD FT by DENBESTIN,COLE",2
00:07,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",2
00:07,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
00:07,,,,,"SUB IN by BAKER,DANNY",,,"SUB IN by BAKER,DANNY",2
00:07,,,,,"SUB IN by O'NEILL,ALEX",,,"SUB IN by O'NEILL,ALEX",2
00:07,,,,,"SUB OUT by BURDINE,TYLER",,,"SUB OUT by BURDINE,TYLER",2
00:07,,,,,"SUB OUT by CURRY,MILES",,,"SUB OUT by CURRY,MILES",2
