Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,JCU,Game Score,Team Indicator,Play,Period
07:49,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",61 (+3),,58,,CENTRE_M 61-58 (+3),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
07:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:41,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
07:41,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
07:41,,,,,"SUB IN by HUBBARD,KYLE",,,"SUB IN by HUBBARD,KYLE",2
07:41,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",2
07:22,,,,,"MISS LAYUP by HUBBARD,KYLE",,,"MISS LAYUP by HUBBARD,KYLE",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
07:22,,,,,"FOUL  by HESTER,MARK",,,"FOUL  by HESTER,MARK",2
07:22,"MISS FT by MULLANEY,JEFF",,,,,,,"MISS FT by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by HUBBARD,KYLE",,,"REBOUND DEF by HUBBARD,KYLE",2
07:22,,,,,"SUB IN by SWEENEY,PATRICK",,,"SUB IN by SWEENEY,PATRICK",2
07:22,,,,,"SUB OUT by HESTER,MARK",,,"SUB OUT by HESTER,MARK",2
07:01,,,,,"MISS LAYUP by HUBBARD,KYLE",,,"MISS LAYUP by HUBBARD,KYLE",2
--,"REBOUND DEF by MELLOAN,JAMES",,,,,,,"REBOUND DEF by MELLOAN,JAMES",2
06:55,"TURNOVER  by MELLOAN,JAMES",,,,,,,"TURNOVER  by MELLOAN,JAMES",2
06:54,,,,,"STEAL  by SWEENEY,PATRICK",,,"STEAL  by SWEENEY,PATRICK",2
06:53,,,,,"MISS LAYUP by SHONTZ,COREY",,,"MISS LAYUP by SHONTZ,COREY",2
06:53,"BLOCK  by MELLOAN,JAMES",,,,,,,"BLOCK  by MELLOAN,JAMES",2
--,"REBOUND DEF by MELLOAN,JAMES",,,,,,,"REBOUND DEF by MELLOAN,JAMES",2
06:53,,,,,"FOUL  by HUBBARD,KYLE",,,"FOUL  by HUBBARD,KYLE",2
06:53,"MISS FT by MELLOAN,JAMES",,,,,,,"MISS FT by MELLOAN,JAMES",2
--,,,,,"REBOUND DEF by SHONTZ,COREY",,,"REBOUND DEF by SHONTZ,COREY",2
06:46,,61 (+1),,60,"GOOD LAYUP by SWEENEY,PATRICK(in the paint)",JCU 61-60 (+1),,"GOOD LAYUP by SWEENEY,PATRICK(in the paint)",2
--,,,,,"ASSIST  by SHONTZ,COREY",,,"ASSIST  by SHONTZ,COREY",2
06:43,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
06:43,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",2
06:24,"GOOD 3PTR by ELLIS,BRYON",64 (+4),,60,,CENTRE_M 64-60 (+4),,"GOOD 3PTR by ELLIS,BRYON",2
06:14,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
06:14,,,,,"MISS FT by MEYER,JOE",,,"MISS FT by MEYER,JOE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:14,,,,,"MISS FT by MEYER,JOE",,,"MISS FT by MEYER,JOE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:14,,64 (+3),,61,"GOOD FT by MEYER,JOE",JCU 64-61 (+3),,"GOOD FT by MEYER,JOE",2
06:14,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
06:14,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
06:14,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",2
06:14,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
05:56,"GOOD LAYUP by KARSNER,JOSH(in the paint)",66 (+5),,61,,CENTRE_M 66-61 (+5),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2
05:32,,66 (+3),,63,"GOOD LAYUP by HUBBARD,KYLE(in the paint)",JCU 66-63 (+3),,"GOOD LAYUP by HUBBARD,KYLE(in the paint)",2
05:32,,,,,"FOUL  by SWEENEY,PATRICK",,,"FOUL  by SWEENEY,PATRICK",2
05:32,"GOOD FT by MULLANEY,JEFF",67 (+4),,63,,CENTRE_M 67-63 (+4),,"GOOD FT by MULLANEY,JEFF",2
05:32,"MISS FT by MULLANEY,JEFF",,,,,,,"MISS FT by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by SWEENEY,PATRICK",,,"REBOUND DEF by SWEENEY,PATRICK",2
05:32,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",2
05:32,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",2
05:32,,,,,"SUB IN by JANZ,KENNY",,,"SUB IN by JANZ,KENNY",2
05:32,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",2
05:22,,67 (+2),,65,"GOOD LAYUP by SWEENEY,PATRICK(fastbreak)(in the paint)",JCU 67-65 (+2),,"GOOD LAYUP by SWEENEY,PATRICK(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SHONTZ,COREY",,,"ASSIST  by SHONTZ,COREY",2
05:01,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,"REBOUND OFF by MELLOAN,JAMES",,,,,,,"REBOUND OFF by MELLOAN,JAMES",2
04:43,"GOOD JUMPER by MULLANEY,JEFF",69 (+4),,65,,CENTRE_M 69-65 (+4),,"GOOD JUMPER by MULLANEY,JEFF",2
04:34,,,,,"MISS LAYUP by SWEENEY,PATRICK",,,"MISS LAYUP by SWEENEY,PATRICK",2
--,"REBOUND DEF by MELLOAN,JAMES",,,,,,,"REBOUND DEF by MELLOAN,JAMES",2
04:23,"MISS 3PTR by GRIGGS,MATT",,,,,,,"MISS 3PTR by GRIGGS,MATT",2
--,,,,,"REBOUND DEF by JANZ,KENNY",,,"REBOUND DEF by JANZ,KENNY",2
04:05,,,,,"MISS LAYUP by SHONTZ,COREY",,,"MISS LAYUP by SHONTZ,COREY",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
03:55,,,,,"FOUL  by SHONTZ,COREY",,,"FOUL  by SHONTZ,COREY",2
03:55,"GOOD FT by KARSNER,JOSH",70 (+5),,65,,CENTRE_M 70-65 (+5),,"GOOD FT by KARSNER,JOSH",2
03:55,"MISS FT by KARSNER,JOSH",,,,,,,"MISS FT by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by HESTER,MARK",,,"REBOUND DEF by HESTER,MARK",2
03:55,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
03:55,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",2
03:55,,,,,"SUB IN by HESTER,MARK",,,"SUB IN by HESTER,MARK",2
03:55,,,,,"SUB IN by HUBBARD,KYLE",,,"SUB IN by HUBBARD,KYLE",2
03:55,,,,,"SUB IN by ANGERS,RYAN",,,"SUB IN by ANGERS,RYAN",2
03:55,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",2
03:55,,,,,"SUB OUT by SHONTZ,COREY",,,"SUB OUT by SHONTZ,COREY",2
03:55,,,,,"SUB OUT by JANZ,KENNY",,,"SUB OUT by JANZ,KENNY",2
03:46,,,,,"TURNOVER  by HUBBARD,KYLE",,,"TURNOVER  by HUBBARD,KYLE",2
03:22,,,,,"FOUL  by HUBBARD,KYLE",,,"FOUL  by HUBBARD,KYLE",2
03:22,"GOOD FT by ROSS,GREG",71 (+6),,65,,CENTRE_M 71-65 (+6),,"GOOD FT by ROSS,GREG",2
03:22,"GOOD FT by ROSS,GREG",72 (+7),,65,,CENTRE_M 72-65 (+7),,"GOOD FT by ROSS,GREG",2
03:22,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",2
03:22,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",2
03:22,,,,,"SUB IN by JANZ,KENNY",,,"SUB IN by JANZ,KENNY",2
03:22,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",2
03:05,,,,,"MISS 3PTR by HARTNETT,MICHAEL",,,"MISS 3PTR by HARTNETT,MICHAEL",2
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",2
02:52,,,,,"MISS LAYUP by MEYER,JOE",,,"MISS LAYUP by MEYER,JOE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:47,,,,,"SUB IN by SHONTZ,COREY",,,"SUB IN by SHONTZ,COREY",2
02:47,,,,,"SUB OUT by ANGERS,RYAN",,,"SUB OUT by ANGERS,RYAN",2
02:43,,72 (+4),,68,"GOOD 3PTR by MEYER,JOE",JCU 72-68 (+4),,"GOOD 3PTR by MEYER,JOE",2
--,,,,,"ASSIST  by SHONTZ,COREY",,,"ASSIST  by SHONTZ,COREY",2
02:25,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:25,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
02:25,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",2
02:21,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by HESTER,MARK",,,"REBOUND DEF by HESTER,MARK",2
02:05,,,,,"MISS 3PTR by MEYER,JOE",,,"MISS 3PTR by MEYER,JOE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:03,,,,,"MISS 3PTR by HESTER,MARK",,,"MISS 3PTR by HESTER,MARK",2
--,,,,,"REBOUND OFF by JANZ,KENNY",,,"REBOUND OFF by JANZ,KENNY",2
01:56,,72 (+1),,71,"GOOD 3PTR by HARTNETT,MICHAEL",JCU 72-71 (+1),,"GOOD 3PTR by HARTNETT,MICHAEL",2
--,,,,,"ASSIST  by MEYER,JOE",,,"ASSIST  by MEYER,JOE",2
01:23,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by HESTER,MARK",,,"REBOUND DEF by HESTER,MARK",2
00:52,,72,,74 (+2),"GOOD 3PTR by MEYER,JOE",JCU 72-74 (-2),,"GOOD 3PTR by MEYER,JOE",2
--,,,,,"ASSIST  by HESTER,MARK",,,"ASSIST  by HESTER,MARK",2
00:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:35,"MISS FT by KARSNER,JOSH",,,,,,,"MISS FT by KARSNER,JOSH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:35,"GOOD FT by KARSNER,JOSH",73,,74 (+1),,CENTRE_M 73-74 (-1),,"GOOD FT by KARSNER,JOSH",2
00:35,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
00:35,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",2
00:35,,,,,"SUB IN by HUBBARD,KYLE",,,"SUB IN by HUBBARD,KYLE",2
00:35,,,,,"SUB OUT by JANZ,KENNY",,,"SUB OUT by JANZ,KENNY",2
00:31,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
00:31,,,,,"FOUL  by JANZ,KENNY",,,"FOUL  by JANZ,KENNY",2
00:31,,,,,"MISS FT by MEYER,JOE",,,"MISS FT by MEYER,JOE",2
--,,,,,"REBOUND OFF by HESTER,MARK",,,"REBOUND OFF by HESTER,MARK",2
00:31,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
00:31,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
00:31,,,,,"SUB IN by JANZ,KENNY",,,"SUB IN by JANZ,KENNY",2
00:31,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",2
00:26,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",2
00:26,,73,,75 (+2),"GOOD FT by HARTNETT,MICHAEL",JCU 73-75 (-2),,"GOOD FT by HARTNETT,MICHAEL",2
00:26,,73,,76 (+3),"GOOD FT by HARTNETT,MICHAEL",JCU 73-76 (-3),,"GOOD FT by HARTNETT,MICHAEL",2
00:17,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",75,,76 (+1),,CENTRE_M 75-76 (-1),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
00:15,"FOUL  by GRIGGS,MATT",,,,,,,"FOUL  by GRIGGS,MATT",2
00:15,,75,,77 (+2),"GOOD FT by HARTNETT,MICHAEL",JCU 75-77 (-2),,"GOOD FT by HARTNETT,MICHAEL",2
00:15,,,,,"MISS FT by HARTNETT,MICHAEL",,,"MISS FT by HARTNETT,MICHAEL",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
00:02,"GOOD LAYUP by ROSS,GREG(in the paint)",77,,77,,CENTRE_M 77-77 (0),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
--,"ASSIST  by GRIGGS,MATT",,,,,,,"ASSIST  by GRIGGS,MATT",2
00:01,,,,,"MISS 3PTR by HUBBARD,KYLE",,,"MISS 3PTR by HUBBARD,KYLE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:43,,77,,80 (+3),"GOOD 3PTR by MEYER,JOE",JCU 77-80 (-3),,"GOOD 3PTR by MEYER,JOE",3
--,,,,,"ASSIST  by HARTNETT,MICHAEL",,,"ASSIST  by HARTNETT,MICHAEL",3
04:13,"GOOD 3PTR by MULLANEY,JEFF",80,,80,,CENTRE_M 80-80 (0),,"GOOD 3PTR by MULLANEY,JEFF",3
03:49,,,,,"MISS LAYUP by HUBBARD,KYLE",,,"MISS LAYUP by HUBBARD,KYLE",3
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,3
03:49,,,,,"SUB IN by SWEENEY,PATRICK",,,"SUB IN by SWEENEY,PATRICK",3
03:49,,,,,"SUB IN by SWEENEY,CONOR",,,"SUB IN by SWEENEY,CONOR",3
03:49,,,,,"SUB OUT by HESTER,MARK",,,"SUB OUT by HESTER,MARK",3
03:49,,,,,"SUB OUT by HARTNETT,MICHAEL",,,"SUB OUT by HARTNETT,MICHAEL",3
03:41,,80,,82 (+2),"GOOD LAYUP by SWEENEY,PATRICK(in the paint)",JCU 80-82 (-2),,"GOOD LAYUP by SWEENEY,PATRICK(in the paint)",3
03:41,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",3
03:41,,80,,83 (+3),"GOOD FT by SWEENEY,PATRICK",JCU 80-83 (-3),,"GOOD FT by SWEENEY,PATRICK",3
03:41,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",3
03:41,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",3
03:34,"GOOD 3PTR by ELLIS,BRYON",83,,83,,CENTRE_M 83-83 (0),,"GOOD 3PTR by ELLIS,BRYON",3
03:07,,83,,86 (+3),"GOOD 3PTR by SHONTZ,COREY",JCU 83-86 (-3),,"GOOD 3PTR by SHONTZ,COREY",3
--,,,,,"ASSIST  by MEYER,JOE",,,"ASSIST  by MEYER,JOE",3
02:50,"GOOD 3PTR by ELLIS,BRYON",86,,86,,CENTRE_M 86-86 (0),,"GOOD 3PTR by ELLIS,BRYON",3
--,"ASSIST  by GRIGGS,MATT",,,,,,,"ASSIST  by GRIGGS,MATT",3
02:33,,,,,"MISS 3PTR by MEYER,JOE",,,"MISS 3PTR by MEYER,JOE",3
--,,,,,"REBOUND OFF by SHONTZ,COREY",,,"REBOUND OFF by SHONTZ,COREY",3
02:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
02:33,,,,,"SUB IN by HARTNETT,MICHAEL",,,"SUB IN by HARTNETT,MICHAEL",3
02:33,,,,,"SUB IN by HESTER,MARK",,,"SUB IN by HESTER,MARK",3
02:33,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",3
02:33,,,,,"SUB OUT by SWEENEY,CONOR",,,"SUB OUT by SWEENEY,CONOR",3
02:15,,,,,"MISS LAYUP by HUBBARD,KYLE",,,"MISS LAYUP by HUBBARD,KYLE",3
02:15,"BLOCK  by KARSNER,JOSH",,,,,,,"BLOCK  by KARSNER,JOSH",3
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",3
01:40,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",3
--,,,,,"REBOUND DEF by SHONTZ,COREY",,,"REBOUND DEF by SHONTZ,COREY",3
01:23,,86,,88 (+2),"GOOD LAYUP by HESTER,MARK(in the paint)",JCU 86-88 (-2),,"GOOD LAYUP by HESTER,MARK(in the paint)",3
01:02,,,,,"FOUL  by HARTNETT,MICHAEL",,,"FOUL  by HARTNETT,MICHAEL",3
01:02,"GOOD FT by MULLANEY,JEFF",87,,88 (+1),,CENTRE_M 87-88 (-1),,"GOOD FT by MULLANEY,JEFF",3
01:02,"GOOD FT by MULLANEY,JEFF",88,,88,,CENTRE_M 88-88 (0),,"GOOD FT by MULLANEY,JEFF",3
00:48,,,,,"MISS 3PTR by HESTER,MARK",,,"MISS 3PTR by HESTER,MARK",3
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",3
00:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:40,,,,,"SUB IN by SWEENEY,PATRICK",,,"SUB IN by SWEENEY,PATRICK",3
00:40,,,,,"SUB IN by JANZ,KENNY",,,"SUB IN by JANZ,KENNY",3
00:40,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",3
00:40,,,,,"SUB OUT by HESTER,MARK",,,"SUB OUT by HESTER,MARK",3
00:23,"GOOD JUMPER by MULLANEY,JEFF",90 (+2),,88,,CENTRE_M 90-88 (+2),,"GOOD JUMPER by MULLANEY,JEFF",3
00:06,,,,,"MISS LAYUP by SHONTZ,COREY",,,"MISS LAYUP by SHONTZ,COREY",3
--,,,,,"REBOUND OFF by SWEENEY,PATRICK",,,"REBOUND OFF by SWEENEY,PATRICK",3
00:06,,,,,"MISS LAYUP by SWEENEY,PATRICK",,,"MISS LAYUP by SWEENEY,PATRICK",3
--,,,,,"REBOUND OFF by SWEENEY,PATRICK",,,"REBOUND OFF by SWEENEY,PATRICK",3
00:06,,,,,"TURNOVER  by SWEENEY,PATRICK",,,"TURNOVER  by SWEENEY,PATRICK",3
00:06,,,,,"FOUL  by SHONTZ,COREY",,,"FOUL  by SHONTZ,COREY",3
00:06,"GOOD FT by ELLIS,BRYON",91 (+3),,88,,CENTRE_M 91-88 (+3),,"GOOD FT by ELLIS,BRYON",3
00:06,"GOOD FT by ELLIS,BRYON",92 (+4),,88,,CENTRE_M 92-88 (+4),,"GOOD FT by ELLIS,BRYON",3
00:06,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:06,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",3
00:06,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",3
00:06,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",3
00:06,,,,,"SUB IN by HUBBARD,KYLE",,,"SUB IN by HUBBARD,KYLE",3
00:06,,,,,"SUB IN by HESTER,MARK",,,"SUB IN by HESTER,MARK",3
00:06,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",3
00:06,,,,,"SUB OUT by JANZ,KENNY",,,"SUB OUT by JANZ,KENNY",3
00:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:01,,92 (+1),,91,"GOOD 3PTR by SHONTZ,COREY",JCU 92-91 (+1),,"GOOD 3PTR by SHONTZ,COREY",3
00:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
