Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",1
07:47,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
07:47,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
07:47,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",1
07:47,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",1
07:47,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
07:47,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",1
07:47,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
07:47,,,,,"SUB OUT by JACKSON,CASEY",,,"SUB OUT by JACKSON,CASEY",1
07:31,,11,,19 (+8),"GOOD JUMPER by ROSS,GREG",CENTRE_M 11-19 (+8),,"GOOD JUMPER by ROSS,GREG",1
06:55,"GOOD JUMPER by AFFRONTI,LEWIS",13,,19 (+6),,SEW 13-19 (+6),,"GOOD JUMPER by AFFRONTI,LEWIS",1
06:40,,13,,21 (+8),"GOOD JUMPER by ROSS,GREG",CENTRE_M 13-21 (+8),,"GOOD JUMPER by ROSS,GREG",1
06:23,"GOOD LAYUP by BROWN,TYLER(in the paint)",15,,21 (+6),,SEW 15-21 (+6),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",1
06:05,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
05:57,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
05:57,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
05:52,,,,,"FOUL  by MULLANEY,JEFF",,,"FOUL  by MULLANEY,JEFF",1
05:52,"GOOD JUMPER by BRYANT,VALENTINO",17,,21 (+4),,SEW 17-21 (+4),,"GOOD JUMPER by BRYANT,VALENTINO",1
05:45,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",1
05:45,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
05:34,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",1
