Time Remaining,BEREA_M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
01:44,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
01:44,,,,,"SUB OUT by JACKSON,CASEY",,,"SUB OUT by JACKSON,CASEY",2
01:30,,,,,"TURNOVER  by GEEGAN,MIKE",,,"TURNOVER  by GEEGAN,MIKE",2
01:28,"STEAL  by CANNON,KAIRO",,,,,,,"STEAL  by CANNON,KAIRO",2
01:18,"MISS JUMPER by CARLTON,BRYCE",,,,,,,"MISS JUMPER by CARLTON,BRYCE",2
--,"REBOUND OFF by CANNON,KAIRO",,,,,,,"REBOUND OFF by CANNON,KAIRO",2
01:13,"MISS JUMPER by CARLTON,BRYCE",,,,,,,"MISS JUMPER by CARLTON,BRYCE",2
--,,,,,"REBOUND DEF by GEEGAN,MIKE",,,"REBOUND DEF by GEEGAN,MIKE",2
00:51,,64,,91 (+27),"GOOD LAYUP by WRIGHT,SPENCER(in the paint)",CENTRE_M 64-91 (+27),,"GOOD LAYUP by WRIGHT,SPENCER(in the paint)",2
--,,,,,"ASSIST  by LOHR,MATT",,,"ASSIST  by LOHR,MATT",2
00:12,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
