Time Remaining,TU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
00:48,"GOOD FT by LAMBERT,ZACH",18,,24 (+6),,TU-M 18-24 (+6),,"GOOD FT by LAMBERT,ZACH",1
00:48,"GOOD FT by LAMBERT,ZACH",19,,24 (+5),,TU-M 19-24 (+5),,"GOOD FT by LAMBERT,ZACH",1
00:48,"SUB IN by SALTARELLI,CRAIG",,,,,,,"SUB IN by SALTARELLI,CRAIG",1
00:48,"SUB OUT by YOUNG,WILLIAM",,,,,,,"SUB OUT by YOUNG,WILLIAM",1
00:48,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
00:48,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
00:48,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
00:48,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
00:48,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
00:48,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
00:38,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
00:36,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",1
00:36,"BLOCK  by KITZINGER,ROBERT",,,,,,,"BLOCK  by KITZINGER,ROBERT",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
00:20,,,,,"TURNOVER  by ROSS,GREG",,,"TURNOVER  by ROSS,GREG",1
00:18,"STEAL  by LAMBERT,ZACH",,,,,,,"STEAL  by LAMBERT,ZACH",1
00:04,"GOOD 3PTR by LAMBERT,ZACH",22,,24 (+2),,TU-M 22-24 (+2),,"GOOD 3PTR by LAMBERT,ZACH",1
--,"ASSIST  by BEALL,RYAN",,,,,,,"ASSIST  by BEALL,RYAN",1
19:41,"MISS JUMPER by SELLING,MATT",,,,,,,"MISS JUMPER by SELLING,MATT",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
19:23,,22,,27 (+5),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 22-27 (+5),,"GOOD 3PTR by ELLIS,BRYON",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
19:07,"MISS JUMPER by LAMBERT,ZACH",,,,,,,"MISS JUMPER by LAMBERT,ZACH",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
18:34,,22,,29 (+7),"GOOD LAYUP by MULLANEY,JEFF(in the paint)",CENTRE_M 22-29 (+7),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",2
18:19,"GOOD 3PTR by WILT,JONATHAN",25,,29 (+4),,TU-M 25-29 (+4),,"GOOD 3PTR by WILT,JONATHAN",2
--,"ASSIST  by HOPSON,HEATH",,,,,,,"ASSIST  by HOPSON,HEATH",2
18:10,"SUB IN by LAMBERT,ZACH",,,,,,,"SUB IN by LAMBERT,ZACH",2
18:10,"SUB OUT by BEALL,RYAN",,,,,,,"SUB OUT by BEALL,RYAN",2
18:03,,25,,31 (+6),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 25-31 (+6),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",2
18:03,"FOUL  by WILT,JONATHAN",,,,,,,"FOUL  by WILT,JONATHAN",2
18:03,,25,,32 (+7),"GOOD FT by ROSS,GREG",CENTRE_M 25-32 (+7),,"GOOD FT by ROSS,GREG",2
17:50,"GOOD JUMPER by SELLING,MATT",27,,32 (+5),,TU-M 27-32 (+5),,"GOOD JUMPER by SELLING,MATT",2
17:30,,,,,"TURNOVER  by ELLIS,BRYON",,,"TURNOVER  by ELLIS,BRYON",2
17:18,"MISS JUMPER by SELLING,MATT",,,,,,,"MISS JUMPER by SELLING,MATT",2
--,"REBOUND OFF by WILT,JONATHAN",,,,,,,"REBOUND OFF by WILT,JONATHAN",2
17:15,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
17:14,"SUB IN by BEALL,RYAN",,,,,,,"SUB IN by BEALL,RYAN",2
17:14,"SUB OUT by HOPSON,HEATH",,,,,,,"SUB OUT by HOPSON,HEATH",2
17:02,"GOOD JUMPER by LAMBERT,ZACH",29,,32 (+3),,TU-M 29-32 (+3),,"GOOD JUMPER by LAMBERT,ZACH",2
16:40,"FOUL  by SELLING,MATT",,,,,,,"FOUL  by SELLING,MATT",2
16:40,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
16:40,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
16:40,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
16:40,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
16:32,,29,,35 (+6),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 29-35 (+6),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
16:13,"MISS JUMPER by WILT,JONATHAN",,,,,,,"MISS JUMPER by WILT,JONATHAN",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
16:03,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by WILT,JONATHAN",,,,,,,"REBOUND DEF by WILT,JONATHAN",2
15:49,"GOOD LAYUP by LAMBERT,ZACH(in the paint)",31,,35 (+4),,TU-M 31-35 (+4),,"GOOD LAYUP by LAMBERT,ZACH(in the paint)",2
