Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
11:19,,22 (+10),,12,"GOOD FT by GLOVER,CAM(fastbreak)",BSC 22-12 (-10),,"GOOD FT by GLOVER,CAM(fastbreak)",1
11:08,"MISS JUMPER by WRIGHT,THOMAS(in the paint)",,,,,,,"MISS JUMPER by WRIGHT,THOMAS(in the paint)",1
11:08,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",1
--,"REBOUND OFF by WRIGHT,THOMAS",,,,,,,"REBOUND OFF by WRIGHT,THOMAS",1
11:00,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",24 (+12),,12,,MUW 24-12 (-12),,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",1
10:52,"FOUL  by EVANS,CHRIS",,,,,,,"FOUL  by EVANS,CHRIS",1
10:26,,24 (+11),,13,"GOOD FT by BISHOP,BRYSON(fastbreak)",BSC 24-13 (-11),,"GOOD FT by BISHOP,BRYSON(fastbreak)",1
10:26,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
10:26,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",1
10:26,,24 (+10),,14,"GOOD FT by BISHOP,BRYSON(fastbreak)",BSC 24-14 (-10),,"GOOD FT by BISHOP,BRYSON(fastbreak)",1
10:25,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",26 (+12),,14,,MUW 26-14 (-12),,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",1
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",1
10:24,"FOUL  by WRIGHT,THOMAS",,,,,,,"FOUL  by WRIGHT,THOMAS",1
10:24,"SUB OUT by WRIGHT,THOMAS",,,,,,,"SUB OUT by WRIGHT,THOMAS",1
10:24,"SUB IN by HOPKINS,BRYE",,,,,,,"SUB IN by HOPKINS,BRYE",1
10:24,,,,,"MISS FT by CHILDERS,JOSH(fastbreak)",,,"MISS FT by CHILDERS,JOSH(fastbreak)",1
--,"REBOUND DEF by SMITHEY,TYSON",,,,,,,"REBOUND DEF by SMITHEY,TYSON",1
10:14,,26 (+11),,15,"GOOD FT by BISHOP,BRYSON(fastbreak)",BSC 26-15 (-11),,"GOOD FT by BISHOP,BRYSON(fastbreak)",1
10:06,"MISS 3PTR by EVANS,CHRIS",,,,,,,"MISS 3PTR by EVANS,CHRIS",1
--,"REBOUND OFF by SMITHEY,TYSON",,,,,,,"REBOUND OFF by SMITHEY,TYSON",1
10:00,"MISS JUMPER by EVANS,CHRIS(in the paint)",,,,,,,"MISS JUMPER by EVANS,CHRIS(in the paint)",1
10:00,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by GLOVER,CAM",,,"REBOUND DEF by GLOVER,CAM",1
09:54,,,,,"MISS JUMPER by GLOVER,COLIN(in the paint)",,,"MISS JUMPER by GLOVER,COLIN(in the paint)",1
--,"REBOUND DEF by ZERADJANIN,MILOS",,,,,,,"REBOUND DEF by ZERADJANIN,MILOS",1
09:25,"MISS JUMPER by SMITHEY,TYSON(in the paint)",,,,,,,"MISS JUMPER by SMITHEY,TYSON(in the paint)",1
--,,,,,"REBOUND DEF by BISHOP,BRYSON",,,"REBOUND DEF by BISHOP,BRYSON",1
09:18,,26 (+8),,18,"GOOD 3PTR by GLOVER,CAM",BSC 26-18 (-8),,"GOOD 3PTR by GLOVER,CAM",1
--,,,,,"ASSIST  by GLOVER,COLIN",,,"ASSIST  by GLOVER,COLIN",1
09:00,,,,,"FOUL  by GLOVER,COLIN",,,"FOUL  by GLOVER,COLIN",1
09:00,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",1
09:00,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",1
09:00,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",1
09:00,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",1
09:00,"SUB OUT by SMITHEY,TYSON",,,,,,,"SUB OUT by SMITHEY,TYSON",1
09:00,"SUB IN by WRIGHT,SHON",,,,,,,"SUB IN by WRIGHT,SHON",1
08:50,"GOOD JUMPER by ZERADJANIN,MILOS",28 (+10),,18,,MUW 28-18 (-10),,"GOOD JUMPER by ZERADJANIN,MILOS",1
08:41,,,,,"TURNOVER  by CHILDERS,JOSH",,,"TURNOVER  by CHILDERS,JOSH",1
08:41,"STEAL  by EVANS,CHRIS",,,,,,,"STEAL  by EVANS,CHRIS",1
08:34,"MISS 3PTR by WRIGHT,SHON",,,,,,,"MISS 3PTR by WRIGHT,SHON",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
08:27,"FOUL  by HOPKINS,BRYE",,,,,,,"FOUL  by HOPKINS,BRYE",1
08:27,,28 (+9),,19,"GOOD FT by CHILDERS,JOSH(fastbreak)",BSC 28-19 (-9),,"GOOD FT by CHILDERS,JOSH(fastbreak)",1
08:27,,28 (+8),,20,"GOOD FT by CHILDERS,JOSH(fastbreak)",BSC 28-20 (-8),,"GOOD FT by CHILDERS,JOSH(fastbreak)",1
08:10,"GOOD LAYUP by HOPKINS,BRYE(in the paint)",30 (+10),,20,,MUW 30-20 (-10),,"GOOD LAYUP by HOPKINS,BRYE(in the paint)",1
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",1
08:00,,,,,"TURNOVER  by GLOVER,COLIN",,,"TURNOVER  by GLOVER,COLIN",1
08:00,"STEAL  by EVANS,CHRIS",,,,,,,"STEAL  by EVANS,CHRIS",1
07:46,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
07:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:46,,,,,"SUB OUT by GLOVER,COLIN",,,"SUB OUT by GLOVER,COLIN",1
07:46,,,,,"SUB OUT by GLOVER,CAM",,,"SUB OUT by GLOVER,CAM",1
07:46,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
07:46,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",1
07:46,,,,,"SUB IN by PATRICK,DYLAN",,,"SUB IN by PATRICK,DYLAN",1
07:46,,,,,"SUB IN by DAVIS,BRODY",,,"SUB IN by DAVIS,BRODY",1
07:46,"MISS FT by HOPKINS,BRYE",,,,,,,"MISS FT by HOPKINS,BRYE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
