Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
03:59,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
03:59,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
03:59,,30 (+13),,17,"GOOD FT by WATSON,DOUG",Mill 30-17 (+13),,"GOOD FT by WATSON,DOUG",1
03:59,,30 (+12),,18,"GOOD FT by WATSON,DOUG",Mill 30-18 (+12),,"GOOD FT by WATSON,DOUG",1
03:59,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
03:59,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",1
03:42,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",32 (+14),,18,,BSC 32-18 (+14),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
03:26,,,,,"TURNOVER  by HOGAN,TJ",,,"TURNOVER  by HOGAN,TJ",1
03:06,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND DEF by GORTON,MACK",,,"REBOUND DEF by GORTON,MACK",1
02:52,,,,,"MISS JUMPER by LITTLE ,JAMES",,,"MISS JUMPER by LITTLE ,JAMES",1
--,"REBOUND DEF by GLOVER,CAM",,,,,,,"REBOUND DEF by GLOVER,CAM",1
02:31,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
02:31,,,,,"STEAL  by RUCKER,CAM",,,"STEAL  by RUCKER,CAM",1
02:27,,32 (+12),,20,"GOOD LAYUP by LITTLE ,JAMES(fastbreak)(in the paint)",Mill 32-20 (+12),,"GOOD LAYUP by LITTLE ,JAMES(fastbreak)(in the paint)",1
02:27,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
02:27,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
02:27,,,,,"SUB OUT by GORTON,MACK",,,"SUB OUT by GORTON,MACK",1
02:27,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
02:27,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
02:27,,,,,"MISS FT by LITTLE ,JAMES(fastbreak)",,,"MISS FT by LITTLE ,JAMES(fastbreak)",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
02:20,"TURNOVER  by GREEN,KALEB",,,,,,,"TURNOVER  by GREEN,KALEB",1
02:20,,,,,"STEAL  by HOGAN,TJ",,,"STEAL  by HOGAN,TJ",1
02:14,,,,,"MISS LAYUP by HOGAN,TJ(in the paint)",,,"MISS LAYUP by HOGAN,TJ(in the paint)",1
--,,,,,"REBOUND OFF by STEPHEN,SETH",,,"REBOUND OFF by STEPHEN,SETH",1
02:05,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",1
02:05,,,,,"TURNOVER  by STEPHEN,SETH",,,"TURNOVER  by STEPHEN,SETH",1
02:05,"STEAL  by GILLISPIE,JAY",,,,,,,"STEAL  by GILLISPIE,JAY",1
