Time Remaining,HUNTINGD,Away Team Score,Play Team Indicator,Home Team Score,BIRMINGH,Game Score,Team Indicator,Play,Period
03:07,,,,,"TURNOVER  by GREEN,KALEB",,,"TURNOVER  by GREEN,KALEB",1
03:07,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",1
03:07,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",1
03:07,,,,,"SUB OUT by GLOVER,COLIN",,,"SUB OUT by GLOVER,COLIN",1
03:07,,,,,"SUB OUT by TRAPP,REED",,,"SUB OUT by TRAPP,REED",1
02:59,"MISS LAYUP by GOOLESBY,TATE",,,,,,,"MISS LAYUP by GOOLESBY,TATE",1
02:59,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by GREEN,KALEB",,,"REBOUND DEF by GREEN,KALEB",1
02:49,,31,,46 (+15),"GOOD 3PTR by GILLISPIE,JAY",BIRMINGH 31-46 (+15),,"GOOD 3PTR by GILLISPIE,JAY",1
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",1
02:28,"MISS JUMPER by PAGE,SAM",,,,,,,"MISS JUMPER by PAGE,SAM",1
--,,,,,"REBOUND DEF by GREEN,KALEB",,,"REBOUND DEF by GREEN,KALEB",1
02:21,,,,,"TURNOVER  by GREEN,KALEB",,,"TURNOVER  by GREEN,KALEB",1
02:15,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",1
02:15,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
01:37,"MISS LAYUP by GOOLESBY,TATE",,,,,,,"MISS LAYUP by GOOLESBY,TATE",1
01:37,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
01:22,,,,,"MISS LAYUP by JACKSON,MARTISE",,,"MISS LAYUP by JACKSON,MARTISE",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
01:17,"FOUL  by BOONE,CALEB",,,,,,,"FOUL  by BOONE,CALEB",1
01:17,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:17,,31,,47 (+16),"GOOD FT by GILLISPIE,JAY",BIRMINGH 31-47 (+16),,"GOOD FT by GILLISPIE,JAY",1
00:58,"GOOD LAYUP by DUMAS,CHASE(in the paint)",33,,47 (+14),,HUNTINGD 33-47 (+14),,"GOOD LAYUP by DUMAS,CHASE(in the paint)",1
00:41,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,"REBOUND DEF by KNOX,RASHAWN",,,,,,,"REBOUND DEF by KNOX,RASHAWN",1
00:29,,,,,"FOUL  by GLOVER,CAM",,,"FOUL  by GLOVER,CAM",1
00:29,"GOOD FT by TOWNSEND,MARCUS",34,,47 (+13),,HUNTINGD 34-47 (+13),,"GOOD FT by TOWNSEND,MARCUS",1
00:29,"GOOD FT by TOWNSEND,MARCUS",35,,47 (+12),,HUNTINGD 35-47 (+12),,"GOOD FT by TOWNSEND,MARCUS",1
00:27,,35,,49 (+14),"GOOD JUMPER by GLOVER,CAM",BIRMINGH 35-49 (+14),,"GOOD JUMPER by GLOVER,CAM",1
00:06,"GOOD JUMPER by DUMAS,CHASE",37,,49 (+12),,HUNTINGD 37-49 (+12),,"GOOD JUMPER by DUMAS,CHASE",1
00:00,,,,,"MISS LAYUP by GLOVER,CAM",,,"MISS LAYUP by GLOVER,CAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:29,"TURNOVER  by GOOLESBY,TATE",,,,,,,"TURNOVER  by GOOLESBY,TATE",2
19:26,,,,,"MISS 3PTR by JACKSON,MARTISE",,,"MISS 3PTR by JACKSON,MARTISE",2
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",2
19:10,,37,,51 (+14),"GOOD LAYUP by GLOVER,CAM(in the paint)",BIRMINGH 37-51 (+14),,"GOOD LAYUP by GLOVER,CAM(in the paint)",2
18:54,"GOOD 3PTR by PAGE,SAM",40,,51 (+11),,HUNTINGD 40-51 (+11),,"GOOD 3PTR by PAGE,SAM",2
--,"ASSIST  by HAWKINS,DAQUAN",,,,,,,"ASSIST  by HAWKINS,DAQUAN",2
18:41,,,,,"MISS LAYUP by GILLISPIE,JAY",,,"MISS LAYUP by GILLISPIE,JAY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:31,"FOUL  by PAGE,SAM",,,,,,,"FOUL  by PAGE,SAM",2
18:31,,40,,52 (+12),"GOOD FT by GILLISPIE,JAY",BIRMINGH 40-52 (+12),,"GOOD FT by GILLISPIE,JAY",2
18:31,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",2
