Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,PUM,Game Score,Team Indicator,Play,Period
01:27,,,,,"SUB OUT by BEAGLE,GARRETT",,,"SUB OUT by BEAGLE,GARRETT",2
01:25,"SUB IN by BISHOP,BRYSON",,,,,,,"SUB IN by BISHOP,BRYSON",2
01:25,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
01:06,"FOUL  by GLOVER,CAM",,,,,,,"FOUL  by GLOVER,CAM",2
01:06,,70,,78 (+8),"GOOD FT by NORMAN,HUNTER",PUM 70-78 (-8),,"GOOD FT by NORMAN,HUNTER",2
01:06,,70,,79 (+9),"GOOD FT by NORMAN,HUNTER",PUM 70-79 (-9),,"GOOD FT by NORMAN,HUNTER",2
01:01,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:59,,,,,"SUB IN by RICHTER,WILL",,,"SUB IN by RICHTER,WILL",2
00:59,,,,,"SUB OUT by HELENBROOK,JOE",,,"SUB OUT by HELENBROOK,JOE",2
00:46,,70,,80 (+10),"GOOD FT by NORMAN,HUNTER",PUM 70-80 (-10),,"GOOD FT by NORMAN,HUNTER",2
00:46,"FOUL  by BISHOP,BRYSON",,,,,,,"FOUL  by BISHOP,BRYSON",2
00:46,,,,,"MISS FT by NORMAN,HUNTER",,,"MISS FT by NORMAN,HUNTER",2
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",2
00:46,,,,,"SUB IN by HELENBROOK,JOE",,,"SUB IN by HELENBROOK,JOE",2
00:46,,,,,"SUB OUT by RICHTER,WILL",,,"SUB OUT by RICHTER,WILL",2
00:31,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",2
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",2
00:24,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",2
00:24,,70,,81 (+11),"GOOD FT by NORMAN,HUNTER",PUM 70-81 (-11),,"GOOD FT by NORMAN,HUNTER",2
00:24,,70,,82 (+12),"GOOD FT by NORMAN,HUNTER",PUM 70-82 (-12),,"GOOD FT by NORMAN,HUNTER",2
00:13,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
00:13,,,,,"BLOCK  by STIMPSON,ANDREW",,,"BLOCK  by STIMPSON,ANDREW",2
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",2
