Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,HC-MBK,Game Score,Team Indicator,Play,Period
09:37,,14 (+4),,10,"GOOD FT by MAYO,DREW",HC-MBK 14-10 (+4),,"GOOD FT by MAYO,DREW",1
09:29,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",16 (+6),,10,,BSCM 16-10 (+6),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
09:27,,,,,"FOUL  by KRONENBERGER,BEAU",,,"FOUL  by KRONENBERGER,BEAU",1
09:27,"GOOD FT by GILLISPIE,JAY",17 (+7),,10,,BSCM 17-10 (+7),,"GOOD FT by GILLISPIE,JAY",1
09:27,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
09:27,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",1
09:19,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",1
09:18,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",1
09:16,"GOOD LAYUP by JACKSON,MARTISE(fastbreak)(in the paint)",19 (+9),,10,,BSCM 19-10 (+9),,"GOOD LAYUP by JACKSON,MARTISE(fastbreak)(in the paint)",1
09:04,,,,,"MISS LAYUP by BERRY,COLTEN",,,"MISS LAYUP by BERRY,COLTEN",1
--,"REBOUND DEF by GARRIDO,BRANDAN",,,,,,,"REBOUND DEF by GARRIDO,BRANDAN",1
08:57,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",21 (+11),,10,,BSCM 21-10 (+11),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",1
08:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:41,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
08:41,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",1
08:41,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",1
08:32,,21 (+9),,12,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",HC-MBK 21-12 (+9),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",1
08:19,"GOOD 3PTR by GARRIDO,BRANDAN",24 (+12),,12,,BSCM 24-12 (+12),,"GOOD 3PTR by GARRIDO,BRANDAN",1
07:57,,24 (+10),,14,"GOOD LAYUP by BERRY,COLTEN(in the paint)",HC-MBK 24-14 (+10),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
07:34,"MISS 3PTR by GARRIDO,BRANDAN",,,,,,,"MISS 3PTR by GARRIDO,BRANDAN",1
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",1
07:21,,,,,"MISS LAYUP by WEAVER,BRADEN",,,"MISS LAYUP by WEAVER,BRADEN",1
--,"REBOUND DEF by BISHOP,BRYSON",,,,,,,"REBOUND DEF by BISHOP,BRYSON",1
07:16,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by TORRES,JADEN",,,"REBOUND DEF by TORRES,JADEN",1
07:00,,24 (+7),,17,"GOOD 3PTR by SQUIRES,CALEB",HC-MBK 24-17 (+7),,"GOOD 3PTR by SQUIRES,CALEB",1
--,,,,,"ASSIST  by TORRES,JADEN",,,"ASSIST  by TORRES,JADEN",1
06:41,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
06:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:39,,,,,"SUB IN by PATTON,LUKE",,,"SUB IN by PATTON,LUKE",1
06:39,,,,,"SUB IN by EDWARDS,LANDON",,,"SUB IN by EDWARDS,LANDON",1
06:39,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",1
06:39,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
06:39,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",1
06:39,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",1
06:33,,24 (+5),,19,"GOOD LAYUP by PATTON,LUKE(fastbreak)(in the paint)",HC-MBK 24-19 (+5),,"GOOD LAYUP by PATTON,LUKE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
06:05,,,,,"FOUL  by COBB,DANIEL",,,"FOUL  by COBB,DANIEL",1
06:05,"MISS FT by THOMPSON,CHRISTIAN",,,,,,,"MISS FT by THOMPSON,CHRISTIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:05,"GOOD FT by THOMPSON,CHRISTIAN",25 (+6),,19,,BSCM 25-19 (+6),,"GOOD FT by THOMPSON,CHRISTIAN",1
06:05,"SUB IN by THOMPSON,CHRISTIAN",,,,,,,"SUB IN by THOMPSON,CHRISTIAN",1
06:05,"SUB IN by DEAN,NOLAN",,,,,,,"SUB IN by DEAN,NOLAN",1
06:05,"SUB IN by SPENCE,SAMUEL",,,,,,,"SUB IN by SPENCE,SAMUEL",1
06:05,"SUB IN by BISHOP,BRYSON",,,,,,,"SUB IN by BISHOP,BRYSON",1
06:05,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
06:05,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
06:05,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
06:05,"SUB OUT by BARNETT,CHARLIE",,,,,,,"SUB OUT by BARNETT,CHARLIE",1
06:01,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
05:49,"GOOD JUMPER by DEAN,NOLAN",27 (+8),,19,,BSCM 27-19 (+8),,"GOOD JUMPER by DEAN,NOLAN",1
05:24,,,,,"MISS LAYUP by PATTON,LUKE",,,"MISS LAYUP by PATTON,LUKE",1
--,"REBOUND DEF by THOMPSON,CHRISTIAN",,,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
05:08,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
05:08,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
05:08,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
05:08,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
05:08,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
05:08,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",1
04:49,"MISS JUMPER by JACKSON,MARTISE",,,,,,,"MISS JUMPER by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",1
04:42,,27 (+5),,22,"GOOD 3PTR by SQUIRES,CALEB",HC-MBK 27-22 (+5),,"GOOD 3PTR by SQUIRES,CALEB",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
04:23,"MISS JUMPER by THOMPSON,CHRISTIAN",,,,,,,"MISS JUMPER by THOMPSON,CHRISTIAN",1
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",1
04:11,"FOUL  by DEAN,NOLAN",,,,,,,"FOUL  by DEAN,NOLAN",1
04:11,,27 (+4),,23,"GOOD FT by MCMULLIN,COLTON",HC-MBK 27-23 (+4),,"GOOD FT by MCMULLIN,COLTON",1
04:11,,27 (+3),,24,"GOOD FT by MCMULLIN,COLTON",HC-MBK 27-24 (+3),,"GOOD FT by MCMULLIN,COLTON",1
04:11,,27 (+2),,25,"GOOD FT by MCMULLIN,COLTON",HC-MBK 27-25 (+2),,"GOOD FT by MCMULLIN,COLTON",1
04:11,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
04:11,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
04:11,"SUB OUT by THOMPSON,CHRISTIAN",,,,,,,"SUB OUT by THOMPSON,CHRISTIAN",1
04:11,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
04:11,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",1
04:11,,,,,"SUB OUT by PATTON,LUKE",,,"SUB OUT by PATTON,LUKE",1
04:01,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",29 (+4),,25,,BSCM 29-25 (+4),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,"ASSIST  by PATRICK,DYLAN",,,,,,,"ASSIST  by PATRICK,DYLAN",1
03:39,,29 (+2),,27,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",HC-MBK 29-27 (+2),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
03:29,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
03:29,,,,,"SUB OUT by EDWARDS,LANDON",,,"SUB OUT by EDWARDS,LANDON",1
03:22,"GOOD JUMPER by DEAN,NOLAN",31 (+4),,27,,BSCM 31-27 (+4),,"GOOD JUMPER by DEAN,NOLAN",1
03:12,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:06,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:51,"SUB IN by BISHOP,BRYSON",,,,,,,"SUB IN by BISHOP,BRYSON",1
02:51,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
02:51,"SUB OUT by DEAN,NOLAN",,,,,,,"SUB OUT by DEAN,NOLAN",1
02:51,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
02:47,"TURNOVER  by PATRICK,DYLAN",,,,,,,"TURNOVER  by PATRICK,DYLAN",1
02:45,,,,,"STEAL  by COBB,DANIEL",,,"STEAL  by COBB,DANIEL",1
02:40,,,,,"TURNOVER  by BERRY,COLTEN",,,"TURNOVER  by BERRY,COLTEN",1
02:40,"STEAL  by CHILDERS,JOSH",,,,,,,"STEAL  by CHILDERS,JOSH",1
02:40,"MISS LAYUP by GILLISPIE,JAY",,,,,,,"MISS LAYUP by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
02:31,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",1
02:26,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
02:26,,,,,"STEAL  by COBB,DANIEL",,,"STEAL  by COBB,DANIEL",1
02:22,"FOUL  by GREEN,KALEB",,,,,,,"FOUL  by GREEN,KALEB",1
02:22,,31 (+3),,28,"GOOD FT by COBB,DANIEL",HC-MBK 31-28 (+3),,"GOOD FT by COBB,DANIEL",1
02:22,,31 (+2),,29,"GOOD FT by COBB,DANIEL",HC-MBK 31-29 (+2),,"GOOD FT by COBB,DANIEL",1
02:22,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
02:22,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
02:13,"MISS LAYUP by PATRICK,DYLAN",,,,,,,"MISS LAYUP by PATRICK,DYLAN",1
--,"REBOUND OFF by PATRICK,DYLAN",,,,,,,"REBOUND OFF by PATRICK,DYLAN",1
02:10,"GOOD TIPIN by PATRICK,DYLAN(in the paint)",33 (+4),,29,,BSCM 33-29 (+4),,"GOOD TIPIN by PATRICK,DYLAN(in the paint)",1
02:09,,,,,"FOUL  by COBB,DANIEL",,,"FOUL  by COBB,DANIEL",1
02:09,"GOOD FT by PATRICK,DYLAN",34 (+5),,29,,BSCM 34-29 (+5),,"GOOD FT by PATRICK,DYLAN",1
02:09,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",1
02:09,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",1
02:01,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
01:50,"GOOD 3PTR by JACKSON,MARTISE",37 (+8),,29,,BSCM 37-29 (+8),,"GOOD 3PTR by JACKSON,MARTISE",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
01:22,,,,,"TURNOVER  by MCMULLIN,COLTON",,,"TURNOVER  by MCMULLIN,COLTON",1
01:22,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
01:22,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
01:18,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
01:16,,,,,"STEAL  by DEITHLOFF,TYLER",,,"STEAL  by DEITHLOFF,TYLER",1
