Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
08:56,,21,,25 (+4),"GOOD JUMPER by ELLIS,CHASE(in the paint)",Berry 21-25 (-4),,"GOOD JUMPER by ELLIS,CHASE(in the paint)",1
08:31,"MISS JUMPER by GREEN,KALEB",,,,,,,"MISS JUMPER by GREEN,KALEB",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
08:29,"FOUL  by SPENCE,SAMUEL",,,,,,,"FOUL  by SPENCE,SAMUEL",1
08:29,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
08:29,"SUB IN by THOMPSON,CHRISTIAN",,,,,,,"SUB IN by THOMPSON,CHRISTIAN",1
08:29,,21,,26 (+5),"GOOD FT by ELLIS,CHASE",Berry 21-26 (-5),,"GOOD FT by ELLIS,CHASE",1
08:29,,21,,27 (+6),"GOOD FT by ELLIS,CHASE",Berry 21-27 (-6),,"GOOD FT by ELLIS,CHASE",1
08:13,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",23,,27 (+4),,BSC 23-27 (-4),,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",1
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",1
08:13,,,,,"FOUL  by SEGALL,RYAN",,,"FOUL  by SEGALL,RYAN",1
08:13,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
08:13,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
08:13,"GOOD FT by THOMPSON,CHRISTIAN",24,,27 (+3),,BSC 24-27 (-3),,"GOOD FT by THOMPSON,CHRISTIAN",1
08:03,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",1
08:03,,,,,"SUB IN by CAMPBELL,BLAKE",,,"SUB IN by CAMPBELL,BLAKE",1
07:55,"FOUL  by THOMPSON,CHRISTIAN",,,,,,,"FOUL  by THOMPSON,CHRISTIAN",1
07:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:55,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
07:55,"SUB OUT by THOMPSON,CHRISTIAN",,,,,,,"SUB OUT by THOMPSON,CHRISTIAN",1
07:55,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
07:55,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
07:55,,24,,28 (+4),"GOOD FT by ELLIS,CHASE",Berry 24-28 (-4),,"GOOD FT by ELLIS,CHASE",1
07:55,,24,,29 (+5),"GOOD FT by ELLIS,CHASE",Berry 24-29 (-5),,"GOOD FT by ELLIS,CHASE",1
07:25,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
07:14,"TURNOVER  by DAVIS,BRODY",,,,,,,"TURNOVER  by DAVIS,BRODY",1
07:14,,,,,"STEAL  by ELLIS,CHASE",,,"STEAL  by ELLIS,CHASE",1
06:56,,,,,"TURNOVER  by BENHAM,BRAXTON",,,"TURNOVER  by BENHAM,BRAXTON",1
06:56,"STEAL  by PATRICK,DYLAN",,,,,,,"STEAL  by PATRICK,DYLAN",1
