Time Remaining,MCMB1314,Away Team Score,Play Team Indicator,Home Team Score,UDMB1314,Game Score,Team Indicator,Play,Period
--,"ASSIST  by HANTSAD,RAJAN",,,,,,,"ASSIST  by HANTSAD,RAJAN",2
00:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:22,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",2
00:22,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
00:22,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
00:22,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",2
00:22,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
00:22,"SUB OUT by HANTSAD,RAJAN",,,,,,,"SUB OUT by HANTSAD,RAJAN",2
00:22,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
00:22,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
00:15,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",2
00:03,,56,,60 (+4),"GOOD LAYUP by DAVIDSON,ROSS(fastbreak)(in the paint)",UDMB1314 56-60 (-4),,"GOOD LAYUP by DAVIDSON,ROSS(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SARRAT,MICHAEL",,,"ASSIST  by SARRAT,MICHAEL",2
