Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
00:16,,32,,37 (+5),"GOOD FT by FRIERSON,NATE",CCM 32-37 (-5),,"GOOD FT by FRIERSON,NATE",1
00:16,,32,,38 (+6),"GOOD FT by FRIERSON,NATE",CCM 32-38 (-6),,"GOOD FT by FRIERSON,NATE",1
00:16,,32,,39 (+7),"GOOD FT by BELL,ROBBY",CCM 32-39 (-7),,"GOOD FT by BELL,ROBBY",1
00:16,,32,,40 (+8),"GOOD FT by BELL,ROBBY",CCM 32-40 (-8),,"GOOD FT by BELL,ROBBY",1
00:16,,32,,41 (+9),"GOOD FT by BELL,ROBBY",CCM 32-41 (-9),,"GOOD FT by BELL,ROBBY",1
00:16,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
00:16,"SUB OUT by DEILLIEU,RYAN",,,,,,,"SUB OUT by DEILLIEU,RYAN",1
00:16,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",1
00:16,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",1
00:11,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by TURNER,MICAH",,,"REBOUND DEF by TURNER,MICAH",1
00:03,,32,,43 (+11),"GOOD LAYUP by TURNER,MICAH(fastbreak)(in the paint)",CCM 32-43 (-11),,"GOOD LAYUP by TURNER,MICAH(fastbreak)(in the paint)",1
19:48,,,,,"MISS LAYUP by MCGRIFF,COLTON",,,"MISS LAYUP by MCGRIFF,COLTON",2
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",2
19:31,,,,,"FOUL  by MCGRIFF,COLTON",,,"FOUL  by MCGRIFF,COLTON",2
19:31,"GOOD FT by BERGER,RYAN",33,,43 (+10),,MILLSAPS 33-43 (-10),,"GOOD FT by BERGER,RYAN",2
19:31,"MISS FT by BERGER,RYAN",,,,,,,"MISS FT by BERGER,RYAN",2
--,,,,,"REBOUND DEF by DELANEY,JAKE",,,"REBOUND DEF by DELANEY,JAKE",2
19:24,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
19:24,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",2
18:55,,,,,"MISS JUMPER by BOYD,CHRIS",,,"MISS JUMPER by BOYD,CHRIS",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
18:37,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",35,,43 (+8),,MILLSAPS 35-43 (-8),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
18:37,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",2
18:37,"MISS FT by GERCHOW,ALEX",,,,,,,"MISS FT by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
18:15,,35,,45 (+10),"GOOD JUMPER by MCGRIFF,COLTON",CCM 35-45 (-10),,"GOOD JUMPER by MCGRIFF,COLTON",2
--,,,,,"ASSIST  by ENGBERS,BRYANT",,,"ASSIST  by ENGBERS,BRYANT",2
18:08,,,,,"SUB IN by ENGBERS,BRYANT",,,"SUB IN by ENGBERS,BRYANT",2
18:08,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",2
17:45,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by TURNER,MICAH",,,"REBOUND DEF by TURNER,MICAH",2
17:21,,,,,"TURNOVER  by DELANEY,JAKE",,,"TURNOVER  by DELANEY,JAKE",2
17:05,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",37,,45 (+8),,MILLSAPS 37-45 (-8),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
16:48,,,,,"MISS JUMPER by DELANEY,JAKE",,,"MISS JUMPER by DELANEY,JAKE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:45,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",2
16:45,,,,,"SUB OUT by DELANEY,JAKE",,,"SUB OUT by DELANEY,JAKE",2
16:32,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
16:20,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",2
16:20,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
16:20,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",2
16:20,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",2
16:14,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
16:14,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
16:07,,37,,47 (+10),"GOOD JUMPER by MCGRIFF,COLTON(in the paint)",CCM 37-47 (-10),,"GOOD JUMPER by MCGRIFF,COLTON(in the paint)",2
15:53,"GOOD 3PTR by BERGER,RYAN",40,,47 (+7),,MILLSAPS 40-47 (-7),,"GOOD 3PTR by BERGER,RYAN",2
--,"ASSIST  by AUBERT,DUSTIN",,,,,,,"ASSIST  by AUBERT,DUSTIN",2
15:32,,40,,49 (+9),"GOOD LAYUP by TURNER,MICAH(in the paint)",CCM 40-49 (-9),,"GOOD LAYUP by TURNER,MICAH(in the paint)",2
15:16,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
15:07,,40,,51 (+11),"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",CCM 40-51 (-11),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",2
14:51,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
14:51,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
14:51,,,,,"SUB IN by BURNS,RYAN",,,"SUB IN by BURNS,RYAN",2
14:51,,,,,"SUB OUT by TURNER,MICAH",,,"SUB OUT by TURNER,MICAH",2
14:35,,40,,53 (+13),"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",CCM 40-53 (-13),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",2
14:16,,,,,"SUB IN by FERGUSON,TERON",,,"SUB IN by FERGUSON,TERON",2
14:16,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",2
14:01,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
13:53,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
13:53,,,,,"MISS FT by MCGRIFF,COLTON",,,"MISS FT by MCGRIFF,COLTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:53,,40,,54 (+14),"GOOD FT by MCGRIFF,COLTON",CCM 40-54 (-14),,"GOOD FT by MCGRIFF,COLTON",2
13:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:53,"SUB IN by SANSOUCI,MASON",,,,,,,"SUB IN by SANSOUCI,MASON",2
13:53,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
13:53,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",2
13:53,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
13:40,"TURNOVER  by AUBERT,DUSTIN",,,,,,,"TURNOVER  by AUBERT,DUSTIN",2
13:39,,,,,"STEAL  by FERGUSON,TERON",,,"STEAL  by FERGUSON,TERON",2
13:27,,40,,56 (+16),"GOOD LAYUP by BURNS,RYAN(in the paint)",CCM 40-56 (-16),,"GOOD LAYUP by BURNS,RYAN(in the paint)",2
13:27,"FOUL  by SANSOUCI,MASON",,,,,,,"FOUL  by SANSOUCI,MASON",2
13:27,,40,,57 (+17),"GOOD FT by BURNS,RYAN",CCM 40-57 (-17),,"GOOD FT by BURNS,RYAN",2
13:27,"SUB IN by DEILLIEU,RYAN",,,,,,,"SUB IN by DEILLIEU,RYAN",2
13:27,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
13:02,"GOOD LAYUP by BERGER,RYAN(in the paint)",42,,57 (+15),,MILLSAPS 42-57 (-15),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
12:39,,42,,59 (+17),"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",CCM 42-59 (-17),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",2
12:34,,,,,"FOUL  by ARIMA,Z",,,"FOUL  by ARIMA,Z",2
12:21,,,,,"FOUL  by FERGUSON,TERON",,,"FOUL  by FERGUSON,TERON",2
12:16,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
12:12,"MISS LAYUP by GERCHOW,ALEX",,,,,,,"MISS LAYUP by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by FERGUSON,TERON",,,"REBOUND DEF by FERGUSON,TERON",2
12:09,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
12:09,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
12:09,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
11:51,,,,,"MISS JUMPER by ARIMA,Z",,,"MISS JUMPER by ARIMA,Z",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
11:45,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
11:44,,,,,"STEAL  by ARIMA,Z",,,"STEAL  by ARIMA,Z",2
11:30,,,,,"MISS LAYUP by BURNS,RYAN",,,"MISS LAYUP by BURNS,RYAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:27,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",2
11:27,,,,,"SUB IN by FRIERSON,NATE",,,"SUB IN by FRIERSON,NATE",2
11:27,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",2
11:27,,,,,"SUB OUT by BURNS,RYAN",,,"SUB OUT by BURNS,RYAN",2
11:11,"GOOD 3PTR by ROBERTSON,MARC",45,,59 (+14),,MILLSAPS 45-59 (-14),,"GOOD 3PTR by ROBERTSON,MARC",2
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",2
11:08,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:08,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
11:08,"SUB OUT by SANSOUCI,MASON",,,,,,,"SUB OUT by SANSOUCI,MASON",2
11:08,,,,,"SUB IN by DELANEY,JAKE",,,"SUB IN by DELANEY,JAKE",2
11:08,,,,,"SUB OUT by FERGUSON,TERON",,,"SUB OUT by FERGUSON,TERON",2
10:54,,,,,"MISS 3PTR by PHELPS,BEN",,,"MISS 3PTR by PHELPS,BEN",2
--,,,,,"REBOUND OFF by ENGBERS,BRYANT",,,"REBOUND OFF by ENGBERS,BRYANT",2
10:45,,,,,"MISS LAYUP by PHELPS,BEN",,,"MISS LAYUP by PHELPS,BEN",2
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",2
10:34,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
10:28,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
10:26,,,,,"STEAL  by FRIERSON,NATE",,,"STEAL  by FRIERSON,NATE",2
10:21,,,,,"MISS 3PTR by MCGRIFF,COLTON",,,"MISS 3PTR by MCGRIFF,COLTON",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
10:13,"GOOD 3PTR by ROBERTSON,MARC",48,,59 (+11),,MILLSAPS 48-59 (-11),,"GOOD 3PTR by ROBERTSON,MARC",2
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",2
09:55,,,,,"MISS 3PTR by ENGBERS,BRYANT",,,"MISS 3PTR by ENGBERS,BRYANT",2
--,"REBOUND DEF by DEILLIEU,RYAN",,,,,,,"REBOUND DEF by DEILLIEU,RYAN",2
09:30,,,,,"FOUL  by ENGBERS,BRYANT",,,"FOUL  by ENGBERS,BRYANT",2
09:30,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",2
09:30,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
09:30,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
09:30,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
09:30,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",2
09:30,,,,,"SUB IN by TURNER,MICAH",,,"SUB IN by TURNER,MICAH",2
09:30,,,,,"SUB OUT by ENGBERS,BRYANT",,,"SUB OUT by ENGBERS,BRYANT",2
09:30,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",2
09:24,,,,,"FOUL  by TURNER,MICAH",,,"FOUL  by TURNER,MICAH",2
09:24,"GOOD FT by KASTNER,MURRAY",49,,59 (+10),,MILLSAPS 49-59 (-10),,"GOOD FT by KASTNER,MURRAY",2
09:24,"GOOD FT by KASTNER,MURRAY",50,,59 (+9),,MILLSAPS 50-59 (-9),,"GOOD FT by KASTNER,MURRAY",2
09:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:24,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
09:24,"SUB OUT by DEILLIEU,RYAN",,,,,,,"SUB OUT by DEILLIEU,RYAN",2
09:00,,,,,"TURNOVER  by DELANEY,JAKE",,,"TURNOVER  by DELANEY,JAKE",2
08:59,"STEAL  by GAGEN,BRENNAN",,,,,,,"STEAL  by GAGEN,BRENNAN",2
08:51,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",52,,59 (+7),,MILLSAPS 52-59 (-7),,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",2
08:31,,,,,"MISS LAYUP by TURNER,MICAH",,,"MISS LAYUP by TURNER,MICAH",2
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",2
08:20,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
08:07,,,,,"FOUL  by FRIERSON,NATE",,,"FOUL  by FRIERSON,NATE",2
08:07,,,,,"TURNOVER  by FRIERSON,NATE",,,"TURNOVER  by FRIERSON,NATE",2
07:59,,,,,"FOUL  by FRIERSON,NATE",,,"FOUL  by FRIERSON,NATE",2
07:59,"MISS FT by AUBERT,DUSTIN",,,,,,,"MISS FT by AUBERT,DUSTIN",2
--,,,,,"REBOUND DEF by FRIERSON,NATE",,,"REBOUND DEF by FRIERSON,NATE",2
07:59,,,,,"SUB IN by ENGBERS,BRYANT",,,"SUB IN by ENGBERS,BRYANT",2
07:59,,,,,"SUB IN by BELL,ROBBY",,,"SUB IN by BELL,ROBBY",2
07:59,,,,,"SUB OUT by MCGRIFF,COLTON",,,"SUB OUT by MCGRIFF,COLTON",2
07:59,,,,,"SUB OUT by DELANEY,JAKE",,,"SUB OUT by DELANEY,JAKE",2
07:41,,52,,61 (+9),"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",CCM 52-61 (-9),,"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",2
--,,,,,"ASSIST  by FRIERSON,NATE",,,"ASSIST  by FRIERSON,NATE",2
07:29,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by TURNER,MICAH",,,"REBOUND DEF by TURNER,MICAH",2
07:28,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",2
07:28,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
07:28,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
07:20,,,,,"TURNOVER  by FRIERSON,NATE",,,"TURNOVER  by FRIERSON,NATE",2
07:19,"STEAL  by AUBERT,DUSTIN",,,,,,,"STEAL  by AUBERT,DUSTIN",2
07:04,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",2
07:04,"MISS FT by FREBIS,RONNIE",,,,,,,"MISS FT by FREBIS,RONNIE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:04,"GOOD FT by FREBIS,RONNIE",53,,61 (+8),,MILLSAPS 53-61 (-8),,"GOOD FT by FREBIS,RONNIE",2
07:04,,,,,"SUB IN by MCGRIFF,COLTON",,,"SUB IN by MCGRIFF,COLTON",2
07:04,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",2
07:04,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",2
07:04,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",2
06:45,,,,,"MISS 3PTR by ENGBERS,BRYANT",,,"MISS 3PTR by ENGBERS,BRYANT",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
06:22,,,,,"FOUL  by ENGBERS,BRYANT",,,"FOUL  by ENGBERS,BRYANT",2
06:22,"GOOD FT by KASTNER,MURRAY",54,,61 (+7),,MILLSAPS 54-61 (-7),,"GOOD FT by KASTNER,MURRAY",2
06:22,"GOOD FT by KASTNER,MURRAY",55,,61 (+6),,MILLSAPS 55-61 (-6),,"GOOD FT by KASTNER,MURRAY",2
06:22,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
06:22,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",2
06:22,,,,,"SUB IN by BURNS,RYAN",,,"SUB IN by BURNS,RYAN",2
06:22,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",2
06:22,,,,,"SUB OUT by BELL,ROBBY",,,"SUB OUT by BELL,ROBBY",2
06:22,,,,,"SUB OUT by TURNER,MICAH",,,"SUB OUT by TURNER,MICAH",2
06:16,,55,,63 (+8),"GOOD JUMPER by PHELPS,BEN",CCM 55-63 (-8),,"GOOD JUMPER by PHELPS,BEN",2
--,,,,,"ASSIST  by MCGRIFF,COLTON",,,"ASSIST  by MCGRIFF,COLTON",2
06:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:00,"GOOD LAYUP by BERGER,RYAN(in the paint)",57,,63 (+6),,MILLSAPS 57-63 (-6),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
05:40,,,,,"TURNOVER  by MCGRIFF,COLTON",,,"TURNOVER  by MCGRIFF,COLTON",2
05:39,"STEAL  by ROBERTSON,MARC",,,,,,,"STEAL  by ROBERTSON,MARC",2
05:26,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
05:17,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
05:12,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
05:12,,57,,64 (+7),"GOOD FT by MCGRIFF,COLTON",CCM 57-64 (-7),,"GOOD FT by MCGRIFF,COLTON",2
05:12,,57,,65 (+8),"GOOD FT by MCGRIFF,COLTON",CCM 57-65 (-8),,"GOOD FT by MCGRIFF,COLTON",2
05:12,,,,,"SUB IN by FERGUSON,TERON",,,"SUB IN by FERGUSON,TERON",2
05:12,,,,,"SUB IN by GLEASON,LUKE",,,"SUB IN by GLEASON,LUKE",2
05:12,,,,,"SUB OUT by GLEASON,LUKE",,,"SUB OUT by GLEASON,LUKE",2
05:12,,,,,"SUB OUT by BURNS,RYAN",,,"SUB OUT by BURNS,RYAN",2
05:07,,,,,"FOUL  by MCGRIFF,COLTON",,,"FOUL  by MCGRIFF,COLTON",2
05:07,"GOOD FT by BERGER,RYAN",58,,65 (+7),,MILLSAPS 58-65 (-7),,"GOOD FT by BERGER,RYAN",2
05:07,"GOOD FT by BERGER,RYAN",59,,65 (+6),,MILLSAPS 59-65 (-6),,"GOOD FT by BERGER,RYAN",2
04:56,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
04:46,,,,,"FOUL  by FERGUSON,TERON",,,"FOUL  by FERGUSON,TERON",2
04:46,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:46,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,"REBOUND OFF by KASTNER,MURRAY",,,,,,,"REBOUND OFF by KASTNER,MURRAY",2
04:46,,,,,"SUB IN by DELANEY,JAKE",,,"SUB IN by DELANEY,JAKE",2
04:46,,,,,"SUB IN by TURNER,MICAH",,,"SUB IN by TURNER,MICAH",2
04:46,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",2
04:46,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",2
04:43,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",2
04:43,,,,,"STEAL  by MCGRIFF,COLTON",,,"STEAL  by MCGRIFF,COLTON",2
04:41,,,,,"TURNOVER  by FERGUSON,TERON",,,"TURNOVER  by FERGUSON,TERON",2
04:40,"STEAL  by AUBERT,DUSTIN",,,,,,,"STEAL  by AUBERT,DUSTIN",2
04:24,,,,,"FOUL  by DELANEY,JAKE",,,"FOUL  by DELANEY,JAKE",2
04:24,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:24,"MISS FT by BERGER,RYAN",,,,,,,"MISS FT by BERGER,RYAN",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
04:24,,,,,"SUB IN by FRIERSON,NATE",,,"SUB IN by FRIERSON,NATE",2
04:24,,,,,"SUB OUT by FERGUSON,TERON",,,"SUB OUT by FERGUSON,TERON",2
04:21,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",2
04:21,,,,,"MISS FT by MCGRIFF,COLTON",,,"MISS FT by MCGRIFF,COLTON",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
04:01,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",61,,65 (+4),,MILLSAPS 61-65 (-4),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
04:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:49,,61,,67 (+6),"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",CCM 61-67 (-6),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",2
03:44,"FOUL  by AUBERT,DUSTIN",,,,,,,"FOUL  by AUBERT,DUSTIN",2
03:44,,61,,68 (+7),"GOOD FT by MCGRIFF,COLTON",CCM 61-68 (-7),,"GOOD FT by MCGRIFF,COLTON",2
03:44,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",2
03:44,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
03:44,,,,,"SUB IN by FERGUSON,TERON",,,"SUB IN by FERGUSON,TERON",2
03:44,,,,,"SUB OUT by ENGBERS,BRYANT",,,"SUB OUT by ENGBERS,BRYANT",2
03:33,"MISS 3PTR by HANTSAD,RAJAN",,,,,,,"MISS 3PTR by HANTSAD,RAJAN",2
--,,,,,"REBOUND DEF by FERGUSON,TERON",,,"REBOUND DEF by FERGUSON,TERON",2
02:55,,,,,"MISS LAYUP by FRIERSON,NATE",,,"MISS LAYUP by FRIERSON,NATE",2
--,"REBOUND DEF by HANTSAD,RAJAN",,,,,,,"REBOUND DEF by HANTSAD,RAJAN",2
02:41,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",63,,68 (+5),,MILLSAPS 63-68 (-5),,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",2
02:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:40,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
02:40,"SUB OUT by HANTSAD,RAJAN",,,,,,,"SUB OUT by HANTSAD,RAJAN",2
02:40,,,,,"SUB IN by ENGBERS,BRYANT",,,"SUB IN by ENGBERS,BRYANT",2
02:40,,,,,"SUB OUT by FERGUSON,TERON",,,"SUB OUT by FERGUSON,TERON",2
02:31,,,,,"TURNOVER  by MCGRIFF,COLTON",,,"TURNOVER  by MCGRIFF,COLTON",2
02:30,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",2
02:19,"GOOD LAYUP by BERGER,RYAN(in the paint)",65,,68 (+3),,MILLSAPS 65-68 (-3),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
--,"ASSIST  by AUBERT,DUSTIN",,,,,,,"ASSIST  by AUBERT,DUSTIN",2
02:08,,,,,"MISS 3PTR by TURNER,MICAH",,,"MISS 3PTR by TURNER,MICAH",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
01:41,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",2
01:39,,,,,"TURNOVER  by MCGRIFF,COLTON",,,"TURNOVER  by MCGRIFF,COLTON",2
01:38,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",2
