Time Remaining,MILSAP,Away Team Score,Play Team Indicator,Home Team Score,RC,Game Score,Team Indicator,Play,Period
10:55,,50 (+1),,49,"GOOD FT by THOMPSON,SHUN",RC 50-49 (+1),,"GOOD FT by THOMPSON,SHUN",2
10:51,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
10:29,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
10:28,,,,,"STEAL  by THOMPSON,SHUN",,,"STEAL  by THOMPSON,SHUN",2
10:25,,50,,51 (+1),"GOOD LAYUP by THOMPSON,SHUN(in the paint)",RC 50-51 (-1),,"GOOD LAYUP by THOMPSON,SHUN(in the paint)",2
10:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:14,"SUB IN by FILLINGIM,DANIEL",,,,,,,"SUB IN by FILLINGIM,DANIEL",2
10:14,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
10:14,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
10:14,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",2
10:14,,,,,"SUB IN by MYERS,ETHAN",,,"SUB IN by MYERS,ETHAN",2
10:14,,,,,"SUB OUT by BIRKS,ANDREW",,,"SUB OUT by BIRKS,ANDREW",2
09:58,"BLOCK  by BERGER,RYAN",,,,,,,"BLOCK  by BERGER,RYAN",2
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",2
09:47,,50,,53 (+3),"GOOD JUMPER by STUCKEY,CURTIS",RC 50-53 (-3),,"GOOD JUMPER by STUCKEY,CURTIS",2
09:38,"MISS JUMPER by FREBIS,RONNIE",,,,,,,"MISS JUMPER by FREBIS,RONNIE",2
--,,,,,"REBOUND DEF by STUCKEY,CURTIS",,,"REBOUND DEF by STUCKEY,CURTIS",2
09:38,"FOUL  by FREBIS,RONNIE",,,,,,,"FOUL  by FREBIS,RONNIE",2
09:21,,,,,"MISS LAYUP by STUCKEY,CURTIS",,,"MISS LAYUP by STUCKEY,CURTIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:21,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",2
09:19,,50,,54 (+4),"GOOD FT by STUCKEY,CURTIS",RC 50-54 (-4),,"GOOD FT by STUCKEY,CURTIS",2
09:19,,50,,55 (+5),"GOOD FT by STUCKEY,CURTIS",RC 50-55 (-5),,"GOOD FT by STUCKEY,CURTIS",2
09:05,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by GREDIC,KWAMERE",,,"REBOUND DEF by GREDIC,KWAMERE",2
08:57,,50,,57 (+7),"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",RC 50-57 (-7),,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",2
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",2
08:57,"FOUL  by FREBIS,RONNIE",,,,,,,"FOUL  by FREBIS,RONNIE",2
08:57,,,,,"MISS FT by BOWENS,JOHNATHAN",,,"MISS FT by BOWENS,JOHNATHAN",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
08:42,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
08:42,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
08:42,"SUB OUT by FILLINGIM,DANIEL",,,,,,,"SUB OUT by FILLINGIM,DANIEL",2
08:42,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",2
08:29,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",2
08:27,,50,,58 (+8),"GOOD FT by STUCKEY,CURTIS",RC 50-58 (-8),,"GOOD FT by STUCKEY,CURTIS",2
08:27,,50,,59 (+9),"GOOD FT by STUCKEY,CURTIS",RC 50-59 (-9),,"GOOD FT by STUCKEY,CURTIS",2
08:00,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by BOWENS,JOHNATHAN",,,"REBOUND DEF by BOWENS,JOHNATHAN",2
07:47,,50,,61 (+11),"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",RC 50-61 (-11),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",2
--,,,,,"ASSIST  by BOWENS,JOHNATHAN",,,"ASSIST  by BOWENS,JOHNATHAN",2
07:36,"GOOD JUMPER by GILLIGAN,TULLY",52,,61 (+9),,MILSAP 52-61 (-9),,"GOOD JUMPER by GILLIGAN,TULLY",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
07:28,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:01,"MISS LAYUP by MCELVEEN,MAC",,,,,,,"MISS LAYUP by MCELVEEN,MAC",2
--,,,,,"REBOUND DEF by BOWENS,JOHNATHAN",,,"REBOUND DEF by BOWENS,JOHNATHAN",2
06:43,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by STUCKEY,CURTIS",,,"REBOUND DEF by STUCKEY,CURTIS",2
06:23,,,,,"MISS 3PTR by ANDERSON,PAUL",,,"MISS 3PTR by ANDERSON,PAUL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:23,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",2
06:23,,52,,62 (+10),"GOOD FT by ANDERSON,PAUL",RC 52-62 (-10),,"GOOD FT by ANDERSON,PAUL",2
06:23,,,,,"MISS FT by ANDERSON,PAUL",,,"MISS FT by ANDERSON,PAUL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:23,,52,,63 (+11),"GOOD FT by ANDERSON,PAUL",RC 52-63 (-11),,"GOOD FT by ANDERSON,PAUL",2
06:23,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",2
06:23,"SUB IN by DETILLIEU,RYAN",,,,,,,"SUB IN by DETILLIEU,RYAN",2
06:23,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",2
06:23,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
06:23,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
06:23,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
06:21,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",54,,63 (+9),,MILSAP 54-63 (-9),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
05:37,,,,,"MISS JUMPER by STUCKEY,CURTIS",,,"MISS JUMPER by STUCKEY,CURTIS",2
--,,,,,"REBOUND OFF by BOWENS,JOHNATHAN",,,"REBOUND OFF by BOWENS,JOHNATHAN",2
05:25,,,,,"SUB IN by SEALS,JORDAN",,,"SUB IN by SEALS,JORDAN",2
05:25,,,,,"SUB IN by ANDERSON,PAUL",,,"SUB IN by ANDERSON,PAUL",2
05:25,,,,,"SUB OUT by MYERS,ETHAN",,,"SUB OUT by MYERS,ETHAN",2
05:25,,,,,"SUB OUT by STUCKEY,CURTIS",,,"SUB OUT by STUCKEY,CURTIS",2
05:00,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",2
04:38,,,,,"MISS JUMPER by THOMPSON,SHUN",,,"MISS JUMPER by THOMPSON,SHUN",2
--,,,,,"REBOUND OFF by SEALS,JORDAN",,,"REBOUND OFF by SEALS,JORDAN",2
04:24,"FOUL  by MCELVEEN,MAC",,,,,,,"FOUL  by MCELVEEN,MAC",2
04:21,,,,,"MISS FT by SEALS,JORDAN",,,"MISS FT by SEALS,JORDAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:14,,54,,64 (+10),"GOOD FT by SEALS,JORDAN",RC 54-64 (-10),,"GOOD FT by SEALS,JORDAN",2
04:12,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
04:12,"SUB OUT by DETILLIEU,RYAN",,,,,,,"SUB OUT by DETILLIEU,RYAN",2
04:10,"GOOD 3PTR by GILLIGAN,TULLY",57,,64 (+7),,MILSAP 57-64 (-7),,"GOOD 3PTR by GILLIGAN,TULLY",2
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",2
03:51,,,,,"TURNOVER  by ANDERSON,PAUL",,,"TURNOVER  by ANDERSON,PAUL",2
03:47,,,,,"SUB IN by BIRKS,ANDREW",,,"SUB IN by BIRKS,ANDREW",2
03:47,,,,,"SUB OUT by ANDERSON,PAUL",,,"SUB OUT by ANDERSON,PAUL",2
03:16,"GOOD 3PTR by KASTNER,MURRAY",60,,64 (+4),,MILSAP 60-64 (-4),,"GOOD 3PTR by KASTNER,MURRAY",2
03:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:14,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
03:14,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",2
03:02,,60,,66 (+6),"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",RC 60-66 (-6),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",2
--,,,,,"ASSIST  by LOWE,O'DARIUS",,,"ASSIST  by LOWE,O'DARIUS",2
03:02,"FOUL  by AUBERT,DUSTIN",,,,,,,"FOUL  by AUBERT,DUSTIN",2
03:02,,,,,"MISS FT by STUCKEY,CURTIS",,,"MISS FT by STUCKEY,CURTIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:36,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",62,,66 (+4),,MILSAP 62-66 (-4),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
02:06,,,,,"MISS 3PTR by THOMPSON,SHUN",,,"MISS 3PTR by THOMPSON,SHUN",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
01:43,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by BIRKS,ANDREW",,,"REBOUND DEF by BIRKS,ANDREW",2
01:43,,,,,"MISS LAYUP by THOMPSON,SHUN",,,"MISS LAYUP by THOMPSON,SHUN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:43,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",2
01:43,,62,,67 (+5),"GOOD FT by THOMPSON,SHUN",RC 62-67 (-5),,"GOOD FT by THOMPSON,SHUN",2
01:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:43,,62,,68 (+6),"GOOD FT by THOMPSON,SHUN",RC 62-68 (-6),,"GOOD FT by THOMPSON,SHUN",2
01:22,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
01:22,"GOOD LAYUP by BERGER,RYAN(in the paint)",64,,68 (+4),,MILSAP 64-68 (-4),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
01:11,,64,,70 (+6),"GOOD LAYUP by THOMPSON,SHUN(in the paint)",RC 64-70 (-6),,"GOOD LAYUP by THOMPSON,SHUN(in the paint)",2
00:57,,,,,"FOUL  by GREDIC,KWAMERE",,,"FOUL  by GREDIC,KWAMERE",2
00:47,"MISS 3PTR by GILLIGAN,TULLY",,,,,,,"MISS 3PTR by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by THOMPSON,SHUN",,,"REBOUND DEF by THOMPSON,SHUN",2
00:39,,,,,"TURNOVER  by THOMPSON,SHUN",,,"TURNOVER  by THOMPSON,SHUN",2
00:36,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
00:26,"FOUL  by AUBERT,DUSTIN",,,,,,,"FOUL  by AUBERT,DUSTIN",2
00:26,,64,,71 (+7),"GOOD FT by GREDIC,KWAMERE",RC 64-71 (-7),,"GOOD FT by GREDIC,KWAMERE",2
00:26,,,,,"MISS FT by GREDIC,KWAMERE",,,"MISS FT by GREDIC,KWAMERE",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
00:21,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",66,,71 (+5),,MILSAP 66-71 (-5),,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",2
00:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:19,,,,,"TURNOVER  by BIRKS,ANDREW",,,"TURNOVER  by BIRKS,ANDREW",2
00:13,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",68,,71 (+3),,MILSAP 68-71 (-3),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
00:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:10,"FOUL  by MCELVEEN,MAC",,,,,,,"FOUL  by MCELVEEN,MAC",2
00:10,,,,,"MISS FT by STUCKEY,CURTIS",,,"MISS FT by STUCKEY,CURTIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:10,,68,,72 (+4),"GOOD FT by STUCKEY,CURTIS",RC 68-72 (-4),,"GOOD FT by STUCKEY,CURTIS",2
