Time Remaining,RUSTMBB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
00:01,"TURNOVER  by MYERS,ETHAN",,,,,,,"TURNOVER  by MYERS,ETHAN",1
00:01,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
00:01,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
00:01,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
00:01,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
00:00,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
00:00,"STEAL  by HAWKINS,JOHN",,,,,,,"STEAL  by HAWKINS,JOHN",1
20:00,"SUB IN by LOWE,O'DARIUS",,,,,,,"SUB IN by LOWE,O'DARIUS",2
20:00,"SUB IN by THOMPSON,SHUN",,,,,,,"SUB IN by THOMPSON,SHUN",2
20:00,"SUB IN by GREDIC,KWAMERE",,,,,,,"SUB IN by GREDIC,KWAMERE",2
20:00,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",2
20:00,"SUB OUT by CLARK,JUSTYCE",,,,,,,"SUB OUT by CLARK,JUSTYCE",2
20:00,"SUB OUT by MYERS,ETHAN",,,,,,,"SUB OUT by MYERS,ETHAN",2
19:46,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",2
--,"REBOUND DEF by BOWENS,JOHNATHAN",,,,,,,"REBOUND DEF by BOWENS,JOHNATHAN",2
19:36,"MISS LAYUP by BOWENS,JOHNATHAN",,,,,,,"MISS LAYUP by BOWENS,JOHNATHAN",2
19:36,,,,,"BLOCK  by BERGER,RYAN",,,"BLOCK  by BERGER,RYAN",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
19:29,,35,,42 (+7),"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 35-42 (+7),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",2
19:11,"GOOD LAYUP by GREDIC,KWAMERE(in the paint)",37,,42 (+5),,RUSTMBB 37-42 (+5),,"GOOD LAYUP by GREDIC,KWAMERE(in the paint)",2
19:06,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
19:06,"STEAL  by GREDIC,KWAMERE",,,,,,,"STEAL  by GREDIC,KWAMERE",2
19:01,"TURNOVER  by BIRKS,ANDREW",,,,,,,"TURNOVER  by BIRKS,ANDREW",2
18:59,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",2
18:55,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
18:52,"FOUL  by LOWE,O'DARIUS",,,,,,,"FOUL  by LOWE,O'DARIUS",2
18:52,,37,,43 (+6),"GOOD FT by GERCHOW,ALEX",MILLSAPS 37-43 (+6),,"GOOD FT by GERCHOW,ALEX",2
18:52,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",2
--,"REBOUND DEF by LOWE,O'DARIUS",,,,,,,"REBOUND DEF by LOWE,O'DARIUS",2
18:40,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
18:18,"FOUL  by GREDIC,KWAMERE",,,,,,,"FOUL  by GREDIC,KWAMERE",2
18:18,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",2
18:18,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
18:17,,37,,46 (+9),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 37-46 (+9),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",2
18:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:58,"GOOD JUMPER by BIRKS,ANDREW",39,,46 (+7),,RUSTMBB 39-46 (+7),,"GOOD JUMPER by BIRKS,ANDREW",2
17:44,"SUB IN by STUCKEY,CURTIS",,,,,,,"SUB IN by STUCKEY,CURTIS",2
17:44,"SUB OUT by BOWENS,JOHNATHAN",,,,,,,"SUB OUT by BOWENS,JOHNATHAN",2
17:39,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",2
--,"REBOUND DEF by LOWE,O'DARIUS",,,,,,,"REBOUND DEF by LOWE,O'DARIUS",2
17:32,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",2
--,"REBOUND OFF by STUCKEY,CURTIS",,,,,,,"REBOUND OFF by STUCKEY,CURTIS",2
17:27,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",41,,46 (+5),,RUSTMBB 41-46 (+5),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",2
17:12,"FOUL  by STUCKEY,CURTIS",,,,,,,"FOUL  by STUCKEY,CURTIS",2
17:12,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
17:12,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
17:11,,41,,49 (+8),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 41-49 (+8),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by MCELVEEN,MAC",,,"ASSIST  by MCELVEEN,MAC",2
16:44,"MISS LAYUP by STUCKEY,CURTIS",,,,,,,"MISS LAYUP by STUCKEY,CURTIS",2
--,"REBOUND OFF by LOWE,O'DARIUS",,,,,,,"REBOUND OFF by LOWE,O'DARIUS",2
16:42,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
16:42,"SUB IN by MYERS,ETHAN",,,,,,,"SUB IN by MYERS,ETHAN",2
16:42,"SUB OUT by BIRKS,ANDREW",,,,,,,"SUB OUT by BIRKS,ANDREW",2
16:42,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
16:42,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
16:22,"FOUL  by THOMPSON,SHUN",,,,,,,"FOUL  by THOMPSON,SHUN",2
16:06,,41,,51 (+10),"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 41-51 (+10),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
15:45,"MISS JUMPER by GREDIC,KWAMERE",,,,,,,"MISS JUMPER by GREDIC,KWAMERE",2
--,"REBOUND OFF by STUCKEY,CURTIS",,,,,,,"REBOUND OFF by STUCKEY,CURTIS",2
15:42,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
15:42,"GOOD FT by STUCKEY,CURTIS",42,,51 (+9),,RUSTMBB 42-51 (+9),,"GOOD FT by STUCKEY,CURTIS",2
15:42,"GOOD FT by STUCKEY,CURTIS",43,,51 (+8),,RUSTMBB 43-51 (+8),,"GOOD FT by STUCKEY,CURTIS",2
15:08,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",2
15:06,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",2
--,"REBOUND DEF by LOWE,O'DARIUS",,,,,,,"REBOUND DEF by LOWE,O'DARIUS",2
14:58,"MISS 3PTR by THOMPSON,SHUN",,,,,,,"MISS 3PTR by THOMPSON,SHUN",2
--,"REBOUND OFF by LOWE,O'DARIUS",,,,,,,"REBOUND OFF by LOWE,O'DARIUS",2
14:54,"FOUL  by LOWE,O'DARIUS",,,,,,,"FOUL  by LOWE,O'DARIUS",2
14:54,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
14:54,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
14:54,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
14:54,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
14:42,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
14:42,"BLOCK  by LOWE,O'DARIUS",,,,,,,"BLOCK  by LOWE,O'DARIUS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:38,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",2
14:31,"GOOD 3PTR by MYERS,ETHAN",46,,51 (+5),,RUSTMBB 46-51 (+5),,"GOOD 3PTR by MYERS,ETHAN",2
14:08,,46,,54 (+8),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 46-54 (+8),,"GOOD 3PTR by KASTNER,MURRAY",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
13:56,"MISS JUMPER by GREDIC,KWAMERE",,,,,,,"MISS JUMPER by GREDIC,KWAMERE",2
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",2
13:52,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",2
13:50,"STEAL  by GREDIC,KWAMERE",,,,,,,"STEAL  by GREDIC,KWAMERE",2
13:48,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
13:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:35,"GOOD JUMPER by MYERS,ETHAN",48,,54 (+6),,RUSTMBB 48-54 (+6),,"GOOD JUMPER by MYERS,ETHAN",2
13:21,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",2
13:17,"FOUL  by GREDIC,KWAMERE",,,,,,,"FOUL  by GREDIC,KWAMERE",2
13:17,,48,,55 (+7),"GOOD FT by KASTNER,MURRAY",MILLSAPS 48-55 (+7),,"GOOD FT by KASTNER,MURRAY",2
13:17,,,,,"MISS FT by KASTNER,MURRAY",,,"MISS FT by KASTNER,MURRAY",2
--,"REBOUND DEF by STUCKEY,CURTIS",,,,,,,"REBOUND DEF by STUCKEY,CURTIS",2
13:17,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
13:17,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
13:05,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",2
12:45,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",2
12:45,"GOOD FT by GREDIC,KWAMERE",49,,55 (+6),,RUSTMBB 49-55 (+6),,"GOOD FT by GREDIC,KWAMERE",2
12:45,"GOOD FT by GREDIC,KWAMERE",50,,55 (+5),,RUSTMBB 50-55 (+5),,"GOOD FT by GREDIC,KWAMERE",2
12:45,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",2
12:45,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
12:45,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
12:45,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
12:45,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",2
12:45,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
12:27,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",2
--,"REBOUND DEF by MYERS,ETHAN",,,,,,,"REBOUND DEF by MYERS,ETHAN",2
12:13,"MISS LAYUP by LOWE,O'DARIUS",,,,,,,"MISS LAYUP by LOWE,O'DARIUS",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
12:07,"FOUL  by MYERS,ETHAN",,,,,,,"FOUL  by MYERS,ETHAN",2
12:07,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",2
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",2
12:01,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:55,"SUB IN by CLARK,JUSTYCE",,,,,,,"SUB IN by CLARK,JUSTYCE",2
11:55,"SUB OUT by STUCKEY,CURTIS",,,,,,,"SUB OUT by STUCKEY,CURTIS",2
11:48,"MISS 3PTR by MYERS,ETHAN",,,,,,,"MISS 3PTR by MYERS,ETHAN",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
11:29,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",2
11:24,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",2
11:11,"GOOD JUMPER by GREDIC,KWAMERE(in the paint)",52,,55 (+3),,RUSTMBB 52-55 (+3),,"GOOD JUMPER by GREDIC,KWAMERE(in the paint)",2
10:59,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",2
10:58,"STEAL  by MYERS,ETHAN",,,,,,,"STEAL  by MYERS,ETHAN",2
10:57,"TURNOVER  by MYERS,ETHAN",,,,,,,"TURNOVER  by MYERS,ETHAN",2
10:51,"SUB IN by ANDERSON,PAUL",,,,,,,"SUB IN by ANDERSON,PAUL",2
10:51,"SUB OUT by MYERS,ETHAN",,,,,,,"SUB OUT by MYERS,ETHAN",2
10:51,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
10:51,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
10:46,"MISS 3PTR by GREDIC,KWAMERE",,,,,,,"MISS 3PTR by GREDIC,KWAMERE",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
10:38,,52,,57 (+5),"GOOD LAYUP by FREBIS,RONNIE(fastbreak)(in the paint)",MILLSAPS 52-57 (+5),,"GOOD LAYUP by FREBIS,RONNIE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
10:38,"FOUL  by LOWE,O'DARIUS",,,,,,,"FOUL  by LOWE,O'DARIUS",2
10:38,,,,,"MISS FT by FREBIS,RONNIE",,,"MISS FT by FREBIS,RONNIE",2
--,"REBOUND DEF by ANDERSON,PAUL",,,,,,,"REBOUND DEF by ANDERSON,PAUL",2
10:24,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",2
10:24,"MISS FT by LOWE,O'DARIUS",,,,,,,"MISS FT by LOWE,O'DARIUS",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
10:05,,,,,"TURNOVER  by FREBIS,RONNIE",,,"TURNOVER  by FREBIS,RONNIE",2
10:04,"STEAL  by THOMPSON,SHUN",,,,,,,"STEAL  by THOMPSON,SHUN",2
10:01,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
10:01,"GOOD FT by THOMPSON,SHUN",53,,57 (+4),,RUSTMBB 53-57 (+4),,"GOOD FT by THOMPSON,SHUN",2
10:01,"MISS FT by THOMPSON,SHUN",,,,,,,"MISS FT by THOMPSON,SHUN",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
10:01,"SUB IN by STUCKEY,CURTIS",,,,,,,"SUB IN by STUCKEY,CURTIS",2
10:01,"SUB OUT by LOWE,O'DARIUS",,,,,,,"SUB OUT by LOWE,O'DARIUS",2
10:01,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
10:01,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
10:01,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
10:01,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
09:46,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by STUCKEY,CURTIS",,,,,,,"REBOUND DEF by STUCKEY,CURTIS",2
09:31,"GOOD LAYUP by THOMPSON,SHUN(in the paint)",55,,57 (+2),,RUSTMBB 55-57 (+2),,"GOOD LAYUP by THOMPSON,SHUN(in the paint)",2
09:21,"FOUL  by THOMPSON,SHUN",,,,,,,"FOUL  by THOMPSON,SHUN",2
09:21,,55,,58 (+3),"GOOD FT by AUBERT,DUSTIN",MILLSAPS 55-58 (+3),,"GOOD FT by AUBERT,DUSTIN",2
09:21,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:21,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",2
09:18,"MISS FT by STUCKEY,CURTIS",,,,,,,"MISS FT by STUCKEY,CURTIS",2
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",2
09:18,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
09:18,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
09:07,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",2
09:06,"STEAL  by THOMPSON,SHUN",,,,,,,"STEAL  by THOMPSON,SHUN",2
09:01,"MISS LAYUP by GREDIC,KWAMERE",,,,,,,"MISS LAYUP by GREDIC,KWAMERE",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
08:49,"FOUL  by CLARK,JUSTYCE",,,,,,,"FOUL  by CLARK,JUSTYCE",2
08:49,,,,,"MISS FT by MCELVEEN,MAC",,,"MISS FT by MCELVEEN,MAC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:49,,,,,"MISS FT by MCELVEEN,MAC",,,"MISS FT by MCELVEEN,MAC",2
--,"REBOUND DEF by ANDERSON,PAUL",,,,,,,"REBOUND DEF by ANDERSON,PAUL",2
08:49,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",2
08:49,"SUB OUT by THOMPSON,SHUN",,,,,,,"SUB OUT by THOMPSON,SHUN",2
08:24,"FOUL  by STUCKEY,CURTIS",,,,,,,"FOUL  by STUCKEY,CURTIS",2
08:24,"SUB IN by MYERS,ETHAN",,,,,,,"SUB IN by MYERS,ETHAN",2
08:24,"SUB OUT by GREDIC,KWAMERE",,,,,,,"SUB OUT by GREDIC,KWAMERE",2
08:24,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
08:24,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
08:13,"FOUL  by STUCKEY,CURTIS",,,,,,,"FOUL  by STUCKEY,CURTIS",2
08:13,,55,,59 (+4),"GOOD FT by GERCHOW,ALEX",MILLSAPS 55-59 (+4),,"GOOD FT by GERCHOW,ALEX",2
08:13,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",2
--,"REBOUND DEF by ANDERSON,PAUL",,,,,,,"REBOUND DEF by ANDERSON,PAUL",2
08:13,"SUB IN by HAWKINS,JOHN",,,,,,,"SUB IN by HAWKINS,JOHN",2
08:13,"SUB OUT by STUCKEY,CURTIS",,,,,,,"SUB OUT by STUCKEY,CURTIS",2
07:41,"MISS JUMPER by SEALS,JORDAN",,,,,,,"MISS JUMPER by SEALS,JORDAN",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
07:22,,55,,61 (+6),"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 55-61 (+6),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",2
07:06,"MISS 3PTR by MYERS,ETHAN",,,,,,,"MISS 3PTR by MYERS,ETHAN",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
06:54,"FOUL  by ANDERSON,PAUL",,,,,,,"FOUL  by ANDERSON,PAUL",2
06:54,,55,,62 (+7),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 55-62 (+7),,"GOOD FT by GILLIGAN,TULLY",2
06:54,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",2
--,"REBOUND DEF by LOWE,O'DARIUS",,,,,,,"REBOUND DEF by LOWE,O'DARIUS",2
06:54,"SUB IN by LOWE,O'DARIUS",,,,,,,"SUB IN by LOWE,O'DARIUS",2
06:54,"SUB IN by THOMPSON,SHUN",,,,,,,"SUB IN by THOMPSON,SHUN",2
06:54,"SUB OUT by ANDERSON,PAUL",,,,,,,"SUB OUT by ANDERSON,PAUL",2
06:54,"SUB OUT by CLARK,JUSTYCE",,,,,,,"SUB OUT by CLARK,JUSTYCE",2
06:46,"TURNOVER  by HAWKINS,JOHN",,,,,,,"TURNOVER  by HAWKINS,JOHN",2
06:45,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",2
06:41,,55,,64 (+9),"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",MILLSAPS 55-64 (+9),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",2
06:38,,,,,"SUB IN by FILLINGIM,DANIEL",,,"SUB IN by FILLINGIM,DANIEL",2
06:38,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
06:38,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",2
06:38,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
06:38,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
06:38,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
06:35,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
06:35,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
06:35,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
06:35,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
06:35,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
06:35,,,,,"SUB OUT by FILLINGIM,DANIEL",,,"SUB OUT by FILLINGIM,DANIEL",2
06:32,"TURNOVER  by LOWE,O'DARIUS",,,,,,,"TURNOVER  by LOWE,O'DARIUS",2
06:31,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
06:30,,55,,66 (+11),"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",MILLSAPS 55-66 (+11),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",2
06:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:07,"SUB IN by GREDIC,KWAMERE",,,,,,,"SUB IN by GREDIC,KWAMERE",2
06:07,"SUB IN by BIRKS,ANDREW",,,,,,,"SUB IN by BIRKS,ANDREW",2
06:07,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",2
06:07,"SUB OUT by MYERS,ETHAN",,,,,,,"SUB OUT by MYERS,ETHAN",2
05:56,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
05:56,"GOOD FT by THOMPSON,SHUN",56,,66 (+10),,RUSTMBB 56-66 (+10),,"GOOD FT by THOMPSON,SHUN",2
05:56,"GOOD FT by THOMPSON,SHUN",57,,66 (+9),,RUSTMBB 57-66 (+9),,"GOOD FT by THOMPSON,SHUN",2
05:49,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",2
05:49,"BLOCK  by HAWKINS,JOHN",,,,,,,"BLOCK  by HAWKINS,JOHN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:45,"FOUL  by LOWE,O'DARIUS",,,,,,,"FOUL  by LOWE,O'DARIUS",2
05:45,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:45,,57,,67 (+10),"GOOD FT by GERCHOW,ALEX",MILLSAPS 57-67 (+10),,"GOOD FT by GERCHOW,ALEX",2
05:41,"TURNOVER  by GREDIC,KWAMERE",,,,,,,"TURNOVER  by GREDIC,KWAMERE",2
05:06,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND DEF by HAWKINS,JOHN",,,,,,,"REBOUND DEF by HAWKINS,JOHN",2
04:57,"GOOD JUMPER by THOMPSON,SHUN",59,,67 (+8),,RUSTMBB 59-67 (+8),,"GOOD JUMPER by THOMPSON,SHUN",2
04:57,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
04:57,"GOOD FT by THOMPSON,SHUN",60,,67 (+7),,RUSTMBB 60-67 (+7),,"GOOD FT by THOMPSON,SHUN",2
04:57,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
04:57,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
04:30,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
04:26,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",2
