Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
08:39,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
08:26,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",1
07:56,,9,,16 (+7),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 9-16 (+7),,"GOOD 3PTR by KASTNER,MURRAY",1
07:47,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
07:47,"GOOD FT by COTTER,DOUGLAS",10,,16 (+6),,BCM 10-16 (+6),,"GOOD FT by COTTER,DOUGLAS",1
07:47,"GOOD FT by COTTER,DOUGLAS",11,,16 (+5),,BCM 11-16 (+5),,"GOOD FT by COTTER,DOUGLAS",1
07:39,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
07:34,,11,,18 (+7),"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 11-18 (+7),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
07:10,"MISS JUMPER by JONES,RON",,,,,,,"MISS JUMPER by JONES,RON",1
07:10,,,,,"BLOCK  by GILLIGAN,TULLY",,,"BLOCK  by GILLIGAN,TULLY",1
--,"REBOUND OFF by JONES,RON",,,,,,,"REBOUND OFF by JONES,RON",1
07:05,"TURNOVER  by JONES,RON",,,,,,,"TURNOVER  by JONES,RON",1
07:03,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",1
06:41,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
06:41,"BLOCK  by JONES,RON",,,,,,,"BLOCK  by JONES,RON",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
06:37,,11,,20 (+9),"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 11-20 (+9),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",1
06:31,"GOOD JUMPER by PARK,BRANDON",13,,20 (+7),,BCM 13-20 (+7),,"GOOD JUMPER by PARK,BRANDON",1
06:31,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",1
06:31,"GOOD FT by PARK,BRANDON",14,,20 (+6),,BCM 14-20 (+6),,"GOOD FT by PARK,BRANDON",1
06:31,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
06:31,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
06:09,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
