Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
08:54,"SUB OUT by DUNCAN,JAVON",,,,,,,"SUB OUT by DUNCAN,JAVON",1
08:54,"SUB IN by CHAMP,RANCE",,,,,,,"SUB IN by CHAMP,RANCE",1
08:49,"FOUL  by COUCH,LUKE",,,,,,,"FOUL  by COUCH,LUKE",1
08:49,,,,,"MISS FT by WEST,KANE",,,"MISS FT by WEST,KANE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:49,,,,,"MISS FT by WEST,KANE",,,"MISS FT by WEST,KANE",1
--,"REBOUND DEF by CHAMP,RANCE",,,,,,,"REBOUND DEF by CHAMP,RANCE",1
08:47,"GOOD LAYUP by EDWARDS,KORRI(fastbreak)(in the paint)",21,,23 (+2),,BU 21-23 (+2),,"GOOD LAYUP by EDWARDS,KORRI(fastbreak)(in the paint)",1
08:47,,,,,"FOUL  by WEST,KANE",,,"FOUL  by WEST,KANE",1
08:47,,,,,"SUB OUT by WEST,KANE",,,"SUB OUT by WEST,KANE",1
08:47,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
08:47,"SUB OUT by COUCH,LUKE",,,,,,,"SUB OUT by COUCH,LUKE",1
08:47,"SUB IN by WOMACK,NEHEMIAH",,,,,,,"SUB IN by WOMACK,NEHEMIAH",1
08:47,"GOOD FT by EDWARDS,KORRI(fastbreak)",22,,23 (+1),,BU 22-23 (+1),,"GOOD FT by EDWARDS,KORRI(fastbreak)",1
08:21,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
08:13,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
08:07,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
08:07,,,,,"TURNOVER  by GILLISPIE,JAY",,,"TURNOVER  by GILLISPIE,JAY",1
07:47,"MISS 3PTR by EDWARDS,KORRI",,,,,,,"MISS 3PTR by EDWARDS,KORRI",1
--,"REBOUND OFF by ANDERSON, JR.,TERRAN",,,,,,,"REBOUND OFF by ANDERSON, JR.,TERRAN",1
07:33,"MISS 3PTR by CHAMP,RANCE",,,,,,,"MISS 3PTR by CHAMP,RANCE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:29,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
07:29,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
07:29,,,,,"SUB IN by GLOVER,CAMERON",,,"SUB IN by GLOVER,CAMERON",1
07:29,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
07:18,,22,,26 (+4),"GOOD 3PTR by FITZGERALD,PAUL",BSC 22-26 (+4),,"GOOD 3PTR by FITZGERALD,PAUL",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
07:09,"MISS LAYUP by CHAMP,RANCE(in the paint)",,,,,,,"MISS LAYUP by CHAMP,RANCE(in the paint)",1
07:09,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by GLOVER,CAMERON",,,"REBOUND DEF by GLOVER,CAMERON",1
07:03,"FOUL  by WOMACK,NEHEMIAH",,,,,,,"FOUL  by WOMACK,NEHEMIAH",1
07:03,,22,,27 (+5),"GOOD FT by O'SULLIVAN,CONOR(fastbreak)",BSC 22-27 (+5),,"GOOD FT by O'SULLIVAN,CONOR(fastbreak)",1
07:03,,22,,28 (+6),"GOOD FT by O'SULLIVAN,CONOR(fastbreak)",BSC 22-28 (+6),,"GOOD FT by O'SULLIVAN,CONOR(fastbreak)",1
06:52,"GOOD DUNK by EDWARDS,KORRI(in the paint)",24,,28 (+4),,BU 24-28 (+4),,"GOOD DUNK by EDWARDS,KORRI(in the paint)",1
06:35,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by CHAMP,RANCE",,,,,,,"REBOUND DEF by CHAMP,RANCE",1
