Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
09:10,"MISS 3PTR by GARRIDO,BRANDAN",,,,,,,"MISS 3PTR by GARRIDO,BRANDAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:08,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
09:08,,26 (+5),,21,"GOOD FT by TONEY,CALEB",Hunt 26-21 (+5),,"GOOD FT by TONEY,CALEB",1
09:08,,26 (+4),,22,"GOOD FT by TONEY,CALEB",Hunt 26-22 (+4),,"GOOD FT by TONEY,CALEB",1
09:08,,,,,"SUB IN by CLARK,TY",,,"SUB IN by CLARK,TY",1
09:08,,,,,"SUB OUT by TAYLOR,WILLIE",,,"SUB OUT by TAYLOR,WILLIE",1
09:01,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",1
08:57,,,,,"STEAL  by ZACHERY,CEAUNTE",,,"STEAL  by ZACHERY,CEAUNTE",1
08:50,,,,,"FOUL  by CLARK,TY",,,"FOUL  by CLARK,TY",1
08:31,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:27,"MISS 3PTR by STEPHENS,TROY",,,,,,,"MISS 3PTR by STEPHENS,TROY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:25,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",1
08:25,,26 (+3),,23,"GOOD FT by ZACHERY,CEAUNTE",Hunt 26-23 (+3),,"GOOD FT by ZACHERY,CEAUNTE",1
08:25,,26 (+2),,24,"GOOD FT by ZACHERY,CEAUNTE",Hunt 26-24 (+2),,"GOOD FT by ZACHERY,CEAUNTE",1
08:25,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",1
08:25,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
08:11,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",1
--,,,,,"REBOUND DEF by HARRIS,JAMES",,,"REBOUND DEF by HARRIS,JAMES",1
08:03,,,,,"TURNOVER  by ZACHERY,CEAUNTE",,,"TURNOVER  by ZACHERY,CEAUNTE",1
07:55,"MISS 3PTR by STEPHENS,TROY",,,,,,,"MISS 3PTR by STEPHENS,TROY",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
07:51,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
07:47,"GOOD LAYUP by STEWART,CHRISTIAN",28 (+4),,24,,BSC 28-24 (+4),,"GOOD LAYUP by STEWART,CHRISTIAN",1
07:32,,,,,"MISS JUMPER by TONEY,CALEB",,,"MISS JUMPER by TONEY,CALEB",1
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
07:25,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",1
07:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:25,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
07:25,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
07:25,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
07:25,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
07:25,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
07:25,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
07:25,,,,,"SUB IN by JOHNSON,JUSTIN",,,"SUB IN by JOHNSON,JUSTIN",1
07:25,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",1
07:16,,,,,"MISS LAYUP by HARRIS,JAMES",,,"MISS LAYUP by HARRIS,JAMES",1
--,,,,,"REBOUND OFF by ZACHERY,CEAUNTE",,,"REBOUND OFF by ZACHERY,CEAUNTE",1
07:11,,,,,"MISS JUMPER by ZACHERY,CEAUNTE",,,"MISS JUMPER by ZACHERY,CEAUNTE",1
--,,,,,"REBOUND OFF by CLARK,TY",,,"REBOUND OFF by CLARK,TY",1
07:11,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
07:11,,,,,"MISS FT by CLARK,TY",,,"MISS FT by CLARK,TY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:11,,,,,"MISS FT by CLARK,TY",,,"MISS FT by CLARK,TY",1
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
06:46,"MISS JUMPER by STEPHENS,TROY",,,,,,,"MISS JUMPER by STEPHENS,TROY",1
--,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",,,"REBOUND DEF by ZACHERY,CEAUNTE",1
06:38,,,,,"MISS LAYUP by HARRIS,JAMES",,,"MISS LAYUP by HARRIS,JAMES",1
--,,,,,"REBOUND OFF by CLARK,TY",,,"REBOUND OFF by CLARK,TY",1
06:24,,,,,"MISS LAYUP by ZACHERY,CEAUNTE",,,"MISS LAYUP by ZACHERY,CEAUNTE",1
06:24,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND OFF by CLARK,TY",,,"REBOUND OFF by CLARK,TY",1
06:16,,28 (+2),,26,"GOOD LAYUP by JOHNSON,JUSTIN",Hunt 28-26 (+2),,"GOOD LAYUP by JOHNSON,JUSTIN",1
06:02,"FOUL  by STEPHENS,TROY",,,,,,,"FOUL  by STEPHENS,TROY",1
06:02,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
06:02,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",1
06:02,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
06:02,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
06:02,,,,,"SUB IN by MARTIN,GRAHAM",,,"SUB IN by MARTIN,GRAHAM",1
06:02,,,,,"SUB IN by TONEY,CALEB",,,"SUB IN by TONEY,CALEB",1
06:02,,,,,"SUB OUT by CLARK,TY",,,"SUB OUT by CLARK,TY",1
06:02,,,,,"SUB OUT by ZACHERY,CEAUNTE",,,"SUB OUT by ZACHERY,CEAUNTE",1
05:55,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
05:42,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,"REBOUND OFF by BRIGHT JR.,BRUCE",,,,,,,"REBOUND OFF by BRIGHT JR.,BRUCE",1
05:31,"MISS 3PTR by BRIGHT JR.,BRUCE",,,,,,,"MISS 3PTR by BRIGHT JR.,BRUCE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:54,,,,,"MISS JUMPER by JOHNSON,JUSTIN",,,"MISS JUMPER by JOHNSON,JUSTIN",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
04:33,,,,,"FOUL  by MADISON,DAMIEN",,,"FOUL  by MADISON,DAMIEN",1
04:33,"GOOD FT by GLOVER,CAMERON",29 (+3),,26,,BSC 29-26 (+3),,"GOOD FT by GLOVER,CAMERON",1
