Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
03:34,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
03:34,"STEAL  by FOSTER,LANE",,,,,,,"STEAL  by FOSTER,LANE",1
03:29,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",43 (+14),,29,,OU 43-29 (-14),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",1
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",1
03:03,"FOUL  by EZIGBO,UBA",,,,,,,"FOUL  by EZIGBO,UBA",1
03:03,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:03,,,,,"MISS FT by SPENCE,BEN",,,"MISS FT by SPENCE,BEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:03,,43 (+13),,30,"GOOD FT by SPENCE,BEN",BSC 43-30 (-13),,"GOOD FT by SPENCE,BEN",1
03:03,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
03:03,,,,,"SUB IN by GLOVER,CAMERON",,,"SUB IN by GLOVER,CAMERON",1
02:47,"MISS LAYUP by CHAMBERS,DIMETRI(in the paint)",,,,,,,"MISS LAYUP by CHAMBERS,DIMETRI(in the paint)",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
02:41,,43 (+11),,32,"GOOD LAYUP by GONDA,MATT(in the paint)",BSC 43-32 (-11),,"GOOD LAYUP by GONDA,MATT(in the paint)",1
02:22,"GOOD LAYUP by EZIGBO,UBA(in the paint)",45 (+13),,32,,OU 45-32 (-13),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",1
02:14,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
02:14,"STEAL  by SONE,CARLOS",,,,,,,"STEAL  by SONE,CARLOS",1
02:14,"SUB OUT by EZIGBO,UBA",,,,,,,"SUB OUT by EZIGBO,UBA",1
02:14,"SUB IN by MURRAH,JACK",,,,,,,"SUB IN by MURRAH,JACK",1
02:00,"GOOD JUMPER by FOSTER,LANE",47 (+15),,32,,OU 47-32 (-15),,"GOOD JUMPER by FOSTER,LANE",1
01:58,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,1
01:58,"GOOD FT by CHAMBERS,DIMETRI",48 (+16),,32,,OU 48-32 (-16),,"GOOD FT by CHAMBERS,DIMETRI",1
01:58,"GOOD FT by CHAMBERS,DIMETRI",49 (+17),,32,,OU 49-32 (-17),,"GOOD FT by CHAMBERS,DIMETRI",1
01:58,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
01:46,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
01:46,"SUB OUT by SONE,CARLOS",,,,,,,"SUB OUT by SONE,CARLOS",1
01:46,"SUB IN by KRIVITZKIN,TYLER",,,,,,,"SUB IN by KRIVITZKIN,TYLER",1
01:34,"MISS 3PTR by SONE,CARLOS",,,,,,,"MISS 3PTR by SONE,CARLOS",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
01:20,,49 (+14),,35,"GOOD 3PTR by SIGLER,EVAN",BSC 49-35 (-14),,"GOOD 3PTR by SIGLER,EVAN",1
01:12,"GOOD 3PTR by MURRAH,JACK",52 (+17),,35,,OU 52-35 (-17),,"GOOD 3PTR by MURRAH,JACK",1
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",1
01:02,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",1
--,"REBOUND DEF by MURRAH,JACK",,,,,,,"REBOUND DEF by MURRAH,JACK",1
00:51,"GOOD 3PTR by JENEI,RYAN",55 (+20),,35,,OU 55-35 (-20),,"GOOD 3PTR by JENEI,RYAN",1
--,"ASSIST  by SONE,CARLOS",,,,,,,"ASSIST  by SONE,CARLOS",1
00:51,"SUB OUT by CHAMBERS,DIMETRI",,,,,,,"SUB OUT by CHAMBERS,DIMETRI",1
00:51,"SUB IN by SONE,CARLOS",,,,,,,"SUB IN by SONE,CARLOS",1
00:45,"FOUL  by JENEI,RYAN",,,,,,,"FOUL  by JENEI,RYAN",1
00:42,,55 (+19),,36,"GOOD FT by STEWART,CHRISTIAN",BSC 55-36 (-19),,"GOOD FT by STEWART,CHRISTIAN",1
00:42,,55 (+18),,37,"GOOD FT by STEWART,CHRISTIAN",BSC 55-37 (-18),,"GOOD FT by STEWART,CHRISTIAN",1
00:42,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
00:42,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
00:33,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",1
00:33,"SUB IN by FISCHER,DAVID",,,,,,,"SUB IN by FISCHER,DAVID",1
00:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:09,"MISS JUMPER by FOSTER,LANE",,,,,,,"MISS JUMPER by FOSTER,LANE",1
--,"REBOUND OFF by MURRAH,JACK",,,,,,,"REBOUND OFF by MURRAH,JACK",1
00:05,"GOOD JUMPER by MURRAH,JACK",57 (+20),,37,,OU 57-37 (-20),,"GOOD JUMPER by MURRAH,JACK",1
00:00,,57 (+17),,40,"GOOD 3PTR by GLOVER,CAMERON",BSC 57-40 (-17),,"GOOD 3PTR by GLOVER,CAMERON",1
20:00,,,,,"SUB OUT by GLOVER,CAMERON",,,"SUB OUT by GLOVER,CAMERON",2
20:00,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
20:00,"SUB OUT by KRIVITZKIN,TYLER",,,,,,,"SUB OUT by KRIVITZKIN,TYLER",2
20:00,"SUB OUT by MURRAH,JACK",,,,,,,"SUB OUT by MURRAH,JACK",2
