Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
01:18,,,,,"MISS FT by JONES,JOSEPH(fastbreak)",,,"MISS FT by JONES,JOSEPH(fastbreak)",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
00:57,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",1
00:57,,,,,"STEAL  by SHIELDS,RIAN",,,"STEAL  by SHIELDS,RIAN",1
00:52,,35,,35,"GOOD 3PTR by MCMILLAN,MATTHEW(fastbreak)",BU 35-35 (0),,"GOOD 3PTR by MCMILLAN,MATTHEW(fastbreak)",1
--,,,,,"ASSIST  by SHIELDS,RIAN",,,"ASSIST  by SHIELDS,RIAN",1
00:41,,,,,"FOUL  by SHIELDS,RIAN",,,"FOUL  by SHIELDS,RIAN",1
00:41,"MISS FT by GLOVER,CAMERON",,,,,,,"MISS FT by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by EDWARDS,KORRI",,,"REBOUND DEF by EDWARDS,KORRI",1
00:29,,,,,"TURNOVER  by SHIELDS,RIAN",,,"TURNOVER  by SHIELDS,RIAN",1
00:29,"STEAL  by FITZGERALD,PAUL",,,,,,,"STEAL  by FITZGERALD,PAUL",1
00:25,"MISS LAYUP by FITZGERALD,PAUL(in the paint)",,,,,,,"MISS LAYUP by FITZGERALD,PAUL(in the paint)",1
00:25,,,,,"BLOCK  by SHIELDS,RIAN",,,"BLOCK  by SHIELDS,RIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:25,,,,,"SUB OUT by JONES,JOSEPH",,,"SUB OUT by JONES,JOSEPH",1
00:25,,,,,"SUB OUT by SHIELDS,RIAN",,,"SUB OUT by SHIELDS,RIAN",1
00:25,,,,,"SUB IN by COUCH,LUKE",,,"SUB IN by COUCH,LUKE",1
00:25,,,,,"SUB IN by WOMACK,NEHEMIAH",,,"SUB IN by WOMACK,NEHEMIAH",1
00:23,"GOOD 3PTR by SIGLER,EVAN",38 (+3),,35,,BSC 38-35 (+3),,"GOOD 3PTR by SIGLER,EVAN",1
00:17,,38,,38,"GOOD 3PTR by MCMILLAN,MATTHEW",BU 38-38 (0),,"GOOD 3PTR by MCMILLAN,MATTHEW",1
20:00,,,,,"SUB OUT by WOMACK,NEHEMIAH",,,"SUB OUT by WOMACK,NEHEMIAH",2
20:00,,,,,"SUB IN by SHIELDS,RIAN",,,"SUB IN by SHIELDS,RIAN",2
20:00,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
20:00,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
20:00,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",2
20:00,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
19:45,"GOOD 3PTR by STEPHENS,TROY",41 (+3),,38,,BSC 41-38 (+3),,"GOOD 3PTR by STEPHENS,TROY",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
19:24,,,,,"TURNOVER  by MCMILLAN,MATTHEW",,,"TURNOVER  by MCMILLAN,MATTHEW",2
19:07,"TURNOVER  by STEPHENS,TROY",,,,,,,"TURNOVER  by STEPHENS,TROY",2
18:50,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",,,"MISS 3PTR by MCMILLAN,MATTHEW",2
--,,,,,"REBOUND OFF by EDWARDS,KORRI",,,"REBOUND OFF by EDWARDS,KORRI",2
18:35,,41 (+1),,40,"GOOD LAYUP by COUCH,LUKE(in the paint)",BU 41-40 (+1),,"GOOD LAYUP by COUCH,LUKE(in the paint)",2
18:25,"GOOD 3PTR by STEPHENS,TROY",44 (+4),,40,,BSC 44-40 (+4),,"GOOD 3PTR by STEPHENS,TROY",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
18:21,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
18:14,,,,,"MISS 3PTR by COUCH,LUKE",,,"MISS 3PTR by COUCH,LUKE",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
17:48,"MISS JUMPER by SPENCE,BEN",,,,,,,"MISS JUMPER by SPENCE,BEN",2
17:48,,,,,"BLOCK  by ANDERSON, JR.,TERRAN",,,"BLOCK  by ANDERSON, JR.,TERRAN",2
--,"REBOUND OFF by SPENCE,BEN",,,,,,,"REBOUND OFF by SPENCE,BEN",2
17:40,"MISS LAYUP by O'SULLIVAN,CONOR(in the paint)",,,,,,,"MISS LAYUP by O'SULLIVAN,CONOR(in the paint)",2
--,,,,,"REBOUND DEF by SHIELDS,RIAN",,,"REBOUND DEF by SHIELDS,RIAN",2
17:31,,,,,"MISS 3PTR by EDWARDS,KORRI",,,"MISS 3PTR by EDWARDS,KORRI",2
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",2
17:26,,,,,"FOUL  by SHIELDS,RIAN",,,"FOUL  by SHIELDS,RIAN",2
17:26,,,,,"SUB OUT by SHIELDS,RIAN",,,"SUB OUT by SHIELDS,RIAN",2
17:26,,,,,"SUB IN by CHAMP,RANCE",,,"SUB IN by CHAMP,RANCE",2
17:26,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
17:26,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",2
17:26,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",2
17:26,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",2
17:09,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,,,,,"REBOUND DEF by COUCH,LUKE",,,"REBOUND DEF by COUCH,LUKE",2
17:01,,44 (+2),,42,"GOOD LAYUP by COUCH,LUKE(fastbreak)(in the paint)",BU 44-42 (+2),,"GOOD LAYUP by COUCH,LUKE(fastbreak)(in the paint)",2
17:01,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
17:01,,44 (+1),,43,"GOOD FT by COUCH,LUKE(fastbreak)",BU 44-43 (+1),,"GOOD FT by COUCH,LUKE(fastbreak)",2
16:41,"GOOD LAYUP by STEPHENS,TROY(in the paint)",46 (+3),,43,,BSC 46-43 (+3),,"GOOD LAYUP by STEPHENS,TROY(in the paint)",2
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",2
16:31,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",,,"MISS 3PTR by MCMILLAN,MATTHEW",2
--,"REBOUND DEF by BRIGHT JR.,BRUCE",,,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",2
16:14,"GOOD 3PTR by GLOVER,CAMERON",49 (+6),,43,,BSC 49-43 (+6),,"GOOD 3PTR by GLOVER,CAMERON",2
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",2
15:59,,49 (+4),,45,"GOOD LAYUP by EDWARDS,KORRI(in the paint)",BU 49-45 (+4),,"GOOD LAYUP by EDWARDS,KORRI(in the paint)",2
--,,,,,"ASSIST  by MCMILLAN,MATTHEW",,,"ASSIST  by MCMILLAN,MATTHEW",2
15:45,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",2
15:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:45,,,,,"SUB OUT by MCMILLAN,MATTHEW",,,"SUB OUT by MCMILLAN,MATTHEW",2
15:45,,,,,"SUB IN by JONES,JOSEPH",,,"SUB IN by JONES,JOSEPH",2
15:45,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",2
15:45,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
15:45,"SUB OUT by BRIGHT JR.,BRUCE",,,,,,,"SUB OUT by BRIGHT JR.,BRUCE",2
15:45,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
15:45,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
15:45,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",2
15:45,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
15:45,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
15:40,,49 (+2),,47,"GOOD JUMPER by COUCH,LUKE(in the paint)",BU 49-47 (+2),,"GOOD JUMPER by COUCH,LUKE(in the paint)",2
15:00,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,,,,,"REBOUND DEF by COUCH,LUKE",,,"REBOUND DEF by COUCH,LUKE",2
14:55,,,,,"TURNOVER  by JONES,JOSEPH",,,"TURNOVER  by JONES,JOSEPH",2
14:45,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
14:30,,49,,49,"GOOD JUMPER by EDWARDS,KORRI(in the paint)",BU 49-49 (0),,"GOOD JUMPER by EDWARDS,KORRI(in the paint)",2
--,,,,,"ASSIST  by COUCH,LUKE",,,"ASSIST  by COUCH,LUKE",2
14:22,,,,,"FOUL  by ANDERSON, JR.,TERRAN",,,"FOUL  by ANDERSON, JR.,TERRAN",2
14:22,"MISS FT by GLOVER,CAMERON",,,,,,,"MISS FT by GLOVER,CAMERON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:22,"MISS FT by GLOVER,CAMERON",,,,,,,"MISS FT by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by ANDERSON, JR.,TERRAN",,,"REBOUND DEF by ANDERSON, JR.,TERRAN",2
14:13,,,,,"MISS 3PTR by COUCH,LUKE",,,"MISS 3PTR by COUCH,LUKE",2
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",2
14:07,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",2
14:07,,,,,"STEAL  by COUCH,LUKE",,,"STEAL  by COUCH,LUKE",2
13:58,,,,,"MISS LAYUP by CHAMP,RANCE(in the paint)",,,"MISS LAYUP by CHAMP,RANCE(in the paint)",2
--,,,,,"REBOUND OFF by CHAMP,RANCE",,,"REBOUND OFF by CHAMP,RANCE",2
13:56,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
13:56,,49,,50 (+1),"GOOD FT by CHAMP,RANCE",BU 49-50 (-1),,"GOOD FT by CHAMP,RANCE",2
13:56,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
13:56,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",2
13:56,,49,,51 (+2),"GOOD FT by CHAMP,RANCE",BU 49-51 (-2),,"GOOD FT by CHAMP,RANCE",2
13:42,"GOOD 3PTR by O'SULLIVAN,CONOR",52 (+1),,51,,BSC 52-51 (+1),,"GOOD 3PTR by O'SULLIVAN,CONOR",2
13:37,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",2
13:37,,52,,52,"GOOD FT by CHAMP,RANCE(fastbreak)",BU 52-52 (0),,"GOOD FT by CHAMP,RANCE(fastbreak)",2
13:37,,52,,53 (+1),"GOOD FT by CHAMP,RANCE(fastbreak)",BU 52-53 (-1),,"GOOD FT by CHAMP,RANCE(fastbreak)",2
13:37,,,,,"SUB OUT by ANDERSON, JR.,TERRAN",,,"SUB OUT by ANDERSON, JR.,TERRAN",2
13:37,,,,,"SUB IN by PHILLIPS,BRANDON",,,"SUB IN by PHILLIPS,BRANDON",2
13:27,,,,,"FOUL  by COUCH,LUKE",,,"FOUL  by COUCH,LUKE",2
13:19,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,"REBOUND OFF by FITZGERALD,PAUL",,,,,,,"REBOUND OFF by FITZGERALD,PAUL",2
13:19,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
13:05,,52,,55 (+3),"GOOD JUMPER by COUCH,LUKE(in the paint)",BU 52-55 (-3),,"GOOD JUMPER by COUCH,LUKE(in the paint)",2
13:05,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
13:05,,,,,"SUB OUT by PHILLIPS,BRANDON",,,"SUB OUT by PHILLIPS,BRANDON",2
13:05,,,,,"SUB IN by REED,AUSTIN",,,"SUB IN by REED,AUSTIN",2
13:05,,52,,56 (+4),"GOOD FT by COUCH,LUKE",BU 52-56 (-4),,"GOOD FT by COUCH,LUKE",2
12:51,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",54,,56 (+2),,BSC 54-56 (-2),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2
--,"ASSIST  by SIGLER,EVAN",,,,,,,"ASSIST  by SIGLER,EVAN",2
12:41,,,,,"TURNOVER  by COUCH,LUKE",,,"TURNOVER  by COUCH,LUKE",2
12:41,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",2
12:34,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",2
--,"REBOUND OFF by SIGLER,EVAN",,,,,,,"REBOUND OFF by SIGLER,EVAN",2
12:32,"TURNOVER  by SIGLER,EVAN",,,,,,,"TURNOVER  by SIGLER,EVAN",2
12:19,,54,,58 (+4),"GOOD LAYUP by JONES,JOSEPH(in the paint)",BU 54-58 (-4),,"GOOD LAYUP by JONES,JOSEPH(in the paint)",2
12:08,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
12:08,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
12:08,,,,,"SUB OUT by EDWARDS,KORRI",,,"SUB OUT by EDWARDS,KORRI",2
12:08,,,,,"SUB IN by MCMILLAN,MATTHEW",,,"SUB IN by MCMILLAN,MATTHEW",2
12:08,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
12:08,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",2
12:08,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
12:08,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
12:08,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
12:08,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",2
12:08,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
12:08,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
12:08,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",2
12:08,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
11:56,,54,,60 (+6),"GOOD LAYUP by MCMILLAN,MATTHEW(in the paint)",BU 54-60 (-6),,"GOOD LAYUP by MCMILLAN,MATTHEW(in the paint)",2
11:45,"MISS 3PTR by BRIGHT JR.,BRUCE",,,,,,,"MISS 3PTR by BRIGHT JR.,BRUCE",2
--,"REBOUND OFF by STEPHENS,TROY",,,,,,,"REBOUND OFF by STEPHENS,TROY",2
11:41,"MISS JUMPER by STEPHENS,TROY(in the paint)",,,,,,,"MISS JUMPER by STEPHENS,TROY(in the paint)",2
--,,,,,"REBOUND DEF by CHAMP,RANCE",,,"REBOUND DEF by CHAMP,RANCE",2
11:34,,54,,63 (+9),"GOOD 3PTR by MCMILLAN,MATTHEW(fastbreak)",BU 54-63 (-9),,"GOOD 3PTR by MCMILLAN,MATTHEW(fastbreak)",2
--,,,,,"ASSIST  by CHAMP,RANCE",,,"ASSIST  by CHAMP,RANCE",2
11:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:22,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:13,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",56,,63 (+7),,BSC 56-63 (-7),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",2
10:54,,56,,65 (+9),"GOOD JUMPER by JONES,JOSEPH",BU 56-65 (-9),,"GOOD JUMPER by JONES,JOSEPH",2
--,,,,,"ASSIST  by CHAMP,RANCE",,,"ASSIST  by CHAMP,RANCE",2
10:36,"GOOD LAYUP by STEPHENS,TROY(in the paint)",58,,65 (+7),,BSC 58-65 (-7),,"GOOD LAYUP by STEPHENS,TROY(in the paint)",2
10:26,,,,,"MISS 3PTR by COUCH,LUKE",,,"MISS 3PTR by COUCH,LUKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:26,,,,,"SUB OUT by JONES,JOSEPH",,,"SUB OUT by JONES,JOSEPH",2
10:26,,,,,"SUB IN by EDWARDS,KORRI",,,"SUB IN by EDWARDS,KORRI",2
09:54,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",60,,65 (+5),,BSC 60-65 (-5),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,"ASSIST  by BRIGHT JR.,BRUCE",,,,,,,"ASSIST  by BRIGHT JR.,BRUCE",2
09:43,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",,,"MISS 3PTR by MCMILLAN,MATTHEW",2
--,,,,,"REBOUND OFF by CHAMP,RANCE",,,"REBOUND OFF by CHAMP,RANCE",2
09:35,,,,,"MISS 3PTR by COUCH,LUKE",,,"MISS 3PTR by COUCH,LUKE",2
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
09:26,,,,,"FOUL  by EDWARDS,KORRI",,,"FOUL  by EDWARDS,KORRI",2
09:26,,,,,"SUB OUT by REED,AUSTIN",,,"SUB OUT by REED,AUSTIN",2
09:26,,,,,"SUB IN by ANDERSON, JR.,TERRAN",,,"SUB IN by ANDERSON, JR.,TERRAN",2
09:26,"GOOD FT by SPENCE,BEN",61,,65 (+4),,BSC 61-65 (-4),,"GOOD FT by SPENCE,BEN",2
09:26,"GOOD FT by SPENCE,BEN",62,,65 (+3),,BSC 62-65 (-3),,"GOOD FT by SPENCE,BEN",2
09:18,,62,,68 (+6),"GOOD 3PTR by MCMILLAN,MATTHEW(fastbreak)",BU 62-68 (-6),,"GOOD 3PTR by MCMILLAN,MATTHEW(fastbreak)",2
--,,,,,"ASSIST  by EDWARDS,KORRI",,,"ASSIST  by EDWARDS,KORRI",2
09:02,"MISS JUMPER by STEPHENS,TROY(in the paint)",,,,,,,"MISS JUMPER by STEPHENS,TROY(in the paint)",2
--,,,,,"REBOUND DEF by EDWARDS,KORRI",,,"REBOUND DEF by EDWARDS,KORRI",2
08:55,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",,,"MISS 3PTR by MCMILLAN,MATTHEW",2
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
08:38,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by ANDERSON, JR.,TERRAN",,,"REBOUND DEF by ANDERSON, JR.,TERRAN",2
08:32,,,,,"MISS LAYUP by MCMILLAN,MATTHEW(in the paint)",,,"MISS LAYUP by MCMILLAN,MATTHEW(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:31,,,,,"FOUL  by MCMILLAN,MATTHEW",,,"FOUL  by MCMILLAN,MATTHEW",2
08:31,,,,,"SUB OUT by EDWARDS,KORRI",,,"SUB OUT by EDWARDS,KORRI",2
08:31,,,,,"SUB OUT by CHAMP,RANCE",,,"SUB OUT by CHAMP,RANCE",2
08:31,,,,,"SUB IN by JONES,JOSEPH",,,"SUB IN by JONES,JOSEPH",2
08:31,,,,,"SUB IN by SHIELDS,RIAN",,,"SUB IN by SHIELDS,RIAN",2
08:31,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",2
08:31,"SUB OUT by BRIGHT JR.,BRUCE",,,,,,,"SUB OUT by BRIGHT JR.,BRUCE",2
08:31,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
08:31,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
08:08,,,,,"FOUL  by COUCH,LUKE",,,"FOUL  by COUCH,LUKE",2
08:08,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
08:08,"GOOD FT by GLOVER,CAMERON",63,,68 (+5),,BSC 63-68 (-5),,"GOOD FT by GLOVER,CAMERON",2
08:08,"MISS FT by GLOVER,CAMERON",,,,,,,"MISS FT by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by MCMILLAN,MATTHEW",,,"REBOUND DEF by MCMILLAN,MATTHEW",2
08:08,,,,,"SUB OUT by COUCH,LUKE",,,"SUB OUT by COUCH,LUKE",2
08:08,,,,,"SUB IN by CHAMP,RANCE",,,"SUB IN by CHAMP,RANCE",2
07:46,,,,,"TURNOVER  by MCMILLAN,MATTHEW",,,"TURNOVER  by MCMILLAN,MATTHEW",2
07:39,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
07:39,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",2
07:13,,,,,"FOUL  by CHAMP,RANCE",,,"FOUL  by CHAMP,RANCE",2
07:13,"MISS FT by O'SULLIVAN,CONOR",,,,,,,"MISS FT by O'SULLIVAN,CONOR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:13,"GOOD FT by O'SULLIVAN,CONOR",64,,68 (+4),,BSC 64-68 (-4),,"GOOD FT by O'SULLIVAN,CONOR",2
06:51,,64,,71 (+7),"GOOD 3PTR by CHAMP,RANCE",BU 64-71 (-7),,"GOOD 3PTR by CHAMP,RANCE",2
--,,,,,"ASSIST  by SHIELDS,RIAN",,,"ASSIST  by SHIELDS,RIAN",2
06:40,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",2
--,"REBOUND OFF by O'SULLIVAN,CONOR",,,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",2
06:36,"GOOD 3PTR by O'SULLIVAN,CONOR",67,,71 (+4),,BSC 67-71 (-4),,"GOOD 3PTR by O'SULLIVAN,CONOR",2
06:13,,,,,"MISS 3PTR by CHAMP,RANCE",,,"MISS 3PTR by CHAMP,RANCE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:13,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,,,,,"REBOUND DEF by ANDERSON, JR.,TERRAN",,,"REBOUND DEF by ANDERSON, JR.,TERRAN",2
06:13,,,,,"MISS 3PTR by JONES,JOSEPH",,,"MISS 3PTR by JONES,JOSEPH",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
06:13,"MISS JUMPER by O'SULLIVAN,CONOR",,,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",2
--,,,,,"REBOUND DEF by ANDERSON, JR.,TERRAN",,,"REBOUND DEF by ANDERSON, JR.,TERRAN",2
05:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:32,,,,,"SUB OUT by JONES,JOSEPH",,,"SUB OUT by JONES,JOSEPH",2
05:32,,,,,"SUB IN by COUCH,LUKE",,,"SUB IN by COUCH,LUKE",2
05:32,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
05:32,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
05:32,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
05:32,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",2
05:32,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
05:32,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",2
05:05,,67,,74 (+7),"GOOD 3PTR by ANDERSON, JR.,TERRAN",BU 67-74 (-7),,"GOOD 3PTR by ANDERSON, JR.,TERRAN",2
--,,,,,"ASSIST  by SHIELDS,RIAN",,,"ASSIST  by SHIELDS,RIAN",2
04:53,"TURNOVER  by BRIGHT JR.,BRUCE",,,,,,,"TURNOVER  by BRIGHT JR.,BRUCE",2
04:53,,,,,"STEAL  by ANDERSON, JR.,TERRAN",,,"STEAL  by ANDERSON, JR.,TERRAN",2
04:36,,,,,"TURNOVER  by ANDERSON, JR.,TERRAN",,,"TURNOVER  by ANDERSON, JR.,TERRAN",2
04:36,"STEAL  by BRIGHT JR.,BRUCE",,,,,,,"STEAL  by BRIGHT JR.,BRUCE",2
04:27,"GOOD 3PTR by GLOVER,CAMERON(fastbreak)",70,,74 (+4),,BSC 70-74 (-4),,"GOOD 3PTR by GLOVER,CAMERON(fastbreak)",2
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",2
04:11,,70,,77 (+7),"GOOD 3PTR by COUCH,LUKE",BU 70-77 (-7),,"GOOD 3PTR by COUCH,LUKE",2
--,,,,,"ASSIST  by ANDERSON, JR.,TERRAN",,,"ASSIST  by ANDERSON, JR.,TERRAN",2
04:02,,,,,"FOUL  by SHIELDS,RIAN",,,"FOUL  by SHIELDS,RIAN",2
04:02,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
04:02,"GOOD FT by O'SULLIVAN,CONOR",71,,77 (+6),,BSC 71-77 (-6),,"GOOD FT by O'SULLIVAN,CONOR",2
04:02,"GOOD FT by O'SULLIVAN,CONOR",72,,77 (+5),,BSC 72-77 (-5),,"GOOD FT by O'SULLIVAN,CONOR",2
04:02,"SUB OUT by BRIGHT JR.,BRUCE",,,,,,,"SUB OUT by BRIGHT JR.,BRUCE",2
04:02,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
03:52,,,,,"MISS JUMPER by CHAMP,RANCE(in the paint)",,,"MISS JUMPER by CHAMP,RANCE(in the paint)",2
03:52,"BLOCK  by STEPHENS,TROY",,,,,,,"BLOCK  by STEPHENS,TROY",2
--,"REBOUND DEF by STEPHENS,TROY",,,,,,,"REBOUND DEF by STEPHENS,TROY",2
03:26,"MISS JUMPER by O'SULLIVAN,CONOR(in the paint)",,,,,,,"MISS JUMPER by O'SULLIVAN,CONOR(in the paint)",2
