Time Remaining,SEWANEEM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
00:18,"GOOD JUMPER by STONE,BRODY(in the paint)",37,,40 (+3),,SEWANEEM 37-40 (-3),,"GOOD JUMPER by STONE,BRODY(in the paint)",1
00:04,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by BAK,CALVIN",,,"REBOUND OFF by BAK,CALVIN",1
20:00,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
20:00,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
20:00,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
20:00,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
20:00,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
20:00,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
20:00,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
19:51,,37,,42 (+5),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 37-42 (-5),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2
--,,,,,"ASSIST  by MCLEAN,JAMES",,,"ASSIST  by MCLEAN,JAMES",2
19:18,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
18:59,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
18:59,,,,,"MISS FT by RUDAK,MATTY",,,"MISS FT by RUDAK,MATTY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:59,,37,,43 (+6),"GOOD FT by RUDAK,MATTY",16BSC-M 37-43 (-6),,"GOOD FT by RUDAK,MATTY",2
18:59,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",2
18:59,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
18:59,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
18:59,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
18:59,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",2
18:59,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
18:59,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
18:59,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
18:59,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
18:59,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
18:40,"GOOD LAYUP by LEE,MATTHEW(in the paint)",39,,43 (+4),,SEWANEEM 39-43 (-4),,"GOOD LAYUP by LEE,MATTHEW(in the paint)",2
18:15,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
18:03,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
18:03,"MISS FT by LEE,MATTHEW",,,,,,,"MISS FT by LEE,MATTHEW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:03,"MISS FT by LEE,MATTHEW",,,,,,,"MISS FT by LEE,MATTHEW",2
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",2
18:03,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
18:03,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",2
17:50,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",2
17:50,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",2
17:50,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
17:44,,39,,46 (+7),"GOOD 3PTR by LEWIS,EVAN",16BSC-M 39-46 (-7),,"GOOD 3PTR by LEWIS,EVAN",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
17:29,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
17:29,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
17:24,"MISS 3PTR by LEE,MATTHEW",,,,,,,"MISS 3PTR by LEE,MATTHEW",2
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",2
17:24,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
17:24,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
17:24,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
17:24,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
17:24,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
17:24,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
17:24,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
17:24,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
17:24,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
17:24,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",2
17:24,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",2
17:11,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
16:53,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",2
16:53,,,,,"BLOCK  by RUDAK,MATTY",,,"BLOCK  by RUDAK,MATTY",2
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",2
16:45,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",2
16:45,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
16:28,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
16:28,"GOOD FT by BORN,LEO",40,,46 (+6),,SEWANEEM 40-46 (-6),,"GOOD FT by BORN,LEO",2
16:28,"GOOD FT by BORN,LEO",41,,46 (+5),,SEWANEEM 41-46 (-5),,"GOOD FT by BORN,LEO",2
16:04,,41,,48 (+7),"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 41-48 (-7),,"GOOD LAYUP by THOM,IAN(in the paint)",2
15:46,"GOOD 3PTR by BORN,CLAY",44,,48 (+4),,SEWANEEM 44-48 (-4),,"GOOD 3PTR by BORN,CLAY",2
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",2
15:22,,44,,51 (+7),"GOOD 3PTR by DENEKA,HARRISON",16BSC-M 44-51 (-7),,"GOOD 3PTR by DENEKA,HARRISON",2
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",2
14:53,"GOOD LAYUP by BORN,LEO(in the paint)",46,,51 (+5),,SEWANEEM 46-51 (-5),,"GOOD LAYUP by BORN,LEO(in the paint)",2
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",2
14:26,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",2
14:23,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",2
14:23,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",2
14:23,,46,,53 (+7),"GOOD LAYUP by LEWIS,EVAN(in the paint)",16BSC-M 46-53 (-7),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
14:23,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
14:23,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
14:23,,,,,"MISS FT by LEWIS,EVAN",,,"MISS FT by LEWIS,EVAN",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
14:23,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
14:23,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
14:23,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",2
14:23,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
14:23,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
14:23,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
14:23,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
14:23,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
14:23,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
14:23,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
14:07,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",2
14:05,,,,,"STEAL  by MOORE,KADEN",,,"STEAL  by MOORE,KADEN",2
13:53,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
13:53,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:53,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
13:53,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
13:53,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",2
13:53,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
13:53,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
13:40,"GOOD JUMPER by STONE,BRODY",48,,53 (+5),,SEWANEEM 48-53 (-5),,"GOOD JUMPER by STONE,BRODY",2
13:20,,,,,"TURNOVER  by PERKINS,ALEX",,,"TURNOVER  by PERKINS,ALEX",2
13:15,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",2
13:00,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
12:55,"MISS 3PTR by LEE,MATTHEW",,,,,,,"MISS 3PTR by LEE,MATTHEW",2
--,"REBOUND OFF by BUESCHER,HUNTER",,,,,,,"REBOUND OFF by BUESCHER,HUNTER",2
12:39,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",2
12:30,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
12:30,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
12:30,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
12:24,,48,,55 (+7),"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 48-55 (-7),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",2
12:06,,,,,"FOUL  by GRAHAM,CHRIS",,,"FOUL  by GRAHAM,CHRIS",2
11:55,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
11:55,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
11:55,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
11:55,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
11:55,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
11:55,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
11:44,,,,,"FOUL  by GRAHAM,CHRIS",,,"FOUL  by GRAHAM,CHRIS",2
11:44,,,,,"TURNOVER  by GRAHAM,CHRIS",,,"TURNOVER  by GRAHAM,CHRIS",2
11:23,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
11:23,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",2
11:08,,,,,"FOUL  by GRAHAM,CHRIS",,,"FOUL  by GRAHAM,CHRIS",2
11:08,,,,,"TURNOVER  by GRAHAM,CHRIS",,,"TURNOVER  by GRAHAM,CHRIS",2
11:08,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",2
11:08,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",2
10:50,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",2
--,,,,,"REBOUND DEF by PERKINS,ALEX",,,"REBOUND DEF by PERKINS,ALEX",2
10:37,,,,,"TURNOVER  by WALDRUM,AIDAN",,,"TURNOVER  by WALDRUM,AIDAN",2
10:37,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",2
10:37,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
10:37,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
10:37,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",2
10:24,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WALDRUM,AIDAN",,,"REBOUND DEF by WALDRUM,AIDAN",2
10:15,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
10:15,,48,,56 (+8),"GOOD FT by THOM,IAN",16BSC-M 48-56 (-8),,"GOOD FT by THOM,IAN",2
10:15,,48,,57 (+9),"GOOD FT by THOM,IAN",16BSC-M 48-57 (-9),,"GOOD FT by THOM,IAN",2
10:15,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
10:15,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
10:00,"MISS JUMPER by BORN,LEO",,,,,,,"MISS JUMPER by BORN,LEO",2
10:00,,,,,"BLOCK  by MOORE,KADEN",,,"BLOCK  by MOORE,KADEN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:49,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",2
--,"REBOUND OFF by BUESCHER,HUNTER",,,,,,,"REBOUND OFF by BUESCHER,HUNTER",2
09:48,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",2
09:48,"GOOD FT by BUESCHER,HUNTER",49,,57 (+8),,SEWANEEM 49-57 (-8),,"GOOD FT by BUESCHER,HUNTER",2
09:48,"GOOD FT by BUESCHER,HUNTER",50,,57 (+7),,SEWANEEM 50-57 (-7),,"GOOD FT by BUESCHER,HUNTER",2
09:48,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
09:48,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",2
09:48,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
09:48,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
09:48,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",2
09:48,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",2
09:48,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
09:48,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
09:36,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
09:36,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
09:24,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
09:12,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
09:12,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
09:12,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",2
09:01,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
08:32,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
08:20,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",52,,57 (+5),,SEWANEEM 52-57 (-5),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
07:52,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
07:33,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
07:33,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:33,"MISS FT by BORN,LEO",,,,,,,"MISS FT by BORN,LEO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:33,"MISS FT by BORN,LEO",,,,,,,"MISS FT by BORN,LEO",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
07:33,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
07:33,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
07:19,,52,,60 (+8),"GOOD 3PTR by BAK,CALVIN",16BSC-M 52-60 (-8),,"GOOD 3PTR by BAK,CALVIN",2
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",2
07:06,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",54,,60 (+6),,SEWANEEM 54-60 (-6),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",2
06:38,,54,,63 (+9),"GOOD 3PTR by DENEKA,HARRISON",16BSC-M 54-63 (-9),,"GOOD 3PTR by DENEKA,HARRISON",2
06:22,"GOOD 3PTR by STONE,BRODY",57,,63 (+6),,SEWANEEM 57-63 (-6),,"GOOD 3PTR by STONE,BRODY",2
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",2
06:04,,57,,66 (+9),"GOOD 3PTR by DENEKA,HARRISON",16BSC-M 57-66 (-9),,"GOOD 3PTR by DENEKA,HARRISON",2
--,,,,,"ASSIST  by MCLEAN,JAMES",,,"ASSIST  by MCLEAN,JAMES",2
05:43,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
05:42,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",2
05:42,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
05:42,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
05:42,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
05:42,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
05:42,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
05:42,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
05:40,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",2
05:38,,,,,"STEAL  by PERKINS,ALEX",,,"STEAL  by PERKINS,ALEX",2
05:36,,57,,68 (+11),"GOOD LAYUP by PERKINS,ALEX(fastbreak)(in the paint)",16BSC-M 57-68 (-11),,"GOOD LAYUP by PERKINS,ALEX(fastbreak)(in the paint)",2
05:19,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",59,,68 (+9),,SEWANEEM 59-68 (-9),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
05:19,,,,,"FOUL  by GRAHAM,CHRIS",,,"FOUL  by GRAHAM,CHRIS",2
05:19,"GOOD FT by THOMAS,ADRIAN",60,,68 (+8),,SEWANEEM 60-68 (-8),,"GOOD FT by THOMAS,ADRIAN",2
05:19,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
05:19,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
05:19,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",2
05:19,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",2
05:19,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
05:19,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
05:19,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",2
05:19,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
04:50,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by RUDAK,MATTY",,,"REBOUND OFF by RUDAK,MATTY",2
04:46,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",2
--,,,,,"REBOUND OFF by RUDAK,MATTY",,,"REBOUND OFF by RUDAK,MATTY",2
04:45,,60,,70 (+10),"GOOD TIPIN by RUDAK,MATTY(in the paint)",16BSC-M 60-70 (-10),,"GOOD TIPIN by RUDAK,MATTY(in the paint)",2
04:30,"GOOD JUMPER by STONE,BRODY",62,,70 (+8),,SEWANEEM 62-70 (-8),,"GOOD JUMPER by STONE,BRODY",2
04:04,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
04:04,,62,,71 (+9),"GOOD FT by MCLEAN,JAMES",16BSC-M 62-71 (-9),,"GOOD FT by MCLEAN,JAMES",2
04:04,,62,,72 (+10),"GOOD FT by MCLEAN,JAMES",16BSC-M 62-72 (-10),,"GOOD FT by MCLEAN,JAMES",2
03:53,"GOOD 3PTR by WILLIAMS,JORDEN",65,,72 (+7),,SEWANEEM 65-72 (-7),,"GOOD 3PTR by WILLIAMS,JORDEN",2
03:38,,65,,74 (+9),"GOOD LAYUP by MOORE,KADEN(in the paint)",16BSC-M 65-74 (-9),,"GOOD LAYUP by MOORE,KADEN(in the paint)",2
03:24,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",2
03:16,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",2
03:15,"STEAL  by THOMAS,ADRIAN",,,,,,,"STEAL  by THOMAS,ADRIAN",2
03:13,"GOOD LAYUP by THOMAS,ADRIAN(fastbreak)(in the paint)",67,,74 (+7),,SEWANEEM 67-74 (-7),,"GOOD LAYUP by THOMAS,ADRIAN(fastbreak)(in the paint)",2
03:06,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
03:06,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:06,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:06,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",2
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",2
03:06,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
03:06,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
03:06,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
03:06,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
03:06,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",2
03:06,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
02:53,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",2
02:29,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",2
--,,,,,"REBOUND OFF by MCLEAN,JAMES",,,"REBOUND OFF by MCLEAN,JAMES",2
02:05,,67,,76 (+9),"GOOD JUMPER by LEWIS,EVAN(in the paint)",16BSC-M 67-76 (-9),,"GOOD JUMPER by LEWIS,EVAN(in the paint)",2
01:52,"MISS LAYUP by WILLIAMS,JORDEN",,,,,,,"MISS LAYUP by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
01:26,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
01:20,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",2
