Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,PCM,Game Score,Team Indicator,Play,Period
14:16,,,,,"MISS FT by VALLEJO,JUSTIN",,,"MISS FT by VALLEJO,JUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:16,,46 (+5),,41,"GOOD FT by VALLEJO,JUSTIN",PCM 46-41 (+5),,"GOOD FT by VALLEJO,JUSTIN",2
13:47,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",2
13:35,,46 (+3),,43,"GOOD JUMPER by ALSTON,ELIJAH(in the paint)",PCM 46-43 (+3),,"GOOD JUMPER by ALSTON,ELIJAH(in the paint)",2
--,,,,,"ASSIST  by VALLEJO,JUSTIN",,,"ASSIST  by VALLEJO,JUSTIN",2
13:18,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
13:18,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",2
13:18,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
13:04,,,,,"MISS LAYUP by ALSTON,ELIJAH",,,"MISS LAYUP by ALSTON,ELIJAH",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
12:38,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
12:38,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
12:38,,,,,"SUB IN by GAINES,TRAE",,,"SUB IN by GAINES,TRAE",2
12:38,,,,,"SUB IN by ABDULGADER,MALIK",,,"SUB IN by ABDULGADER,MALIK",2
12:38,,,,,"SUB OUT by VALLEJO,JUSTIN",,,"SUB OUT by VALLEJO,JUSTIN",2
12:38,,,,,"SUB OUT by ENGLAND,CHASE",,,"SUB OUT by ENGLAND,CHASE",2
12:27,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",2
12:27,,,,,"STEAL  by ALSTON,ELIJAH",,,"STEAL  by ALSTON,ELIJAH",2
12:16,,,,,"TURNOVER  by ASSINESI,LANDRY",,,"TURNOVER  by ASSINESI,LANDRY",2
12:08,,,,,"FOUL  by ABDULGADER,MALIK",,,"FOUL  by ABDULGADER,MALIK",2
11:59,"MISS JUMPER by LEE,MATTHEW",,,,,,,"MISS JUMPER by LEE,MATTHEW",2
--,"REBOUND OFF by SPENCER,JC",,,,,,,"REBOUND OFF by SPENCER,JC",2
11:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:43,"GOOD LAYUP by STONE,BRODY(in the paint)",48 (+5),,43,,SEWANE~1 48-43 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
11:43,,,,,"FOUL  by ABDULGADER,MALIK",,,"FOUL  by ABDULGADER,MALIK",2
11:43,"GOOD FT by STONE,BRODY",49 (+6),,43,,SEWANE~1 49-43 (+6),,"GOOD FT by STONE,BRODY",2
11:43,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
11:43,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",2
11:43,,,,,"SUB IN by VALLEJO,JUSTIN",,,"SUB IN by VALLEJO,JUSTIN",2
11:43,,,,,"SUB OUT by ABDULGADER,MALIK",,,"SUB OUT by ABDULGADER,MALIK",2
11:35,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
11:35,,,,,"MISS FT by GAINES,TRAE",,,"MISS FT by GAINES,TRAE",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
11:35,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",2
11:35,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
11:09,"GOOD JUMPER by BORN,CLAY",51 (+8),,43,,SEWANE~1 51-43 (+8),,"GOOD JUMPER by BORN,CLAY",2
10:56,,,,,"MISS JUMPER by LUKEN,PEYTON",,,"MISS JUMPER by LUKEN,PEYTON",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
10:32,,,,,"SUB IN by ENGLAND,CHASE",,,"SUB IN by ENGLAND,CHASE",2
10:32,,,,,"SUB IN by MILLS,TAYLOR",,,"SUB IN by MILLS,TAYLOR",2
10:32,,,,,"SUB IN by ASSINESI,KELLY",,,"SUB IN by ASSINESI,KELLY",2
10:32,,,,,"SUB OUT by ASSINESI,LANDRY",,,"SUB OUT by ASSINESI,LANDRY",2
10:32,,,,,"SUB OUT by ALSTON,ELIJAH",,,"SUB OUT by ALSTON,ELIJAH",2
10:32,,,,,"SUB OUT by LUKEN,PEYTON",,,"SUB OUT by LUKEN,PEYTON",2
10:22,"MISS JUMPER by LEE,MATTHEW",,,,,,,"MISS JUMPER by LEE,MATTHEW",2
--,,,,,"REBOUND DEF by GAINES,TRAE",,,"REBOUND DEF by GAINES,TRAE",2
10:05,"FOUL  by LEE,MATTHEW",,,,,,,"FOUL  by LEE,MATTHEW",2
10:05,,,,,"MISS FT by GAINES,TRAE",,,"MISS FT by GAINES,TRAE",2
--,"REBOUND OFF by HOWELL,TAYLOR",,,,,,,"REBOUND OFF by HOWELL,TAYLOR",2
09:43,"GOOD JUMPER by BORN,CLAY(in the paint)",53 (+10),,43,,SEWANE~1 53-43 (+10),,"GOOD JUMPER by BORN,CLAY(in the paint)",2
09:35,,,,,"MISS 3PTR by VALLEJO,JUSTIN",,,"MISS 3PTR by VALLEJO,JUSTIN",2
--,,,,,"REBOUND OFF by ASSINESI,KELLY",,,"REBOUND OFF by ASSINESI,KELLY",2
09:30,,53 (+8),,45,"GOOD LAYUP by ASSINESI,KELLY(in the paint)",PCM 53-45 (+8),,"GOOD LAYUP by ASSINESI,KELLY(in the paint)",2
09:19,,,,,"FOUL  by ASSINESI,KELLY",,,"FOUL  by ASSINESI,KELLY",2
09:19,"MISS FT by BORN,CLAY",,,,,,,"MISS FT by BORN,CLAY",2
--,,,,,"REBOUND DEF by ENGLAND,CHASE",,,"REBOUND DEF by ENGLAND,CHASE",2
09:10,,53 (+6),,47,"GOOD JUMPER by GAINES,TRAE",PCM 53-47 (+6),,"GOOD JUMPER by GAINES,TRAE",2
08:51,"MISS 3PTR by CRUMLY,JONNY",,,,,,,"MISS 3PTR by CRUMLY,JONNY",2
--,,,,,"REBOUND DEF by GAINES,TRAE",,,"REBOUND DEF by GAINES,TRAE",2
08:49,,,,,"FOUL  by MILLS,TAYLOR",,,"FOUL  by MILLS,TAYLOR",2
08:49,"GOOD FT by HOWELL,TAYLOR",54 (+7),,47,,SEWANE~1 54-47 (+7),,"GOOD FT by HOWELL,TAYLOR",2
08:49,"MISS FT by HOWELL,TAYLOR",,,,,,,"MISS FT by HOWELL,TAYLOR",2
--,,,,,"REBOUND DEF by GAINES,TRAE",,,"REBOUND DEF by GAINES,TRAE",2
08:38,,54 (+5),,49,"GOOD LAYUP by GAINES,TRAE(in the paint)",PCM 54-49 (+5),,"GOOD LAYUP by GAINES,TRAE(in the paint)",2
08:38,"FOUL  by LEE,MATTHEW",,,,,,,"FOUL  by LEE,MATTHEW",2
08:38,,54 (+4),,50,"GOOD FT by GAINES,TRAE",PCM 54-50 (+4),,"GOOD FT by GAINES,TRAE",2
08:38,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
08:38,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",2
08:14,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
08:11,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
07:57,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
07:57,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:57,,54 (+3),,51,"GOOD FT by GAINES,TRAE",PCM 54-51 (+3),,"GOOD FT by GAINES,TRAE",2
07:57,,54 (+2),,52,"GOOD FT by GAINES,TRAE",PCM 54-52 (+2),,"GOOD FT by GAINES,TRAE",2
07:37,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",2
--,"REBOUND OFF by BORN,CLAY",,,,,,,"REBOUND OFF by BORN,CLAY",2
07:13,"GOOD 3PTR by HOWELL,TAYLOR",57 (+5),,52,,SEWANE~1 57-52 (+5),,"GOOD 3PTR by HOWELL,TAYLOR",2
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",2
06:52,,,,,"TURNOVER  by VALLEJO,JUSTIN",,,"TURNOVER  by VALLEJO,JUSTIN",2
06:52,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
06:52,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
06:29,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",2
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",2
06:23,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",59 (+7),,52,,SEWANE~1 59-52 (+7),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
06:14,,59 (+5),,54,"GOOD LAYUP by ENGLAND,CHASE(in the paint)",PCM 59-54 (+5),,"GOOD LAYUP by ENGLAND,CHASE(in the paint)",2
06:14,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
06:14,,59 (+4),,55,"GOOD FT by ENGLAND,CHASE",PCM 59-55 (+4),,"GOOD FT by ENGLAND,CHASE",2
06:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:14,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
06:14,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
06:14,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
06:14,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",2
05:44,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",2
05:30,,59 (+2),,57,"GOOD LAYUP by MILLS,TAYLOR(in the paint)",PCM 59-57 (+2),,"GOOD LAYUP by MILLS,TAYLOR(in the paint)",2
05:09,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",2
--,,,,,"REBOUND DEF by ASSINESI,KELLY",,,"REBOUND DEF by ASSINESI,KELLY",2
04:42,,,,,"MISS LAYUP by ENGLAND,CHASE",,,"MISS LAYUP by ENGLAND,CHASE",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
04:27,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",2
04:25,,,,,"STEAL  by ASSINESI,KELLY",,,"STEAL  by ASSINESI,KELLY",2
04:24,,59,,59,"GOOD LAYUP by ASSINESI,KELLY(fastbreak)(in the paint)",PCM 59-59 (0),,"GOOD LAYUP by ASSINESI,KELLY(fastbreak)(in the paint)",2
04:08,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",2
03:44,,,,,"MISS JUMPER by VALLEJO,JUSTIN",,,"MISS JUMPER by VALLEJO,JUSTIN",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
03:28,"MISS LAYUP by WILLIAMS,JORDEN",,,,,,,"MISS LAYUP by WILLIAMS,JORDEN",2
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",2
03:26,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",61 (+2),,59,,SEWANE~1 61-59 (+2),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
03:11,,61,,61,"GOOD LAYUP by GAINES,TRAE(in the paint)",PCM 61-61 (0),,"GOOD LAYUP by GAINES,TRAE(in the paint)",2
03:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:41,"GOOD 3PTR by WILLIAMS,JORDEN",64 (+3),,61,,SEWANE~1 64-61 (+3),,"GOOD 3PTR by WILLIAMS,JORDEN",2
02:21,,64 (+1),,63,"GOOD LAYUP by GAINES,TRAE(in the paint)",PCM 64-63 (+1),,"GOOD LAYUP by GAINES,TRAE(in the paint)",2
02:12,,,,,"FOUL  by ASSINESI,KELLY",,,"FOUL  by ASSINESI,KELLY",2
02:12,"GOOD FT by THOMAS,ADRIAN",65 (+2),,63,,SEWANE~1 65-63 (+2),,"GOOD FT by THOMAS,ADRIAN",2
02:12,"GOOD FT by THOMAS,ADRIAN",66 (+3),,63,,SEWANE~1 66-63 (+3),,"GOOD FT by THOMAS,ADRIAN",2
02:00,,,,,"MISS 3PTR by VALLEJO,JUSTIN",,,"MISS 3PTR by VALLEJO,JUSTIN",2
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",2
01:31,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",2
01:26,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",2
--,,,,,"REBOUND DEF by GAINES,TRAE",,,"REBOUND DEF by GAINES,TRAE",2
01:14,,,,,"TURNOVER  by ASSINESI,KELLY",,,"TURNOVER  by ASSINESI,KELLY",2
00:52,"GOOD LAYUP by BORN,CLAY(in the paint)",68 (+5),,63,,SEWANE~1 68-63 (+5),,"GOOD LAYUP by BORN,CLAY(in the paint)",2
00:52,,,,,"FOUL  by ASSINESI,KELLY",,,"FOUL  by ASSINESI,KELLY",2
00:52,"MISS FT by BORN,CLAY",,,,,,,"MISS FT by BORN,CLAY",2
--,,,,,"REBOUND DEF by ENGLAND,CHASE",,,"REBOUND DEF by ENGLAND,CHASE",2
00:52,,,,,"SUB IN by OGLESBY,DAVID",,,"SUB IN by OGLESBY,DAVID",2
00:52,,,,,"SUB IN by ASSINESI,LANDRY",,,"SUB IN by ASSINESI,LANDRY",2
00:52,,,,,"SUB OUT by VALLEJO,JUSTIN",,,"SUB OUT by VALLEJO,JUSTIN",2
00:52,,,,,"SUB OUT by ASSINESI,KELLY",,,"SUB OUT by ASSINESI,KELLY",2
00:43,,68 (+3),,65,"GOOD LAYUP by GAINES,TRAE(in the paint)",PCM 68-65 (+3),,"GOOD LAYUP by GAINES,TRAE(in the paint)",2
00:42,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
00:42,,,,,"SUB IN by VALLEJO,JUSTIN",,,"SUB IN by VALLEJO,JUSTIN",2
00:42,,,,,"SUB OUT by OGLESBY,DAVID",,,"SUB OUT by OGLESBY,DAVID",2
00:16,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",2
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",2
00:05,,68,,68,"GOOD 3PTR by MILLS,TAYLOR",PCM 68-68 (0),,"GOOD 3PTR by MILLS,TAYLOR",2
04:42,,,,,"FOUL  by VALLEJO,JUSTIN",,,"FOUL  by VALLEJO,JUSTIN",3
04:42,"GOOD FT by STONE,BRODY",69 (+1),,68,,SEWANE~1 69-68 (+1),,"GOOD FT by STONE,BRODY",3
04:42,"GOOD FT by STONE,BRODY",70 (+2),,68,,SEWANE~1 70-68 (+2),,"GOOD FT by STONE,BRODY",3
04:17,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",3
04:17,,70 (+1),,69,"GOOD FT by ENGLAND,CHASE",PCM 70-69 (+1),,"GOOD FT by ENGLAND,CHASE",3
04:17,,70,,70,"GOOD FT by ENGLAND,CHASE",PCM 70-70 (0),,"GOOD FT by ENGLAND,CHASE",3
03:55,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",3
--,,,,,"REBOUND DEF by ASSINESI,LANDRY",,,"REBOUND DEF by ASSINESI,LANDRY",3
03:52,,,,,"MISS 3PTR by ENGLAND,CHASE",,,"MISS 3PTR by ENGLAND,CHASE",3
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,3
03:52,,,,,"SUB IN by ASSINESI,LANDRY",,,"SUB IN by ASSINESI,LANDRY",3
03:52,,,,,"SUB IN by MILLS,TAYLOR",,,"SUB IN by MILLS,TAYLOR",3
03:52,,,,,"SUB OUT by ASSINESI,KELLY",,,"SUB OUT by ASSINESI,KELLY",3
03:52,,,,,"SUB OUT by LUKEN,PEYTON",,,"SUB OUT by LUKEN,PEYTON",3
03:45,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",3
03:45,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",3
03:23,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",3
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",3
03:21,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",72 (+2),,70,,SEWANE~1 72-70 (+2),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",3
03:13,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",3
03:13,,72 (+1),,71,"GOOD FT by GAINES,TRAE",PCM 72-71 (+1),,"GOOD FT by GAINES,TRAE",3
03:13,,,,,"MISS FT by GAINES,TRAE",,,"MISS FT by GAINES,TRAE",3
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,3
03:08,,,,,"FOUL  by ENGLAND,CHASE",,,"FOUL  by ENGLAND,CHASE",3
03:08,"GOOD FT by THOMAS,ADRIAN",73 (+2),,71,,SEWANE~1 73-71 (+2),,"GOOD FT by THOMAS,ADRIAN",3
03:08,"GOOD FT by THOMAS,ADRIAN",74 (+3),,71,,SEWANE~1 74-71 (+3),,"GOOD FT by THOMAS,ADRIAN",3
03:00,,74 (+1),,73,"GOOD JUMPER by MILLS,TAYLOR",PCM 74-73 (+1),,"GOOD JUMPER by MILLS,TAYLOR",3
02:25,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",3
--,,,,,"REBOUND DEF by ENGLAND,CHASE",,,"REBOUND DEF by ENGLAND,CHASE",3
02:19,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",3
02:19,,74,,74,"GOOD FT by MILLS,TAYLOR",PCM 74-74 (0),,"GOOD FT by MILLS,TAYLOR",3
02:19,,,,,"MISS FT by MILLS,TAYLOR",,,"MISS FT by MILLS,TAYLOR",3
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",3
01:58,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",3
--,,,,,"REBOUND DEF by ASSINESI,LANDRY",,,"REBOUND DEF by ASSINESI,LANDRY",3
01:27,,,,,"MISS 3PTR by GAINES,TRAE",,,"MISS 3PTR by GAINES,TRAE",3
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",3
01:02,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",76 (+2),,74,,SEWANE~1 76-74 (+2),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",3
--,"ASSIST  by BORN,LEO",,,,,,,"ASSIST  by BORN,LEO",3
00:43,,76,,76,"GOOD LAYUP by GAINES,TRAE(in the paint)",PCM 76-76 (0),,"GOOD LAYUP by GAINES,TRAE(in the paint)",3
00:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
00:10,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",3
--,"REBOUND OFF by WILLIAMS,JORDEN",,,,,,,"REBOUND OFF by WILLIAMS,JORDEN",3
00:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
00:00,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",3
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,3
05:00,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",4
05:00,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",4
05:00,,,,,"SUB IN by ASSINESI,LANDRY",,,"SUB IN by ASSINESI,LANDRY",4
05:00,,,,,"SUB IN by MILLS,TAYLOR",,,"SUB IN by MILLS,TAYLOR",4
05:00,,,,,"SUB OUT by ASSINESI,KELLY",,,"SUB OUT by ASSINESI,KELLY",4
05:00,,,,,"SUB OUT by LUKEN,PEYTON",,,"SUB OUT by LUKEN,PEYTON",4
04:38,,76,,79 (+3),"GOOD 3PTR by MILLS,TAYLOR",PCM 76-79 (-3),,"GOOD 3PTR by MILLS,TAYLOR",4
--,,,,,"ASSIST  by GAINES,TRAE",,,"ASSIST  by GAINES,TRAE",4
04:12,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",4
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",4
04:12,,,,,"FOUL  by ENGLAND,CHASE",,,"FOUL  by ENGLAND,CHASE",4
04:12,"GOOD FT by STONE,BRODY",77,,79 (+2),,SEWANE~1 77-79 (-2),,"GOOD FT by STONE,BRODY",4
04:12,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",4
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",4
03:44,,77,,81 (+4),"GOOD LAYUP by ENGLAND,CHASE(in the paint)",PCM 77-81 (-4),,"GOOD LAYUP by ENGLAND,CHASE(in the paint)",4
03:29,"GOOD JUMPER by BORN,CLAY(in the paint)",79,,81 (+2),,SEWANE~1 79-81 (-2),,"GOOD JUMPER by BORN,CLAY(in the paint)",4
03:09,,,,,"MISS JUMPER by GAINES,TRAE",,,"MISS JUMPER by GAINES,TRAE",4
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",4
02:50,,,,,"FOUL  by MILLS,TAYLOR",,,"FOUL  by MILLS,TAYLOR",4
02:50,"MISS FT by BORN,LEO",,,,,,,"MISS FT by BORN,LEO",4
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,4
02:50,"GOOD FT by BORN,LEO",80,,81 (+1),,SEWANE~1 80-81 (-1),,"GOOD FT by BORN,LEO",4
02:32,,,,,"MISS 3PTR by ENGLAND,CHASE",,,"MISS 3PTR by ENGLAND,CHASE",4
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",4
02:30,,,,,"FOUL  by VALLEJO,JUSTIN",,,"FOUL  by VALLEJO,JUSTIN",4
02:30,"GOOD FT by THOMAS,ADRIAN",81,,81,,SEWANE~1 81-81 (0),,"GOOD FT by THOMAS,ADRIAN",4
02:30,"GOOD FT by THOMAS,ADRIAN",82 (+1),,81,,SEWANE~1 82-81 (+1),,"GOOD FT by THOMAS,ADRIAN",4
02:30,,,,,"SUB IN by ALSTON,ELIJAH",,,"SUB IN by ALSTON,ELIJAH",4
02:30,,,,,"SUB OUT by VALLEJO,JUSTIN",,,"SUB OUT by VALLEJO,JUSTIN",4
02:06,,82,,83 (+1),"GOOD LAYUP by GAINES,TRAE(in the paint)",PCM 82-83 (-1),,"GOOD LAYUP by GAINES,TRAE(in the paint)",4
02:05,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,4
02:05,,,,,"SUB IN by RYAN,NICK",,,"SUB IN by RYAN,NICK",4
02:05,,,,,"SUB OUT by GAINES,TRAE",,,"SUB OUT by GAINES,TRAE",4
01:43,,,,,"FOUL  by RYAN,NICK",,,"FOUL  by RYAN,NICK",4
01:43,"GOOD FT by STONE,BRODY",83,,83,,SEWANE~1 83-83 (0),,"GOOD FT by STONE,BRODY",4
01:43,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",4
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,4
01:43,,,,,"SUB IN by GAINES,TRAE",,,"SUB IN by GAINES,TRAE",4
01:43,,,,,"SUB OUT by RYAN,NICK",,,"SUB OUT by RYAN,NICK",4
01:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,4
01:16,,,,,"MISS JUMPER by ENGLAND,CHASE",,,"MISS JUMPER by ENGLAND,CHASE",4
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",4
00:52,,,,,"FOUL  by ENGLAND,CHASE",,,"FOUL  by ENGLAND,CHASE",4
00:52,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",4
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,4
00:52,"GOOD FT by STONE,BRODY",84 (+1),,83,,SEWANE~1 84-83 (+1),,"GOOD FT by STONE,BRODY",4
00:52,,,,,"SUB IN by ABDULGADER,MALIK",,,"SUB IN by ABDULGADER,MALIK",4
00:52,,,,,"SUB OUT by ENGLAND,CHASE",,,"SUB OUT by ENGLAND,CHASE",4
00:38,,,,,"MISS JUMPER by MILLS,TAYLOR",,,"MISS JUMPER by MILLS,TAYLOR",4
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",4
00:09,,,,,"FOUL  by ALSTON,ELIJAH",,,"FOUL  by ALSTON,ELIJAH",4
00:09,"GOOD FT by THOMAS,ADRIAN",85 (+2),,83,,SEWANE~1 85-83 (+2),,"GOOD FT by THOMAS,ADRIAN",4
00:09,"MISS FT by THOMAS,ADRIAN",,,,,,,"MISS FT by THOMAS,ADRIAN",4
--,,,,,"REBOUND DEF by ALSTON,ELIJAH",,,"REBOUND DEF by ALSTON,ELIJAH",4
00:01,,,,,"MISS 3PTR by GAINES,TRAE",,,"MISS 3PTR by GAINES,TRAE",4
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,4
