Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
02:51,,,,,"MISS LAYUP by ALLISON,ZACHARY",,,"MISS LAYUP by ALLISON,ZACHARY",1
--,,,,,"REBOUND OFF by MOORE,KADEN",,,"REBOUND OFF by MOORE,KADEN",1
02:48,"FOUL  by WOODS,MYKEL",,,,,,,"FOUL  by WOODS,MYKEL",1
02:48,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:48,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",1
--,"REBOUND DEF by BARKER,BJ",,,,,,,"REBOUND DEF by BARKER,BJ",1
02:48,"SUB IN by LIVINGSTON,TREY",,,,,,,"SUB IN by LIVINGSTON,TREY",1
02:48,"SUB OUT by WOODS,MYKEL",,,,,,,"SUB OUT by WOODS,MYKEL",1
02:41,"GOOD JUMPER by SCHMITT,LUCAS",36,,39 (+3),,HCM 36-39 (+3),,"GOOD JUMPER by SCHMITT,LUCAS",1
--,"ASSIST  by HARRIS,JAMES",,,,,,,"ASSIST  by HARRIS,JAMES",1
02:19,,36,,41 (+5),"GOOD JUMPER by SPENCE,BEN",BSC-M 36-41 (+5),,"GOOD JUMPER by SPENCE,BEN",1
02:11,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",1
