Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,ALST,Game Score,Team Indicator,Play,Period
00:12,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",1
00:11,,,,,"STEAL  by HOLSTON,KEVIN",,,"STEAL  by HOLSTON,KEVIN",1
00:04,,28,,37 (+9),"GOOD LAYUP by HOLSTON,KEVIN(in the paint)",ALST 28-37 (-9),,"GOOD LAYUP by HOLSTON,KEVIN(in the paint)",1
00:00,"MISS 3PTR by ALLISON,ZACHARY",,,,,,,"MISS 3PTR by ALLISON,ZACHARY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:49,"TURNOVER  by ALLISON,ZACHARY",,,,,,,"TURNOVER  by ALLISON,ZACHARY",2
19:24,,,,,"MISS JUMPER by ROSS,JACOBY",,,"MISS JUMPER by ROSS,JACOBY",2
--,,,,,"REBOUND OFF by JOHNSON,BRANDEN",,,"REBOUND OFF by JOHNSON,BRANDEN",2
19:20,,28,,39 (+11),"GOOD LAYUP by JOHNSON,BRANDEN(in the paint)",ALST 28-39 (-11),,"GOOD LAYUP by JOHNSON,BRANDEN(in the paint)",2
19:11,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",2
18:48,,,,,"MISS LAYUP by GEE,REGINALD",,,"MISS LAYUP by GEE,REGINALD",2
--,,,,,"REBOUND OFF by JOHNSON,BRANDEN",,,"REBOUND OFF by JOHNSON,BRANDEN",2
18:48,"FOUL  by GONDA,MATT",,,,,,,"FOUL  by GONDA,MATT",2
18:48,,28,,40 (+12),"GOOD FT by GEE,REGINALD",ALST 28-40 (-12),,"GOOD FT by GEE,REGINALD",2
18:48,,28,,41 (+13),"GOOD FT by GEE,REGINALD",ALST 28-41 (-13),,"GOOD FT by GEE,REGINALD",2
18:44,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",2
18:37,,,,,"STEAL  by EWUOSHO,TOBI",,,"STEAL  by EWUOSHO,TOBI",2
18:35,,28,,43 (+15),"GOOD LAYUP by EWUOSHO,TOBI(in the paint)",ALST 28-43 (-15),,"GOOD LAYUP by EWUOSHO,TOBI(in the paint)",2
18:33,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,"REBOUND DEF by ROSS,JACOBY",,,"REBOUND DEF by ROSS,JACOBY",2
18:25,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
18:25,,28,,44 (+16),"GOOD FT by GEE,REGINALD",ALST 28-44 (-16),,"GOOD FT by GEE,REGINALD",2
18:25,,,,,"MISS FT by GEE,REGINALD",,,"MISS FT by GEE,REGINALD",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
18:25,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",2
18:25,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
18:13,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",2
18:12,,,,,"STEAL  by GEE,REGINALD",,,"STEAL  by GEE,REGINALD",2
18:11,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",2
18:10,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
18:10,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
18:07,,,,,"MISS DUNK by JOHNSON,BRANDEN",,,"MISS DUNK by JOHNSON,BRANDEN",2
--,,,,,"REBOUND OFF by EWUOSHO,TOBI",,,"REBOUND OFF by EWUOSHO,TOBI",2
17:57,,28,,47 (+19),"GOOD 3PTR by ROGERS,AUSTIN",ALST 28-47 (-19),,"GOOD 3PTR by ROGERS,AUSTIN",2
--,,,,,"ASSIST  by ROSS,JACOBY",,,"ASSIST  by ROSS,JACOBY",2
17:40,"GOOD JUMPER by MOORE,KADEN",30,,47 (+17),,BSC-M 30-47 (-17),,"GOOD JUMPER by MOORE,KADEN",2
--,"ASSIST  by GONDA,MATT",,,,,,,"ASSIST  by GONDA,MATT",2
17:14,,,,,"MISS JUMPER by ROGERS,AUSTIN",,,"MISS JUMPER by ROGERS,AUSTIN",2
--,,,,,"REBOUND OFF by GEE,REGINALD",,,"REBOUND OFF by GEE,REGINALD",2
17:09,,30,,49 (+19),"GOOD LAYUP by GEE,REGINALD(in the paint)",ALST 30-49 (-19),,"GOOD LAYUP by GEE,REGINALD(in the paint)",2
16:58,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,"REBOUND DEF by JOHNSON,BRANDEN",,,"REBOUND DEF by JOHNSON,BRANDEN",2
16:33,,,,,"MISS 3PTR by EWUOSHO,TOBI",,,"MISS 3PTR by EWUOSHO,TOBI",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:30,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",2
16:30,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",2
16:30,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",2
16:30,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
16:30,"SUB OUT by ALLISON,ZACHARY",,,,,,,"SUB OUT by ALLISON,ZACHARY",2
16:29,,,,,"MISS 3PTR by GEE,REGINALD",,,"MISS 3PTR by GEE,REGINALD",2
--,,,,,"REBOUND OFF by JOHNSON,BRANDEN",,,"REBOUND OFF by JOHNSON,BRANDEN",2
16:23,,30,,51 (+21),"GOOD LAYUP by GEE,REGINALD(in the paint)",ALST 30-51 (-21),,"GOOD LAYUP by GEE,REGINALD(in the paint)",2
16:13,"MISS 3PTR by O'SULLIVAN,CONOR",,,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",2
--,,,,,"REBOUND DEF by ROSS,JACOBY",,,"REBOUND DEF by ROSS,JACOBY",2
16:05,,,,,"MISS LAYUP by EWUOSHO,TOBI",,,"MISS LAYUP by EWUOSHO,TOBI",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:50,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:50,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
15:50,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",2
15:50,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",2
15:50,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
15:39,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",2
15:38,,,,,"STEAL  by ROGERS,AUSTIN",,,"STEAL  by ROGERS,AUSTIN",2
15:32,"FOUL  by YANCEY,RICH",,,,,,,"FOUL  by YANCEY,RICH",2
15:32,,,,,"MISS FT by JOHNSON,BRANDEN",,,"MISS FT by JOHNSON,BRANDEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:32,,,,,"MISS FT by JOHNSON,BRANDEN",,,"MISS FT by JOHNSON,BRANDEN",2
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",2
15:24,"MISS LAYUP by MOORE,KADEN",,,,,,,"MISS LAYUP by MOORE,KADEN",2
--,,,,,"REBOUND DEF by ROGERS,AUSTIN",,,"REBOUND DEF by ROGERS,AUSTIN",2
15:15,,,,,"MISS JUMPER by ROGERS,AUSTIN",,,"MISS JUMPER by ROGERS,AUSTIN",2
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",2
15:00,"TURNOVER  by YANCEY,RICH",,,,,,,"TURNOVER  by YANCEY,RICH",2
14:58,,,,,"STEAL  by ROSS,JACOBY",,,"STEAL  by ROSS,JACOBY",2
14:54,"FOUL  by STEPHENS,TROY",,,,,,,"FOUL  by STEPHENS,TROY",2
14:54,,30,,52 (+22),"GOOD FT by ROSS,JACOBY",ALST 30-52 (-22),,"GOOD FT by ROSS,JACOBY",2
14:54,,30,,53 (+23),"GOOD FT by ROSS,JACOBY",ALST 30-53 (-23),,"GOOD FT by ROSS,JACOBY",2
14:54,"SUB IN by WALDRUM,AIDAN",,,,,,,"SUB IN by WALDRUM,AIDAN",2
14:54,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",2
14:54,,,,,"SUB IN by HOLSTON,KEVIN",,,"SUB IN by HOLSTON,KEVIN",2
14:54,,,,,"SUB OUT by GEE,REGINALD",,,"SUB OUT by GEE,REGINALD",2
14:52,,,,,"FOUL  by EWUOSHO,TOBI",,,"FOUL  by EWUOSHO,TOBI",2
14:31,"GOOD 3PTR by STEPHENS,TROY",33,,53 (+20),,BSC-M 33-53 (-20),,"GOOD 3PTR by STEPHENS,TROY",2
--,"ASSIST  by WALDRUM,AIDAN",,,,,,,"ASSIST  by WALDRUM,AIDAN",2
14:22,,,,,"MISS LAYUP by EWUOSHO,TOBI",,,"MISS LAYUP by EWUOSHO,TOBI",2
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",2
14:16,"MISS 3PTR by DENBESTEN,COLE",,,,,,,"MISS 3PTR by DENBESTEN,COLE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:06,,,,,"TURNOVER  by ROSS,JACOBY",,,"TURNOVER  by ROSS,JACOBY",2
14:05,"STEAL  by O'SULLIVAN,CONOR",,,,,,,"STEAL  by O'SULLIVAN,CONOR",2
14:03,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",2
14:01,,,,,"STEAL  by EWUOSHO,TOBI",,,"STEAL  by EWUOSHO,TOBI",2
13:57,,,,,"MISS LAYUP by HOLSTON,KEVIN",,,"MISS LAYUP by HOLSTON,KEVIN",2
--,,,,,"REBOUND OFF by JOHNSON,BRANDEN",,,"REBOUND OFF by JOHNSON,BRANDEN",2
13:49,,33,,55 (+22),"GOOD LAYUP by JOHNSON,BRANDEN(in the paint)",ALST 33-55 (-22),,"GOOD LAYUP by JOHNSON,BRANDEN(in the paint)",2
--,,,,,"ASSIST  by HOLSTON,KEVIN",,,"ASSIST  by HOLSTON,KEVIN",2
13:34,"MISS JUMPER by STEPHENS,TROY",,,,,,,"MISS JUMPER by STEPHENS,TROY",2
--,,,,,"REBOUND DEF by HOLSTON,KEVIN",,,"REBOUND DEF by HOLSTON,KEVIN",2
13:27,,33,,58 (+25),"GOOD 3PTR by ROSS,JACOBY",ALST 33-58 (-25),,"GOOD 3PTR by ROSS,JACOBY",2
--,,,,,"ASSIST  by HOLSTON,KEVIN",,,"ASSIST  by HOLSTON,KEVIN",2
13:16,"GOOD 3PTR by STEPHENS,TROY",36,,58 (+22),,BSC-M 36-58 (-22),,"GOOD 3PTR by STEPHENS,TROY",2
13:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:13,,,,,"SUB IN by JONES,ED",,,"SUB IN by JONES,ED",2
13:13,,,,,"SUB IN by GEE,REGINALD",,,"SUB IN by GEE,REGINALD",2
13:13,,,,,"SUB OUT by JOHNSON,BRANDEN",,,"SUB OUT by JOHNSON,BRANDEN",2
13:13,,,,,"SUB OUT by ROGERS,AUSTIN",,,"SUB OUT by ROGERS,AUSTIN",2
12:46,,,,,"MISS 3PTR by ROSS,JACOBY",,,"MISS 3PTR by ROSS,JACOBY",2
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",2
12:41,,,,,"FOUL  by HOLSTON,KEVIN",,,"FOUL  by HOLSTON,KEVIN",2
12:13,"TURNOVER  by DENBESTEN,COLE",,,,,,,"TURNOVER  by DENBESTEN,COLE",2
11:56,,,,,"FOUL  by GEE,REGINALD",,,"FOUL  by GEE,REGINALD",2
11:56,,,,,"TURNOVER  by GEE,REGINALD",,,"TURNOVER  by GEE,REGINALD",2
11:56,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:56,"SUB IN by ZHOU,ANDY",,,,,,,"SUB IN by ZHOU,ANDY",2
11:56,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",2
11:56,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
11:56,"SUB OUT by WALDRUM,AIDAN",,,,,,,"SUB OUT by WALDRUM,AIDAN",2
11:56,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",2
11:56,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",2
11:56,,,,,"SUB IN by ROGERS,AUSTIN",,,"SUB IN by ROGERS,AUSTIN",2
11:56,,,,,"SUB OUT by ROSS,JACOBY",,,"SUB OUT by ROSS,JACOBY",2
11:33,,,,,"FOUL  by EWUOSHO,TOBI",,,"FOUL  by EWUOSHO,TOBI",2
11:33,"GOOD FT by STEPHENS,TROY",37,,58 (+21),,BSC-M 37-58 (-21),,"GOOD FT by STEPHENS,TROY",2
11:33,"GOOD FT by ZHOU,ANDY",38,,58 (+20),,BSC-M 38-58 (-20),,"GOOD FT by ZHOU,ANDY",2
11:33,"SUB IN by HOLLIFIELD,MALCOLM",,,,,,,"SUB IN by HOLLIFIELD,MALCOLM",2
11:33,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
11:33,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",2
11:33,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",2
11:33,,,,,"SUB IN by ROSS,JACOBY",,,"SUB IN by ROSS,JACOBY",2
11:33,,,,,"SUB OUT by EWUOSHO,TOBI",,,"SUB OUT by EWUOSHO,TOBI",2
11:19,,38,,60 (+22),"GOOD LAYUP by ROSS,JACOBY(in the paint)",ALST 38-60 (-22),,"GOOD LAYUP by ROSS,JACOBY(in the paint)",2
11:09,"FOUL  by SIGLER,EVAN",,,,,,,"FOUL  by SIGLER,EVAN",2
11:09,"TURNOVER  by SIGLER,EVAN",,,,,,,"TURNOVER  by SIGLER,EVAN",2
10:52,,,,,"TURNOVER  by GEE,REGINALD",,,"TURNOVER  by GEE,REGINALD",2
10:33,"TURNOVER  by JR,BRUCE BRIGHT",,,,,,,"TURNOVER  by JR,BRUCE BRIGHT",2
10:25,,,,,"MISS 3PTR by ROGERS,AUSTIN",,,"MISS 3PTR by ROGERS,AUSTIN",2
--,"REBOUND DEF by ZHOU,ANDY",,,,,,,"REBOUND DEF by ZHOU,ANDY",2
10:13,"TURNOVER  by ZHOU,ANDY",,,,,,,"TURNOVER  by ZHOU,ANDY",2
10:11,,,,,"STEAL  by HOLSTON,KEVIN",,,"STEAL  by HOLSTON,KEVIN",2
10:08,,38,,62 (+24),"GOOD LAYUP by ROSS,JACOBY(in the paint)",ALST 38-62 (-24),,"GOOD LAYUP by ROSS,JACOBY(in the paint)",2
--,,,,,"ASSIST  by HOLSTON,KEVIN",,,"ASSIST  by HOLSTON,KEVIN",2
09:48,"MISS 3PTR by HOLLIFIELD,MALCOLM",,,,,,,"MISS 3PTR by HOLLIFIELD,MALCOLM",2
--,,,,,"REBOUND DEF by GEE,REGINALD",,,"REBOUND DEF by GEE,REGINALD",2
09:39,"FOUL  by HOLLIFIELD,MALCOLM",,,,,,,"FOUL  by HOLLIFIELD,MALCOLM",2
09:39,,,,,"MISS FT by ROGERS,AUSTIN",,,"MISS FT by ROGERS,AUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:39,,38,,63 (+25),"GOOD FT by ROGERS,AUSTIN",ALST 38-63 (-25),,"GOOD FT by ROGERS,AUSTIN",2
09:39,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",2
09:39,"SUB OUT by ZHOU,ANDY",,,,,,,"SUB OUT by ZHOU,ANDY",2
09:39,,,,,"SUB IN by FARRAR,AJ",,,"SUB IN by FARRAR,AJ",2
09:39,,,,,"SUB OUT by JONES,ED",,,"SUB OUT by JONES,ED",2
09:20,"MISS JUMPER by O'SULLIVAN,CONOR",,,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:09,"MISS JUMPER by SIGLER,EVAN",,,,,,,"MISS JUMPER by SIGLER,EVAN",2
09:09,,,,,"BLOCK  by GEE,REGINALD",,,"BLOCK  by GEE,REGINALD",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:52,,,,,"MISS 3PTR by HOLSTON,KEVIN",,,"MISS 3PTR by HOLSTON,KEVIN",2
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",2
08:41,"MISS 3PTR by HOLLIFIELD,MALCOLM",,,,,,,"MISS 3PTR by HOLLIFIELD,MALCOLM",2
--,"REBOUND OFF by JR,BRUCE BRIGHT",,,,,,,"REBOUND OFF by JR,BRUCE BRIGHT",2
08:37,"MISS JUMPER by JR,BRUCE BRIGHT",,,,,,,"MISS JUMPER by JR,BRUCE BRIGHT",2
--,,,,,"REBOUND DEF by ROSS,JACOBY",,,"REBOUND DEF by ROSS,JACOBY",2
08:24,,,,,"MISS LAYUP by HOLSTON,KEVIN",,,"MISS LAYUP by HOLSTON,KEVIN",2
--,,,,,"REBOUND OFF by FARRAR,AJ",,,"REBOUND OFF by FARRAR,AJ",2
08:22,,38,,65 (+27),"GOOD LAYUP by FARRAR,AJ(in the paint)",ALST 38-65 (-27),,"GOOD LAYUP by FARRAR,AJ(in the paint)",2
08:12,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",40,,65 (+25),,BSC-M 40-65 (-25),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,"ASSIST  by HOLLIFIELD,MALCOLM",,,,,,,"ASSIST  by HOLLIFIELD,MALCOLM",2
08:03,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
07:59,,40,,66 (+26),"GOOD FT by GEE,REGINALD",ALST 40-66 (-26),,"GOOD FT by GEE,REGINALD",2
07:59,,,,,"MISS FT by GEE,REGINALD",,,"MISS FT by GEE,REGINALD",2
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",2
07:59,"SUB IN by WALDRUM,AIDAN",,,,,,,"SUB IN by WALDRUM,AIDAN",2
07:59,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",2
07:59,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",2
07:59,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",2
07:59,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
07:59,"SUB OUT by HOLLIFIELD,MALCOLM",,,,,,,"SUB OUT by HOLLIFIELD,MALCOLM",2
07:41,"MISS LAYUP by YANCEY,RICH",,,,,,,"MISS LAYUP by YANCEY,RICH",2
--,,,,,"REBOUND DEF by HOLSTON,KEVIN",,,"REBOUND DEF by HOLSTON,KEVIN",2
07:34,,,,,"MISS 3PTR by FARRAR,AJ",,,"MISS 3PTR by FARRAR,AJ",2
--,,,,,"REBOUND OFF by ROSS,JACOBY",,,"REBOUND OFF by ROSS,JACOBY",2
07:20,,,,,"MISS 3PTR by ROSS,JACOBY",,,"MISS 3PTR by ROSS,JACOBY",2
--,,,,,"REBOUND OFF by ROGERS,AUSTIN",,,"REBOUND OFF by ROGERS,AUSTIN",2
07:02,"FOUL  by WALDRUM,AIDAN",,,,,,,"FOUL  by WALDRUM,AIDAN",2
07:02,,40,,67 (+27),"GOOD FT by FARRAR,AJ",ALST 40-67 (-27),,"GOOD FT by FARRAR,AJ",2
07:02,,40,,68 (+28),"GOOD FT by FARRAR,AJ",ALST 40-68 (-28),,"GOOD FT by FARRAR,AJ",2
07:02,,,,,"SUB IN by EWUOSHO,TOBI",,,"SUB IN by EWUOSHO,TOBI",2
07:02,,,,,"SUB OUT by GEE,REGINALD",,,"SUB OUT by GEE,REGINALD",2
06:50,"MISS JUMPER by O'SULLIVAN,CONOR",,,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",2
--,"REBOUND OFF by O'SULLIVAN,CONOR",,,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",2
06:43,"MISS 3PTR by JR,BRUCE BRIGHT",,,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",2
--,,,,,"REBOUND DEF by EWUOSHO,TOBI",,,"REBOUND DEF by EWUOSHO,TOBI",2
06:20,,40,,70 (+30),"GOOD LAYUP by FARRAR,AJ(in the paint)",ALST 40-70 (-30),,"GOOD LAYUP by FARRAR,AJ(in the paint)",2
--,,,,,"ASSIST  by HOLSTON,KEVIN",,,"ASSIST  by HOLSTON,KEVIN",2
06:07,"MISS LAYUP by YANCEY,RICH",,,,,,,"MISS LAYUP by YANCEY,RICH",2
--,,,,,"REBOUND DEF by EWUOSHO,TOBI",,,"REBOUND DEF by EWUOSHO,TOBI",2
06:00,,40,,72 (+32),"GOOD LAYUP by HOLSTON,KEVIN(in the paint)",ALST 40-72 (-32),,"GOOD LAYUP by HOLSTON,KEVIN(in the paint)",2
05:37,,,,,"FOUL  by ROGERS,AUSTIN",,,"FOUL  by ROGERS,AUSTIN",2
05:37,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",2
05:37,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",2
05:37,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
05:37,"SUB OUT by WALDRUM,AIDAN",,,,,,,"SUB OUT by WALDRUM,AIDAN",2
05:37,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
05:37,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",2
05:37,,,,,"SUB IN by GOSIER,THERRELL",,,"SUB IN by GOSIER,THERRELL",2
05:37,,,,,"SUB OUT by ROGERS,AUSTIN",,,"SUB OUT by ROGERS,AUSTIN",2
05:31,"MISS JUMPER by STEPHENS,TROY",,,,,,,"MISS JUMPER by STEPHENS,TROY",2
--,,,,,"REBOUND DEF by FARRAR,AJ",,,"REBOUND DEF by FARRAR,AJ",2
05:02,,,,,"MISS LAYUP by ROSS,JACOBY",,,"MISS LAYUP by ROSS,JACOBY",2
--,,,,,"REBOUND OFF by FARRAR,AJ",,,"REBOUND OFF by FARRAR,AJ",2
04:59,,40,,74 (+34),"GOOD LAYUP by FARRAR,AJ(in the paint)",ALST 40-74 (-34),,"GOOD LAYUP by FARRAR,AJ(in the paint)",2
04:40,"GOOD LAYUP by GONDA,MATT(in the paint)",42,,74 (+32),,BSC-M 42-74 (-32),,"GOOD LAYUP by GONDA,MATT(in the paint)",2
04:15,,,,,"MISS 3PTR by HOLSTON,KEVIN",,,"MISS 3PTR by HOLSTON,KEVIN",2
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",2
04:07,"MISS 3PTR by STEPHENS,TROY",,,,,,,"MISS 3PTR by STEPHENS,TROY",2
--,,,,,"REBOUND DEF by GOSIER,THERRELL",,,"REBOUND DEF by GOSIER,THERRELL",2
03:59,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:59,"SUB IN by HOLLIFIELD,MALCOLM",,,,,,,"SUB IN by HOLLIFIELD,MALCOLM",2
03:59,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",2
03:59,,,,,"SUB IN by GEE,REGINALD",,,"SUB IN by GEE,REGINALD",2
03:59,,,,,"SUB IN by SEAY,AZARIAH",,,"SUB IN by SEAY,AZARIAH",2
03:59,,,,,"SUB OUT by ROSS,JACOBY",,,"SUB OUT by ROSS,JACOBY",2
03:59,,,,,"SUB OUT by HOLSTON,KEVIN",,,"SUB OUT by HOLSTON,KEVIN",2
03:42,,,,,"TURNOVER  by GOSIER,THERRELL",,,"TURNOVER  by GOSIER,THERRELL",2
03:40,"STEAL  by MOORE,KADEN",,,,,,,"STEAL  by MOORE,KADEN",2
03:36,"MISS LAYUP by STEPHENS,TROY",,,,,,,"MISS LAYUP by STEPHENS,TROY",2
--,"REBOUND OFF by JR,BRUCE BRIGHT",,,,,,,"REBOUND OFF by JR,BRUCE BRIGHT",2
03:32,"GOOD LAYUP by JR,BRUCE BRIGHT(in the paint)",44,,74 (+30),,BSC-M 44-74 (-30),,"GOOD LAYUP by JR,BRUCE BRIGHT(in the paint)",2
03:14,,,,,"TURNOVER  by FARRAR,AJ",,,"TURNOVER  by FARRAR,AJ",2
03:14,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",2
03:14,"SUB IN by ZHOU,ANDY",,,,,,,"SUB IN by ZHOU,ANDY",2
03:14,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",2
03:14,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",2
02:51,"MISS LAYUP by STEPHENS,TROY",,,,,,,"MISS LAYUP by STEPHENS,TROY",2
02:51,,,,,"BLOCK  by GOSIER,THERRELL",,,"BLOCK  by GOSIER,THERRELL",2
--,,,,,"REBOUND DEF by SEAY,AZARIAH",,,"REBOUND DEF by SEAY,AZARIAH",2
02:46,,44,,76 (+32),"GOOD DUNK by EWUOSHO,TOBI(in the paint)",ALST 44-76 (-32),,"GOOD DUNK by EWUOSHO,TOBI(in the paint)",2
--,,,,,"ASSIST  by SEAY,AZARIAH",,,"ASSIST  by SEAY,AZARIAH",2
02:39,"TURNOVER  by ZHOU,ANDY",,,,,,,"TURNOVER  by ZHOU,ANDY",2
02:37,,,,,"STEAL  by HOLSTON,KEVIN",,,"STEAL  by HOLSTON,KEVIN",2
02:36,,44,,78 (+34),"GOOD DUNK by EWUOSHO,TOBI(in the paint)",ALST 44-78 (-34),,"GOOD DUNK by EWUOSHO,TOBI(in the paint)",2
--,,,,,"ASSIST  by HOLSTON,KEVIN",,,"ASSIST  by HOLSTON,KEVIN",2
02:29,,,,,"FOUL  by SEAY,AZARIAH",,,"FOUL  by SEAY,AZARIAH",2
02:25,"FOUL  by ZHOU,ANDY",,,,,,,"FOUL  by ZHOU,ANDY",2
02:25,"TURNOVER  by ZHOU,ANDY",,,,,,,"TURNOVER  by ZHOU,ANDY",2
02:13,"FOUL  by HOLLIFIELD,MALCOLM",,,,,,,"FOUL  by HOLLIFIELD,MALCOLM",2
02:13,,44,,79 (+35),"GOOD FT by FARRAR,AJ",ALST 44-79 (-35),,"GOOD FT by FARRAR,AJ",2
02:13,,44,,80 (+36),"GOOD FT by FARRAR,AJ",ALST 44-80 (-36),,"GOOD FT by FARRAR,AJ",2
02:13,,,,,"SUB IN by HOLSTON,KEVIN",,,"SUB IN by HOLSTON,KEVIN",2
02:13,,,,,"SUB OUT by GEE,REGINALD",,,"SUB OUT by GEE,REGINALD",2
