Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
08:36,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
08:27,"FOUL  by SCHULTZ,TRAVIS",,,,,,,"FOUL  by SCHULTZ,TRAVIS",1
08:27,,18,,29 (+11),"GOOD FT by ALLISON,ZACHARY",BSC-M 18-29 (+11),,"GOOD FT by ALLISON,ZACHARY",1
08:27,,,,,"MISS FT by ALLISON,ZACHARY",,,"MISS FT by ALLISON,ZACHARY",1
--,"REBOUND DEF by YOUNG,QUESHOD",,,,,,,"REBOUND DEF by YOUNG,QUESHOD",1
08:27,"SUB IN by WASHINGTON,DEVON",,,,,,,"SUB IN by WASHINGTON,DEVON",1
08:27,"SUB IN by RHONE,JAYLEN",,,,,,,"SUB IN by RHONE,JAYLEN",1
08:27,"SUB IN by HOLLIS,REX",,,,,,,"SUB IN by HOLLIS,REX",1
08:27,"SUB OUT by SCHULTZ,TRAVIS",,,,,,,"SUB OUT by SCHULTZ,TRAVIS",1
08:27,"SUB OUT by WALLACE,KD",,,,,,,"SUB OUT by WALLACE,KD",1
08:27,"SUB OUT by STOKES,TIMOTHY",,,,,,,"SUB OUT by STOKES,TIMOTHY",1
08:27,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
08:27,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
08:12,,,,,"FOUL  by HOLLIFIELD,MALCOLM",,,"FOUL  by HOLLIFIELD,MALCOLM",1
08:12,"SUB IN by AUSTIN,DENZEL",,,,,,,"SUB IN by AUSTIN,DENZEL",1
08:12,"SUB OUT by YOUNG,QUESHOD",,,,,,,"SUB OUT by YOUNG,QUESHOD",1
08:12,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
08:12,,,,,"SUB OUT by HOLLIFIELD,MALCOLM",,,"SUB OUT by HOLLIFIELD,MALCOLM",1
08:00,"GOOD JUMPER by WASHINGTON,DEVON",20,,29 (+9),,LCM 20-29 (+9),,"GOOD JUMPER by WASHINGTON,DEVON",1
07:34,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:34,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
07:34,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
07:28,"FOUL  by RHONE,JAYLEN",,,,,,,"FOUL  by RHONE,JAYLEN",1
07:28,,20,,30 (+10),"GOOD FT by ALLISON,ZACHARY",BSC-M 20-30 (+10),,"GOOD FT by ALLISON,ZACHARY",1
