Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
08:16,,16 (+1),,15,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 16-15 (+1),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
08:00,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
07:51,,,,,"MISS LAYUP by CLAYTON,TJ(in the paint)",,,"MISS LAYUP by CLAYTON,TJ(in the paint)",1
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",1
07:46,,16,,17 (+1),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 16-17 (-1),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
07:30,"MISS JUMPER by BROWN,BRYCE(in the paint)",,,,,,,"MISS JUMPER by BROWN,BRYCE(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
07:23,,16,,19 (+3),"GOOD JUMPER by SHEN,KEVIN(fastbreak)(in the paint)",Rhodes 16-19 (-3),,"GOOD JUMPER by SHEN,KEVIN(fastbreak)(in the paint)",1
07:11,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",1
--,,,,,"REBOUND DEF by CLAYTON,TJ",,,"REBOUND DEF by CLAYTON,TJ",1
07:02,"FOUL  by BROWN,BRYCE",,,,,,,"FOUL  by BROWN,BRYCE",1
07:02,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:02,"SUB OUT by BROWN,BRYCE",,,,,,,"SUB OUT by BROWN,BRYCE",1
07:02,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",1
07:02,,,,,"MISS FT by CLAYTON,TJ",,,"MISS FT by CLAYTON,TJ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:02,,16,,20 (+4),"GOOD FT by CLAYTON,TJ",Rhodes 16-20 (-4),,"GOOD FT by CLAYTON,TJ",1
06:42,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:37,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",1
06:37,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
06:37,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",1
06:37,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
06:19,"SUB OUT by BASS,DEVIN",,,,,,,"SUB OUT by BASS,DEVIN",1
06:19,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",1
06:11,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
06:11,"STEAL  by UGHOVWA,NICHOLAS",,,,,,,"STEAL  by UGHOVWA,NICHOLAS",1
06:11,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
06:11,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
