Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENT,Game Score,Team Indicator,Play,Period
18:17,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
18:17,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",2
18:10,,30,,37 (+7),"GOOD 3PTR by BEHR,JALEN",CENT 30-37 (-7),,"GOOD 3PTR by BEHR,JALEN",2
--,,,,,"ASSIST  by TAYLOR,JARRELL",,,"ASSIST  by TAYLOR,JARRELL",2
17:53,"GOOD 3PTR by BROWN,BROCK",33,,37 (+4),,MILLSAPS 33-37 (-4),,"GOOD 3PTR by BROWN,BROCK",2
--,"ASSIST  by GILLIHAN,NEWLON",,,,,,,"ASSIST  by GILLIHAN,NEWLON",2
17:37,,,,,"MISS 3PTR by BOARD,BRAEDEN",,,"MISS 3PTR by BOARD,BRAEDEN",2
--,,,,,"REBOUND OFF by TAYLOR,JARRELL",,,"REBOUND OFF by TAYLOR,JARRELL",2
17:21,,33,,39 (+6),"GOOD LAYUP by TAYLOR,JARRELL(in the paint)",CENT 33-39 (-6),,"GOOD LAYUP by TAYLOR,JARRELL(in the paint)",2
17:21,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
17:21,,33,,40 (+7),"GOOD FT by TAYLOR,JARRELL",CENT 33-40 (-7),,"GOOD FT by TAYLOR,JARRELL",2
17:21,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
17:21,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",2
17:21,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
16:56,"TURNOVER  by GILLIHAN,NEWLON",,,,,,,"TURNOVER  by GILLIHAN,NEWLON",2
16:55,,,,,"STEAL  by BEHR,JALEN",,,"STEAL  by BEHR,JALEN",2
