Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,CC,Game Score,Team Indicator,Play,Period
08:11,,42,,46 (+4),"GOOD FT by KINNEY,SAM",CC 42-46 (-4),,"GOOD FT by KINNEY,SAM",2
08:11,,,,,"MISS FT by KINNEY,SAM",,,"MISS FT by KINNEY,SAM",2
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",2
07:55,"GOOD JUMPER by URSIN,AARON(in the paint)",44,,46 (+2),,Mill 44-46 (-2),,"GOOD JUMPER by URSIN,AARON(in the paint)",2
07:36,,,,,"TURNOVER  by KINNEY,SAM",,,"TURNOVER  by KINNEY,SAM",2
07:36,"STEAL  by BASS,DEVIN",,,,,,,"STEAL  by BASS,DEVIN",2
07:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:31,,,,,"SUB OUT by RUEGG,SCOTT",,,"SUB OUT by RUEGG,SCOTT",2
07:31,,,,,"SUB OUT by DITTMAN,KEVIN",,,"SUB OUT by DITTMAN,KEVIN",2
07:31,,,,,"SUB IN by RUSSO,ALEX",,,"SUB IN by RUSSO,ALEX",2
07:31,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",2
07:31,"SUB OUT by BASS,DEVIN",,,,,,,"SUB OUT by BASS,DEVIN",2
07:31,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
07:14,"MISS 3PTR by BROWN,BRYCE",,,,,,,"MISS 3PTR by BROWN,BRYCE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
06:56,,,,,"MISS 3PTR by ROUNAGHI,CHARLIE",,,"MISS 3PTR by ROUNAGHI,CHARLIE",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
06:48,"MISS LAYUP by URSIN,AARON(in the paint)",,,,,,,"MISS LAYUP by URSIN,AARON(in the paint)",2
--,"REBOUND OFF by BROWN,BRYCE",,,,,,,"REBOUND OFF by BROWN,BRYCE",2
06:46,,,,,"FOUL  by PRICE,ADRIAN",,,"FOUL  by PRICE,ADRIAN",2
06:46,"MISS FT by BROWN,BRYCE",,,,,,,"MISS FT by BROWN,BRYCE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:46,,,,,"SUB OUT by RUSSO,ALEX",,,"SUB OUT by RUSSO,ALEX",2
06:46,,,,,"SUB IN by ROMERO,EDGAR",,,"SUB IN by ROMERO,EDGAR",2
06:46,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
06:46,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
06:46,"GOOD FT by BROWN,BRYCE",45,,46 (+1),,Mill 45-46 (-1),,"GOOD FT by BROWN,BRYCE",2
06:33,,,,,"MISS 3PTR by KINNEY,SAM",,,"MISS 3PTR by KINNEY,SAM",2
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",2
06:24,"MISS JUMPER by BROWN,BRYCE(in the paint)",,,,,,,"MISS JUMPER by BROWN,BRYCE(in the paint)",2
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",2
06:13,,,,,"MISS 3PTR by ROMERO,EDGAR",,,"MISS 3PTR by ROMERO,EDGAR",2
--,,,,,"REBOUND OFF by KINNEY,SAM",,,"REBOUND OFF by KINNEY,SAM",2
06:07,,,,,"MISS LAYUP by KINNEY,SAM(in the paint)",,,"MISS LAYUP by KINNEY,SAM(in the paint)",2
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",2
05:54,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",2
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",2
05:45,"FOUL  by ROTH,DREW",,,,,,,"FOUL  by ROTH,DREW",2
05:45,,,,,"SUB OUT by ROUNAGHI,CHARLIE",,,"SUB OUT by ROUNAGHI,CHARLIE",2
05:45,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",2
05:45,,,,,"SUB IN by RUEGG,SCOTT",,,"SUB IN by RUEGG,SCOTT",2
05:45,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",2
05:45,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",2
05:45,"SUB OUT by BROWN,BRYCE",,,,,,,"SUB OUT by BROWN,BRYCE",2
05:45,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
05:45,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",2
05:41,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",2
05:41,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",2
05:41,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
05:41,,,,,"MISS FT by KINNEY,SAM",,,"MISS FT by KINNEY,SAM",2
--,,,,,"REBOUND OFF by PHILIO,DEVIN",,,"REBOUND OFF by PHILIO,DEVIN",2
05:32,,,,,"FOUL  by PRICE,ADRIAN",,,"FOUL  by PRICE,ADRIAN",2
05:32,,,,,"TURNOVER  by PRICE,ADRIAN",,,"TURNOVER  by PRICE,ADRIAN",2
05:22,"GOOD JUMPER by WATSON,DOUG(in the paint)",47 (+1),,46,,Mill 47-46 (+1),,"GOOD JUMPER by WATSON,DOUG(in the paint)",2
05:08,,47,,48 (+1),"GOOD JUMPER by CUNNINGHAM,SCOTT(in the paint)",CC 47-48 (-1),,"GOOD JUMPER by CUNNINGHAM,SCOTT(in the paint)",2
05:08,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
05:08,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",2
05:08,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",2
05:08,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
05:08,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
05:08,,,,,"MISS FT by CUNNINGHAM,SCOTT",,,"MISS FT by CUNNINGHAM,SCOTT",2
--,"REBOUND DEF by ROTH,DREW",,,,,,,"REBOUND DEF by ROTH,DREW",2
04:41,,,,,"FOUL  by KINNEY,SAM",,,"FOUL  by KINNEY,SAM",2
04:41,"GOOD FT by ROTH,DREW",48,,48,,Mill 48-48 (0),,"GOOD FT by ROTH,DREW",2
04:41,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",2
04:41,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",2
04:41,"GOOD FT by ROTH,DREW",49 (+1),,48,,Mill 49-48 (+1),,"GOOD FT by ROTH,DREW",2
04:41,,,,,"SUB OUT by ROMERO,EDGAR",,,"SUB OUT by ROMERO,EDGAR",2
04:41,,,,,"SUB IN by ROUNAGHI,CHARLIE",,,"SUB IN by ROUNAGHI,CHARLIE",2
04:41,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",2
04:41,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",2
04:33,,49,,50 (+1),"GOOD JUMPER by CUNNINGHAM,SCOTT",CC 49-50 (-1),,"GOOD JUMPER by CUNNINGHAM,SCOTT",2
04:18,"TURNOVER  by WILLIAMS,CAMERON",,,,,,,"TURNOVER  by WILLIAMS,CAMERON",2
04:02,,,,,"MISS 3PTR by CUNNINGHAM,SCOTT",,,"MISS 3PTR by CUNNINGHAM,SCOTT",2
04:01,,,,,"SUB OUT by KINNEY,SAM",,,"SUB OUT by KINNEY,SAM",2
04:01,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",2
04:01,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",2
04:01,,,,,"SUB IN by DITTMAN,KEVIN",,,"SUB IN by DITTMAN,KEVIN",2
04:01,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",2
04:01,"SUB IN by BROWN,BRYCE",,,,,,,"SUB IN by BROWN,BRYCE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:37,,,,,"FOUL  by DITTMAN,KEVIN",,,"FOUL  by DITTMAN,KEVIN",2
03:37,"MISS FT by WILLIAMS,CAMERON",,,,,,,"MISS FT by WILLIAMS,CAMERON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:37,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",2
03:37,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",2
03:37,"GOOD FT by WILLIAMS,CAMERON",50,,50,,Mill 50-50 (0),,"GOOD FT by WILLIAMS,CAMERON",2
03:22,,,,,"MISS LAYUP by PRICE,ADRIAN(in the paint)",,,"MISS LAYUP by PRICE,ADRIAN(in the paint)",2
--,,,,,"REBOUND OFF by ROUNAGHI,CHARLIE",,,"REBOUND OFF by ROUNAGHI,CHARLIE",2
03:18,,50,,53 (+3),"GOOD 3PTR by CUNNINGHAM,SCOTT",CC 50-53 (-3),,"GOOD 3PTR by CUNNINGHAM,SCOTT",2
--,,,,,"ASSIST  by ROUNAGHI,CHARLIE",,,"ASSIST  by ROUNAGHI,CHARLIE",2
03:13,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:13,,,,,"SUB OUT by CUNNINGHAM,SCOTT",,,"SUB OUT by CUNNINGHAM,SCOTT",2
03:13,,,,,"SUB OUT by DITTMAN,KEVIN",,,"SUB OUT by DITTMAN,KEVIN",2
03:13,,,,,"SUB IN by ROMERO,EDGAR",,,"SUB IN by ROMERO,EDGAR",2
03:13,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",2
03:13,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
03:13,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
02:59,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",2
--,,,,,"REBOUND DEF by RUEGG,SCOTT",,,"REBOUND DEF by RUEGG,SCOTT",2
02:39,,,,,"MISS JUMPER by ROUNAGHI,CHARLIE",,,"MISS JUMPER by ROUNAGHI,CHARLIE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:33,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",2
02:33,,,,,"SUB IN by KINNEY,SAM",,,"SUB IN by KINNEY,SAM",2
02:28,,50,,55 (+5),"GOOD JUMPER by RUEGG,SCOTT",CC 50-55 (-5),,"GOOD JUMPER by RUEGG,SCOTT",2
--,,,,,"ASSIST  by PRICE,ADRIAN",,,"ASSIST  by PRICE,ADRIAN",2
02:17,"MISS JUMPER by BROWN,BRYCE(in the paint)",,,,,,,"MISS JUMPER by BROWN,BRYCE(in the paint)",2
--,,,,,"REBOUND DEF by PRICE,ADRIAN",,,"REBOUND DEF by PRICE,ADRIAN",2
01:53,,,,,"MISS JUMPER by RUEGG,SCOTT",,,"MISS JUMPER by RUEGG,SCOTT",2
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",2
01:37,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",2
--,,,,,"REBOUND DEF by KINNEY,SAM",,,"REBOUND DEF by KINNEY,SAM",2
01:18,,,,,"MISS LAYUP by RUEGG,SCOTT(in the paint)",,,"MISS LAYUP by RUEGG,SCOTT(in the paint)",2
--,,,,,"REBOUND OFF by PRICE,ADRIAN",,,"REBOUND OFF by PRICE,ADRIAN",2
01:15,,,,,"MISS LAYUP by PRICE,ADRIAN(in the paint)",,,"MISS LAYUP by PRICE,ADRIAN(in the paint)",2
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",2
01:05,"MISS 3PTR by WILLIAMS,CAMERON",,,,,,,"MISS 3PTR by WILLIAMS,CAMERON",2
--,,,,,"REBOUND DEF by RUEGG,SCOTT",,,"REBOUND DEF by RUEGG,SCOTT",2
01:05,"FOUL  by BROWN,BRYCE",,,,,,,"FOUL  by BROWN,BRYCE",2
01:05,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:05,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",2
01:05,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",2
01:05,,50,,56 (+6),"GOOD FT by RUEGG,SCOTT(fastbreak)",CC 50-56 (-6),,"GOOD FT by RUEGG,SCOTT(fastbreak)",2
01:05,,50,,57 (+7),"GOOD FT by RUEGG,SCOTT(fastbreak)",CC 50-57 (-7),,"GOOD FT by RUEGG,SCOTT(fastbreak)",2
01:02,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
01:02,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",2
01:02,,,,,"SUB IN by CUNNINGHAM,SCOTT",,,"SUB IN by CUNNINGHAM,SCOTT",2
00:42,"FOUL  by EVANS,CHRISTIAN",,,,,,,"FOUL  by EVANS,CHRISTIAN",2
00:42,,,,,"MISS FT by CUNNINGHAM,SCOTT",,,"MISS FT by CUNNINGHAM,SCOTT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:42,,,,,"MISS FT by CUNNINGHAM,SCOTT",,,"MISS FT by CUNNINGHAM,SCOTT",2
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",2
00:33,"TURNOVER  by WILLIAMS,CAMERON",,,,,,,"TURNOVER  by WILLIAMS,CAMERON",2
00:33,,,,,"STEAL  by CUNNINGHAM,SCOTT",,,"STEAL  by CUNNINGHAM,SCOTT",2
00:26,"FOUL  by EVANS,CHRISTIAN",,,,,,,"FOUL  by EVANS,CHRISTIAN",2
00:26,,50,,58 (+8),"GOOD FT by CUNNINGHAM,SCOTT(fastbreak)",CC 50-58 (-8),,"GOOD FT by CUNNINGHAM,SCOTT(fastbreak)",2
00:26,,50,,59 (+9),"GOOD FT by CUNNINGHAM,SCOTT(fastbreak)",CC 50-59 (-9),,"GOOD FT by CUNNINGHAM,SCOTT(fastbreak)",2
00:26,,,,,"SUB OUT by CUNNINGHAM,SCOTT",,,"SUB OUT by CUNNINGHAM,SCOTT",2
00:26,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",2
00:21,,,,,"FOUL  by KINNEY,SAM",,,"FOUL  by KINNEY,SAM",2
00:21,"GOOD FT by EVANS,CHRISTIAN(fastbreak)",51,,59 (+8),,Mill 51-59 (-8),,"GOOD FT by EVANS,CHRISTIAN(fastbreak)",2
00:21,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",2
00:21,,,,,"SUB IN by CUNNINGHAM,SCOTT",,,"SUB IN by CUNNINGHAM,SCOTT",2
00:21,"MISS FT by EVANS,CHRISTIAN(fastbreak)",,,,,,,"MISS FT by EVANS,CHRISTIAN(fastbreak)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:19,,,,,"SUB OUT by CUNNINGHAM,SCOTT",,,"SUB OUT by CUNNINGHAM,SCOTT",2
00:19,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",2
00:16,"MISS LAYUP by BROWN,BRYCE(in the paint)",,,,,,,"MISS LAYUP by BROWN,BRYCE(in the paint)",2
--,"REBOUND OFF by WATSON,DOUG",,,,,,,"REBOUND OFF by WATSON,DOUG",2
00:13,"GOOD LAYUP by WATSON,DOUG(in the paint)",53,,59 (+6),,Mill 53-59 (-6),,"GOOD LAYUP by WATSON,DOUG(in the paint)",2
00:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:13,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",2
00:13,,,,,"SUB IN by CUNNINGHAM,SCOTT",,,"SUB IN by CUNNINGHAM,SCOTT",2
00:13,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
00:13,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
00:09,"FOUL  by BROWN,BRYCE",,,,,,,"FOUL  by BROWN,BRYCE",2
00:09,"SUB OUT by BROWN,BRYCE",,,,,,,"SUB OUT by BROWN,BRYCE",2
00:09,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",2
00:09,,53,,60 (+7),"GOOD FT by RUEGG,SCOTT(fastbreak)",CC 53-60 (-7),,"GOOD FT by RUEGG,SCOTT(fastbreak)",2
00:09,,53,,61 (+8),"GOOD FT by RUEGG,SCOTT(fastbreak)",CC 53-61 (-8),,"GOOD FT by RUEGG,SCOTT(fastbreak)",2
00:03,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,,,,,"REBOUND DEF by CUNNINGHAM,SCOTT",,,"REBOUND DEF by CUNNINGHAM,SCOTT",2
