Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
10:07,,,,,"MISS 3PTR by BROWN,BROCK",,,"MISS 3PTR by BROWN,BROCK",1
--,,,,,"REBOUND OFF by URSIN,AARON",,,"REBOUND OFF by URSIN,AARON",1
10:03,,20 (+6),,14,"GOOD LAYUP by URSIN,AARON(in the paint)",Mill 20-14 (-6),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
09:32,"MISS JUMPER by MADISON,DAMIEN",,,,,,,"MISS JUMPER by MADISON,DAMIEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:06,,20 (+3),,17,"GOOD 3PTR by WILLIAMS,CAMERON",Mill 20-17 (-3),,"GOOD 3PTR by WILLIAMS,CAMERON",1
08:50,,,,,"SUB OUT by BROWN,BROCK",,,"SUB OUT by BROWN,BROCK",1
08:50,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
08:50,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
08:50,,,,,"SUB IN by BROWN,BRYCE",,,"SUB IN by BROWN,BRYCE",1
08:50,"SUB OUT by BOHLING,DYLAN",,,,,,,"SUB OUT by BOHLING,DYLAN",1
08:50,"SUB IN by GOOLESBY,TATE",,,,,,,"SUB IN by GOOLESBY,TATE",1
08:47,"MISS 3PTR by PAGE,SAM",,,,,,,"MISS 3PTR by PAGE,SAM",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
08:31,,,,,"MISS 3PTR by BROWN,BRYCE",,,"MISS 3PTR by BROWN,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:28,"FOUL  by GOOLESBY,TATE",,,,,,,"FOUL  by GOOLESBY,TATE",1
08:28,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",1
08:28,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
08:28,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
08:18,,,,,"FOUL  by UGHOVWA,NICHOLAS",,,"FOUL  by UGHOVWA,NICHOLAS",1
08:18,"MISS FT by TONEY,CALEB",,,,,,,"MISS FT by TONEY,CALEB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:18,"SUB OUT by JOHNSON,JUSTIN",,,,,,,"SUB OUT by JOHNSON,JUSTIN",1
08:18,"SUB IN by GARDNER,MAX",,,,,,,"SUB IN by GARDNER,MAX",1
08:18,"MISS FT by TONEY,CALEB",,,,,,,"MISS FT by TONEY,CALEB",1
--,"REBOUND OFF by GARDNER,MAX",,,,,,,"REBOUND OFF by GARDNER,MAX",1
08:14,"MISS 3PTR by PAGE,SAM",,,,,,,"MISS 3PTR by PAGE,SAM",1
--,,,,,"REBOUND DEF by BROWN,BRYCE",,,"REBOUND DEF by BROWN,BRYCE",1
07:57,,,,,"MISS JUMPER by BROWN,BRYCE",,,"MISS JUMPER by BROWN,BRYCE",1
--,"REBOUND DEF by TONEY,CALEB",,,,,,,"REBOUND DEF by TONEY,CALEB",1
07:43,"GOOD JUMPER by PAGE,SAM",22 (+5),,17,,Hunt 22-17 (-5),,"GOOD JUMPER by PAGE,SAM",1
07:35,,22 (+3),,19,"GOOD LAYUP by WATSON,DOUG(in the paint)",Mill 22-19 (-3),,"GOOD LAYUP by WATSON,DOUG(in the paint)",1
07:22,"MISS 3PTR by GOOLESBY,TATE",,,,,,,"MISS 3PTR by GOOLESBY,TATE",1
--,"REBOUND OFF by TONEY,CALEB",,,,,,,"REBOUND OFF by TONEY,CALEB",1
07:08,,,,,"FOUL  by BROWN,BRYCE",,,"FOUL  by BROWN,BRYCE",1
07:08,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:08,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
07:08,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
07:08,"SUB OUT by MADISON,DAMIEN",,,,,,,"SUB OUT by MADISON,DAMIEN",1
