Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Miss,Game Score,Team Indicator,Play,Period
04:15,"TURNOVER  by BROWN,BROCK",,,,,,,"TURNOVER  by BROWN,BROCK",1
04:15,,,,,"SUB OUT by MILLER,MILES",,,"SUB OUT by MILLER,MILES",1
04:15,,,,,"SUB OUT by BOSTON,BRANDON",,,"SUB OUT by BOSTON,BRANDON",1
04:15,,,,,"SUB IN by COWART JR.,ANTONIO",,,"SUB IN by COWART JR.,ANTONIO",1
04:15,,,,,"SUB IN by JOVANOVIC,MARKO",,,"SUB IN by JOVANOVIC,MARKO",1
04:15,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
04:15,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",1
04:15,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
04:15,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
04:14,,24,,30 (+6),"GOOD LAYUP by THOMPSON,TRADAVIS(fastbreak)(in the paint)",Miss 24-30 (-6),,"GOOD LAYUP by THOMPSON,TRADAVIS(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COWART JR.,ANTONIO",,,"ASSIST  by COWART JR.,ANTONIO",1
03:40,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
03:28,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:28,,,,,"SUB OUT by JONES,ZACH",,,"SUB OUT by JONES,ZACH",1
03:28,,,,,"SUB IN by SMITH,GALEN",,,"SUB IN by SMITH,GALEN",1
03:28,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
03:28,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
03:14,,,,,"TURNOVER  by SMITH,GALEN",,,"TURNOVER  by SMITH,GALEN",1
03:02,,,,,"FOUL  by JOVANOVIC,MARKO",,,"FOUL  by JOVANOVIC,MARKO",1
03:02,"GOOD FT by WILLIAMS,CAMERON",25,,30 (+5),,Mill 25-30 (-5),,"GOOD FT by WILLIAMS,CAMERON",1
03:02,,,,,"SUB OUT by COWART JR.,ANTONIO",,,"SUB OUT by COWART JR.,ANTONIO",1
03:02,,,,,"SUB IN by BERZAT,LAMONT",,,"SUB IN by BERZAT,LAMONT",1
03:02,"GOOD FT by WILLIAMS,CAMERON",26,,30 (+4),,Mill 26-30 (-4),,"GOOD FT by WILLIAMS,CAMERON",1
02:44,,26,,33 (+7),"GOOD 3PTR by BERZAT,LAMONT",Miss 26-33 (-7),,"GOOD 3PTR by BERZAT,LAMONT",1
