Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
12:49,"GOOD FT by SPITZER,JAKOB",20 (+2),,18,,CEN 20-18 (-2),,"GOOD FT by SPITZER,JAKOB",1
12:49,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
12:49,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
12:35,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",1
12:35,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
12:25,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
12:23,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
12:11,,20,,20,"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 20-20 (0),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
11:58,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
11:57,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
11:53,,20,,22 (+2),"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",RHO 20-22 (+2),,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",1
11:42,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
11:39,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
11:36,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:36,"SUB OUT by CAVANAUGH,CHASE",,,,,,,"SUB OUT by CAVANAUGH,CHASE",1
11:36,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
11:36,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
11:36,"SUB OUT by MORETTE,MATT",,,,,,,"SUB OUT by MORETTE,MATT",1
11:36,"SUB OUT by DUNAWAY,MICHAEL",,,,,,,"SUB OUT by DUNAWAY,MICHAEL",1
11:36,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
11:36,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
11:36,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
11:36,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
11:36,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
11:36,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
11:36,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
11:36,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
11:36,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
11:36,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
11:36,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
11:36,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
11:36,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
11:36,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
11:36,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
11:36,,,,,"MISS 3PTR by WEIR,JJ",,,"MISS 3PTR by WEIR,JJ",1
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",1
11:22,,20,,24 (+4),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 20-24 (+4),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
10:53,"GOOD LAYUP by BATES,JACOB(in the paint)",22,,24 (+2),,CEN 22-24 (+2),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
10:53,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
10:53,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
10:42,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
10:42,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
10:42,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
10:42,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
10:42,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
10:42,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
10:42,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
10:42,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
10:42,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
10:42,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
10:42,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
10:42,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
10:33,,22,,27 (+5),"GOOD 3PTR by NYAWATA,ANESU",RHO 22-27 (+5),,"GOOD 3PTR by NYAWATA,ANESU",1
10:19,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
10:18,,,,,"STEAL  by DE FERIA,NICK",,,"STEAL  by DE FERIA,NICK",1
10:13,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
10:13,,22,,28 (+6),"GOOD FT by NYAWATA,ANESU",RHO 22-28 (+6),,"GOOD FT by NYAWATA,ANESU",1
10:13,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
10:13,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
10:13,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
10:13,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
10:13,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
10:13,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
10:13,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
10:13,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
10:13,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
10:13,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
10:13,"SUB OUT by CAVANAUGH,CHASE",,,,,,,"SUB OUT by CAVANAUGH,CHASE",1
10:13,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
10:13,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
10:13,"SUB OUT by MORETTE,MATT",,,,,,,"SUB OUT by MORETTE,MATT",1
10:13,"SUB OUT by DUNAWAY,MICHAEL",,,,,,,"SUB OUT by DUNAWAY,MICHAEL",1
10:13,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
10:13,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
10:13,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
10:13,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
10:13,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
10:13,,22,,29 (+7),"GOOD FT by NYAWATA,ANESU",RHO 22-29 (+7),,"GOOD FT by NYAWATA,ANESU",1
10:13,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
10:13,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
10:05,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
10:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:53,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
