Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,UCSCM,Game Score,Team Indicator,Play,Period
09:18,,,,,"TURNOVER  by CREIGHTON,KYLE",,,"TURNOVER  by CREIGHTON,KYLE",1
09:06,,21,,25 (+4),"GOOD LAYUP by CILIA,COREY(fastbreak)(in the paint)",UCSCM 21-25 (-4),,"GOOD LAYUP by CILIA,COREY(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DORFMAN,BEN",,,"ASSIST  by DORFMAN,BEN",1
08:58,,,,,"FOUL  by DORFMAN,BEN",,,"FOUL  by DORFMAN,BEN",1
08:58,"GOOD FT by WEATHERFORD,MITCH",22,,25 (+3),,RHO 22-25 (-3),,"GOOD FT by WEATHERFORD,MITCH",1
08:58,"GOOD FT by WEATHERFORD,MITCH",23,,25 (+2),,RHO 23-25 (-2),,"GOOD FT by WEATHERFORD,MITCH",1
08:58,,,,,"SUB IN by WESTON,TRE",,,"SUB IN by WESTON,TRE",1
08:58,,,,,"SUB OUT by DORFMAN,BEN",,,"SUB OUT by DORFMAN,BEN",1
08:53,"MISS LAYUP by NESTLEHUTT,JAKE",,,,,,,"MISS LAYUP by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by WESTON,TRE",,,"REBOUND DEF by WESTON,TRE",1
08:46,,,,,"FOUL  by CILIA,COREY",,,"FOUL  by CILIA,COREY",1
08:46,"GOOD FT by WEATHERFORD,MITCH",24,,25 (+1),,RHO 24-25 (-1),,"GOOD FT by WEATHERFORD,MITCH",1
08:46,"MISS FT by WEATHERFORD,MITCH",,,,,,,"MISS FT by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by CREIGHTON,KYLE",,,"REBOUND DEF by CREIGHTON,KYLE",1
08:46,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
08:46,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
08:46,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
08:46,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
08:46,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
08:46,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
08:42,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
08:42,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
08:37,,,,,"MISS JUMPER by KLINGENBECK,TYLER",,,"MISS JUMPER by KLINGENBECK,TYLER",1
08:37,"BLOCK  by NYAWATA,ANESU",,,,,,,"BLOCK  by NYAWATA,ANESU",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:29,,24,,28 (+4),"GOOD 3PTR by CILIA,COREY",UCSCM 24-28 (-4),,"GOOD 3PTR by CILIA,COREY",1
--,,,,,"ASSIST  by MARLOW,ADAM",,,"ASSIST  by MARLOW,ADAM",1
08:17,"MISS 3PTR by DE FERIA,NICK",,,,,,,"MISS 3PTR by DE FERIA,NICK",1
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",1
08:12,,,,,"FOUL  by CREIGHTON,KYLE",,,"FOUL  by CREIGHTON,KYLE",1
08:12,"GOOD FT by GEE,TYLER",25,,28 (+3),,RHO 25-28 (-3),,"GOOD FT by GEE,TYLER",1
08:12,"GOOD FT by GEE,TYLER",26,,28 (+2),,RHO 26-28 (-2),,"GOOD FT by GEE,TYLER",1
08:12,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
08:12,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
08:12,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
08:12,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
08:12,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
08:12,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
08:12,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
08:12,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
08:12,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
08:12,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
08:12,,,,,"SUB IN by CRAIN,WILL",,,"SUB IN by CRAIN,WILL",1
08:12,,,,,"SUB IN by JONES,ANDREW",,,"SUB IN by JONES,ANDREW",1
08:12,,,,,"SUB OUT by CREIGHTON,KYLE",,,"SUB OUT by CREIGHTON,KYLE",1
08:12,,,,,"SUB OUT by KLINGENBECK,TYLER",,,"SUB OUT by KLINGENBECK,TYLER",1
08:06,,,,,"MISS LAYUP by CRAIN,WILL",,,"MISS LAYUP by CRAIN,WILL",1
08:06,"BLOCK  by HARRISON,IAN",,,,,,,"BLOCK  by HARRISON,IAN",1
--,,,,,"REBOUND OFF by CRAIN,WILL",,,"REBOUND OFF by CRAIN,WILL",1
08:01,,26,,30 (+4),"GOOD DUNK by CRAIN,WILL(in the paint)",UCSCM 26-30 (-4),,"GOOD DUNK by CRAIN,WILL(in the paint)",1
07:44,"GOOD JUMPER by LOWRIE,ANDREW",28,,30 (+2),,RHO 28-30 (-2),,"GOOD JUMPER by LOWRIE,ANDREW",1
07:31,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
07:31,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
07:31,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
07:31,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
07:31,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
07:31,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
07:31,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
07:31,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
07:31,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
07:31,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
07:31,,,,,"SUB IN by NARAYANAM,VINAY",,,"SUB IN by NARAYANAM,VINAY",1
07:31,,,,,"SUB OUT by WESTON,TRE",,,"SUB OUT by WESTON,TRE",1
07:30,"FOUL  by GALVIN,OWEN",,,,,,,"FOUL  by GALVIN,OWEN",1
07:30,,28,,31 (+3),"GOOD FT by CRAIN,WILL",UCSCM 28-31 (-3),,"GOOD FT by CRAIN,WILL",1
07:30,,,,,"MISS FT by CRAIN,WILL",,,"MISS FT by CRAIN,WILL",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
07:21,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",1
07:18,"GOOD LAYUP by GEE,TYLER(in the paint)",30,,31 (+1),,RHO 30-31 (-1),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
07:18,,,,,"FOUL  by NARAYANAM,VINAY",,,"FOUL  by NARAYANAM,VINAY",1
07:18,"GOOD FT by GEE,TYLER",31,,31,,RHO 31-31 (0),,"GOOD FT by GEE,TYLER",1
07:12,,31,,33 (+2),"GOOD DUNK by CRAIN,WILL(fastbreak)(in the paint)",UCSCM 31-33 (-2),,"GOOD DUNK by CRAIN,WILL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MARLOW,ADAM",,,"ASSIST  by MARLOW,ADAM",1
06:59,"MISS JUMPER by GEE,TYLER",,,,,,,"MISS JUMPER by GEE,TYLER",1
06:59,,,,,"BLOCK  by CRAIN,WILL",,,"BLOCK  by CRAIN,WILL",1
--,"REBOUND OFF by DALTON,PRICE",,,,,,,"REBOUND OFF by DALTON,PRICE",1
06:52,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by CRAIN,WILL",,,"REBOUND DEF by CRAIN,WILL",1
06:45,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
06:45,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
06:45,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
06:45,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
06:45,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
06:45,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
06:45,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
06:45,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
06:44,,,,,"TURNOVER  by JONES,ANDREW",,,"TURNOVER  by JONES,ANDREW",1
06:44,"STEAL  by ASHBY,KENDRICK",,,,,,,"STEAL  by ASHBY,KENDRICK",1
06:42,"MISS LAYUP by ASHBY,KENDRICK",,,,,,,"MISS LAYUP by ASHBY,KENDRICK",1
--,"REBOUND OFF by ASHBY,KENDRICK",,,,,,,"REBOUND OFF by ASHBY,KENDRICK",1
06:40,,,,,"FOUL  by CILIA,COREY",,,"FOUL  by CILIA,COREY",1
06:40,"MISS FT by ASHBY,KENDRICK",,,,,,,"MISS FT by ASHBY,KENDRICK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:40,"GOOD FT by ASHBY,KENDRICK",32,,33 (+1),,RHO 32-33 (-1),,"GOOD FT by ASHBY,KENDRICK",1
06:40,,,,,"SUB IN by DORFMAN,BEN",,,"SUB IN by DORFMAN,BEN",1
06:40,,,,,"SUB IN by NERLAND,MATTHEW",,,"SUB IN by NERLAND,MATTHEW",1
06:40,,,,,"SUB OUT by CILIA,COREY",,,"SUB OUT by CILIA,COREY",1
06:40,,,,,"SUB OUT by JONES,ANDREW",,,"SUB OUT by JONES,ANDREW",1
06:30,,32,,35 (+3),"GOOD DUNK by CRAIN,WILL(fastbreak)(in the paint)",UCSCM 32-35 (-3),,"GOOD DUNK by CRAIN,WILL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MARLOW,ADAM",,,"ASSIST  by MARLOW,ADAM",1
06:15,"TURNOVER  by DE FERIA,NICK",,,,,,,"TURNOVER  by DE FERIA,NICK",1
06:14,,,,,"STEAL  by MARLOW,ADAM",,,"STEAL  by MARLOW,ADAM",1
06:12,"FOUL  by NYAWATA,ANESU",,,,,,,"FOUL  by NYAWATA,ANESU",1
06:12,,32,,36 (+4),"GOOD FT by NARAYANAM,VINAY",UCSCM 32-36 (-4),,"GOOD FT by NARAYANAM,VINAY",1
06:12,,,,,"MISS FT by NARAYANAM,VINAY",,,"MISS FT by NARAYANAM,VINAY",1
--,,,,,"REBOUND OFF by NERLAND,MATTHEW",,,"REBOUND OFF by NERLAND,MATTHEW",1
06:12,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
06:12,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
06:12,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
06:12,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
06:12,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
06:12,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
06:12,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
06:12,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
06:12,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
06:12,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
06:12,,,,,"SUB IN by WESTON,TRE",,,"SUB IN by WESTON,TRE",1
06:12,,,,,"SUB OUT by CRAIN,WILL",,,"SUB OUT by CRAIN,WILL",1
05:59,,,,,"MISS 3PTR by NARAYANAM,VINAY",,,"MISS 3PTR by NARAYANAM,VINAY",1
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",1
05:56,,,,,"FOUL  by NERLAND,MATTHEW",,,"FOUL  by NERLAND,MATTHEW",1
05:56,"GOOD FT by SULLIVAN,BRENNAN",33,,36 (+3),,RHO 33-36 (-3),,"GOOD FT by SULLIVAN,BRENNAN",1
05:56,"MISS FT by SULLIVAN,BRENNAN",,,,,,,"MISS FT by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by KLINGENBECK,TYLER",,,"REBOUND DEF by KLINGENBECK,TYLER",1
05:56,,,,,"SUB IN by KLINGENBECK,TYLER",,,"SUB IN by KLINGENBECK,TYLER",1
05:56,,,,,"SUB OUT by NERLAND,MATTHEW",,,"SUB OUT by NERLAND,MATTHEW",1
05:37,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
05:37,,33,,37 (+4),"GOOD FT by MARLOW,ADAM",UCSCM 33-37 (-4),,"GOOD FT by MARLOW,ADAM",1
05:37,,33,,38 (+5),"GOOD FT by MARLOW,ADAM",UCSCM 33-38 (-5),,"GOOD FT by MARLOW,ADAM",1
05:37,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
05:37,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
05:37,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
05:37,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
05:37,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
05:37,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
05:37,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
05:37,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
05:37,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
05:37,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
05:37,,,,,"SUB IN by CILIA,COREY",,,"SUB IN by CILIA,COREY",1
05:37,,,,,"SUB OUT by MARLOW,ADAM",,,"SUB OUT by MARLOW,ADAM",1
05:31,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
05:26,,33,,40 (+7),"GOOD JUMPER by KLINGENBECK,TYLER(fastbreak)(in the paint)",UCSCM 33-40 (-7),,"GOOD JUMPER by KLINGENBECK,TYLER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CILIA,COREY",,,"ASSIST  by CILIA,COREY",1
05:16,"MISS LAYUP by GALVIN,OWEN",,,,,,,"MISS LAYUP by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by KLINGENBECK,TYLER",,,"REBOUND DEF by KLINGENBECK,TYLER",1
05:08,,33,,42 (+9),"GOOD LAYUP by DORFMAN,BEN(fastbreak)(in the paint)",UCSCM 33-42 (-9),,"GOOD LAYUP by DORFMAN,BEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CILIA,COREY",,,"ASSIST  by CILIA,COREY",1
04:37,"TURNOVER  by NESTLEHUTT,JAKE",,,,,,,"TURNOVER  by NESTLEHUTT,JAKE",1
04:37,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
04:37,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
04:37,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
04:37,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
04:37,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
04:37,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
04:37,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
04:37,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
04:31,"FOUL  by NYAWATA,ANESU",,,,,,,"FOUL  by NYAWATA,ANESU",1
04:31,,,,,"MISS FT by NARAYANAM,VINAY",,,"MISS FT by NARAYANAM,VINAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:31,,,,,"MISS FT by NARAYANAM,VINAY",,,"MISS FT by NARAYANAM,VINAY",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
04:30,,,,,"FOUL  by WESTON,TRE",,,"FOUL  by WESTON,TRE",1
04:30,"GOOD FT by GEE,TYLER",34,,42 (+8),,RHO 34-42 (-8),,"GOOD FT by GEE,TYLER",1
04:30,"MISS FT by GEE,TYLER",,,,,,,"MISS FT by GEE,TYLER",1
--,,,,,"REBOUND DEF by DORFMAN,BEN",,,"REBOUND DEF by DORFMAN,BEN",1
04:30,,,,,"SUB IN by HOLLER,DYLAN",,,"SUB IN by HOLLER,DYLAN",1
04:30,,,,,"SUB OUT by WESTON,TRE",,,"SUB OUT by WESTON,TRE",1
04:14,,,,,"MISS LAYUP by DORFMAN,BEN",,,"MISS LAYUP by DORFMAN,BEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:07,,,,,"FOUL  by HOLLER,DYLAN",,,"FOUL  by HOLLER,DYLAN",1
04:07,"MISS FT by DARST,DANIEL",,,,,,,"MISS FT by DARST,DANIEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:07,"MISS FT by DARST,DANIEL",,,,,,,"MISS FT by DARST,DANIEL",1
--,,,,,"REBOUND DEF by NARAYANAM,VINAY",,,"REBOUND DEF by NARAYANAM,VINAY",1
04:07,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
04:07,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
04:07,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
04:07,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
04:07,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
04:07,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
04:07,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
04:07,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
03:57,,,,,"MISS LAYUP by KLINGENBECK,TYLER",,,"MISS LAYUP by KLINGENBECK,TYLER",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
03:45,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
03:45,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
03:45,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
03:45,,,,,"SUB IN by MARLOW,ADAM",,,"SUB IN by MARLOW,ADAM",1
03:45,,,,,"SUB IN by ANIGBOGU,IKENNA",,,"SUB IN by ANIGBOGU,IKENNA",1
03:45,,,,,"SUB OUT by NARAYANAM,VINAY",,,"SUB OUT by NARAYANAM,VINAY",1
03:45,,,,,"SUB OUT by KLINGENBECK,TYLER",,,"SUB OUT by KLINGENBECK,TYLER",1
03:40,,,,,"TURNOVER  by MARLOW,ADAM",,,"TURNOVER  by MARLOW,ADAM",1
03:33,,,,,"FOUL  by DORFMAN,BEN",,,"FOUL  by DORFMAN,BEN",1
03:33,"MISS FT by HARRISON,IAN",,,,,,,"MISS FT by HARRISON,IAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:33,"GOOD FT by HARRISON,IAN",35,,42 (+7),,RHO 35-42 (-7),,"GOOD FT by HARRISON,IAN",1
03:33,,,,,"SUB IN by JONES,ANDREW",,,"SUB IN by JONES,ANDREW",1
03:33,,,,,"SUB OUT by DORFMAN,BEN",,,"SUB OUT by DORFMAN,BEN",1
03:25,,,,,"MISS JUMPER by ANIGBOGU,IKENNA",,,"MISS JUMPER by ANIGBOGU,IKENNA",1
--,"REBOUND DEF by LOWRIE,ANDREW",,,,,,,"REBOUND DEF by LOWRIE,ANDREW",1
03:15,"MISS 3PTR by LOWRIE,ANDREW",,,,,,,"MISS 3PTR by LOWRIE,ANDREW",1
--,,,,,"REBOUND DEF by JONES,ANDREW",,,"REBOUND DEF by JONES,ANDREW",1
03:12,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
03:12,,,,,"MISS FT by JONES,ANDREW",,,"MISS FT by JONES,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:12,,35,,43 (+8),"GOOD FT by JONES,ANDREW",UCSCM 35-43 (-8),,"GOOD FT by JONES,ANDREW",1
03:12,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
03:12,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
03:12,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
03:12,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
03:12,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
03:12,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
03:12,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
03:12,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
03:12,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
03:12,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
03:12,,,,,"SUB IN by NERLAND,MATTHEW",,,"SUB IN by NERLAND,MATTHEW",1
03:12,,,,,"SUB OUT by ANIGBOGU,IKENNA",,,"SUB OUT by ANIGBOGU,IKENNA",1
03:04,,,,,"FOUL  by JONES,ANDREW",,,"FOUL  by JONES,ANDREW",1
03:04,"GOOD FT by WEATHERFORD,MITCH",36,,43 (+7),,RHO 36-43 (-7),,"GOOD FT by WEATHERFORD,MITCH",1
03:04,"GOOD FT by WEATHERFORD,MITCH",37,,43 (+6),,RHO 37-43 (-6),,"GOOD FT by WEATHERFORD,MITCH",1
02:53,,,,,"TURNOVER  by MARLOW,ADAM",,,"TURNOVER  by MARLOW,ADAM",1
02:51,"STEAL  by WEATHERFORD,MITCH",,,,,,,"STEAL  by WEATHERFORD,MITCH",1
02:48,"GOOD 3PTR by DALTON,PRICE",40,,43 (+3),,RHO 40-43 (-3),,"GOOD 3PTR by DALTON,PRICE",1
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
02:36,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
02:36,,40,,44 (+4),"GOOD FT by MARLOW,ADAM",UCSCM 40-44 (-4),,"GOOD FT by MARLOW,ADAM",1
02:36,,40,,45 (+5),"GOOD FT by MARLOW,ADAM",UCSCM 40-45 (-5),,"GOOD FT by MARLOW,ADAM",1
02:36,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
02:36,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
02:36,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
02:36,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
02:36,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
02:36,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
02:36,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
02:36,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
02:36,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
02:36,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
02:36,,,,,"SUB IN by NARAYANAM,VINAY",,,"SUB IN by NARAYANAM,VINAY",1
02:36,,,,,"SUB IN by KLINGENBECK,TYLER",,,"SUB IN by KLINGENBECK,TYLER",1
02:36,,,,,"SUB OUT by NERLAND,MATTHEW",,,"SUB OUT by NERLAND,MATTHEW",1
02:36,,,,,"SUB OUT by CILIA,COREY",,,"SUB OUT by CILIA,COREY",1
02:31,"MISS JUMPER by DARST,DANIEL",,,,,,,"MISS JUMPER by DARST,DANIEL",1
--,,,,,"REBOUND DEF by KLINGENBECK,TYLER",,,"REBOUND DEF by KLINGENBECK,TYLER",1
02:13,,,,,"MISS 3PTR by JONES,ANDREW",,,"MISS 3PTR by JONES,ANDREW",1
--,"REBOUND DEF by ASHBY,KENDRICK",,,,,,,"REBOUND DEF by ASHBY,KENDRICK",1
01:59,"FOUL  by NYAWATA,ANESU",,,,,,,"FOUL  by NYAWATA,ANESU",1
01:59,"TURNOVER  by NYAWATA,ANESU",,,,,,,"TURNOVER  by NYAWATA,ANESU",1
01:59,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
01:59,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
01:59,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
01:59,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
01:59,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
01:59,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
01:59,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
01:59,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
01:59,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
01:59,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
01:49,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
01:49,,,,,"MISS FT by MARLOW,ADAM",,,"MISS FT by MARLOW,ADAM",1
