Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,WC,Game Score,Team Indicator,Play,Period
00:54,,,,,"MISS LAYUP by HOWELL,TIM",,,"MISS LAYUP by HOWELL,TIM",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
00:47,"GOOD LAYUP by WEIR,JJ(fastbreak)(in the paint)",47,,49 (+2),,RHO 47-49 (-2),,"GOOD LAYUP by WEIR,JJ(fastbreak)(in the paint)",1
00:40,,,,,"MISS JUMPER by HOWELL,TIM",,,"MISS JUMPER by HOWELL,TIM",1
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",1
00:32,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,,,,,"REBOUND DEF by WIGGINS,JOJO",,,"REBOUND DEF by WIGGINS,JOJO",1
00:11,,47,,51 (+4),"GOOD LAYUP by HOWELL,TIM(in the paint)",WC 47-51 (-4),,"GOOD LAYUP by HOWELL,TIM(in the paint)",1
00:06,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
00:05,,,,,"STEAL  by STEWART,JACK",,,"STEAL  by STEWART,JACK",1
00:03,,,,,"MISS 3PTR by STEWART,JACK",,,"MISS 3PTR by STEWART,JACK",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
19:53,"GOOD LAYUP by GEE,TYLER(in the paint)",49,,51 (+2),,RHO 49-51 (-2),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
19:44,,49,,53 (+4),"GOOD LAYUP by BUTLER,AUSTIN(in the paint)",WC 49-53 (-4),,"GOOD LAYUP by BUTLER,AUSTIN(in the paint)",2
19:26,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",2
19:25,,,,,"STEAL  by HOWELL,TIM",,,"STEAL  by HOWELL,TIM",2
19:22,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",2
19:22,,,,,"MISS FT by HOWELL,TIM",,,"MISS FT by HOWELL,TIM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:22,,49,,54 (+5),"GOOD FT by HOWELL,TIM",WC 49-54 (-5),,"GOOD FT by HOWELL,TIM",2
19:22,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",2
19:22,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",2
19:22,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",2
19:22,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",2
19:22,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",2
19:22,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
19:22,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
19:22,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
19:22,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",2
19:22,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",2
19:11,"GOOD 3PTR by NYAWATA,ANESU",52,,54 (+2),,RHO 52-54 (-2),,"GOOD 3PTR by NYAWATA,ANESU",2
--,"ASSIST  by DE FERIA,NICK",,,,,,,"ASSIST  by DE FERIA,NICK",2
18:56,,52,,56 (+4),"GOOD DUNK by WIGGINS,JOJO(in the paint)",WC 52-56 (-4),,"GOOD DUNK by WIGGINS,JOJO(in the paint)",2
--,,,,,"ASSIST  by HARRISON,JASE",,,"ASSIST  by HARRISON,JASE",2
18:45,"TURNOVER  by DE FERIA,NICK",,,,,,,"TURNOVER  by DE FERIA,NICK",2
18:43,,,,,"STEAL  by WIGGINS,JOJO",,,"STEAL  by WIGGINS,JOJO",2
18:39,,52,,58 (+6),"GOOD LAYUP by HOWELL,TIM(fastbreak)(in the paint)",WC 52-58 (-6),,"GOOD LAYUP by HOWELL,TIM(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BUTLER,AUSTIN",,,"ASSIST  by BUTLER,AUSTIN",2
18:39,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
18:39,,52,,59 (+7),"GOOD FT by HOWELL,TIM",WC 52-59 (-7),,"GOOD FT by HOWELL,TIM",2
18:39,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",2
18:39,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
18:39,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",2
18:39,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",2
18:39,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
18:39,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",2
18:39,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",2
18:39,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",2
18:39,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",2
18:39,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",2
18:39,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",2
18:39,,,,,"SUB IN by JACOBS-JONES,CEDRIC",,,"SUB IN by JACOBS-JONES,CEDRIC",2
18:39,,,,,"SUB IN by KIRKLEY,JARON",,,"SUB IN by KIRKLEY,JARON",2
18:39,,,,,"SUB OUT by STEWART,JACK",,,"SUB OUT by STEWART,JACK",2
18:39,,,,,"SUB OUT by WIGGINS,JOJO",,,"SUB OUT by WIGGINS,JOJO",2
18:39,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",2
18:15,"TURNOVER  by LOWRIE,ANDREW",,,,,,,"TURNOVER  by LOWRIE,ANDREW",2
18:13,,,,,"STEAL  by BUTLER,AUSTIN",,,"STEAL  by BUTLER,AUSTIN",2
18:07,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",2
18:07,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",2
18:07,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
18:07,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",2
18:07,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
18:07,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",2
18:07,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
18:07,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",2
18:07,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",2
18:07,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
18:03,,,,,"TURNOVER  by HEWITT,JOEY",,,"TURNOVER  by HEWITT,JOEY",2
18:02,"STEAL  by BERRY,BRYCE",,,,,,,"STEAL  by BERRY,BRYCE",2
17:55,"GOOD 3PTR by SULLIVAN,BRENNAN",55,,59 (+4),,RHO 55-59 (-4),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",2
17:44,,,,,"MISS LAYUP by JACOBS-JONES,CEDRIC",,,"MISS LAYUP by JACOBS-JONES,CEDRIC",2
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",2
17:37,"GOOD LAYUP by BERRY,BRYCE(in the paint)",57,,59 (+2),,RHO 57-59 (-2),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",2
17:27,,57,,61 (+4),"GOOD LAYUP by BUTLER,AUSTIN(in the paint)",WC 57-61 (-4),,"GOOD LAYUP by BUTLER,AUSTIN(in the paint)",2
17:09,"GOOD 3PTR by SULLIVAN,BRENNAN",60,,61 (+1),,RHO 60-61 (-1),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by ASHBY,KENDRICK",,,,,,,"ASSIST  by ASHBY,KENDRICK",2
17:04,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
17:04,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",2
17:04,,,,,"SUB IN by MCDONALD,CHRISTIAN",,,"SUB IN by MCDONALD,CHRISTIAN",2
17:04,,,,,"SUB IN by STEWART,JACK",,,"SUB IN by STEWART,JACK",2
17:04,,,,,"SUB OUT by HEWITT,JOEY",,,"SUB OUT by HEWITT,JOEY",2
17:04,,,,,"SUB OUT by HARRISON,JASE",,,"SUB OUT by HARRISON,JASE",2
17:04,,,,,"SUB OUT by KIRKLEY,JARON",,,"SUB OUT by KIRKLEY,JARON",2
16:40,,60,,63 (+3),"GOOD JUMPER by HOWELL,TIM(in the paint)",WC 60-63 (-3),,"GOOD JUMPER by HOWELL,TIM(in the paint)",2
16:27,"MISS LAYUP by DARST,DANIEL",,,,,,,"MISS LAYUP by DARST,DANIEL",2
16:27,,,,,"BLOCK  by MCDONALD,CHRISTIAN",,,"BLOCK  by MCDONALD,CHRISTIAN",2
--,,,,,"REBOUND DEF by HOWELL,TIM",,,"REBOUND DEF by HOWELL,TIM",2
16:18,,60,,65 (+5),"GOOD DUNK by BUTLER,AUSTIN(fastbreak)(in the paint)",WC 60-65 (-5),,"GOOD DUNK by BUTLER,AUSTIN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by HOWELL,TIM",,,"ASSIST  by HOWELL,TIM",2
16:09,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",2
16:09,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",2
16:09,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",2
16:09,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
16:09,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",2
16:09,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",2
16:09,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",2
16:09,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
16:09,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",2
16:09,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
16:09,,,,,"SUB IN by HARRISON,JASE",,,"SUB IN by HARRISON,JASE",2
16:09,,,,,"SUB OUT by BUTLER,AUSTIN",,,"SUB OUT by BUTLER,AUSTIN",2
16:04,"GOOD 3PTR by NYAWATA,ANESU",63,,65 (+2),,RHO 63-65 (-2),,"GOOD 3PTR by NYAWATA,ANESU",2
16:00,,63,,67 (+4),"GOOD LAYUP by HARRISON,JASE(fastbreak)(in the paint)",WC 63-67 (-4),,"GOOD LAYUP by HARRISON,JASE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by HOWELL,TIM",,,"ASSIST  by HOWELL,TIM",2
15:49,"GOOD 3PTR by DALTON,PRICE",66,,67 (+1),,RHO 66-67 (-1),,"GOOD 3PTR by DALTON,PRICE",2
--,"ASSIST  by NYAWATA,ANESU",,,,,,,"ASSIST  by NYAWATA,ANESU",2
15:44,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
15:44,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",2
15:44,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",2
15:44,,,,,"SUB IN by WIGGINS,JOJO",,,"SUB IN by WIGGINS,JOJO",2
15:44,,,,,"SUB OUT by MCDONALD,CHRISTIAN",,,"SUB OUT by MCDONALD,CHRISTIAN",2
15:44,,,,,"SUB OUT by JACOBS-JONES,CEDRIC",,,"SUB OUT by JACOBS-JONES,CEDRIC",2
15:31,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",2
15:19,,,,,"SUB IN by BUTLER,AUSTIN",,,"SUB IN by BUTLER,AUSTIN",2
15:19,,,,,"SUB OUT by HARRISON,JASE",,,"SUB OUT by HARRISON,JASE",2
15:18,,66,,69 (+3),"GOOD LAYUP by STEWART,JACK(in the paint)",WC 66-69 (-3),,"GOOD LAYUP by STEWART,JACK(in the paint)",2
15:18,,,,,"FOUL  by STEWART,JACK",,,"FOUL  by STEWART,JACK",2
15:18,"GOOD FT by NYAWATA,ANESU",67,,69 (+2),,RHO 67-69 (-2),,"GOOD FT by NYAWATA,ANESU",2
15:18,"GOOD FT by NYAWATA,ANESU",68,,69 (+1),,RHO 68-69 (-1),,"GOOD FT by NYAWATA,ANESU",2
15:18,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",2
15:18,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",2
15:18,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
15:18,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",2
15:18,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",2
15:18,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
15:18,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",2
15:18,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",2
15:18,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
15:18,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",2
15:18,,,,,"SUB IN by OSBORNE,TREVOR",,,"SUB IN by OSBORNE,TREVOR",2
15:18,,,,,"SUB OUT by STEWART,JACK",,,"SUB OUT by STEWART,JACK",2
15:12,,,,,"MISS LAYUP by BUTLER,AUSTIN",,,"MISS LAYUP by BUTLER,AUSTIN",2
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",2
15:02,"MISS 3PTR by MCINTYRE,WILL",,,,,,,"MISS 3PTR by MCINTYRE,WILL",2
--,,,,,"REBOUND DEF by OSBORNE,TREVOR",,,"REBOUND DEF by OSBORNE,TREVOR",2
14:51,,,,,"MISS JUMPER by HOWELL,TIM",,,"MISS JUMPER by HOWELL,TIM",2
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",2
14:34,"MISS 3PTR by WEIR,JJ",,,,,,,"MISS 3PTR by WEIR,JJ",2
--,,,,,"REBOUND DEF by HEWITT,JOEY",,,"REBOUND DEF by HEWITT,JOEY",2
14:23,"FOUL  by MCINTYRE,WILL",,,,,,,"FOUL  by MCINTYRE,WILL",2
14:23,"FOUL  by ASHBY,KENDRICK",,,,,,,"FOUL  by ASHBY,KENDRICK",2
14:23,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
14:23,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",2
14:23,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
14:23,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",2
14:23,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
14:23,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",2
14:23,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",2
14:23,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
14:23,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",2
14:23,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",2
14:14,,,,,"MISS JUMPER by HOWELL,TIM",,,"MISS JUMPER by HOWELL,TIM",2
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",2
13:56,"MISS JUMPER by ASHBY,KENDRICK",,,,,,,"MISS JUMPER by ASHBY,KENDRICK",2
13:56,,,,,"BLOCK  by HARRISON,JASE",,,"BLOCK  by HARRISON,JASE",2
--,,,,,"REBOUND DEF by HEWITT,JOEY",,,"REBOUND DEF by HEWITT,JOEY",2
13:48,,68,,71 (+3),"GOOD LAYUP by HEWITT,JOEY(fastbreak)(in the paint)",WC 68-71 (-3),,"GOOD LAYUP by HEWITT,JOEY(fastbreak)(in the paint)",2
13:39,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",70,,71 (+1),,RHO 70-71 (-1),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",2
13:21,,70,,73 (+3),"GOOD LAYUP by WIGGINS,JOJO(in the paint)",WC 70-73 (-3),,"GOOD LAYUP by WIGGINS,JOJO(in the paint)",2
--,,,,,"ASSIST  by BUTLER,AUSTIN",,,"ASSIST  by BUTLER,AUSTIN",2
13:05,,,,,"FOUL  by WIGGINS,JOJO",,,"FOUL  by WIGGINS,JOJO",2
13:05,"GOOD FT by GEE,TYLER",71,,73 (+2),,RHO 71-73 (-2),,"GOOD FT by GEE,TYLER",2
13:05,"GOOD FT by GEE,TYLER",72,,73 (+1),,RHO 72-73 (-1),,"GOOD FT by GEE,TYLER",2
13:05,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",2
13:05,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",2
13:05,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",2
13:05,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",2
13:05,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",2
13:05,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
13:05,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",2
13:05,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
13:05,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",2
13:05,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
13:05,,,,,"SUB IN by JACOBS-JONES,CEDRIC",,,"SUB IN by JACOBS-JONES,CEDRIC",2
13:05,,,,,"SUB IN by MCDONALD,CHRISTIAN",,,"SUB IN by MCDONALD,CHRISTIAN",2
13:05,,,,,"SUB IN by STEWART,JACK",,,"SUB IN by STEWART,JACK",2
13:05,,,,,"SUB IN by KIRKLEY,JARON",,,"SUB IN by KIRKLEY,JARON",2
13:05,,,,,"SUB IN by HARRISON,JASE",,,"SUB IN by HARRISON,JASE",2
13:05,,,,,"SUB OUT by BUTLER,AUSTIN",,,"SUB OUT by BUTLER,AUSTIN",2
13:05,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",2
13:05,,,,,"SUB OUT by HEWITT,JOEY",,,"SUB OUT by HEWITT,JOEY",2
13:05,,,,,"SUB OUT by WIGGINS,JOJO",,,"SUB OUT by WIGGINS,JOJO",2
13:05,,,,,"SUB OUT by OSBORNE,TREVOR",,,"SUB OUT by OSBORNE,TREVOR",2
12:57,"FOUL  by NESTLEHUTT,JAKE",,,,,,,"FOUL  by NESTLEHUTT,JAKE",2
12:57,,72,,74 (+2),"GOOD FT by STEWART,JACK",WC 72-74 (-2),,"GOOD FT by STEWART,JACK",2
12:57,,72,,75 (+3),"GOOD FT by STEWART,JACK",WC 72-75 (-3),,"GOOD FT by STEWART,JACK",2
12:46,"TURNOVER  by NYAWATA,ANESU",,,,,,,"TURNOVER  by NYAWATA,ANESU",2
12:45,,,,,"STEAL  by KIRKLEY,JARON",,,"STEAL  by KIRKLEY,JARON",2
12:43,,72,,77 (+5),"GOOD LAYUP by STEWART,JACK(fastbreak)(in the paint)",WC 72-77 (-5),,"GOOD LAYUP by STEWART,JACK(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by KIRKLEY,JARON",,,"ASSIST  by KIRKLEY,JARON",2
12:38,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",2
12:38,,72,,78 (+6),"GOOD FT by STEWART,JACK",WC 72-78 (-6),,"GOOD FT by STEWART,JACK",2
12:38,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
12:38,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",2
12:38,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",2
12:38,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
12:38,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",2
12:38,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",2
12:38,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",2
12:38,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",2
12:38,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",2
12:38,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",2
12:28,,,,,"FOUL  by STEWART,JACK",,,"FOUL  by STEWART,JACK",2
12:28,"GOOD FT by GALVIN,OWEN",73,,78 (+5),,RHO 73-78 (-5),,"GOOD FT by GALVIN,OWEN",2
12:28,"GOOD FT by GALVIN,OWEN",74,,78 (+4),,RHO 74-78 (-4),,"GOOD FT by GALVIN,OWEN",2
12:28,,,,,"SUB IN by BUTLER,AUSTIN",,,"SUB IN by BUTLER,AUSTIN",2
12:28,,,,,"SUB OUT by MCDONALD,CHRISTIAN",,,"SUB OUT by MCDONALD,CHRISTIAN",2
12:16,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",2
12:16,,,,,"MISS FT by KIRKLEY,JARON",,,"MISS FT by KIRKLEY,JARON",2
--,"REBOUND DEF by ASHBY,KENDRICK",,,,,,,"REBOUND DEF by ASHBY,KENDRICK",2
12:16,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",2
12:16,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",2
12:16,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",2
12:16,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
12:16,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",2
12:16,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
12:16,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",2
12:16,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",2
12:16,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
12:16,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",2
12:13,,,,,"FOUL  by KIRKLEY,JARON",,,"FOUL  by KIRKLEY,JARON",2
12:13,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",2
12:13,,,,,"SUB OUT by KIRKLEY,JARON",,,"SUB OUT by KIRKLEY,JARON",2
11:56,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
11:56,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
11:53,,74,,80 (+6),"GOOD LAYUP by HARRISON,JASE(fastbreak)(in the paint)",WC 74-80 (-6),,"GOOD LAYUP by HARRISON,JASE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by STEWART,JACK",,,"ASSIST  by STEWART,JACK",2
11:45,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",76,,80 (+4),,RHO 76-80 (-4),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",2
11:34,,,,,"MISS LAYUP by JACOBS-JONES,CEDRIC",,,"MISS LAYUP by JACOBS-JONES,CEDRIC",2
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",2
11:20,,,,,"SUB IN by WIGGINS,JOJO",,,"SUB IN by WIGGINS,JOJO",2
11:20,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",2
11:20,,,,,"SUB OUT by JACOBS-JONES,CEDRIC",,,"SUB OUT by JACOBS-JONES,CEDRIC",2
11:20,,,,,"SUB OUT by HARRISON,JASE",,,"SUB OUT by HARRISON,JASE",2
11:15,"GOOD LAYUP by DARST,DANIEL(in the paint)",78,,80 (+2),,RHO 78-80 (-2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",2
11:07,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",2
11:07,,78,,81 (+3),"GOOD FT by HEWITT,JOEY",WC 78-81 (-3),,"GOOD FT by HEWITT,JOEY",2
11:07,,78,,82 (+4),"GOOD FT by HEWITT,JOEY",WC 78-82 (-4),,"GOOD FT by HEWITT,JOEY",2
11:07,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
11:07,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",2
11:07,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",2
11:07,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",2
11:07,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",2
11:07,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",2
11:07,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",2
11:07,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
11:07,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
11:07,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",2
11:07,,,,,"SUB IN by KIRKLEY,JARON",,,"SUB IN by KIRKLEY,JARON",2
11:07,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",2
11:00,,,,,"SUB IN by MCDONALD,CHRISTIAN",,,"SUB IN by MCDONALD,CHRISTIAN",2
11:00,,,,,"SUB OUT by STEWART,JACK",,,"SUB OUT by STEWART,JACK",2
