Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
14:26,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
14:26,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
14:26,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
14:16,,,,,"MISS LAYUP by WEATHERFORD,MITCH",,,"MISS LAYUP by WEATHERFORD,MITCH",1
14:16,"BLOCK  by VAN HEERINGEN,GIAN",,,,,,,"BLOCK  by VAN HEERINGEN,GIAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:06,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
14:06,"BLOCK  by VAN HEERINGEN,GIAN",,,,,,,"BLOCK  by VAN HEERINGEN,GIAN",1
--,"REBOUND DEF by VAN HEERINGEN,GIAN",,,,,,,"REBOUND DEF by VAN HEERINGEN,GIAN",1
14:00,"GOOD LAYUP by PRICE,VICTOR(fastbreak)(in the paint)",15 (+1),,14,,BU 15-14 (-1),,"GOOD LAYUP by PRICE,VICTOR(fastbreak)(in the paint)",1
--,"ASSIST  by VAN HEERINGEN,GIAN",,,,,,,"ASSIST  by VAN HEERINGEN,GIAN",1
13:43,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,"REBOUND DEF by SIMPSON,DAVID",,,,,,,"REBOUND DEF by SIMPSON,DAVID",1
13:40,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",1
13:40,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
13:40,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
13:40,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
13:40,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
13:40,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
13:40,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
