Time Remaining,OGL,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
11:07,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
11:07,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
11:07,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
11:07,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
11:07,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
11:07,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
11:07,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
11:07,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
11:07,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
11:07,"MISS FT by SIGRIST,CONNOR",,,,,,,"MISS FT by SIGRIST,CONNOR",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
11:00,,11,,27 (+16),"GOOD 3PTR by NYAWATA,ANESU",RHO 11-27 (+16),,"GOOD 3PTR by NYAWATA,ANESU",1
10:45,"TURNOVER  by HUFFMAN,DEVIN",,,,,,,"TURNOVER  by HUFFMAN,DEVIN",1
10:45,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
10:45,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
10:45,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",1
10:45,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
10:45,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
10:45,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
10:45,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",1
10:45,"SUB IN by HUFFMAN,DEVIN",,,,,,,"SUB IN by HUFFMAN,DEVIN",1
10:45,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
10:45,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
10:37,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND DEF by HUFFMAN,DEVIN",,,,,,,"REBOUND DEF by HUFFMAN,DEVIN",1
10:26,"TURNOVER  by HUFFMAN,DEVIN",,,,,,,"TURNOVER  by HUFFMAN,DEVIN",1
10:25,,,,,"STEAL  by NYAWATA,ANESU",,,"STEAL  by NYAWATA,ANESU",1
10:20,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
10:15,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",1
--,"REBOUND DEF by HUFFMAN,DEVIN",,,,,,,"REBOUND DEF by HUFFMAN,DEVIN",1
10:07,,,,,"FOUL  by NYAWATA,ANESU",,,"FOUL  by NYAWATA,ANESU",1
10:07,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
10:07,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
10:07,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
10:07,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
10:07,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
10:07,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
10:07,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
10:07,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
10:07,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
10:07,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
10:07,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
10:07,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
10:07,"GOOD FT by PATRICK,DREW",12,,27 (+15),,OGL 12-27 (+15),,"GOOD FT by PATRICK,DREW",1
10:07,"MISS FT by PATRICK,DREW",,,,,,,"MISS FT by PATRICK,DREW",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
09:56,,12,,29 (+17),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 12-29 (+17),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by NESTLEHUTT,JAKE",,,"ASSIST  by NESTLEHUTT,JAKE",1
09:47,"GOOD LAYUP by PATRICK,DREW(in the paint)",14,,29 (+15),,OGL 14-29 (+15),,"GOOD LAYUP by PATRICK,DREW(in the paint)",1
09:47,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
09:47,"GOOD FT by PATRICK,DREW",15,,29 (+14),,OGL 15-29 (+14),,"GOOD FT by PATRICK,DREW",1
09:47,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
09:47,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
09:47,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
09:47,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
09:47,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
09:47,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
09:47,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
09:47,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
09:47,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
09:47,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
09:37,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by HUFFMAN,DEVIN",,,,,,,"REBOUND DEF by HUFFMAN,DEVIN",1
09:27,"GOOD LAYUP by INUNGU,TOM(fastbreak)(in the paint)",17,,29 (+12),,OGL 17-29 (+12),,"GOOD LAYUP by INUNGU,TOM(fastbreak)(in the paint)",1
--,"ASSIST  by PATRICK,DREW",,,,,,,"ASSIST  by PATRICK,DREW",1
09:18,,,,,"MISS LAYUP by WEIR,JJ",,,"MISS LAYUP by WEIR,JJ",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
09:06,"GOOD LAYUP by PATRICK,DREW(fastbreak)(in the paint)",19,,29 (+10),,OGL 19-29 (+10),,"GOOD LAYUP by PATRICK,DREW(fastbreak)(in the paint)",1
08:46,,19,,31 (+12),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 19-31 (+12),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
08:33,"TURNOVER  by HUFFMAN,DEVIN",,,,,,,"TURNOVER  by HUFFMAN,DEVIN",1
08:33,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
08:31,,19,,34 (+15),"GOOD 3PTR by SULLIVAN,BRENNAN(fastbreak)",RHO 19-34 (+15),,"GOOD 3PTR by SULLIVAN,BRENNAN(fastbreak)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
08:29,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
08:29,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
08:29,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
08:29,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
08:29,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
08:29,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
08:29,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
08:29,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
08:29,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
08:29,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
08:29,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
08:29,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
08:29,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",1
08:29,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
08:29,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
08:29,"SUB IN by TURNER,MIKE",,,,,,,"SUB IN by TURNER,MIKE",1
08:29,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
08:29,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
08:29,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",1
08:29,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
08:22,"GOOD LAYUP by INUNGU,TOM(in the paint)",21,,34 (+13),,OGL 21-34 (+13),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
--,"ASSIST  by EDWARDS,JUSTIN",,,,,,,"ASSIST  by EDWARDS,JUSTIN",1
08:12,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:02,"MISS LAYUP by EDWARDS,JUSTIN",,,,,,,"MISS LAYUP by EDWARDS,JUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:55,"GOOD JUMPER by TURNER,MIKE",23,,34 (+11),,OGL 23-34 (+11),,"GOOD JUMPER by TURNER,MIKE",1
--,"ASSIST  by ANDINO,GEORGE",,,,,,,"ASSIST  by ANDINO,GEORGE",1
07:42,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
07:42,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
07:42,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
07:42,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
07:42,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
07:42,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
07:42,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
07:42,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
07:42,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
07:42,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
07:42,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
07:29,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",1
07:22,"GOOD LAYUP by INUNGU,TOM(in the paint)",25,,34 (+9),,OGL 25-34 (+9),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
--,"ASSIST  by LAWRENCE,CHRIS",,,,,,,"ASSIST  by LAWRENCE,CHRIS",1
06:58,"FOUL  by EDWARDS,JUSTIN",,,,,,,"FOUL  by EDWARDS,JUSTIN",1
06:58,,25,,35 (+10),"GOOD FT by SULLIVAN,BRENNAN",RHO 25-35 (+10),,"GOOD FT by SULLIVAN,BRENNAN",1
06:58,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
06:58,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
06:58,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
06:58,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
06:58,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
06:58,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
06:58,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
06:58,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
06:58,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
06:58,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
06:58,"SUB IN by HUFFMAN,DEVIN",,,,,,,"SUB IN by HUFFMAN,DEVIN",1
06:58,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
06:58,,25,,36 (+11),"GOOD FT by SULLIVAN,BRENNAN",RHO 25-36 (+11),,"GOOD FT by SULLIVAN,BRENNAN",1
06:58,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
06:58,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
06:53,"GOOD 3PTR by TURNER,MIKE(fastbreak)",28,,36 (+8),,OGL 28-36 (+8),,"GOOD 3PTR by TURNER,MIKE(fastbreak)",1
--,"ASSIST  by ANDINO,GEORGE",,,,,,,"ASSIST  by ANDINO,GEORGE",1
06:44,,,,,"MISS 3PTR by DALTON,PRICE",,,"MISS 3PTR by DALTON,PRICE",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
06:40,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
06:25,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
06:25,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
06:25,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
06:25,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
06:25,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
06:25,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
06:25,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
06:25,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
06:25,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
06:25,,,,,"SUB IN by MCINTYRE,WILL",,,"SUB IN by MCINTYRE,WILL",1
06:08,,,,,"MISS JUMPER by DE FERIA,NICK",,,"MISS JUMPER by DE FERIA,NICK",1
06:08,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:03,,,,,"FOUL  by MCINTYRE,WILL",,,"FOUL  by MCINTYRE,WILL",1
06:03,"MISS FT by LAWRENCE,CHRIS",,,,,,,"MISS FT by LAWRENCE,CHRIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:03,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
06:03,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",1
06:03,"GOOD FT by LAWRENCE,CHRIS",29,,36 (+7),,OGL 29-36 (+7),,"GOOD FT by LAWRENCE,CHRIS",1
05:56,,,,,"TURNOVER  by MCINTYRE,WILL",,,"TURNOVER  by MCINTYRE,WILL",1
05:56,,,,,"FOUL  by MCINTYRE,WILL",,,"FOUL  by MCINTYRE,WILL",1
05:56,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
05:56,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
05:56,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
05:56,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
05:56,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
05:56,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
05:56,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
05:56,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
05:56,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
05:56,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
05:47,,,,,"FOUL  by LOWRIE,ANDREW",,,"FOUL  by LOWRIE,ANDREW",1
05:47,"GOOD FT by LAWRENCE,CHRIS",30,,36 (+6),,OGL 30-36 (+6),,"GOOD FT by LAWRENCE,CHRIS",1
05:47,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",1
05:47,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
05:47,"GOOD FT by LAWRENCE,CHRIS",31,,36 (+5),,OGL 31-36 (+5),,"GOOD FT by LAWRENCE,CHRIS",1
05:47,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
05:47,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
05:34,,31,,39 (+8),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 31-39 (+8),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
05:17,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
05:17,"GOOD FT by PATRICK,DREW",32,,39 (+7),,OGL 32-39 (+7),,"GOOD FT by PATRICK,DREW",1
05:17,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
05:17,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
05:17,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
05:17,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
05:17,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
05:17,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
05:17,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
05:17,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
05:17,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
05:17,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
05:17,"GOOD FT by PATRICK,DREW",33,,39 (+6),,OGL 33-39 (+6),,"GOOD FT by PATRICK,DREW",1
04:59,,,,,"MISS JUMPER by GALVIN,OWEN",,,"MISS JUMPER by GALVIN,OWEN",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
04:57,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",1
04:57,"GOOD FT by PATRICK,DREW",34,,39 (+5),,OGL 34-39 (+5),,"GOOD FT by PATRICK,DREW",1
04:57,"MISS FT by PATRICK,DREW",,,,,,,"MISS FT by PATRICK,DREW",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
04:43,,34,,41 (+7),"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHO 34-41 (+7),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
04:34,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:34,"FOUL  by HUFFMAN,DEVIN",,,,,,,"FOUL  by HUFFMAN,DEVIN",1
04:32,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
04:32,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
04:32,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
04:32,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
04:32,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
04:32,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
04:32,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
04:32,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
04:32,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
04:32,,,,,"SUB IN by MCINTYRE,WILL",,,"SUB IN by MCINTYRE,WILL",1
04:19,,34,,43 (+9),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 34-43 (+9),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
04:06,"MISS 3PTR by TURNER,MIKE",,,,,,,"MISS 3PTR by TURNER,MIKE",1
--,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",,,"REBOUND DEF by NESTLEHUTT,JAKE",1
03:56,,34,,46 (+12),"GOOD 3PTR by MCINTYRE,WILL(fastbreak)",RHO 34-46 (+12),,"GOOD 3PTR by MCINTYRE,WILL(fastbreak)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
03:40,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",1
03:39,,,,,"STEAL  by GALVIN,OWEN",,,"STEAL  by GALVIN,OWEN",1
03:37,,34,,49 (+15),"GOOD 3PTR by NESTLEHUTT,JAKE(fastbreak)",RHO 34-49 (+15),,"GOOD 3PTR by NESTLEHUTT,JAKE(fastbreak)",1
--,,,,,"ASSIST  by GALVIN,OWEN",,,"ASSIST  by GALVIN,OWEN",1
03:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:34,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:34,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
03:34,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:34,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
03:34,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
03:34,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
03:34,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
03:34,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
03:34,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
03:34,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
03:34,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
03:23,"MISS LAYUP by HUFFMAN,DEVIN",,,,,,,"MISS LAYUP by HUFFMAN,DEVIN",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
03:13,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by HUFFMAN,DEVIN",,,,,,,"REBOUND DEF by HUFFMAN,DEVIN",1
03:03,"GOOD LAYUP by HUGHES,JUSTIN(in the paint)",36,,49 (+13),,OGL 36-49 (+13),,"GOOD LAYUP by HUGHES,JUSTIN(in the paint)",1
--,"ASSIST  by EDWARDS,JUSTIN",,,,,,,"ASSIST  by EDWARDS,JUSTIN",1
02:45,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
02:45,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
02:45,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
02:45,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
02:45,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
02:45,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
02:45,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
02:45,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
02:45,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
02:45,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
02:45,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
02:45,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
02:45,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
02:45,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
02:45,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
02:45,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
02:45,"SUB OUT by HUFFMAN,DEVIN",,,,,,,"SUB OUT by HUFFMAN,DEVIN",1
02:36,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,"REBOUND OFF by INUNGU,TOM",,,,,,,"REBOUND OFF by INUNGU,TOM",1
