Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
16:33,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
16:22,"GOOD JUMPER by DARST,DANIEL(in the paint)",13 (+7),,6,,RHO 13-6 (+7),,"GOOD JUMPER by DARST,DANIEL(in the paint)",1
16:08,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1
16:06,"STEAL  by DE FERIA,NICK",,,,,,,"STEAL  by DE FERIA,NICK",1
16:04,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
15:56,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
15:54,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",1
15:51,"MISS 3PTR by DALTON,PRICE",,,,,,,"MISS 3PTR by DALTON,PRICE",1
--,"REBOUND OFF by DARST,DANIEL",,,,,,,"REBOUND OFF by DARST,DANIEL",1
15:49,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
15:49,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
15:49,"MISS FT by DARST,DANIEL",,,,,,,"MISS FT by DARST,DANIEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:49,"MISS FT by DARST,DANIEL",,,,,,,"MISS FT by DARST,DANIEL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
15:41,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
15:27,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
15:27,,13 (+6),,7,"GOOD FT by STEELE,AARON",HC 13-7 (+6),,"GOOD FT by STEELE,AARON",1
15:27,,13 (+5),,8,"GOOD FT by STEELE,AARON",HC 13-8 (+5),,"GOOD FT by STEELE,AARON",1
15:10,"GOOD 3PTR by DALTON,PRICE",16 (+8),,8,,RHO 16-8 (+8),,"GOOD 3PTR by DALTON,PRICE",1
--,"ASSIST  by NYAWATA,ANESU",,,,,,,"ASSIST  by NYAWATA,ANESU",1
14:59,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
14:59,"STEAL  by DE FERIA,NICK",,,,,,,"STEAL  by DE FERIA,NICK",1
14:59,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
14:59,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
14:59,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
14:59,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
14:59,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
14:59,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
14:59,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
14:59,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
14:59,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
14:59,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
14:58,"GOOD 3PTR by GALVIN,OWEN",19 (+11),,8,,RHO 19-8 (+11),,"GOOD 3PTR by GALVIN,OWEN",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
14:42,,19 (+9),,10,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",HC 19-10 (+9),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
14:41,"FOUL  by GALVIN,OWEN",,,,,,,"FOUL  by GALVIN,OWEN",1
14:41,,19 (+8),,11,"GOOD FT by ALDOUS,HANK",HC 19-11 (+8),,"GOOD FT by ALDOUS,HANK",1
14:41,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
14:41,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
14:33,"MISS LAYUP by WEIR,JJ",,,,,,,"MISS LAYUP by WEIR,JJ",1
--,"REBOUND OFF by HARRISON,IAN",,,,,,,"REBOUND OFF by HARRISON,IAN",1
14:25,"MISS LAYUP by GALVIN,OWEN",,,,,,,"MISS LAYUP by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
14:22,"FOUL  by HARRISON,IAN",,,,,,,"FOUL  by HARRISON,IAN",1
14:22,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
14:22,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
14:22,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
14:22,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
14:22,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
14:22,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
14:22,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
14:22,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
14:22,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
14:22,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
14:22,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
14:22,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
14:17,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
14:13,,,,,"MISS JUMPER by BATCHELOR,BRYCE",,,"MISS JUMPER by BATCHELOR,BRYCE",1
14:13,"BLOCK  by GEE,TYLER",,,,,,,"BLOCK  by GEE,TYLER",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
14:04,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
13:53,,,,,"MISS JUMPER by CRISWELL,SEAN",,,"MISS JUMPER by CRISWELL,SEAN",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
13:43,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
13:43,,19 (+7),,12,"GOOD FT by CALAMESE,MICHAEL",HC 19-12 (+7),,"GOOD FT by CALAMESE,MICHAEL",1
13:43,,19 (+6),,13,"GOOD FT by CALAMESE,MICHAEL",HC 19-13 (+6),,"GOOD FT by CALAMESE,MICHAEL",1
13:43,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
13:43,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
13:43,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
13:43,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
13:43,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
13:43,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
13:43,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
13:43,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
13:43,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
13:43,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
13:32,"MISS JUMPER by DALTON,PRICE",,,,,,,"MISS JUMPER by DALTON,PRICE",1
13:32,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",1
--,"REBOUND OFF by DARST,DANIEL",,,,,,,"REBOUND OFF by DARST,DANIEL",1
13:29,"GOOD LAYUP by DARST,DANIEL(in the paint)",21 (+8),,13,,RHO 21-13 (+8),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
13:15,,21 (+6),,15,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",HC 21-15 (+6),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
12:58,"GOOD LAYUP by DARST,DANIEL(in the paint)",23 (+8),,15,,RHO 23-15 (+8),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,"ASSIST  by DE FERIA,NICK",,,,,,,"ASSIST  by DE FERIA,NICK",1
12:47,,,,,"TURNOVER  by CRISWELL,SEAN",,,"TURNOVER  by CRISWELL,SEAN",1
12:45,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
12:37,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",25 (+10),,15,,RHO 25-15 (+10),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
12:22,,25 (+8),,17,"GOOD LAYUP by BATCHELOR,BRYCE(fastbreak)(in the paint)",HC 25-17 (+8),,"GOOD LAYUP by BATCHELOR,BRYCE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
12:01,"GOOD LAYUP by DE FERIA,NICK(in the paint)",27 (+10),,17,,RHO 27-17 (+10),,"GOOD LAYUP by DE FERIA,NICK(in the paint)",1
--,"ASSIST  by GIROUX,PRESTON",,,,,,,"ASSIST  by GIROUX,PRESTON",1
11:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:57,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
11:57,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
11:57,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
11:57,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
11:57,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
11:57,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
11:57,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
11:57,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:57,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
11:57,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
11:43,,27 (+8),,19,"GOOD LAYUP by LINK,JACOB(in the paint)",HC 27-19 (+8),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
11:31,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
11:15,"FOUL  by HARRISON,IAN",,,,,,,"FOUL  by HARRISON,IAN",1
11:15,,27 (+7),,20,"GOOD FT by CRISWELL,SEAN",HC 27-20 (+7),,"GOOD FT by CRISWELL,SEAN",1
11:15,,,,,"MISS FT by CRISWELL,SEAN",,,"MISS FT by CRISWELL,SEAN",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
11:15,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:15,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
11:15,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
11:15,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
11:15,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",1
11:15,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
11:15,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
11:15,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
11:15,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
11:15,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
11:06,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
11:05,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
10:58,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
10:54,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1
10:53,"STEAL  by WEATHERFORD,MITCH",,,,,,,"STEAL  by WEATHERFORD,MITCH",1
10:44,"MISS JUMPER by BERRY,BRYCE",,,,,,,"MISS JUMPER by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
10:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:33,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
10:33,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
10:31,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
10:31,,27 (+6),,21,"GOOD FT by PARKER,BRYCE",HC 27-21 (+6),,"GOOD FT by PARKER,BRYCE",1
10:31,,27 (+5),,22,"GOOD FT by PARKER,BRYCE",HC 27-22 (+5),,"GOOD FT by PARKER,BRYCE",1
10:31,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
10:31,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
10:31,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
