Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
06:51,"GOOD 3PTR by JONES,DREW",26 (+12),,14,,Berry 26-14 (-12),,"GOOD 3PTR by JONES,DREW",1
06:51,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:51,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
06:51,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
06:51,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
06:51,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
06:51,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
06:51,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
06:51,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",1
06:51,"SUB IN by JOHNSON,MICHAEL",,,,,,,"SUB IN by JOHNSON,MICHAEL",1
06:24,,26 (+10),,16,"GOOD JUMPER by WILSON,DREW(in the paint)",Centre 26-16 (-10),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
--,,,,,"ASSIST  by KNOCHELMANN,PETE",,,"ASSIST  by KNOCHELMANN,PETE",1
06:09,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
05:57,"FOUL  by ELLIS,CHASE",,,,,,,"FOUL  by ELLIS,CHASE",1
05:57,"SUB OUT by ELLIS,CHASE",,,,,,,"SUB OUT by ELLIS,CHASE",1
05:57,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
05:53,,,,,"MISS JUMPER by WELLS,GAGE",,,"MISS JUMPER by WELLS,GAGE",1
--,"REBOUND DEF by JONES,DREW",,,,,,,"REBOUND DEF by JONES,DREW",1
05:40,"MISS 3PTR by JONES,DREW",,,,,,,"MISS 3PTR by JONES,DREW",1
--,,,,,"REBOUND DEF by WELLS,GAGE",,,"REBOUND DEF by WELLS,GAGE",1
05:22,,,,,"MISS JUMPER by KNOCHELMANN,PETE",,,"MISS JUMPER by KNOCHELMANN,PETE",1
--,"REBOUND DEF by WEHUNT,DAWSON",,,,,,,"REBOUND DEF by WEHUNT,DAWSON",1
05:12,"MISS 3PTR by WEHUNT,DAWSON",,,,,,,"MISS 3PTR by WEHUNT,DAWSON",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
04:50,,,,,"MISS JUMPER by KNOCHELMANN,PETE(in the paint)",,,"MISS JUMPER by KNOCHELMANN,PETE(in the paint)",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
04:36,"TURNOVER  by JOHNSON,MICHAEL",,,,,,,"TURNOVER  by JOHNSON,MICHAEL",1
04:36,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
04:36,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
04:36,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
04:36,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
04:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:36,,,,,"SUB OUT by WELLS,GAGE",,,"SUB OUT by WELLS,GAGE",1
04:36,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
04:21,,26 (+7),,19,"GOOD 3PTR by WILSON,DREW",Centre 26-19 (-7),,"GOOD 3PTR by WILSON,DREW",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
03:57,"GOOD 3PTR by WEHUNT,DAWSON",29 (+10),,19,,Berry 29-19 (-10),,"GOOD 3PTR by WEHUNT,DAWSON",1
--,"ASSIST  by COSTAS,RILEY",,,,,,,"ASSIST  by COSTAS,RILEY",1
03:38,,29 (+8),,21,"GOOD LAYUP by WILSON,DREW(in the paint)",Centre 29-21 (-8),,"GOOD LAYUP by WILSON,DREW(in the paint)",1
03:26,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,,,,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
03:17,,29 (+5),,24,"GOOD 3PTR by RING,NOAH",Centre 29-24 (-5),,"GOOD 3PTR by RING,NOAH",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
03:01,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
03:01,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
03:01,"SUB IN by JOHNSON,MICAH",,,,,,,"SUB IN by JOHNSON,MICAH",1
03:01,"SUB IN by ELLIS,CHASE",,,,,,,"SUB IN by ELLIS,CHASE",1
03:01,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:01,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
03:01,"SUB IN by JOHNSON,MICHAEL",,,,,,,"SUB IN by JOHNSON,MICHAEL",1
02:43,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
02:21,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",1
02:21,"STEAL  by ELLIS,CHASE",,,,,,,"STEAL  by ELLIS,CHASE",1
