Time Remaining,UDMBB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
01:16,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
01:16,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
01:07,,,,,"TURNOVER  by CRISWELL,SEAN",,,"TURNOVER  by CRISWELL,SEAN",1
00:59,"MISS JUMPER by COLVIN,DARRIUS",,,,,,,"MISS JUMPER by COLVIN,DARRIUS",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
00:44,,,,,"MISS JUMPER by CRISWELL,SEAN",,,"MISS JUMPER by CRISWELL,SEAN",1
--,"REBOUND DEF by GIADOLOR,PRINCE",,,,,,,"REBOUND DEF by GIADOLOR,PRINCE",1
00:34,"MISS JUMPER by BEREZIN,SOLOMON",,,,,,,"MISS JUMPER by BEREZIN,SOLOMON",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
00:06,,31,,43 (+12),"GOOD 3PTR by PARKER,BRYCE",HENDRIX 31-43 (+12),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
19:51,"GOOD JUMPER by KAISER,TOM(in the paint)",33,,43 (+10),,UDMBB 33-43 (+10),,"GOOD JUMPER by KAISER,TOM(in the paint)",2
--,"ASSIST  by COLVIN,DARRIUS",,,,,,,"ASSIST  by COLVIN,DARRIUS",2
19:32,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
19:32,"BLOCK  by KAISER,TOM",,,,,,,"BLOCK  by KAISER,TOM",2
--,"REBOUND DEF by GIADOLOR,PRINCE",,,,,,,"REBOUND DEF by GIADOLOR,PRINCE",2
19:21,"MISS 3PTR by SARRAT,MICHAEL",,,,,,,"MISS 3PTR by SARRAT,MICHAEL",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
19:17,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
19:17,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
19:17,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
19:08,"MISS JUMPER by GIADOLOR,PRINCE",,,,,,,"MISS JUMPER by GIADOLOR,PRINCE",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
18:46,,33,,45 (+12),"GOOD JUMPER by STEELE,AARON",HENDRIX 33-45 (+12),,"GOOD JUMPER by STEELE,AARON",2
18:36,"MISS LAYUP by COLVIN,DARRIUS",,,,,,,"MISS LAYUP by COLVIN,DARRIUS",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
18:31,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",2
--,,,,,"REBOUND OFF by GARRETT,TRAVIS",,,"REBOUND OFF by GARRETT,TRAVIS",2
18:27,,,,,"MISS TIPIN by GARRETT,TRAVIS",,,"MISS TIPIN by GARRETT,TRAVIS",2
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",2
18:21,"GOOD LAYUP by GONZALEZ,LORENZO(fastbreak)(in the paint)",35,,45 (+10),,UDMBB 35-45 (+10),,"GOOD LAYUP by GONZALEZ,LORENZO(fastbreak)(in the paint)",2
--,"ASSIST  by SARRAT,MICHAEL",,,,,,,"ASSIST  by SARRAT,MICHAEL",2
18:08,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",2
--,"REBOUND DEF by KAISER,TOM",,,,,,,"REBOUND DEF by KAISER,TOM",2
17:54,"GOOD LAYUP by KAISER,TOM(in the paint)",37,,45 (+8),,UDMBB 37-45 (+8),,"GOOD LAYUP by KAISER,TOM(in the paint)",2
--,"ASSIST  by GIADOLOR,PRINCE",,,,,,,"ASSIST  by GIADOLOR,PRINCE",2
17:36,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by KAISER,TOM",,,,,,,"REBOUND DEF by KAISER,TOM",2
17:22,"GOOD JUMPER by KAISER,TOM",39,,45 (+6),,UDMBB 39-45 (+6),,"GOOD JUMPER by KAISER,TOM",2
--,"ASSIST  by SARRAT,MICHAEL",,,,,,,"ASSIST  by SARRAT,MICHAEL",2
17:07,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",2
16:54,"TURNOVER  by COLVIN,DARRIUS",,,,,,,"TURNOVER  by COLVIN,DARRIUS",2
16:53,,,,,"STEAL  by GARRETT,TRAVIS",,,"STEAL  by GARRETT,TRAVIS",2
16:49,,39,,47 (+8),"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",HENDRIX 39-47 (+8),,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",2
16:48,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",2
16:48,,39,,48 (+9),"GOOD FT by SMITH,PRESTON",HENDRIX 39-48 (+9),,"GOOD FT by SMITH,PRESTON",2
16:48,"SUB IN by GARATE,VICTOR",,,,,,,"SUB IN by GARATE,VICTOR",2
16:48,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",2
16:48,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",2
16:48,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
16:34,"TURNOVER  by GIADOLOR,PRINCE",,,,,,,"TURNOVER  by GIADOLOR,PRINCE",2
16:22,,39,,50 (+11),"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 39-50 (+11),,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",2
15:59,"GOOD JUMPER by KAISER,TOM",41,,50 (+9),,UDMBB 41-50 (+9),,"GOOD JUMPER by KAISER,TOM",2
--,"ASSIST  by GIADOLOR,PRINCE",,,,,,,"ASSIST  by GIADOLOR,PRINCE",2
15:46,,41,,52 (+11),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 41-52 (+11),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
15:31,"GOOD LAYUP by GONZALEZ,LORENZO(in the paint)",43,,52 (+9),,UDMBB 43-52 (+9),,"GOOD LAYUP by GONZALEZ,LORENZO(in the paint)",2
15:12,,,,,"MISS JUMPER by LINK,JACOB",,,"MISS JUMPER by LINK,JACOB",2
--,"REBOUND DEF by GARATE,VICTOR",,,,,,,"REBOUND DEF by GARATE,VICTOR",2
15:00,"MISS JUMPER by KAISER,TOM",,,,,,,"MISS JUMPER by KAISER,TOM",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
14:54,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",2
--,"REBOUND DEF by SARRAT,MICHAEL",,,,,,,"REBOUND DEF by SARRAT,MICHAEL",2
14:47,"MISS 3PTR by GARATE,VICTOR",,,,,,,"MISS 3PTR by GARATE,VICTOR",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
14:24,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",2
--,"REBOUND DEF by GIADOLOR,PRINCE",,,,,,,"REBOUND DEF by GIADOLOR,PRINCE",2
14:15,"MISS 3PTR by GARATE,VICTOR",,,,,,,"MISS 3PTR by GARATE,VICTOR",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
14:07,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
13:59,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",2
13:59,"SUB IN by MACCALLUM,RORY",,,,,,,"SUB IN by MACCALLUM,RORY",2
13:59,"SUB IN by BEREZIN,SOLOMON",,,,,,,"SUB IN by BEREZIN,SOLOMON",2
13:59,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",2
13:59,"SUB OUT by GONZALEZ,LORENZO",,,,,,,"SUB OUT by GONZALEZ,LORENZO",2
13:59,"SUB OUT by GIADOLOR,PRINCE",,,,,,,"SUB OUT by GIADOLOR,PRINCE",2
13:51,"GOOD LAYUP by MACCALLUM,RORY(in the paint)",45,,52 (+7),,UDMBB 45-52 (+7),,"GOOD LAYUP by MACCALLUM,RORY(in the paint)",2
--,"ASSIST  by CALTON,EMMANUEL",,,,,,,"ASSIST  by CALTON,EMMANUEL",2
13:25,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by MACCALLUM,RORY",,,,,,,"REBOUND DEF by MACCALLUM,RORY",2
13:09,"GOOD 3PTR by GARATE,VICTOR",48,,52 (+4),,UDMBB 48-52 (+4),,"GOOD 3PTR by GARATE,VICTOR",2
--,"ASSIST  by BEREZIN,SOLOMON",,,,,,,"ASSIST  by BEREZIN,SOLOMON",2
12:53,,48,,54 (+6),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 48-54 (+6),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",2
12:33,"MISS JUMPER by CALTON,EMMANUEL",,,,,,,"MISS JUMPER by CALTON,EMMANUEL",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
12:14,,48,,56 (+8),"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",HENDRIX 48-56 (+8),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
11:55,"MISS LAYUP by BEREZIN,SOLOMON",,,,,,,"MISS LAYUP by BEREZIN,SOLOMON",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
11:43,,48,,58 (+10),"GOOD LAYUP by SMITH,PRESTON(in the paint)",HENDRIX 48-58 (+10),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",2
11:23,"TURNOVER  by BEREZIN,SOLOMON",,,,,,,"TURNOVER  by BEREZIN,SOLOMON",2
11:22,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",2
11:20,,48,,60 (+12),"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",HENDRIX 48-60 (+12),,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",2
10:52,"MISS JUMPER by CALTON,EMMANUEL",,,,,,,"MISS JUMPER by CALTON,EMMANUEL",2
--,"REBOUND OFF by MACCALLUM,RORY",,,,,,,"REBOUND OFF by MACCALLUM,RORY",2
10:49,"GOOD LAYUP by MACCALLUM,RORY(in the paint)",50,,60 (+10),,UDMBB 50-60 (+10),,"GOOD LAYUP by MACCALLUM,RORY(in the paint)",2
10:36,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",2
--,"REBOUND DEF by MACCALLUM,RORY",,,,,,,"REBOUND DEF by MACCALLUM,RORY",2
10:14,"GOOD JUMPER by SARRAT,MICHAEL",52,,60 (+8),,UDMBB 52-60 (+8),,"GOOD JUMPER by SARRAT,MICHAEL",2
09:57,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by CALTON,EMMANUEL",,,,,,,"REBOUND DEF by CALTON,EMMANUEL",2
09:53,"TURNOVER  by CALTON,EMMANUEL",,,,,,,"TURNOVER  by CALTON,EMMANUEL",2
09:53,,,,,"STEAL  by LITTLEFIELD,GEAREN",,,"STEAL  by LITTLEFIELD,GEAREN",2
09:53,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
09:53,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:53,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
09:53,"SUB IN by GONZALEZ,LORENZO",,,,,,,"SUB IN by GONZALEZ,LORENZO",2
09:53,"SUB IN by COLVIN,DARRIUS",,,,,,,"SUB IN by COLVIN,DARRIUS",2
09:53,"SUB IN by KAISER,TOM",,,,,,,"SUB IN by KAISER,TOM",2
09:53,"SUB IN by GIADOLOR,PRINCE",,,,,,,"SUB IN by GIADOLOR,PRINCE",2
09:53,"SUB OUT by GARATE,VICTOR",,,,,,,"SUB OUT by GARATE,VICTOR",2
09:53,"SUB OUT by SARRAT,MICHAEL",,,,,,,"SUB OUT by SARRAT,MICHAEL",2
09:53,"SUB OUT by MACCALLUM,RORY",,,,,,,"SUB OUT by MACCALLUM,RORY",2
09:53,"SUB OUT by BEREZIN,SOLOMON",,,,,,,"SUB OUT by BEREZIN,SOLOMON",2
09:53,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
09:53,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",2
09:53,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
09:53,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
09:53,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
09:53,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
09:51,,52,,63 (+11),"GOOD 3PTR by PARKER,BRYCE",HENDRIX 52-63 (+11),,"GOOD 3PTR by PARKER,BRYCE",2
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",2
09:19,"GOOD LAYUP by KAISER,TOM(in the paint)",54,,63 (+9),,UDMBB 54-63 (+9),,"GOOD LAYUP by KAISER,TOM(in the paint)",2
--,"ASSIST  by COLVIN,DARRIUS",,,,,,,"ASSIST  by COLVIN,DARRIUS",2
08:52,,,,,"MISS JUMPER by PARKER,BRYCE",,,"MISS JUMPER by PARKER,BRYCE",2
--,"REBOUND DEF by GONZALEZ,LORENZO",,,,,,,"REBOUND DEF by GONZALEZ,LORENZO",2
08:41,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",2
08:41,"GOOD FT by GIADOLOR,PRINCE",55,,63 (+8),,UDMBB 55-63 (+8),,"GOOD FT by GIADOLOR,PRINCE",2
08:41,"GOOD FT by GIADOLOR,PRINCE",56,,63 (+7),,UDMBB 56-63 (+7),,"GOOD FT by GIADOLOR,PRINCE",2
08:41,"SUB IN by SARRAT,MICHAEL",,,,,,,"SUB IN by SARRAT,MICHAEL",2
08:41,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",2
08:41,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
08:41,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
08:25,,56,,66 (+10),"GOOD 3PTR by CRISWELL,SEAN",HENDRIX 56-66 (+10),,"GOOD 3PTR by CRISWELL,SEAN",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
08:11,"GOOD LAYUP by KAISER,TOM(in the paint)",58,,66 (+8),,UDMBB 58-66 (+8),,"GOOD LAYUP by KAISER,TOM(in the paint)",2
07:59,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
07:59,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",2
07:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:42,"TURNOVER  by SARRAT,MICHAEL",,,,,,,"TURNOVER  by SARRAT,MICHAEL",2
07:42,"FOUL  by SARRAT,MICHAEL",,,,,,,"FOUL  by SARRAT,MICHAEL",2
07:24,,,,,"MISS 3PTR by BATCHELOR,BRYCE",,,"MISS 3PTR by BATCHELOR,BRYCE",2
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",2
07:12,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
07:12,"MISS FT by KAISER,TOM",,,,,,,"MISS FT by KAISER,TOM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:12,"MISS FT by KAISER,TOM",,,,,,,"MISS FT by KAISER,TOM",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
07:12,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
07:12,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
07:12,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
07:12,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
07:12,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
07:12,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
07:12,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",2
07:12,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
06:59,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
06:38,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",2
06:38,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:38,,58,,67 (+9),"GOOD FT by LINK,JACOB",HENDRIX 58-67 (+9),,"GOOD FT by LINK,JACOB",2
06:38,"SUB IN by CANNON,XAVIER",,,,,,,"SUB IN by CANNON,XAVIER",2
06:38,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",2
06:23,"GOOD JUMPER by COLVIN,DARRIUS",60,,67 (+7),,UDMBB 60-67 (+7),,"GOOD JUMPER by COLVIN,DARRIUS",2
--,"ASSIST  by GONZALEZ,LORENZO",,,,,,,"ASSIST  by GONZALEZ,LORENZO",2
06:07,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",2
06:07,,60,,68 (+8),"GOOD FT by SMITH,PRESTON",HENDRIX 60-68 (+8),,"GOOD FT by SMITH,PRESTON",2
06:07,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
06:07,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",2
06:07,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",2
06:01,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",2
06:01,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
05:29,"MISS JUMPER by SARRAT,MICHAEL",,,,,,,"MISS JUMPER by SARRAT,MICHAEL",2
--,"REBOUND OFF by CANNON,XAVIER",,,,,,,"REBOUND OFF by CANNON,XAVIER",2
05:26,"GOOD TIPIN by CANNON,XAVIER(in the paint)",62,,68 (+6),,UDMBB 62-68 (+6),,"GOOD TIPIN by CANNON,XAVIER(in the paint)",2
05:03,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by GIADOLOR,PRINCE",,,,,,,"REBOUND DEF by GIADOLOR,PRINCE",2
04:57,"GOOD 3PTR by SARRAT,MICHAEL(fastbreak)",65,,68 (+3),,UDMBB 65-68 (+3),,"GOOD 3PTR by SARRAT,MICHAEL(fastbreak)",2
--,"ASSIST  by GONZALEZ,LORENZO",,,,,,,"ASSIST  by GONZALEZ,LORENZO",2
04:32,,65,,71 (+6),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 65-71 (+6),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",2
04:19,"GOOD JUMPER by CANNON,XAVIER",67,,71 (+4),,UDMBB 67-71 (+4),,"GOOD JUMPER by CANNON,XAVIER",2
03:50,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",2
03:50,"STEAL  by CALTON,EMMANUEL",,,,,,,"STEAL  by CALTON,EMMANUEL",2
03:47,"GOOD LAYUP by CALTON,EMMANUEL(fastbreak)(in the paint)",69,,71 (+2),,UDMBB 69-71 (+2),,"GOOD LAYUP by CALTON,EMMANUEL(fastbreak)(in the paint)",2
03:26,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",2
03:25,"STEAL  by GONZALEZ,LORENZO",,,,,,,"STEAL  by GONZALEZ,LORENZO",2
03:05,"MISS LAYUP by CANNON,XAVIER",,,,,,,"MISS LAYUP by CANNON,XAVIER",2
03:05,,,,,"BLOCK  by LITTLEFIELD,GEAREN",,,"BLOCK  by LITTLEFIELD,GEAREN",2
--,"REBOUND OFF by CANNON,XAVIER",,,,,,,"REBOUND OFF by CANNON,XAVIER",2
02:57,"TURNOVER  by CANNON,XAVIER",,,,,,,"TURNOVER  by CANNON,XAVIER",2
02:56,,,,,"STEAL  by LITTLEFIELD,GEAREN",,,"STEAL  by LITTLEFIELD,GEAREN",2
02:38,,69,,73 (+4),"GOOD LAYUP by SMITH,PRESTON(in the paint)",HENDRIX 69-73 (+4),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",2
02:35,"FOUL  by GONZALEZ,LORENZO",,,,,,,"FOUL  by GONZALEZ,LORENZO",2
02:35,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
02:35,,69,,74 (+5),"GOOD FT by SMITH,PRESTON",HENDRIX 69-74 (+5),,"GOOD FT by SMITH,PRESTON",2
02:35,"SUB IN by COLVIN,DARRIUS",,,,,,,"SUB IN by COLVIN,DARRIUS",2
02:35,"SUB IN by KAISER,TOM",,,,,,,"SUB IN by KAISER,TOM",2
02:35,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",2
02:35,"SUB OUT by CANNON,XAVIER",,,,,,,"SUB OUT by CANNON,XAVIER",2
02:35,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
02:35,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",2
02:35,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
02:35,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
02:20,"MISS JUMPER by GIADOLOR,PRINCE",,,,,,,"MISS JUMPER by GIADOLOR,PRINCE",2
02:20,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",2
--,"REBOUND OFF by KAISER,TOM",,,,,,,"REBOUND OFF by KAISER,TOM",2
02:17,"GOOD LAYUP by KAISER,TOM(in the paint)",71,,74 (+3),,UDMBB 71-74 (+3),,"GOOD LAYUP by KAISER,TOM(in the paint)",2
02:03,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",2
02:03,,71,,75 (+4),"GOOD FT by PARKER,BRYCE",HENDRIX 71-75 (+4),,"GOOD FT by PARKER,BRYCE",2
02:03,,,,,"MISS FT by PARKER,BRYCE",,,"MISS FT by PARKER,BRYCE",2
--,"REBOUND DEF by GIADOLOR,PRINCE",,,,,,,"REBOUND DEF by GIADOLOR,PRINCE",2
02:03,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",2
02:03,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",2
01:41,"MISS JUMPER by KAISER,TOM",,,,,,,"MISS JUMPER by KAISER,TOM",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
01:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:14,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
01:14,"SUB IN by BEREZIN,SOLOMON",,,,,,,"SUB IN by BEREZIN,SOLOMON",2
01:14,"SUB OUT by GIADOLOR,PRINCE",,,,,,,"SUB OUT by GIADOLOR,PRINCE",2
00:59,"MISS 3PTR by SARRAT,MICHAEL",,,,,,,"MISS 3PTR by SARRAT,MICHAEL",2
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",2
00:39,"FOUL  by CALTON,EMMANUEL",,,,,,,"FOUL  by CALTON,EMMANUEL",2
00:39,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",2
--,"REBOUND DEF by GONZALEZ,LORENZO",,,,,,,"REBOUND DEF by GONZALEZ,LORENZO",2
00:29,"GOOD 3PTR by SARRAT,MICHAEL",74,,75 (+1),,UDMBB 74-75 (+1),,"GOOD 3PTR by SARRAT,MICHAEL",2
--,"ASSIST  by KAISER,TOM",,,,,,,"ASSIST  by KAISER,TOM",2
00:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:27,"SUB IN by GIADOLOR,PRINCE",,,,,,,"SUB IN by GIADOLOR,PRINCE",2
00:27,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",2
00:27,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
