Time Remaining,TLUMEN,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
00:08,"SUB IN by GILLETTE,MATTHEW",,,,,,,"SUB IN by GILLETTE,MATTHEW",2
00:08,"SUB OUT by KOUREMETIS,JACOB",,,,,,,"SUB OUT by KOUREMETIS,JACOB",2
00:08,"SUB OUT by BEHR,ZACH",,,,,,,"SUB OUT by BEHR,ZACH",2
00:08,"SUB OUT by HAMILTON,SHAWN",,,,,,,"SUB OUT by HAMILTON,SHAWN",2
00:07,"FOUL  by CAGE,ALEX",,,,,,,"FOUL  by CAGE,ALEX",2
00:07,,77,,80 (+3),"GOOD FT by LINK,JACOB",HENDRIX 77-80 (+3),,"GOOD FT by LINK,JACOB",2
00:07,,77,,81 (+4),"GOOD FT by LINK,JACOB",HENDRIX 77-81 (+4),,"GOOD FT by LINK,JACOB",2
00:07,"SUB IN by BEHR,ZACH",,,,,,,"SUB IN by BEHR,ZACH",2
00:07,"SUB OUT by SULLIVAN,MARK",,,,,,,"SUB OUT by SULLIVAN,MARK",2
00:07,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
00:04,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,"REBOUND OFF by BEHR,ZACH",,,,,,,"REBOUND OFF by BEHR,ZACH",2
00:01,"MISS JUMPER by BEHR,ZACH",,,,,,,"MISS JUMPER by BEHR,ZACH",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
