Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,NPU,Game Score,Team Indicator,Play,Period
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:28,,,,,"FOUL  by BOYD,JORDAN",,,"FOUL  by BOYD,JORDAN",2
19:28,,,,,"SUB OUT by BOYD,JORDAN",,,"SUB OUT by BOYD,JORDAN",2
19:28,,,,,"SUB IN by BULWA,ADAM",,,"SUB IN by BULWA,ADAM",2
19:16,"GOOD LAYUP by KAHL,COLIN(in the paint)",26,,41 (+15),,Sewan 26-41 (-15),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",2
19:08,,26,,43 (+17),"GOOD LAYUP by JACKSON,MARQUISE(fastbreak)(in the paint)",NPU 26-43 (-17),,"GOOD LAYUP by JACKSON,MARQUISE(fastbreak)(in the paint)",2
19:00,"MISS LAYUP by KAHL,COLIN(in the paint)",,,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
--,,,,,"REBOUND DEF by JACKSON,MARQUISE",,,"REBOUND DEF by JACKSON,MARQUISE",2
18:47,,,,,"MISS 3PTR by VANLANDINGHAM,KOLDEN",,,"MISS 3PTR by VANLANDINGHAM,KOLDEN",2
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",2
18:39,"GOOD LAYUP by AVALIANI,LUKA(fastbreak)(in the paint)",28,,43 (+15),,Sewan 28-43 (-15),,"GOOD LAYUP by AVALIANI,LUKA(fastbreak)(in the paint)",2
18:21,,,,,"MISS 3PTR by PUMPHREY,SHAMAR",,,"MISS 3PTR by PUMPHREY,SHAMAR",2
--,,,,,"REBOUND OFF by VANLANDINGHAM,KOLDEN",,,"REBOUND OFF by VANLANDINGHAM,KOLDEN",2
18:15,,,,,"TURNOVER  by VANLANDINGHAM,KOLDEN",,,"TURNOVER  by VANLANDINGHAM,KOLDEN",2
18:15,"STEAL  by AVALIANI,LUKA",,,,,,,"STEAL  by AVALIANI,LUKA",2
18:10,,,,,"SUB OUT by VANLANDINGHAM,KOLDEN",,,"SUB OUT by VANLANDINGHAM,KOLDEN",2
18:10,,,,,"SUB IN by DIXON,QUILLIN",,,"SUB IN by DIXON,QUILLIN",2
18:04,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",2
--,,,,,"REBOUND DEF by BOYD,JALEN",,,"REBOUND DEF by BOYD,JALEN",2
17:57,,,,,"MISS 3PTR by DIXON,QUILLIN",,,"MISS 3PTR by DIXON,QUILLIN",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
17:38,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",2
--,,,,,"REBOUND DEF by DIXON,QUILLIN",,,"REBOUND DEF by DIXON,QUILLIN",2
17:30,,,,,"MISS 3PTR by BOYD,JALEN",,,"MISS 3PTR by BOYD,JALEN",2
--,"REBOUND DEF by SMITH,GRAHAM",,,,,,,"REBOUND DEF by SMITH,GRAHAM",2
17:20,"GOOD LAYUP by KAHL,COLIN(in the paint)",30,,43 (+13),,Sewan 30-43 (-13),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",2
17:20,,,,,"FOUL  by BULWA,ADAM",,,"FOUL  by BULWA,ADAM",2
17:20,"GOOD FT by KAHL,COLIN",31,,43 (+12),,Sewan 31-43 (-12),,"GOOD FT by KAHL,COLIN",2
17:11,,,,,"TURNOVER  by PUMPHREY,SHAMAR",,,"TURNOVER  by PUMPHREY,SHAMAR",2
16:57,"GOOD JUMPER by KAHL,COLIN(in the paint)",33,,43 (+10),,Sewan 33-43 (-10),,"GOOD JUMPER by KAHL,COLIN(in the paint)",2
16:27,,,,,"SUB OUT by BULWA,ADAM",,,"SUB OUT by BULWA,ADAM",2
16:27,,,,,"SUB IN by POLK, JR.,KARL",,,"SUB IN by POLK, JR.,KARL",2
16:20,,33,,45 (+12),"GOOD LAYUP by BOYD,JALEN(in the paint)",NPU 33-45 (-12),,"GOOD LAYUP by BOYD,JALEN(in the paint)",2
16:02,,,,,"FOUL  by POLK, JR.,KARL",,,"FOUL  by POLK, JR.,KARL",2
16:02,"GOOD FT by AVALIANI,LUKA",34,,45 (+11),,Sewan 34-45 (-11),,"GOOD FT by AVALIANI,LUKA",2
16:02,,,,,"SUB OUT by POLK, JR.,KARL",,,"SUB OUT by POLK, JR.,KARL",2
16:02,,,,,"SUB IN by BOYD,JORDAN",,,"SUB IN by BOYD,JORDAN",2
16:02,"GOOD FT by AVALIANI,LUKA",35,,45 (+10),,Sewan 35-45 (-10),,"GOOD FT by AVALIANI,LUKA",2
15:50,,,,,"MISS 3PTR by BOYD,JALEN",,,"MISS 3PTR by BOYD,JALEN",2
--,,,,,"REBOUND OFF by BOYD,JORDAN",,,"REBOUND OFF by BOYD,JORDAN",2
15:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:35,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
15:35,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
15:35,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",2
15:35,,35,,46 (+11),"GOOD FT by BOYD,JORDAN",NPU 35-46 (-11),,"GOOD FT by BOYD,JORDAN",2
15:35,,,,,"MISS FT by BOYD,JORDAN",,,"MISS FT by BOYD,JORDAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:31,,,,,"SUB OUT by BOYD,JALEN",,,"SUB OUT by BOYD,JALEN",2
15:31,,,,,"SUB IN by NELSON,LANCE",,,"SUB IN by NELSON,LANCE",2
15:09,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",2
15:09,,,,,"STEAL  by PUMPHREY,SHAMAR",,,"STEAL  by PUMPHREY,SHAMAR",2
15:05,,35,,48 (+13),"GOOD LAYUP by NELSON,LANCE(in the paint)",NPU 35-48 (-13),,"GOOD LAYUP by NELSON,LANCE(in the paint)",2
--,,,,,"ASSIST  by PUMPHREY,SHAMAR",,,"ASSIST  by PUMPHREY,SHAMAR",2
14:43,"TURNOVER  by HOLLAND,ELI",,,,,,,"TURNOVER  by HOLLAND,ELI",2
14:43,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
14:43,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",2
14:43,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
14:43,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
14:31,,35,,50 (+15),"GOOD LAYUP by JACKSON,MARQUISE(in the paint)",NPU 35-50 (-15),,"GOOD LAYUP by JACKSON,MARQUISE(in the paint)",2
14:10,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by JACKSON,MARQUISE",,,"REBOUND DEF by JACKSON,MARQUISE",2
14:00,,,,,"MISS JUMPER by JACKSON,MARQUISE(in the paint)",,,"MISS JUMPER by JACKSON,MARQUISE(in the paint)",2
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
13:45,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by DIXON,QUILLIN",,,"REBOUND DEF by DIXON,QUILLIN",2
13:29,,35,,52 (+17),"GOOD LAYUP by BOYD,JORDAN(in the paint)",NPU 35-52 (-17),,"GOOD LAYUP by BOYD,JORDAN(in the paint)",2
--,,,,,"ASSIST  by PUMPHREY,SHAMAR",,,"ASSIST  by PUMPHREY,SHAMAR",2
13:05,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by BOYD,JORDAN",,,"REBOUND DEF by BOYD,JORDAN",2
12:56,,,,,"MISS 3PTR by DIXON,QUILLIN",,,"MISS 3PTR by DIXON,QUILLIN",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
12:40,"GOOD LAYUP by KAHL,COLIN(in the paint)",37,,52 (+15),,Sewan 37-52 (-15),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
12:22,,37,,55 (+18),"GOOD 3PTR by DIXON,QUILLIN",NPU 37-55 (-18),,"GOOD 3PTR by DIXON,QUILLIN",2
--,,,,,"ASSIST  by JACKSON,MARQUISE",,,"ASSIST  by JACKSON,MARQUISE",2
12:02,"GOOD LAYUP by KAHL,COLIN(in the paint)",39,,55 (+16),,Sewan 39-55 (-16),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
11:33,,,,,"MISS 3PTR by JACKSON,MARQUISE",,,"MISS 3PTR by JACKSON,MARQUISE",2
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
11:26,,,,,"FOUL  by NELSON,LANCE",,,"FOUL  by NELSON,LANCE",2
11:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:26,,,,,"SUB OUT by PUMPHREY,SHAMAR",,,"SUB OUT by PUMPHREY,SHAMAR",2
11:26,,,,,"SUB OUT by JACKSON,MARQUISE",,,"SUB OUT by JACKSON,MARQUISE",2
11:26,,,,,"SUB OUT by DIXON,QUILLIN",,,"SUB OUT by DIXON,QUILLIN",2
11:26,,,,,"SUB OUT by BOYD,JORDAN",,,"SUB OUT by BOYD,JORDAN",2
11:26,,,,,"SUB IN by VANLANDINGHAM,KOLDEN",,,"SUB IN by VANLANDINGHAM,KOLDEN",2
11:26,,,,,"SUB IN by BOYD,JALEN",,,"SUB IN by BOYD,JALEN",2
11:26,,,,,"SUB IN by ROBINSON,DAVANTE",,,"SUB IN by ROBINSON,DAVANTE",2
11:26,,,,,"SUB IN by POLK, JR.,KARL",,,"SUB IN by POLK, JR.,KARL",2
11:14,"GOOD LAYUP by KAHL,COLIN(in the paint)",41,,55 (+14),,Sewan 41-55 (-14),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
11:01,,41,,57 (+16),"GOOD JUMPER by BOYD,JALEN(in the paint)",NPU 41-57 (-16),,"GOOD JUMPER by BOYD,JALEN(in the paint)",2
10:55,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",2
10:51,,,,,"MISS LAYUP by VANLANDINGHAM,KOLDEN(in the paint)",,,"MISS LAYUP by VANLANDINGHAM,KOLDEN(in the paint)",2
--,,,,,"REBOUND OFF by POLK, JR.,KARL",,,"REBOUND OFF by POLK, JR.,KARL",2
10:50,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
10:50,,41,,58 (+17),"GOOD FT by POLK, JR.,KARL(fastbreak)",NPU 41-58 (-17),,"GOOD FT by POLK, JR.,KARL(fastbreak)",2
10:50,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
10:50,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
10:50,,,,,"MISS FT by POLK, JR.,KARL(fastbreak)",,,"MISS FT by POLK, JR.,KARL(fastbreak)",2
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",2
10:35,,,,,"FOUL  by NELSON,LANCE",,,"FOUL  by NELSON,LANCE",2
10:22,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
10:22,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",2
10:22,"SUB IN by WILLIAMS,RASHAUN",,,,,,,"SUB IN by WILLIAMS,RASHAUN",2
10:22,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
10:05,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",43,,58 (+15),,Sewan 43-58 (-15),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
09:45,,43,,60 (+17),"GOOD JUMPER by POLK, JR.,KARL(in the paint)",NPU 43-60 (-17),,"GOOD JUMPER by POLK, JR.,KARL(in the paint)",2
09:45,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",2
09:45,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
09:45,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",2
09:45,,43,,61 (+18),"GOOD FT by POLK, JR.,KARL",NPU 43-61 (-18),,"GOOD FT by POLK, JR.,KARL",2
09:45,,,,,"SUB OUT by POLK, JR.,KARL",,,"SUB OUT by POLK, JR.,KARL",2
09:45,,,,,"SUB IN by BULWA,ADAM",,,"SUB IN by BULWA,ADAM",2
09:27,"GOOD 3PTR by WILLIAMS,RASHAUN",46,,61 (+15),,Sewan 46-61 (-15),,"GOOD 3PTR by WILLIAMS,RASHAUN",2
09:09,,,,,"MISS JUMPER by BOYD,JALEN",,,"MISS JUMPER by BOYD,JALEN",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
09:00,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",2
08:52,,46,,63 (+17),"GOOD JUMPER by VANLANDINGHAM,KOLDEN(in the paint)",NPU 46-63 (-17),,"GOOD JUMPER by VANLANDINGHAM,KOLDEN(in the paint)",2
08:52,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",2
08:52,,,,,"SUB OUT by BOYD,JALEN",,,"SUB OUT by BOYD,JALEN",2
08:52,,,,,"SUB IN by BAX III,PRESTON",,,"SUB IN by BAX III,PRESTON",2
08:52,,46,,64 (+18),"GOOD FT by VANLANDINGHAM,KOLDEN",NPU 46-64 (-18),,"GOOD FT by VANLANDINGHAM,KOLDEN",2
08:30,"MISS 3PTR by SMITH,GRAHAM",,,,,,,"MISS 3PTR by SMITH,GRAHAM",2
--,,,,,"REBOUND DEF by BULWA,ADAM",,,"REBOUND DEF by BULWA,ADAM",2
08:19,,,,,"MISS LAYUP by VANLANDINGHAM,KOLDEN(in the paint)",,,"MISS LAYUP by VANLANDINGHAM,KOLDEN(in the paint)",2
--,,,,,"REBOUND OFF by BULWA,ADAM",,,"REBOUND OFF by BULWA,ADAM",2
08:14,,46,,66 (+20),"GOOD LAYUP by BULWA,ADAM(in the paint)",NPU 46-66 (-20),,"GOOD LAYUP by BULWA,ADAM(in the paint)",2
08:07,,,,,"FOUL  by BULWA,ADAM",,,"FOUL  by BULWA,ADAM",2
08:07,"GOOD FT by MARR,RUSS",47,,66 (+19),,Sewan 47-66 (-19),,"GOOD FT by MARR,RUSS",2
08:07,,,,,"SUB OUT by VANLANDINGHAM,KOLDEN",,,"SUB OUT by VANLANDINGHAM,KOLDEN",2
08:07,,,,,"SUB OUT by NELSON,LANCE",,,"SUB OUT by NELSON,LANCE",2
08:07,,,,,"SUB OUT by BULWA,ADAM",,,"SUB OUT by BULWA,ADAM",2
08:07,,,,,"SUB IN by JACKSON,MARQUISE",,,"SUB IN by JACKSON,MARQUISE",2
08:07,,,,,"SUB IN by DIXON,QUILLIN",,,"SUB IN by DIXON,QUILLIN",2
08:07,,,,,"SUB IN by BOYD,JORDAN",,,"SUB IN by BOYD,JORDAN",2
08:07,"GOOD FT by MARR,RUSS",48,,66 (+18),,Sewan 48-66 (-18),,"GOOD FT by MARR,RUSS",2
08:06,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
08:06,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",2
08:00,"FOUL  by WILLIAMS,RASHAUN",,,,,,,"FOUL  by WILLIAMS,RASHAUN",2
08:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
08:00,,48,,67 (+19),"GOOD FT by BAX III,PRESTON(fastbreak)",NPU 48-67 (-19),,"GOOD FT by BAX III,PRESTON(fastbreak)",2
08:00,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
08:00,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
08:00,,48,,68 (+20),"GOOD FT by BAX III,PRESTON(fastbreak)",NPU 48-68 (-20),,"GOOD FT by BAX III,PRESTON(fastbreak)",2
07:38,"GOOD LAYUP by MARR,RUSS(in the paint)",50,,68 (+18),,Sewan 50-68 (-18),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
07:19,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",2
07:19,,50,,69 (+19),"GOOD FT by BAX III,PRESTON",NPU 50-69 (-19),,"GOOD FT by BAX III,PRESTON",2
07:19,,50,,70 (+20),"GOOD FT by BAX III,PRESTON",NPU 50-70 (-20),,"GOOD FT by BAX III,PRESTON",2
07:03,"MISS LAYUP by KAHL,COLIN(in the paint)",,,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
--,,,,,"REBOUND DEF by BOYD,JORDAN",,,"REBOUND DEF by BOYD,JORDAN",2
06:41,,50,,73 (+23),"GOOD 3PTR by DIXON,QUILLIN",NPU 50-73 (-23),,"GOOD 3PTR by DIXON,QUILLIN",2
--,,,,,"ASSIST  by ROBINSON,DAVANTE",,,"ASSIST  by ROBINSON,DAVANTE",2
06:26,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
06:21,,,,,"MISS LAYUP by JACKSON,MARQUISE(in the paint)",,,"MISS LAYUP by JACKSON,MARQUISE(in the paint)",2
--,,,,,"REBOUND OFF by BOYD,JORDAN",,,"REBOUND OFF by BOYD,JORDAN",2
06:15,,50,,75 (+25),"GOOD DUNK by BOYD,JORDAN(in the paint)",NPU 50-75 (-25),,"GOOD DUNK by BOYD,JORDAN(in the paint)",2
06:09,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by JACKSON,MARQUISE",,,"REBOUND DEF by JACKSON,MARQUISE",2
05:59,,50,,78 (+28),"GOOD 3PTR by ROBINSON,DAVANTE",NPU 50-78 (-28),,"GOOD 3PTR by ROBINSON,DAVANTE",2
--,,,,,"ASSIST  by BAX III,PRESTON",,,"ASSIST  by BAX III,PRESTON",2
05:37,"GOOD LAYUP by MARR,RUSS(in the paint)",52,,78 (+26),,Sewan 52-78 (-26),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
05:37,,,,,"FOUL  by DIXON,QUILLIN",,,"FOUL  by DIXON,QUILLIN",2
05:37,,,,,"SUB OUT by JACKSON,MARQUISE",,,"SUB OUT by JACKSON,MARQUISE",2
05:37,,,,,"SUB OUT by BOYD,JORDAN",,,"SUB OUT by BOYD,JORDAN",2
05:37,,,,,"SUB IN by POLK, JR.,KARL",,,"SUB IN by POLK, JR.,KARL",2
05:37,,,,,"SUB IN by NELSON,LANCE",,,"SUB IN by NELSON,LANCE",2
05:37,"SUB OUT by WILLIAMS,RASHAUN",,,,,,,"SUB OUT by WILLIAMS,RASHAUN",2
05:37,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
05:37,"GOOD FT by MARR,RUSS",53,,78 (+25),,Sewan 53-78 (-25),,"GOOD FT by MARR,RUSS",2
05:26,,53,,80 (+27),"GOOD JUMPER by BAX III,PRESTON(in the paint)",NPU 53-80 (-27),,"GOOD JUMPER by BAX III,PRESTON(in the paint)",2
05:08,,,,,"FOUL  by POLK, JR.,KARL",,,"FOUL  by POLK, JR.,KARL",2
05:08,"GOOD FT by KAHL,COLIN",54,,80 (+26),,Sewan 54-80 (-26),,"GOOD FT by KAHL,COLIN",2
05:08,"GOOD FT by KAHL,COLIN",55,,80 (+25),,Sewan 55-80 (-25),,"GOOD FT by KAHL,COLIN",2
04:55,,,,,"MISS LAYUP by POLK, JR.,KARL(in the paint)",,,"MISS LAYUP by POLK, JR.,KARL(in the paint)",2
--,,,,,"REBOUND OFF by DIXON,QUILLIN",,,"REBOUND OFF by DIXON,QUILLIN",2
04:50,,,,,"MISS 3PTR by NELSON,LANCE",,,"MISS 3PTR by NELSON,LANCE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:49,,,,,"FOUL  by POLK, JR.,KARL",,,"FOUL  by POLK, JR.,KARL",2
04:49,,,,,"SUB OUT by POLK, JR.,KARL",,,"SUB OUT by POLK, JR.,KARL",2
04:49,,,,,"SUB IN by BULWA,ADAM",,,"SUB IN by BULWA,ADAM",2
04:49,"GOOD FT by SMITH,GRAHAM",56,,80 (+24),,Sewan 56-80 (-24),,"GOOD FT by SMITH,GRAHAM",2
04:49,"MISS FT by SMITH,GRAHAM",,,,,,,"MISS FT by SMITH,GRAHAM",2
--,"REBOUND OFF by SMITH,GRAHAM",,,,,,,"REBOUND OFF by SMITH,GRAHAM",2
04:45,"GOOD LAYUP by SMITH,GRAHAM(in the paint)",58,,80 (+22),,Sewan 58-80 (-22),,"GOOD LAYUP by SMITH,GRAHAM(in the paint)",2
04:19,,,,,"MISS LAYUP by BAX III,PRESTON(in the paint)",,,"MISS LAYUP by BAX III,PRESTON(in the paint)",2
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",2
04:15,,,,,"FOUL  by ROBINSON,DAVANTE",,,"FOUL  by ROBINSON,DAVANTE",2
04:15,"GOOD FT by MARR,RUSS(fastbreak)",59,,80 (+21),,Sewan 59-80 (-21),,"GOOD FT by MARR,RUSS(fastbreak)",2
04:15,,,,,"SUB OUT by ROBINSON,DAVANTE",,,"SUB OUT by ROBINSON,DAVANTE",2
04:15,,,,,"SUB IN by WILLIAMS,JACOB",,,"SUB IN by WILLIAMS,JACOB",2
04:15,"GOOD FT by MARR,RUSS(fastbreak)",60,,80 (+20),,Sewan 60-80 (-20),,"GOOD FT by MARR,RUSS(fastbreak)",2
03:52,,,,,"MISS 3PTR by WILLIAMS,JACOB",,,"MISS 3PTR by WILLIAMS,JACOB",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
03:44,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by BAX III,PRESTON",,,"REBOUND DEF by BAX III,PRESTON",2
03:20,,60,,83 (+23),"GOOD 3PTR by DIXON,QUILLIN",NPU 60-83 (-23),,"GOOD 3PTR by DIXON,QUILLIN",2
--,,,,,"ASSIST  by WILLIAMS,JACOB",,,"ASSIST  by WILLIAMS,JACOB",2
02:55,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by WILLIAMS,JACOB",,,"REBOUND DEF by WILLIAMS,JACOB",2
02:47,,,,,"TURNOVER  by WILLIAMS,JACOB",,,"TURNOVER  by WILLIAMS,JACOB",2
02:47,"STEAL  by KAHL,COLIN",,,,,,,"STEAL  by KAHL,COLIN",2
02:33,"MISS 3PTR by SMITH,GRAHAM",,,,,,,"MISS 3PTR by SMITH,GRAHAM",2
--,"REBOUND OFF by AVALIANI,LUKA",,,,,,,"REBOUND OFF by AVALIANI,LUKA",2
02:29,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",62,,83 (+21),,Sewan 62-83 (-21),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
02:29,,,,,"FOUL  by BULWA,ADAM",,,"FOUL  by BULWA,ADAM",2
02:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
02:29,,,,,"SUB OUT by DIXON,QUILLIN",,,"SUB OUT by DIXON,QUILLIN",2
02:29,,,,,"SUB IN by LEI,KENTON",,,"SUB IN by LEI,KENTON",2
02:29,"GOOD FT by AVALIANI,LUKA",63,,83 (+20),,Sewan 63-83 (-20),,"GOOD FT by AVALIANI,LUKA",2
02:21,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
02:21,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",2
02:10,,,,,"TURNOVER  by WILLIAMS,JACOB",,,"TURNOVER  by WILLIAMS,JACOB",2
02:10,"STEAL  by AVALIANI,LUKA",,,,,,,"STEAL  by AVALIANI,LUKA",2
02:04,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",65,,83 (+18),,Sewan 65-83 (-18),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
01:46,,65,,85 (+20),"GOOD DUNK by BULWA,ADAM(in the paint)",NPU 65-85 (-20),,"GOOD DUNK by BULWA,ADAM(in the paint)",2
--,,,,,"ASSIST  by NELSON,LANCE",,,"ASSIST  by NELSON,LANCE",2
01:32,,,,,"FOUL  by LEI,KENTON",,,"FOUL  by LEI,KENTON",2
01:32,"GOOD FT by CRUMP,JOHN",66,,85 (+19),,Sewan 66-85 (-19),,"GOOD FT by CRUMP,JOHN",2
01:32,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
01:32,"SUB IN by BOULDIN,BLAKE",,,,,,,"SUB IN by BOULDIN,BLAKE",2
01:32,,,,,"SUB OUT by BAX III,PRESTON",,,"SUB OUT by BAX III,PRESTON",2
01:32,,,,,"SUB IN by MORRIS,ELIAS",,,"SUB IN by MORRIS,ELIAS",2
01:31,"MISS FT by CRUMP,JOHN",,,,,,,"MISS FT by CRUMP,JOHN",2
--,,,,,"REBOUND DEF by WILLIAMS,JACOB",,,"REBOUND DEF by WILLIAMS,JACOB",2
01:19,,,,,"MISS 3PTR by MORRIS,ELIAS",,,"MISS 3PTR by MORRIS,ELIAS",2
--,"REBOUND DEF by BOULDIN,BLAKE",,,,,,,"REBOUND DEF by BOULDIN,BLAKE",2
00:58,"GOOD 3PTR by CORRIGAN,TRE",69,,85 (+16),,Sewan 69-85 (-16),,"GOOD 3PTR by CORRIGAN,TRE",2
00:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:56,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
00:56,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
00:56,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
00:56,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",2
00:56,"SUB IN by DAMM,QUINN",,,,,,,"SUB IN by DAMM,QUINN",2
00:56,"SUB IN by MITCHELL,JIMMY",,,,,,,"SUB IN by MITCHELL,JIMMY",2
00:56,"SUB IN by FOLK,BEN",,,,,,,"SUB IN by FOLK,BEN",2
00:56,"SUB IN by RICHARD,CHARLES",,,,,,,"SUB IN by RICHARD,CHARLES",2
00:38,,,,,"SUB OUT by NELSON,LANCE",,,"SUB OUT by NELSON,LANCE",2
00:38,,,,,"SUB IN by ZESIGER,STEVEN",,,"SUB IN by ZESIGER,STEVEN",2
00:24,,69,,88 (+19),"GOOD 3PTR by ZESIGER,STEVEN",NPU 69-88 (-19),,"GOOD 3PTR by ZESIGER,STEVEN",2
00:23,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
