Time Remaining,EU,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
04:35,"FOUL  by KNIGHT,JAIR",,,,,,,"FOUL  by KNIGHT,JAIR",2
04:35,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",2
04:35,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
04:35,,,,,"MISS FT by CRUMP,JOHN",,,"MISS FT by CRUMP,JOHN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:35,"GOOD LAYUP by FRIED,MAX(in the paint)",93 (+27),,66,,EU 93-66 (-27),,"GOOD LAYUP by FRIED,MAX(in the paint)",2
04:35,"SUB OUT by SHANAHAN,LOGAN",,,,,,,"SUB OUT by SHANAHAN,LOGAN",2
04:35,"SUB OUT by KNIGHT,JAIR",,,,,,,"SUB OUT by KNIGHT,JAIR",2
04:35,"SUB IN by LAWRENCE,GREG",,,,,,,"SUB IN by LAWRENCE,GREG",2
04:35,"SUB IN by AKINYELU,TONI",,,,,,,"SUB IN by AKINYELU,TONI",2
04:26,"FOUL  by THOMAS,TYSON",,,,,,,"FOUL  by THOMAS,TYSON",2
04:26,,93 (+26),,67,"GOOD FT by KAHL,COLIN",Sewan 93-67 (-26),,"GOOD FT by KAHL,COLIN",2
04:26,,,,,"MISS FT by KAHL,COLIN",,,"MISS FT by KAHL,COLIN",2
--,"REBOUND DEF by WHELTON,MATTEO",,,,,,,"REBOUND DEF by WHELTON,MATTEO",2
04:26,"TURNOVER  by AKINYELU,TONI",,,,,,,"TURNOVER  by AKINYELU,TONI",2
04:26,,,,,"STEAL  by CORRIGAN,TRE",,,"STEAL  by CORRIGAN,TRE",2
04:21,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",2
--,"REBOUND DEF by THOMAS,TYSON",,,,,,,"REBOUND DEF by THOMAS,TYSON",2
04:02,"MISS LAYUP by FRIED,MAX(in the paint)",,,,,,,"MISS LAYUP by FRIED,MAX(in the paint)",2
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",2
03:52,,93 (+23),,70,"GOOD 3PTR by MARR,RUSS",Sewan 93-70 (-23),,"GOOD 3PTR by MARR,RUSS",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
03:15,"MISS LAYUP by THOMAS,TYSON(in the paint)",,,,,,,"MISS LAYUP by THOMAS,TYSON(in the paint)",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
03:08,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",2
03:08,"BLOCK  by AKINYELU,TONI",,,,,,,"BLOCK  by AKINYELU,TONI",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:05,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:05,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
03:05,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",2
03:05,"SUB OUT by FRIED,MAX",,,,,,,"SUB OUT by FRIED,MAX",2
03:05,"SUB IN by COPPOLINO IV,JOHN",,,,,,,"SUB IN by COPPOLINO IV,JOHN",2
03:04,"FOUL  by LAWRENCE,GREG",,,,,,,"FOUL  by LAWRENCE,GREG",2
03:04,,93 (+21),,72,"GOOD JUMPER by KAHL,COLIN(in the paint)",Sewan 93-72 (-21),,"GOOD JUMPER by KAHL,COLIN(in the paint)",2
03:03,,93 (+20),,73,"GOOD FT by KAHL,COLIN",Sewan 93-73 (-20),,"GOOD FT by KAHL,COLIN",2
02:43,"GOOD 3PTR by LAWRENCE,GREG",96 (+23),,73,,EU 96-73 (-23),,"GOOD 3PTR by LAWRENCE,GREG",2
--,"ASSIST  by THOMAS,TYSON",,,,,,,"ASSIST  by THOMAS,TYSON",2
02:26,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
02:19,"SUB OUT by WHELTON,MATTEO",,,,,,,"SUB OUT by WHELTON,MATTEO",2
02:19,"SUB IN by NNAKE,DUBEM",,,,,,,"SUB IN by NNAKE,DUBEM",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
02:18,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
--,"REBOUND DEF by NNAKE,DUBEM",,,,,,,"REBOUND DEF by NNAKE,DUBEM",2
02:10,,,,,"FOUL  by SMITH,GRAHAM",,,"FOUL  by SMITH,GRAHAM",2
02:10,"GOOD FT by AKINYELU,TONI(fastbreak)",97 (+24),,73,,EU 97-73 (-24),,"GOOD FT by AKINYELU,TONI(fastbreak)",2
02:10,"GOOD FT by AKINYELU,TONI(fastbreak)",98 (+25),,73,,EU 98-73 (-25),,"GOOD FT by AKINYELU,TONI(fastbreak)",2
01:50,"FOUL  by COPPOLINO IV,JOHN",,,,,,,"FOUL  by COPPOLINO IV,JOHN",2
01:50,,,,,"MISS FT by SMITH,GRAHAM",,,"MISS FT by SMITH,GRAHAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:50,,98 (+24),,74,"GOOD FT by SMITH,GRAHAM",Sewan 98-74 (-24),,"GOOD FT by SMITH,GRAHAM",2
01:42,"MISS JUMPER by AKINYELU,TONI",,,,,,,"MISS JUMPER by AKINYELU,TONI",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
01:31,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by AKINYELU,TONI",,,,,,,"REBOUND DEF by AKINYELU,TONI",2
01:19,"MISS 3PTR by LAWRENCE,GREG",,,,,,,"MISS 3PTR by LAWRENCE,GREG",2
--,"REBOUND OFF by NNAKE,DUBEM",,,,,,,"REBOUND OFF by NNAKE,DUBEM",2
01:11,"MISS JUMPER by COPPOLINO IV,JOHN",,,,,,,"MISS JUMPER by COPPOLINO IV,JOHN",2
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",2
00:50,,,,,"MISS 3PTR by SMITH,GRAHAM",,,"MISS 3PTR by SMITH,GRAHAM",2
--,,,,,"REBOUND OFF by MARR,RUSS",,,"REBOUND OFF by MARR,RUSS",2
00:43,,98 (+22),,76,"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 98-76 (-22),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",2
00:28,"GOOD 3PTR by THOMAS,TYSON",101 (+25),,76,,EU 101-76 (-25),,"GOOD 3PTR by THOMAS,TYSON",2
--,"ASSIST  by AKINYELU,TONI",,,,,,,"ASSIST  by AKINYELU,TONI",2
00:20,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",2
00:20,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",2
00:19,,,,,"MISS LAYUP by CORRIGAN,TRE(in the paint)",,,"MISS LAYUP by CORRIGAN,TRE(in the paint)",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:18,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by THOMAS,TYSON",,,,,,,"REBOUND DEF by THOMAS,TYSON",2
