Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
02:58,,28,,37 (+9),"GOOD 3PTR by CORRIGAN,TRE",Sewan 28-37 (+9),,"GOOD 3PTR by CORRIGAN,TRE",1
02:53,"MISS 3PTR by HAMM,ANTHONY",,,,,,,"MISS 3PTR by HAMM,ANTHONY",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
02:46,,28,,39 (+11),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 28-39 (+11),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
02:39,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,1
02:39,"GOOD FT by MINTER,TREY(fastbreak)",29,,39 (+10),,BEREA 29-39 (+10),,"GOOD FT by MINTER,TREY(fastbreak)",1
02:39,"GOOD FT by MINTER,TREY(fastbreak)",30,,39 (+9),,BEREA 30-39 (+9),,"GOOD FT by MINTER,TREY(fastbreak)",1
02:39,"SUB OUT by HAMM,ANTHONY",,,,,,,"SUB OUT by HAMM,ANTHONY",1
02:39,"SUB IN by CAUDILL,ISAAC",,,,,,,"SUB IN by CAUDILL,ISAAC",1
02:29,"GOOD JUMPER by MACKEY,MARQUIS",32,,39 (+7),,BEREA 32-39 (+7),,"GOOD JUMPER by MACKEY,MARQUIS",1
--,"ASSIST  by MINTER,TREY",,,,,,,"ASSIST  by MINTER,TREY",1
02:16,"FOUL  by MONTGOMERY,JAREL",,,,,,,"FOUL  by MONTGOMERY,JAREL",1
02:16,,32,,40 (+8),"GOOD FT by CORRIGAN,TRE",Sewan 32-40 (+8),,"GOOD FT by CORRIGAN,TRE",1
02:16,,32,,41 (+9),"GOOD FT by CORRIGAN,TRE",Sewan 32-41 (+9),,"GOOD FT by CORRIGAN,TRE",1
02:16,"SUB OUT by MONTGOMERY,JAREL",,,,,,,"SUB OUT by MONTGOMERY,JAREL",1
02:16,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",1
