Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,BREV,Game Score,Team Indicator,Play,Period
00:29,,85 (+5),,80,"GOOD 3PTR by BOYETTE,LB",BREV 85-80 (+5),,"GOOD 3PTR by BOYETTE,LB",2
00:29,,,,,"FOUL TECH by BOYETTE,LB",,,"FOUL TECH by BOYETTE,LB",2
00:29,"MISS FT by CRUMP,JOHN",,,,,,,"MISS FT by CRUMP,JOHN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:29,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
00:29,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",2
--,,,,,"ASSIST  by HORTON,KAVAN",,,"ASSIST  by HORTON,KAVAN",2
00:24,,,,,"FOUL  by HORTON,KAVAN",,,"FOUL  by HORTON,KAVAN",2
00:24,"MISS FT by CORRIGAN,TRE(fastbreak)",,,,,,,"MISS FT by CORRIGAN,TRE(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:24,"GOOD FT by CORRIGAN,TRE(fastbreak)",86 (+6),,80,,Sewan 86-80 (+6),,"GOOD FT by CORRIGAN,TRE(fastbreak)",2
00:24,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
00:24,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
00:13,,,,,"MISS 3PTR by BOYETTE,LB",,,"MISS 3PTR by BOYETTE,LB",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
00:08,,,,,"FOUL  by REED,CHARLES",,,"FOUL  by REED,CHARLES",2
00:08,"MISS FT by MARR,RUSS(fastbreak)",,,,,,,"MISS FT by MARR,RUSS(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:08,"GOOD FT by MARR,RUSS(fastbreak)",87 (+7),,80,,Sewan 87-80 (+7),,"GOOD FT by MARR,RUSS(fastbreak)",2
00:02,,,,,"MISS 3PTR by HORTON,KAVAN",,,"MISS 3PTR by HORTON,KAVAN",2
--,,,,,"REBOUND OFF by CARNES,JADON",,,"REBOUND OFF by CARNES,JADON",2
00:00,,87 (+5),,82,"GOOD LAYUP by CARNES,JADON(in the paint)",BREV 87-82 (+5),,"GOOD LAYUP by CARNES,JADON(in the paint)",2
