Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,BREV,Game Score,Team Indicator,Play,Period
06:35,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",1
06:35,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
06:35,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",1
06:35,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
06:35,"SUB OUT by WILLIAMS,RASHAUN",,,,,,,"SUB OUT by WILLIAMS,RASHAUN",1
06:28,,,,,"TURNOVER  by REED,CHARLES",,,"TURNOVER  by REED,CHARLES",1
06:26,"STEAL  by CORRIGAN,TRE",,,,,,,"STEAL  by CORRIGAN,TRE",1
06:03,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by WHITE,SLY",,,"REBOUND DEF by WHITE,SLY",1
05:42,,,,,"MISS LAYUP by WHITE,SLY",,,"MISS LAYUP by WHITE,SLY",1
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",1
05:32,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",29 (+7),,22,,SEW 29-22 (+7),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
05:03,,29 (+5),,24,"GOOD LAYUP by WHITE,SLY(in the paint)",BREV 29-24 (+5),,"GOOD LAYUP by WHITE,SLY(in the paint)",1
--,,,,,"ASSIST  by HORTON,KAVAN",,,"ASSIST  by HORTON,KAVAN",1
05:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:01,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
05:01,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
05:01,,,,,"SUB IN by CARNES,JADON",,,"SUB IN by CARNES,JADON",1
05:01,,,,,"SUB OUT by WHITE,SLY",,,"SUB OUT by WHITE,SLY",1
