Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,MVILLE,Game Score,Team Indicator,Play,Period
17:41,"GOOD 3PTR by CRUMP,JOHN",28,,44 (+16),,Sewan 28-44 (-16),,"GOOD 3PTR by CRUMP,JOHN",2
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",2
17:18,,28,,46 (+18),"GOOD JUMPER by RASNICK,MYLES(in the paint)",MVILLE 28-46 (-18),,"GOOD JUMPER by RASNICK,MYLES(in the paint)",2
17:06,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
17:06,,,,,"STEAL  by KAH,KORDELL",,,"STEAL  by KAH,KORDELL",2
17:03,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
17:03,,,,,"SUB OUT by COCHRAN,CHARLIE",,,"SUB OUT by COCHRAN,CHARLIE",2
17:03,,,,,"SUB IN by MORGAN,CHASE",,,"SUB IN by MORGAN,CHASE",2
16:50,,28,,49 (+21),"GOOD 3PTR by RASNICK,MYLES",MVILLE 28-49 (-21),,"GOOD 3PTR by RASNICK,MYLES",2
--,,,,,"ASSIST  by RIDENOUR,CHASE",,,"ASSIST  by RIDENOUR,CHASE",2
16:34,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",2
16:23,,28,,51 (+23),"GOOD JUMPER by RASNICK,MYLES",MVILLE 28-51 (-23),,"GOOD JUMPER by RASNICK,MYLES",2
16:08,,,,,"FOUL  by RASNICK,MYLES",,,"FOUL  by RASNICK,MYLES",2
16:08,,,,,"SUB OUT by RIDENOUR,CHASE",,,"SUB OUT by RIDENOUR,CHASE",2
16:08,,,,,"SUB IN by GARNER,JACKSON",,,"SUB IN by GARNER,JACKSON",2
16:08,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
16:08,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
16:08,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
16:08,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
15:57,"MISS JUMPER by CRUMP,JOHN(in the paint)",,,,,,,"MISS JUMPER by CRUMP,JOHN(in the paint)",2
--,"REBOUND OFF by HOLLAND,ELI",,,,,,,"REBOUND OFF by HOLLAND,ELI",2
15:56,,,,,"FOUL  by GARNER,JACKSON",,,"FOUL  by GARNER,JACKSON",2
15:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:56,"MISS FT by HOLLAND,ELI",,,,,,,"MISS FT by HOLLAND,ELI",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:56,"GOOD FT by HOLLAND,ELI",29,,51 (+22),,Sewan 29-51 (-22),,"GOOD FT by HOLLAND,ELI",2
15:47,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",2
15:42,,,,,"MISS LAYUP by KAH,KORDELL(in the paint)",,,"MISS LAYUP by KAH,KORDELL(in the paint)",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
15:35,"MISS LAYUP by HOLLAND,ELI(in the paint)",,,,,,,"MISS LAYUP by HOLLAND,ELI(in the paint)",2
--,,,,,"REBOUND DEF by GARNER,JACKSON",,,"REBOUND DEF by GARNER,JACKSON",2
15:29,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",2
15:28,,,,,"MISS FT by MORGAN,CHASE(fastbreak)",,,"MISS FT by MORGAN,CHASE(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:28,,29,,52 (+23),"GOOD FT by MORGAN,CHASE(fastbreak)",MVILLE 29-52 (-23),,"GOOD FT by MORGAN,CHASE(fastbreak)",2
15:28,,,,,"MISS FT by MORGAN,CHASE(fastbreak)",,,"MISS FT by MORGAN,CHASE(fastbreak)",2
--,"REBOUND DEF by SMITH,GRAHAM",,,,,,,"REBOUND DEF by SMITH,GRAHAM",2
15:27,,,,,"FOUL  by KAH,KORDELL",,,"FOUL  by KAH,KORDELL",2
15:27,,,,,"SUB OUT by KAH,KORDELL",,,"SUB OUT by KAH,KORDELL",2
15:27,,,,,"SUB IN by COCHRAN,CHARLIE",,,"SUB IN by COCHRAN,CHARLIE",2
15:27,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
15:27,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
15:12,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",2
15:03,"GOOD LAYUP by KAHL,COLIN(in the paint)",31,,52 (+21),,Sewan 31-52 (-21),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
14:55,,31,,54 (+23),"GOOD JUMPER by RICE,DARYL(in the paint)",MVILLE 31-54 (-23),,"GOOD JUMPER by RICE,DARYL(in the paint)",2
14:39,"GOOD 3PTR by MARR,RUSS",34,,54 (+20),,Sewan 34-54 (-20),,"GOOD 3PTR by MARR,RUSS",2
--,"ASSIST  by HOLLAND,ELI",,,,,,,"ASSIST  by HOLLAND,ELI",2
14:21,,,,,"MISS 3PTR by GARNER,JACKSON",,,"MISS 3PTR by GARNER,JACKSON",2
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",2
14:06,,,,,"FOUL  by MORGAN,CHASE",,,"FOUL  by MORGAN,CHASE",2
14:06,,,,,"SUB OUT by GARNER,JACKSON",,,"SUB OUT by GARNER,JACKSON",2
14:06,,,,,"SUB IN by RIDENOUR,CHASE",,,"SUB IN by RIDENOUR,CHASE",2
14:06,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
14:06,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",2
13:54,"MISS JUMPER by SMITH,GRAHAM(in the paint)",,,,,,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",2
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",2
13:51,,,,,"FOUL  by RICE,DARYL",,,"FOUL  by RICE,DARYL",2
13:42,"GOOD JUMPER by KAHL,COLIN",36,,54 (+18),,Sewan 36-54 (-18),,"GOOD JUMPER by KAHL,COLIN",2
13:26,,,,,"MISS LAYUP by COCHRAN,CHARLIE(in the paint)",,,"MISS LAYUP by COCHRAN,CHARLIE(in the paint)",2
--,,,,,"REBOUND OFF by COCHRAN,CHARLIE",,,"REBOUND OFF by COCHRAN,CHARLIE",2
13:21,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",2
13:21,,36,,55 (+19),"GOOD FT by COCHRAN,CHARLIE",MVILLE 36-55 (-19),,"GOOD FT by COCHRAN,CHARLIE",2
13:21,,,,,"SUB OUT by RICE,DARYL",,,"SUB OUT by RICE,DARYL",2
13:21,,,,,"SUB OUT by MORGAN,CHASE",,,"SUB OUT by MORGAN,CHASE",2
13:21,,,,,"SUB IN by GREEN,JAYLON",,,"SUB IN by GREEN,JAYLON",2
13:21,,,,,"SUB IN by SIMMONS,R.J.",,,"SUB IN by SIMMONS,R.J.",2
13:21,,,,,"MISS FT by COCHRAN,CHARLIE",,,"MISS FT by COCHRAN,CHARLIE",2
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",2
13:06,"GOOD 3PTR by SMITH,GRAHAM",39,,55 (+16),,Sewan 39-55 (-16),,"GOOD 3PTR by SMITH,GRAHAM",2
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",2
12:42,,39,,58 (+19),"GOOD 3PTR by RIDENOUR,CHASE",MVILLE 39-58 (-19),,"GOOD 3PTR by RIDENOUR,CHASE",2
--,,,,,"ASSIST  by GREEN,JAYLON",,,"ASSIST  by GREEN,JAYLON",2
12:29,"GOOD 3PTR by MARR,RUSS",42,,58 (+16),,Sewan 42-58 (-16),,"GOOD 3PTR by MARR,RUSS",2
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",2
12:05,,,,,"SUB OUT by RASNICK,MYLES",,,"SUB OUT by RASNICK,MYLES",2
12:05,,,,,"SUB IN by RODRIGUEZ,JOSE",,,"SUB IN by RODRIGUEZ,JOSE",2
12:05,,,,,"MISS 3PTR by COCHRAN,CHARLIE",,,"MISS 3PTR by COCHRAN,CHARLIE",2
--,,,,,"REBOUND OFF by SIMMONS,R.J.",,,"REBOUND OFF by SIMMONS,R.J.",2
12:01,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",2
12:01,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
12:01,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",2
12:01,,42,,59 (+17),"GOOD FT by SIMMONS,R.J.",MVILLE 42-59 (-17),,"GOOD FT by SIMMONS,R.J.",2
12:01,,42,,60 (+18),"GOOD FT by SIMMONS,R.J.",MVILLE 42-60 (-18),,"GOOD FT by SIMMONS,R.J.",2
12:01,,,,,"SUB OUT by RIDENOUR,CHASE",,,"SUB OUT by RIDENOUR,CHASE",2
12:01,,,,,"SUB IN by RASNICK,MYLES",,,"SUB IN by RASNICK,MYLES",2
11:49,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by COCHRAN,CHARLIE",,,"REBOUND DEF by COCHRAN,CHARLIE",2
11:40,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",2
11:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:40,,42,,61 (+19),"GOOD FT by RODRIGUEZ,JOSE",MVILLE 42-61 (-19),,"GOOD FT by RODRIGUEZ,JOSE",2
11:40,,,,,"MISS FT by RODRIGUEZ,JOSE",,,"MISS FT by RODRIGUEZ,JOSE",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
11:23,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",2
--,,,,,"REBOUND DEF by COCHRAN,CHARLIE",,,"REBOUND DEF by COCHRAN,CHARLIE",2
11:17,,,,,"MISS LAYUP by GREEN,JAYLON(in the paint)",,,"MISS LAYUP by GREEN,JAYLON(in the paint)",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
11:16,,,,,"FOUL  by SIMMONS,R.J.",,,"FOUL  by SIMMONS,R.J.",2
11:16,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
11:16,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",2
10:51,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:48,,,,,"SUB OUT by SIMMONS,R.J.",,,"SUB OUT by SIMMONS,R.J.",2
10:48,,,,,"SUB OUT by RODRIGUEZ,JOSE",,,"SUB OUT by RODRIGUEZ,JOSE",2
10:48,,,,,"SUB IN by KAH,KORDELL",,,"SUB IN by KAH,KORDELL",2
10:48,,,,,"SUB IN by RIDENOUR,CHASE",,,"SUB IN by RIDENOUR,CHASE",2
10:44,,,,,"FOUL  by KAH,KORDELL",,,"FOUL  by KAH,KORDELL",2
10:44,"GOOD FT by KAHL,COLIN",43,,61 (+18),,Sewan 43-61 (-18),,"GOOD FT by KAHL,COLIN",2
10:44,"MISS FT by KAHL,COLIN",,,,,,,"MISS FT by KAHL,COLIN",2
--,,,,,"REBOUND DEF by RIDENOUR,CHASE",,,"REBOUND DEF by RIDENOUR,CHASE",2
10:21,,43,,63 (+20),"GOOD LAYUP by COCHRAN,CHARLIE(in the paint)",MVILLE 43-63 (-20),,"GOOD LAYUP by COCHRAN,CHARLIE(in the paint)",2
--,,,,,"ASSIST  by RASNICK,MYLES",,,"ASSIST  by RASNICK,MYLES",2
10:05,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
10:05,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
09:53,"FOUL  by CRUMP,JOHN",,,,,,,"FOUL  by CRUMP,JOHN",2
09:53,,43,,64 (+21),"GOOD FT by RASNICK,MYLES",MVILLE 43-64 (-21),,"GOOD FT by RASNICK,MYLES",2
09:53,,43,,65 (+22),"GOOD FT by RASNICK,MYLES",MVILLE 43-65 (-22),,"GOOD FT by RASNICK,MYLES",2
09:38,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",2
--,,,,,"REBOUND DEF by RIDENOUR,CHASE",,,"REBOUND DEF by RIDENOUR,CHASE",2
09:30,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
09:30,,,,,"MISS FT by KAH,KORDELL(fastbreak)",,,"MISS FT by KAH,KORDELL(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:30,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
09:30,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
09:30,,43,,66 (+23),"GOOD FT by KAH,KORDELL(fastbreak)",MVILLE 43-66 (-23),,"GOOD FT by KAH,KORDELL(fastbreak)",2
09:30,,,,,"SUB OUT by COCHRAN,CHARLIE",,,"SUB OUT by COCHRAN,CHARLIE",2
09:30,,,,,"SUB IN by PATTERSON,LOGAN",,,"SUB IN by PATTERSON,LOGAN",2
09:03,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by RASNICK,MYLES",,,"REBOUND DEF by RASNICK,MYLES",2
08:57,,43,,69 (+26),"GOOD 3PTR by GREEN,JAYLON(fastbreak)",MVILLE 43-69 (-26),,"GOOD 3PTR by GREEN,JAYLON(fastbreak)",2
--,,,,,"ASSIST  by RASNICK,MYLES",,,"ASSIST  by RASNICK,MYLES",2
08:40,,,,,"FOUL  by RIDENOUR,CHASE",,,"FOUL  by RIDENOUR,CHASE",2
08:40,"MISS FT by MARR,RUSS",,,,,,,"MISS FT by MARR,RUSS",2
--,,,,,"REBOUND DEF by KAH,KORDELL",,,"REBOUND DEF by KAH,KORDELL",2
08:14,,,,,"MISS 3PTR by KAH,KORDELL",,,"MISS 3PTR by KAH,KORDELL",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
08:03,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by PATTERSON,LOGAN",,,"REBOUND DEF by PATTERSON,LOGAN",2
07:43,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",2
07:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:43,,,,,"MISS FT by RIDENOUR,CHASE",,,"MISS FT by RIDENOUR,CHASE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:43,,43,,70 (+27),"GOOD FT by RIDENOUR,CHASE",MVILLE 43-70 (-27),,"GOOD FT by RIDENOUR,CHASE",2
07:30,"MISS JUMPER by KAHL,COLIN(in the paint)",,,,,,,"MISS JUMPER by KAHL,COLIN(in the paint)",2
--,,,,,"REBOUND DEF by RASNICK,MYLES",,,"REBOUND DEF by RASNICK,MYLES",2
07:07,,,,,"MISS JUMPER by PATTERSON,LOGAN(in the paint)",,,"MISS JUMPER by PATTERSON,LOGAN(in the paint)",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
07:01,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",2
07:01,,,,,"STEAL  by RASNICK,MYLES",,,"STEAL  by RASNICK,MYLES",2
06:59,,,,,"MISS LAYUP by KAH,KORDELL(in the paint)",,,"MISS LAYUP by KAH,KORDELL(in the paint)",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:59,,,,,"SUB OUT by GREEN,JAYLON",,,"SUB OUT by GREEN,JAYLON",2
06:59,,,,,"SUB OUT by PATTERSON,LOGAN",,,"SUB OUT by PATTERSON,LOGAN",2
06:59,,,,,"SUB OUT by KAH,KORDELL",,,"SUB OUT by KAH,KORDELL",2
06:59,,,,,"SUB IN by COCHRAN,CHARLIE",,,"SUB IN by COCHRAN,CHARLIE",2
06:59,,,,,"SUB IN by GARNER,JACKSON",,,"SUB IN by GARNER,JACKSON",2
06:59,,,,,"SUB IN by RICE,DARYL",,,"SUB IN by RICE,DARYL",2
06:59,"MISS 3PTR by SMITH,GRAHAM",,,,,,,"MISS 3PTR by SMITH,GRAHAM",2
--,,,,,"REBOUND DEF by COCHRAN,CHARLIE",,,"REBOUND DEF by COCHRAN,CHARLIE",2
06:54,,,,,"MISS JUMPER by RICE,DARYL(in the paint)",,,"MISS JUMPER by RICE,DARYL(in the paint)",2
--,"REBOUND DEF by SMITH,GRAHAM",,,,,,,"REBOUND DEF by SMITH,GRAHAM",2
06:41,,,,,"FOUL  by RICE,DARYL",,,"FOUL  by RICE,DARYL",2
06:21,,,,,"SUB OUT by RIDENOUR,CHASE",,,"SUB OUT by RIDENOUR,CHASE",2
06:21,,,,,"SUB IN by RODRIGUEZ,JOSE",,,"SUB IN by RODRIGUEZ,JOSE",2
06:21,"GOOD FT by CORRIGAN,TRE",44,,70 (+26),,Sewan 44-70 (-26),,"GOOD FT by CORRIGAN,TRE",2
06:21,"GOOD FT by CORRIGAN,TRE",45,,70 (+25),,Sewan 45-70 (-25),,"GOOD FT by CORRIGAN,TRE",2
06:06,,,,,"FOUL  by RODRIGUEZ,JOSE",,,"FOUL  by RODRIGUEZ,JOSE",2
06:06,,,,,"TURNOVER  by RODRIGUEZ,JOSE",,,"TURNOVER  by RODRIGUEZ,JOSE",2
05:56,"GOOD LAYUP by CRUMP,JOHN(in the paint)",47,,70 (+23),,Sewan 47-70 (-23),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",2
05:38,,,,,"FOUL  by RODRIGUEZ,JOSE",,,"FOUL  by RODRIGUEZ,JOSE",2
05:38,,,,,"TURNOVER  by RODRIGUEZ,JOSE",,,"TURNOVER  by RODRIGUEZ,JOSE",2
05:38,,,,,"SUB OUT by RASNICK,MYLES",,,"SUB OUT by RASNICK,MYLES",2
05:38,,,,,"SUB IN by KAH,KORDELL",,,"SUB IN by KAH,KORDELL",2
05:26,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:24,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
05:24,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
05:14,,,,,"MISS JUMPER by GARNER,JACKSON",,,"MISS JUMPER by GARNER,JACKSON",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
05:01,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by COCHRAN,CHARLIE",,,"REBOUND DEF by COCHRAN,CHARLIE",2
04:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:41,,,,,"MISS JUMPER by KAH,KORDELL(in the paint)",,,"MISS JUMPER by KAH,KORDELL(in the paint)",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
04:11,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
03:48,,,,,"MISS LAYUP by COCHRAN,CHARLIE(in the paint)",,,"MISS LAYUP by COCHRAN,CHARLIE(in the paint)",2
--,,,,,"REBOUND OFF by RODRIGUEZ,JOSE",,,"REBOUND OFF by RODRIGUEZ,JOSE",2
03:47,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
03:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:47,,,,,"SUB OUT by KAH,KORDELL",,,"SUB OUT by KAH,KORDELL",2
03:47,,,,,"SUB IN by MORGAN,CHASE",,,"SUB IN by MORGAN,CHASE",2
03:47,,47,,71 (+24),"GOOD FT by COCHRAN,CHARLIE",MVILLE 47-71 (-24),,"GOOD FT by COCHRAN,CHARLIE",2
03:47,,47,,72 (+25),"GOOD FT by COCHRAN,CHARLIE",MVILLE 47-72 (-25),,"GOOD FT by COCHRAN,CHARLIE",2
03:35,,,,,"FOUL  by RODRIGUEZ,JOSE",,,"FOUL  by RODRIGUEZ,JOSE",2
03:35,"GOOD FT by CRUMP,JOHN",48,,72 (+24),,Sewan 48-72 (-24),,"GOOD FT by CRUMP,JOHN",2
03:35,,,,,"SUB OUT by COCHRAN,CHARLIE",,,"SUB OUT by COCHRAN,CHARLIE",2
03:35,,,,,"SUB IN by TREADWELL,HAYDEN",,,"SUB IN by TREADWELL,HAYDEN",2
03:35,"MISS FT by CRUMP,JOHN",,,,,,,"MISS FT by CRUMP,JOHN",2
--,,,,,"REBOUND DEF by TREADWELL,HAYDEN",,,"REBOUND DEF by TREADWELL,HAYDEN",2
03:20,,,,,"MISS LAYUP by RODRIGUEZ,JOSE(in the paint)",,,"MISS LAYUP by RODRIGUEZ,JOSE(in the paint)",2
--,,,,,"REBOUND OFF by RODRIGUEZ,JOSE",,,"REBOUND OFF by RODRIGUEZ,JOSE",2
03:13,,,,,"MISS JUMPER by RICE,DARYL",,,"MISS JUMPER by RICE,DARYL",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
03:04,"MISS JUMPER by CRUMP,JOHN(in the paint)",,,,,,,"MISS JUMPER by CRUMP,JOHN(in the paint)",2
--,"REBOUND OFF by CRUMP,JOHN",,,,,,,"REBOUND OFF by CRUMP,JOHN",2
03:01,,,,,"SUB OUT by RODRIGUEZ,JOSE",,,"SUB OUT by RODRIGUEZ,JOSE",2
03:01,,,,,"SUB IN by CHIPP,MALACHI",,,"SUB IN by CHIPP,MALACHI",2
02:51,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by CHIPP,MALACHI",,,"REBOUND DEF by CHIPP,MALACHI",2
02:43,,,,,"MISS 3PTR by GARNER,JACKSON",,,"MISS 3PTR by GARNER,JACKSON",2
--,,,,,"REBOUND OFF by CHIPP,MALACHI",,,"REBOUND OFF by CHIPP,MALACHI",2
02:38,,,,,"MISS 3PTR by MORGAN,CHASE",,,"MISS 3PTR by MORGAN,CHASE",2
--,,,,,"REBOUND OFF by TREADWELL,HAYDEN",,,"REBOUND OFF by TREADWELL,HAYDEN",2
02:32,,48,,74 (+26),"GOOD LAYUP by TREADWELL,HAYDEN(in the paint)",MVILLE 48-74 (-26),,"GOOD LAYUP by TREADWELL,HAYDEN(in the paint)",2
02:23,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",2
02:23,,,,,"STEAL  by RICE,DARYL",,,"STEAL  by RICE,DARYL",2
02:18,,48,,76 (+28),"GOOD LAYUP by CHIPP,MALACHI(fastbreak)(in the paint)",MVILLE 48-76 (-28),,"GOOD LAYUP by CHIPP,MALACHI(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by RICE,DARYL",,,"ASSIST  by RICE,DARYL",2
02:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:16,,,,,"SUB OUT by GARNER,JACKSON",,,"SUB OUT by GARNER,JACKSON",2
02:16,,,,,"SUB OUT by RICE,DARYL",,,"SUB OUT by RICE,DARYL",2
02:16,,,,,"SUB OUT by MORGAN,CHASE",,,"SUB OUT by MORGAN,CHASE",2
02:16,,,,,"SUB OUT by TREADWELL,HAYDEN",,,"SUB OUT by TREADWELL,HAYDEN",2
02:16,,,,,"SUB IN by HOLLAND,DOMENIC",,,"SUB IN by HOLLAND,DOMENIC",2
02:16,,,,,"SUB IN by MIXON,DEVIN",,,"SUB IN by MIXON,DEVIN",2
02:16,,,,,"SUB IN by NORWOOD II,WILL",,,"SUB IN by NORWOOD II,WILL",2
02:16,,,,,"SUB IN by MARTIN,DARIUS",,,"SUB IN by MARTIN,DARIUS",2
02:16,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
02:16,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
02:16,"SUB IN by BOULDIN,BLAKE",,,,,,,"SUB IN by BOULDIN,BLAKE",2
02:16,"SUB IN by FOLK,BEN",,,,,,,"SUB IN by FOLK,BEN",2
02:10,"MISS 3PTR by FOLK,BEN",,,,,,,"MISS 3PTR by FOLK,BEN",2
--,"REBOUND OFF by HOLLAND,ELI",,,,,,,"REBOUND OFF by HOLLAND,ELI",2
02:03,"GOOD LAYUP by HOLLAND,ELI(in the paint)",50,,76 (+26),,Sewan 50-76 (-26),,"GOOD LAYUP by HOLLAND,ELI(in the paint)",2
01:46,,,,,"MISS JUMPER by CHIPP,MALACHI(in the paint)",,,"MISS JUMPER by CHIPP,MALACHI(in the paint)",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
01:36,,,,,"FOUL  by NORWOOD II,WILL",,,"FOUL  by NORWOOD II,WILL",2
01:28,"GOOD FT by CORRIGAN,TRE",51,,76 (+25),,Sewan 51-76 (-25),,"GOOD FT by CORRIGAN,TRE",2
01:28,"GOOD FT by CORRIGAN,TRE",52,,76 (+24),,Sewan 52-76 (-24),,"GOOD FT by CORRIGAN,TRE",2
00:59,,,,,"MISS JUMPER by CHIPP,MALACHI(in the paint)",,,"MISS JUMPER by CHIPP,MALACHI(in the paint)",2
--,,,,,"REBOUND OFF by NORWOOD II,WILL",,,"REBOUND OFF by NORWOOD II,WILL",2
00:50,,,,,"MISS LAYUP by HOLLAND,DOMENIC(in the paint)",,,"MISS LAYUP by HOLLAND,DOMENIC(in the paint)",2
--,,,,,"REBOUND OFF by HOLLAND,DOMENIC",,,"REBOUND OFF by HOLLAND,DOMENIC",2
00:35,"GOOD 3PTR by FOLK,BEN",55,,76 (+21),,Sewan 55-76 (-21),,"GOOD 3PTR by FOLK,BEN",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
00:35,,,,,"MISS JUMPER by NORWOOD II,WILL",,,"MISS JUMPER by NORWOOD II,WILL",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
00:30,,,,,"SUB OUT by MARTIN,DARIUS",,,"SUB OUT by MARTIN,DARIUS",2
00:30,,,,,"SUB IN by POWERS,GRADY",,,"SUB IN by POWERS,GRADY",2
