Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",1
02:43,,,,,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",,,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",1
--,"REBOUND DEF by RUSSO,ALEX",,,,,,,"REBOUND DEF by RUSSO,ALEX",1
02:29,"MISS JUMPER by ROMERO,EDGAR(in the paint)",,,,,,,"MISS JUMPER by ROMERO,EDGAR(in the paint)",1
02:29,,,,,"BLOCK  by WILEY,KOKI",,,"BLOCK  by WILEY,KOKI",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
02:22,,,,,"MISS 3PTR by WAGNER,MIKE",,,"MISS 3PTR by WAGNER,MIKE",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
02:07,,23,,43 (+20),"GOOD 3PTR by ESSICK,JALEN",Rhodes 23-43 (+20),,"GOOD 3PTR by ESSICK,JALEN",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
01:50,"MISS LAYUP by BOYKIN,DINARI(in the paint)",,,,,,,"MISS LAYUP by BOYKIN,DINARI(in the paint)",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
01:44,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",,,"TURNOVER  by GEORGETOWN II,ARNESS",1
01:44,"SUB OUT by BOYKIN,DINARI",,,,,,,"SUB OUT by BOYKIN,DINARI",1
01:44,"SUB IN by RUEGG,SCOTT",,,,,,,"SUB IN by RUEGG,SCOTT",1
01:44,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
01:44,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",1
01:28,"TURNOVER  by RUSSO,ALEX",,,,,,,"TURNOVER  by RUSSO,ALEX",1
01:20,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND DEF by RUEGG,SCOTT",,,,,,,"REBOUND DEF by RUEGG,SCOTT",1
01:09,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
01:09,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
01:09,,,,,"SUB IN by DOTSON,PHIL",,,"SUB IN by DOTSON,PHIL",1
01:09,"SUB OUT by SHIVELY,COREY",,,,,,,"SUB OUT by SHIVELY,COREY",1
01:09,"SUB IN by SAMIKOGLU,ORION",,,,,,,"SUB IN by SAMIKOGLU,ORION",1
01:09,"MISS FT by PRICE,ADRIAN",,,,,,,"MISS FT by PRICE,ADRIAN",1
--,"REBOUND OFF by RUEGG,SCOTT",,,,,,,"REBOUND OFF by RUEGG,SCOTT",1
00:58,"GOOD JUMPER by RUEGG,SCOTT",25,,43 (+18),,CC 25-43 (+18),,"GOOD JUMPER by RUEGG,SCOTT",1
00:39,,,,,"MISS 3PTR by DOTSON,PHIL",,,"MISS 3PTR by DOTSON,PHIL",1
--,,,,,"REBOUND OFF by RAMBERG,CASS",,,"REBOUND OFF by RAMBERG,CASS",1
00:33,,,,,"MISS LAYUP by RAMBERG,CASS(in the paint)",,,"MISS LAYUP by RAMBERG,CASS(in the paint)",1
--,,,,,"REBOUND OFF by DOTSON,PHIL",,,"REBOUND OFF by DOTSON,PHIL",1
00:29,,,,,"FOUL  by WAGNER,MIKE",,,"FOUL  by WAGNER,MIKE",1
00:29,,,,,"TURNOVER  by WAGNER,MIKE",,,"TURNOVER  by WAGNER,MIKE",1
00:29,,,,,"SUB OUT by DOTSON,PHIL",,,"SUB OUT by DOTSON,PHIL",1
00:29,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",1
00:08,"MISS 3PTR by SAMIKOGLU,ORION",,,,,,,"MISS 3PTR by SAMIKOGLU,ORION",1
--,,,,,"REBOUND DEF by WAGNER,MIKE",,,"REBOUND DEF by WAGNER,MIKE",1
00:02,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by PRICE,ADRIAN",,,,,,,"REBOUND DEF by PRICE,ADRIAN",1
20:00,,,,,"SUB OUT by WHITE,ELIJAH",,,"SUB OUT by WHITE,ELIJAH",2
20:00,,,,,"SUB OUT by RAMBERG,CASS",,,"SUB OUT by RAMBERG,CASS",2
20:00,,,,,"SUB OUT by WAGNER,MIKE",,,"SUB OUT by WAGNER,MIKE",2
20:00,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",2
20:00,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",2
20:00,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",2
20:00,"SUB OUT by ROMERO,EDGAR",,,,,,,"SUB OUT by ROMERO,EDGAR",2
20:00,"SUB OUT by SAMIKOGLU,ORION",,,,,,,"SUB OUT by SAMIKOGLU,ORION",2
20:00,"SUB IN by DENNIS,DEANTE'",,,,,,,"SUB IN by DENNIS,DEANTE'",2
20:00,"SUB IN by DITTMAN,KEVIN",,,,,,,"SUB IN by DITTMAN,KEVIN",2
19:39,"MISS LAYUP by DENNIS,DEANTE'(in the paint)",,,,,,,"MISS LAYUP by DENNIS,DEANTE'(in the paint)",2
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",2
19:20,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",2
--,"REBOUND DEF by RUEGG,SCOTT",,,,,,,"REBOUND DEF by RUEGG,SCOTT",2
19:12,"MISS LAYUP by RUEGG,SCOTT(in the paint)",,,,,,,"MISS LAYUP by RUEGG,SCOTT(in the paint)",2
--,"REBOUND OFF by DITTMAN,KEVIN",,,,,,,"REBOUND OFF by DITTMAN,KEVIN",2
19:11,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",2
19:11,"MISS FT by DITTMAN,KEVIN",,,,,,,"MISS FT by DITTMAN,KEVIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:11,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",2
19:11,,,,,"SUB IN by DOTSON,PHIL",,,"SUB IN by DOTSON,PHIL",2
19:11,"GOOD FT by DITTMAN,KEVIN",26,,43 (+17),,CC 26-43 (+17),,"GOOD FT by DITTMAN,KEVIN",2
18:59,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",2
18:59,"STEAL  by DENNIS,DEANTE'",,,,,,,"STEAL  by DENNIS,DEANTE'",2
18:54,"TURNOVER  by DENNIS,DEANTE'",,,,,,,"TURNOVER  by DENNIS,DEANTE'",2
18:33,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",2
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",2
18:29,,26,,45 (+19),"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 26-45 (+19),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",2
18:29,"FOUL  by DITTMAN,KEVIN",,,,,,,"FOUL  by DITTMAN,KEVIN",2
18:29,"SUB OUT by DITTMAN,KEVIN",,,,,,,"SUB OUT by DITTMAN,KEVIN",2
18:29,"SUB IN by SAMIKOGLU,ORION",,,,,,,"SUB IN by SAMIKOGLU,ORION",2
18:29,,26,,46 (+20),"GOOD FT by ESSICK,JALEN",Rhodes 26-46 (+20),,"GOOD FT by ESSICK,JALEN",2
18:01,"MISS LAYUP by SAMIKOGLU,ORION(in the paint)",,,,,,,"MISS LAYUP by SAMIKOGLU,ORION(in the paint)",2
--,"REBOUND OFF by RUSSO,ALEX",,,,,,,"REBOUND OFF by RUSSO,ALEX",2
17:56,"GOOD 3PTR by RUEGG,SCOTT",29,,46 (+17),,CC 29-46 (+17),,"GOOD 3PTR by RUEGG,SCOTT",2
--,"ASSIST  by RUSSO,ALEX",,,,,,,"ASSIST  by RUSSO,ALEX",2
17:38,,29,,48 (+19),"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 29-48 (+19),,"GOOD JUMPER by WILEY,KOKI(in the paint)",2
17:19,"TURNOVER  by PRICE,ADRIAN",,,,,,,"TURNOVER  by PRICE,ADRIAN",2
17:19,"SUB OUT by DENNIS,DEANTE'",,,,,,,"SUB OUT by DENNIS,DEANTE'",2
17:19,"SUB OUT by RUSSO,ALEX",,,,,,,"SUB OUT by RUSSO,ALEX",2
17:19,"SUB IN by ANDREWS,KENNEDY",,,,,,,"SUB IN by ANDREWS,KENNEDY",2
17:19,"SUB IN by BOYKIN,DINARI",,,,,,,"SUB IN by BOYKIN,DINARI",2
17:00,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",2
17:00,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",2
17:00,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",2
17:00,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",2
16:43,,,,,"FOUL  by WALKER,JEFFERSON",,,"FOUL  by WALKER,JEFFERSON",2
16:43,"MISS FT by BOYKIN,DINARI",,,,,,,"MISS FT by BOYKIN,DINARI",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:43,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
16:43,,,,,"SUB IN by WAGNER,MIKE",,,"SUB IN by WAGNER,MIKE",2
16:43,"GOOD FT by BOYKIN,DINARI",30,,48 (+18),,CC 30-48 (+18),,"GOOD FT by BOYKIN,DINARI",2
16:36,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
16:36,"STEAL  by BOYKIN,DINARI",,,,,,,"STEAL  by BOYKIN,DINARI",2
16:36,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",2
16:19,"MISS 3PTR by BOYKIN,DINARI",,,,,,,"MISS 3PTR by BOYKIN,DINARI",2
--,"REBOUND OFF by SAMIKOGLU,ORION",,,,,,,"REBOUND OFF by SAMIKOGLU,ORION",2
16:09,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",2
16:09,"GOOD FT by PRICE,ADRIAN",31,,48 (+17),,CC 31-48 (+17),,"GOOD FT by PRICE,ADRIAN",2
16:09,"MISS FT by PRICE,ADRIAN",,,,,,,"MISS FT by PRICE,ADRIAN",2
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",2
16:04,"FOUL  by ANDREWS,KENNEDY",,,,,,,"FOUL  by ANDREWS,KENNEDY",2
16:04,,,,,"MISS FT by WILEY,KOKI(fastbreak)",,,"MISS FT by WILEY,KOKI(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:04,"SUB OUT by RUEGG,SCOTT",,,,,,,"SUB OUT by RUEGG,SCOTT",2
16:04,"SUB IN by SHIVELY,COREY",,,,,,,"SUB IN by SHIVELY,COREY",2
16:04,,31,,49 (+18),"GOOD FT by WILEY,KOKI(fastbreak)",Rhodes 31-49 (+18),,"GOOD FT by WILEY,KOKI(fastbreak)",2
15:45,"GOOD JUMPER by BOYKIN,DINARI(in the paint)",33,,49 (+16),,CC 33-49 (+16),,"GOOD JUMPER by BOYKIN,DINARI(in the paint)",2
15:32,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:22,,,,,"MISS 3PTR by GEORGETOWN II,ARNESS",,,"MISS 3PTR by GEORGETOWN II,ARNESS",2
--,"REBOUND DEF by ANDREWS,KENNEDY",,,,,,,"REBOUND DEF by ANDREWS,KENNEDY",2
15:11,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",2
15:10,"MISS 3PTR by SAMIKOGLU,ORION",,,,,,,"MISS 3PTR by SAMIKOGLU,ORION",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:05,,,,,"SUB OUT by RAMBERG,CASS",,,"SUB OUT by RAMBERG,CASS",2
15:05,,,,,"SUB OUT by WAGNER,MIKE",,,"SUB OUT by WAGNER,MIKE",2
15:05,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",2
15:05,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",2
15:04,"TURNOVER  by ANDREWS,KENNEDY",,,,,,,"TURNOVER  by ANDREWS,KENNEDY",2
14:53,,33,,52 (+19),"GOOD 3PTR by DOTSON,PHIL",Rhodes 33-52 (+19),,"GOOD 3PTR by DOTSON,PHIL",2
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",2
14:26,"TURNOVER  by PRICE,ADRIAN",,,,,,,"TURNOVER  by PRICE,ADRIAN",2
14:26,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",2
14:25,"FOUL  by BOYKIN,DINARI",,,,,,,"FOUL  by BOYKIN,DINARI",2
14:25,"SUB OUT by SAMIKOGLU,ORION",,,,,,,"SUB OUT by SAMIKOGLU,ORION",2
14:25,"SUB OUT by PRICE,ADRIAN",,,,,,,"SUB OUT by PRICE,ADRIAN",2
14:25,"SUB IN by NOFZIGER,ASHER",,,,,,,"SUB IN by NOFZIGER,ASHER",2
14:25,"SUB IN by RUEGG,SCOTT",,,,,,,"SUB IN by RUEGG,SCOTT",2
14:13,"FOUL  by ANDREWS,KENNEDY",,,,,,,"FOUL  by ANDREWS,KENNEDY",2
14:13,,33,,53 (+20),"GOOD FT by DOTSON,PHIL",Rhodes 33-53 (+20),,"GOOD FT by DOTSON,PHIL",2
14:13,,33,,54 (+21),"GOOD FT by DOTSON,PHIL",Rhodes 33-54 (+21),,"GOOD FT by DOTSON,PHIL",2
13:58,"MISS JUMPER by BOYKIN,DINARI(in the paint)",,,,,,,"MISS JUMPER by BOYKIN,DINARI(in the paint)",2
--,"REBOUND OFF by NOFZIGER,ASHER",,,,,,,"REBOUND OFF by NOFZIGER,ASHER",2
13:56,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",2
13:56,"GOOD FT by NOFZIGER,ASHER",34,,54 (+20),,CC 34-54 (+20),,"GOOD FT by NOFZIGER,ASHER",2
13:55,"MISS FT by NOFZIGER,ASHER",,,,,,,"MISS FT by NOFZIGER,ASHER",2
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",2
13:46,,34,,56 (+22),"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",Rhodes 34-56 (+22),,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
13:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
13:40,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",2
13:40,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",2
13:40,"SUB OUT by ANDREWS,KENNEDY",,,,,,,"SUB OUT by ANDREWS,KENNEDY",2
13:40,"SUB IN by RUSSO,ALEX",,,,,,,"SUB IN by RUSSO,ALEX",2
13:21,"MISS JUMPER by NOFZIGER,ASHER(in the paint)",,,,,,,"MISS JUMPER by NOFZIGER,ASHER(in the paint)",2
--,"REBOUND OFF by BOYKIN,DINARI",,,,,,,"REBOUND OFF by BOYKIN,DINARI",2
13:19,,,,,"FOUL  by RAMBERG,CASS",,,"FOUL  by RAMBERG,CASS",2
13:19,"GOOD FT by BOYKIN,DINARI",35,,56 (+21),,CC 35-56 (+21),,"GOOD FT by BOYKIN,DINARI",2
13:19,"GOOD FT by BOYKIN,DINARI",36,,56 (+20),,CC 36-56 (+20),,"GOOD FT by BOYKIN,DINARI",2
13:06,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",2
--,,,,,"REBOUND OFF by DOTSON,PHIL",,,"REBOUND OFF by DOTSON,PHIL",2
13:01,,36,,58 (+22),"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",Rhodes 36-58 (+22),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",2
--,,,,,"ASSIST  by DOTSON,PHIL",,,"ASSIST  by DOTSON,PHIL",2
12:53,"GOOD JUMPER by BOYKIN,DINARI(fastbreak)(in the paint)",38,,58 (+20),,CC 38-58 (+20),,"GOOD JUMPER by BOYKIN,DINARI(fastbreak)(in the paint)",2
12:37,,38,,60 (+22),"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",Rhodes 38-60 (+22),,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",2
12:19,,,,,"FOUL  by DOTSON,PHIL",,,"FOUL  by DOTSON,PHIL",2
12:19,"GOOD FT by NOFZIGER,ASHER",39,,60 (+21),,CC 39-60 (+21),,"GOOD FT by NOFZIGER,ASHER",2
12:19,,,,,"SUB OUT by RAMBERG,CASS",,,"SUB OUT by RAMBERG,CASS",2
12:19,,,,,"SUB IN by COOPER,LUKE",,,"SUB IN by COOPER,LUKE",2
12:19,"GOOD FT by NOFZIGER,ASHER",40,,60 (+20),,CC 40-60 (+20),,"GOOD FT by NOFZIGER,ASHER",2
11:59,,,,,"MISS JUMPER by DOTSON,PHIL(in the paint)",,,"MISS JUMPER by DOTSON,PHIL(in the paint)",2
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",2
11:58,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",2
--,"REBOUND DEF by NOFZIGER,ASHER",,,,,,,"REBOUND DEF by NOFZIGER,ASHER",2
11:58,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",2
11:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:58,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",2
11:58,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",2
11:58,"SUB OUT by BOYKIN,DINARI",,,,,,,"SUB OUT by BOYKIN,DINARI",2
11:58,"SUB IN by DITTMAN,KEVIN",,,,,,,"SUB IN by DITTMAN,KEVIN",2
11:58,"GOOD FT by NOFZIGER,ASHER",41,,60 (+19),,CC 41-60 (+19),,"GOOD FT by NOFZIGER,ASHER",2
11:58,"MISS FT by NOFZIGER,ASHER",,,,,,,"MISS FT by NOFZIGER,ASHER",2
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",2
11:48,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",2
11:37,"TURNOVER  by NOFZIGER,ASHER",,,,,,,"TURNOVER  by NOFZIGER,ASHER",2
11:22,,41,,62 (+21),"GOOD JUMPER by PRANGE,JONATHAN(in the paint)",Rhodes 41-62 (+21),,"GOOD JUMPER by PRANGE,JONATHAN(in the paint)",2
10:59,"GOOD JUMPER by NOFZIGER,ASHER(in the paint)",43,,62 (+19),,CC 43-62 (+19),,"GOOD JUMPER by NOFZIGER,ASHER(in the paint)",2
10:48,,,,,"MISS JUMPER by PRANGE,JONATHAN(in the paint)",,,"MISS JUMPER by PRANGE,JONATHAN(in the paint)",2
10:48,"BLOCK  by DITTMAN,KEVIN",,,,,,,"BLOCK  by DITTMAN,KEVIN",2
--,"REBOUND DEF by NOFZIGER,ASHER",,,,,,,"REBOUND DEF by NOFZIGER,ASHER",2
10:42,"GOOD LAYUP by SHIVELY,COREY(fastbreak)(in the paint)",45,,62 (+17),,CC 45-62 (+17),,"GOOD LAYUP by SHIVELY,COREY(fastbreak)(in the paint)",2
--,"ASSIST  by RUEGG,SCOTT",,,,,,,"ASSIST  by RUEGG,SCOTT",2
10:20,,,,,"MISS JUMPER by DOTSON,PHIL(in the paint)",,,"MISS JUMPER by DOTSON,PHIL(in the paint)",2
--,,,,,"REBOUND OFF by DOTSON,PHIL",,,"REBOUND OFF by DOTSON,PHIL",2
10:15,,45,,64 (+19),"GOOD LAYUP by DOTSON,PHIL(in the paint)",Rhodes 45-64 (+19),,"GOOD LAYUP by DOTSON,PHIL(in the paint)",2
09:54,"MISS 3PTR by NOFZIGER,ASHER",,,,,,,"MISS 3PTR by NOFZIGER,ASHER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:53,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",2
09:53,,,,,"SUB OUT by COOPER,LUKE",,,"SUB OUT by COOPER,LUKE",2
09:53,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",2
09:53,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",2
09:53,"SUB OUT by NOFZIGER,ASHER",,,,,,,"SUB OUT by NOFZIGER,ASHER",2
09:53,"SUB OUT by RUEGG,SCOTT",,,,,,,"SUB OUT by RUEGG,SCOTT",2
09:53,"SUB OUT by RUSSO,ALEX",,,,,,,"SUB OUT by RUSSO,ALEX",2
09:53,"SUB OUT by SHIVELY,COREY",,,,,,,"SUB OUT by SHIVELY,COREY",2
09:53,"SUB OUT by DITTMAN,KEVIN",,,,,,,"SUB OUT by DITTMAN,KEVIN",2
09:53,"SUB IN by ANDREWS,KENNEDY",,,,,,,"SUB IN by ANDREWS,KENNEDY",2
09:53,"SUB IN by BOYKIN,DINARI",,,,,,,"SUB IN by BOYKIN,DINARI",2
09:53,"SUB IN by LEE,KYLE",,,,,,,"SUB IN by LEE,KYLE",2
09:53,"SUB IN by ROMERO,EDGAR",,,,,,,"SUB IN by ROMERO,EDGAR",2
09:53,"SUB IN by PRICE,ADRIAN",,,,,,,"SUB IN by PRICE,ADRIAN",2
09:41,,45,,66 (+21),"GOOD JUMPER by DOTSON,PHIL(in the paint)",Rhodes 45-66 (+21),,"GOOD JUMPER by DOTSON,PHIL(in the paint)",2
09:28,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",2
09:28,"GOOD FT by PRICE,ADRIAN",46,,66 (+20),,CC 46-66 (+20),,"GOOD FT by PRICE,ADRIAN",2
09:28,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",2
09:28,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",2
09:28,"GOOD FT by PRICE,ADRIAN",47,,66 (+19),,CC 47-66 (+19),,"GOOD FT by PRICE,ADRIAN",2
09:19,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",2
--,"REBOUND DEF by LEE,KYLE",,,,,,,"REBOUND DEF by LEE,KYLE",2
09:13,"TURNOVER  by LEE,KYLE",,,,,,,"TURNOVER  by LEE,KYLE",2
09:02,,47,,69 (+22),"GOOD 3PTR by DOTSON,PHIL",Rhodes 47-69 (+22),,"GOOD 3PTR by DOTSON,PHIL",2
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",2
08:52,"MISS JUMPER by BOYKIN,DINARI(in the paint)",,,,,,,"MISS JUMPER by BOYKIN,DINARI(in the paint)",2
--,"REBOUND OFF by ANDREWS,KENNEDY",,,,,,,"REBOUND OFF by ANDREWS,KENNEDY",2
08:38,"GOOD JUMPER by BOYKIN,DINARI(in the paint)",49,,69 (+20),,CC 49-69 (+20),,"GOOD JUMPER by BOYKIN,DINARI(in the paint)",2
08:38,,,,,"FOUL  by PRANGE,JONATHAN",,,"FOUL  by PRANGE,JONATHAN",2
08:38,,,,,"SUB OUT by PRANGE,JONATHAN",,,"SUB OUT by PRANGE,JONATHAN",2
08:38,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",2
08:38,"GOOD FT by BOYKIN,DINARI",50,,69 (+19),,CC 50-69 (+19),,"GOOD FT by BOYKIN,DINARI",2
08:38,"SUB OUT by ANDREWS,KENNEDY",,,,,,,"SUB OUT by ANDREWS,KENNEDY",2
08:38,"SUB IN by RUSSO,ALEX",,,,,,,"SUB IN by RUSSO,ALEX",2
08:22,"FOUL  by PRICE,ADRIAN",,,,,,,"FOUL  by PRICE,ADRIAN",2
08:22,,,,,"MISS FT by RAMBERG,CASS",,,"MISS FT by RAMBERG,CASS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:22,"SUB OUT by LEE,KYLE",,,,,,,"SUB OUT by LEE,KYLE",2
08:22,"SUB IN by RUEGG,SCOTT",,,,,,,"SUB IN by RUEGG,SCOTT",2
08:22,,50,,70 (+20),"GOOD FT by RAMBERG,CASS",Rhodes 50-70 (+20),,"GOOD FT by RAMBERG,CASS",2
07:57,"GOOD JUMPER by PRICE,ADRIAN(in the paint)",52,,70 (+18),,CC 52-70 (+18),,"GOOD JUMPER by PRICE,ADRIAN(in the paint)",2
07:44,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",2
--,"REBOUND DEF by RUSSO,ALEX",,,,,,,"REBOUND DEF by RUSSO,ALEX",2
07:40,"FOUL  by BOYKIN,DINARI",,,,,,,"FOUL  by BOYKIN,DINARI",2
07:40,"TURNOVER  by BOYKIN,DINARI",,,,,,,"TURNOVER  by BOYKIN,DINARI",2
07:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:26,,52,,72 (+20),"GOOD JUMPER by DOTSON,PHIL",Rhodes 52-72 (+20),,"GOOD JUMPER by DOTSON,PHIL",2
07:16,"TURNOVER  by BOYKIN,DINARI",,,,,,,"TURNOVER  by BOYKIN,DINARI",2
07:16,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",2
07:09,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",2
07:09,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",2
06:56,"MISS 3PTR by RUEGG,SCOTT",,,,,,,"MISS 3PTR by RUEGG,SCOTT",2
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",2
06:46,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
