Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:52,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
08:52,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
08:52,"GOOD FT by PEARLMAN,LOGAN(fastbreak)",20,,21 (+1),,COV 20-21 (+1),,"GOOD FT by PEARLMAN,LOGAN(fastbreak)",1
08:52,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
08:52,,,,,"SUB IN by DOTSON,PHIL",,,"SUB IN by DOTSON,PHIL",1
08:30,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:29,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
08:29,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
08:21,,,,,"FOUL  by DOTSON,PHIL",,,"FOUL  by DOTSON,PHIL",1
08:21,"MISS FT by CROWDEN,LUKE",,,,,,,"MISS FT by CROWDEN,LUKE",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
08:02,"FOUL  by ST. GERMAIN,MICHAEL",,,,,,,"FOUL  by ST. GERMAIN,MICHAEL",1
08:02,,20,,22 (+2),"GOOD FT by DOTSON,PHIL",Rhodes 20-22 (+2),,"GOOD FT by DOTSON,PHIL",1
08:02,,20,,23 (+3),"GOOD FT by DOTSON,PHIL",Rhodes 20-23 (+3),,"GOOD FT by DOTSON,PHIL",1
07:52,"TURNOVER  by ST. GERMAIN,MICHAEL",,,,,,,"TURNOVER  by ST. GERMAIN,MICHAEL",1
07:52,,,,,"STEAL  by DOTSON,PHIL",,,"STEAL  by DOTSON,PHIL",1
07:48,,20,,25 (+5),"GOOD LAYUP by DOTSON,PHIL(fastbreak)(in the paint)",Rhodes 20-25 (+5),,"GOOD LAYUP by DOTSON,PHIL(fastbreak)(in the paint)",1
07:23,"TURNOVER  by IGBANU,PROMISE",,,,,,,"TURNOVER  by IGBANU,PROMISE",1
07:23,,,,,"STEAL  by WILLIAMS,ZAVIEN",,,"STEAL  by WILLIAMS,ZAVIEN",1
07:16,,20,,28 (+8),"GOOD 3PTR by DOTSON,PHIL",Rhodes 20-28 (+8),,"GOOD 3PTR by DOTSON,PHIL",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
06:58,"MISS LAYUP by PEARLMAN,LOGAN(in the paint)",,,,,,,"MISS LAYUP by PEARLMAN,LOGAN(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
06:43,,,,,"MISS 3PTR by DOTSON,PHIL",,,"MISS 3PTR by DOTSON,PHIL",1
--,,,,,"REBOUND OFF by RAMBERG,CASS",,,"REBOUND OFF by RAMBERG,CASS",1
06:36,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by CROWDEN,LUKE",,,,,,,"REBOUND DEF by CROWDEN,LUKE",1
06:11,"MISS LAYUP by IGBANU,PROMISE(in the paint)",,,,,,,"MISS LAYUP by IGBANU,PROMISE(in the paint)",1
--,"REBOUND OFF by IGBANU,PROMISE",,,,,,,"REBOUND OFF by IGBANU,PROMISE",1
06:08,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:08,"SUB OUT by CROWDEN,LUKE",,,,,,,"SUB OUT by CROWDEN,LUKE",1
06:08,"SUB OUT by PEARLMAN,LOGAN",,,,,,,"SUB OUT by PEARLMAN,LOGAN",1
06:08,"SUB OUT by ST. GERMAIN,MICHAEL",,,,,,,"SUB OUT by ST. GERMAIN,MICHAEL",1
06:08,"SUB IN by NOEL,MALCOLM",,,,,,,"SUB IN by NOEL,MALCOLM",1
06:08,"SUB IN by GERNATT,JONATHAN",,,,,,,"SUB IN by GERNATT,JONATHAN",1
06:08,"SUB IN by WITT,ELI",,,,,,,"SUB IN by WITT,ELI",1
06:03,"MISS 3PTR by HESTER,CHARLIE",,,,,,,"MISS 3PTR by HESTER,CHARLIE",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
05:49,,20,,31 (+11),"GOOD 3PTR by WILLIAMS,ZAVIEN",Rhodes 20-31 (+11),,"GOOD 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"ASSIST  by RAMBERG,CASS",,,"ASSIST  by RAMBERG,CASS",1
05:29,"GOOD LAYUP by NOEL,MALCOLM(in the paint)",22,,31 (+9),,COV 22-31 (+9),,"GOOD LAYUP by NOEL,MALCOLM(in the paint)",1
05:16,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
05:16,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
05:16,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
05:16,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
05:08,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",1
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",1
04:46,"TURNOVER  by HESTER,CHARLIE",,,,,,,"TURNOVER  by HESTER,CHARLIE",1
04:46,,,,,"STEAL  by DOTSON,PHIL",,,"STEAL  by DOTSON,PHIL",1
04:41,,,,,"MISS LAYUP by DOTSON,PHIL(in the paint)",,,"MISS LAYUP by DOTSON,PHIL(in the paint)",1
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",1
04:36,,22,,33 (+11),"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 22-33 (+11),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
04:36,"FOUL  by WITT,ELI",,,,,,,"FOUL  by WITT,ELI",1
04:36,,,,,"MISS FT by ESSICK,JALEN",,,"MISS FT by ESSICK,JALEN",1
--,"REBOUND DEF by GERNATT,JONATHAN",,,,,,,"REBOUND DEF by GERNATT,JONATHAN",1
04:23,"GOOD JUMPER by NOEL,MALCOLM",24,,33 (+9),,COV 24-33 (+9),,"GOOD JUMPER by NOEL,MALCOLM",1
--,"ASSIST  by IGBANU,PROMISE",,,,,,,"ASSIST  by IGBANU,PROMISE",1
04:08,,24,,35 (+11),"GOOD LAYUP by DOTSON,PHIL(in the paint)",Rhodes 24-35 (+11),,"GOOD LAYUP by DOTSON,PHIL(in the paint)",1
03:50,"GOOD 3PTR by GERNATT,JONATHAN",27,,35 (+8),,COV 27-35 (+8),,"GOOD 3PTR by GERNATT,JONATHAN",1
--,"ASSIST  by WITT,ELI",,,,,,,"ASSIST  by WITT,ELI",1
03:37,,,,,"MISS 3PTR by DOTSON,PHIL",,,"MISS 3PTR by DOTSON,PHIL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:37,,,,,"SUB OUT by RAMBERG,CASS",,,"SUB OUT by RAMBERG,CASS",1
03:37,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
03:37,"SUB OUT by HESTER,CHARLIE",,,,,,,"SUB OUT by HESTER,CHARLIE",1
03:37,"SUB IN by PEARLMAN,LOGAN",,,,,,,"SUB IN by PEARLMAN,LOGAN",1
03:35,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND OFF by WALKER,JEFFERSON",,,"REBOUND OFF by WALKER,JEFFERSON",1
03:26,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",1
03:22,,27,,37 (+10),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 27-37 (+10),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
03:05,,,,,"FOUL  by DOTSON,PHIL",,,"FOUL  by DOTSON,PHIL",1
03:05,"GOOD FT by GERNATT,JONATHAN",28,,37 (+9),,COV 28-37 (+9),,"GOOD FT by GERNATT,JONATHAN",1
03:05,,,,,"SUB OUT by DOTSON,PHIL",,,"SUB OUT by DOTSON,PHIL",1
03:05,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",1
03:05,"MISS FT by GERNATT,JONATHAN",,,,,,,"MISS FT by GERNATT,JONATHAN",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
02:52,,28,,39 (+11),"GOOD LAYUP by PRANGE,JONATHAN(in the paint)",Rhodes 28-39 (+11),,"GOOD LAYUP by PRANGE,JONATHAN(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
02:35,"MISS 3PTR by NOEL,MALCOLM",,,,,,,"MISS 3PTR by NOEL,MALCOLM",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
02:25,,28,,41 (+13),"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 28-41 (+13),,"GOOD JUMPER by WILEY,KOKI(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
02:06,"MISS 3PTR by IGBANU,PROMISE",,,,,,,"MISS 3PTR by IGBANU,PROMISE",1
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",1
01:35,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
01:35,"STEAL  by PEARLMAN,LOGAN",,,,,,,"STEAL  by PEARLMAN,LOGAN",1
01:22,"FOUL  by PEARLMAN,LOGAN",,,,,,,"FOUL  by PEARLMAN,LOGAN",1
01:22,"TURNOVER  by PEARLMAN,LOGAN",,,,,,,"TURNOVER  by PEARLMAN,LOGAN",1
01:22,"SUB OUT by WITT,ELI",,,,,,,"SUB OUT by WITT,ELI",1
01:22,"SUB IN by CROWDEN,LUKE",,,,,,,"SUB IN by CROWDEN,LUKE",1
01:00,"FOUL  by PEARLMAN,LOGAN",,,,,,,"FOUL  by PEARLMAN,LOGAN",1
01:00,,28,,42 (+14),"GOOD FT by ESSICK,JALEN",Rhodes 28-42 (+14),,"GOOD FT by ESSICK,JALEN",1
01:00,,28,,43 (+15),"GOOD FT by ESSICK,JALEN",Rhodes 28-43 (+15),,"GOOD FT by ESSICK,JALEN",1
00:51,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
00:51,"GOOD FT by NOEL,MALCOLM",29,,43 (+14),,COV 29-43 (+14),,"GOOD FT by NOEL,MALCOLM",1
00:51,"MISS FT by NOEL,MALCOLM",,,,,,,"MISS FT by NOEL,MALCOLM",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
00:43,,29,,45 (+16),"GOOD JUMPER by WILEY,KOKI",Rhodes 29-45 (+16),,"GOOD JUMPER by WILEY,KOKI",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
00:39,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:39,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
