Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,UD,Game Score,Team Indicator,Play,Period
01:34,,,,,"MISS FT by HOLLOWAY,MATT(fastbreak)",,,"MISS FT by HOLLOWAY,MATT(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:24,,,,,"FOUL  by OLMSTED,JOHNNY",,,"FOUL  by OLMSTED,JOHNNY",1
01:24,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
01:24,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",1
01:24,"GOOD FT by WILLIAMS,ZAVIEN",32,,32,,Rhodes 32-32 (0),,"GOOD FT by WILLIAMS,ZAVIEN",1
01:24,"MISS FT by WILLIAMS,ZAVIEN",,,,,,,"MISS FT by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND DEF by HOLLOWAY,MATT",,,"REBOUND DEF by HOLLOWAY,MATT",1
01:05,,32,,35 (+3),"GOOD 3PTR by OLMSTED,ZAC",UD 32-35 (-3),,"GOOD 3PTR by OLMSTED,ZAC",1
--,,,,,"ASSIST  by OLMSTED,JOHNNY",,,"ASSIST  by OLMSTED,JOHNNY",1
00:45,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND OFF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
00:40,"TURNOVER  by GEORGETOWN II,ARNESS",,,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",1
00:40,,,,,"STEAL  by OLMSTED,ZAC",,,"STEAL  by OLMSTED,ZAC",1
00:30,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
00:30,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",1
00:30,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
00:30,,,,,"SUB OUT by HOLLOWAY,MATT",,,"SUB OUT by HOLLOWAY,MATT",1
00:30,,,,,"SUB IN by MILES,JAXON",,,"SUB IN by MILES,JAXON",1
00:30,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
00:30,"SUB IN by COOPER,LUKE",,,,,,,"SUB IN by COOPER,LUKE",1
00:29,,,,,"MISS FT by KENNEDY,MICHAEL",,,"MISS FT by KENNEDY,MICHAEL",1
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
00:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:20,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
00:20,"SUB OUT by COOPER,LUKE",,,,,,,"SUB OUT by COOPER,LUKE",1
00:20,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
00:20,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",1
00:07,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",34,,35 (+1),,Rhodes 34-35 (-1),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",1
00:00,,,,,"MISS 3PTR by OLMSTED,ZAC",,,"MISS 3PTR by OLMSTED,ZAC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by OLMSTED,JOHNNY",,,"SUB OUT by OLMSTED,JOHNNY",2
20:00,,,,,"SUB OUT by KENNEDY,MICHAEL",,,"SUB OUT by KENNEDY,MICHAEL",2
20:00,,,,,"SUB OUT by MILES,JAXON",,,"SUB OUT by MILES,JAXON",2
20:00,,,,,"SUB IN by BOYLE,JACK",,,"SUB IN by BOYLE,JACK",2
20:00,,,,,"SUB IN by TOUSSAINT,LETRELL",,,"SUB IN by TOUSSAINT,LETRELL",2
20:00,,,,,"SUB IN by CHRISTIFANO JR.,LOUI",,,"SUB IN by CHRISTIFANO JR.,LOUI",2
20:00,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",2
20:00,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",2
19:46,,34,,37 (+3),"GOOD LAYUP by BOYLE,JACK(in the paint)",UD 34-37 (-3),,"GOOD LAYUP by BOYLE,JACK(in the paint)",2
--,,,,,"ASSIST  by GIUNTA,JACOB",,,"ASSIST  by GIUNTA,JACOB",2
19:46,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",2
19:46,,34,,38 (+4),"GOOD FT by BOYLE,JACK",UD 34-38 (-4),,"GOOD FT by BOYLE,JACK",2
19:34,"MISS JUMPER by GEORGETOWN II,ARNESS",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",2
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",2
19:29,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",2
19:29,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",2
19:29,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",2
19:18,,,,,"TURNOVER  by GIUNTA,JACOB",,,"TURNOVER  by GIUNTA,JACOB",2
19:07,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",2
19:07,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",2
18:48,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",2
18:42,,34,,40 (+6),"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",UD 34-40 (-6),,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",2
--,,,,,"ASSIST  by BOYLE,JACK",,,"ASSIST  by BOYLE,JACK",2
18:25,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",2
18:06,,34,,42 (+8),"GOOD LAYUP by GIUNTA,JACOB(in the paint)",UD 34-42 (-8),,"GOOD LAYUP by GIUNTA,JACOB(in the paint)",2
--,,,,,"ASSIST  by BOYLE,JACK",,,"ASSIST  by BOYLE,JACK",2
17:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
17:56,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",2
17:56,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
17:56,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",2
17:56,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",2
17:45,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",36,,42 (+6),,Rhodes 36-42 (-6),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",2
17:32,,,,,"MISS JUMPER by GIUNTA,JACOB(in the paint)",,,"MISS JUMPER by GIUNTA,JACOB(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:14,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",2
17:14,"GOOD FT by GEORGETOWN II,ARNESS",37,,42 (+5),,Rhodes 37-42 (-5),,"GOOD FT by GEORGETOWN II,ARNESS",2
17:14,"MISS FT by GEORGETOWN II,ARNESS",,,,,,,"MISS FT by GEORGETOWN II,ARNESS",2
--,"REBOUND OFF by DOTSON,PHIL",,,,,,,"REBOUND OFF by DOTSON,PHIL",2
17:11,"MISS 3PTR by LAMEY,HAYDEN",,,,,,,"MISS 3PTR by LAMEY,HAYDEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:51,"MISS JUMPER by LAMEY,HAYDEN",,,,,,,"MISS JUMPER by LAMEY,HAYDEN",2
--,"REBOUND OFF by DEMPSEY,JACK",,,,,,,"REBOUND OFF by DEMPSEY,JACK",2
16:33,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",39,,42 (+3),,Rhodes 39-42 (-3),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",2
16:15,,39,,44 (+5),"GOOD LAYUP by BOYLE,JACK(in the paint)",UD 39-44 (-5),,"GOOD LAYUP by BOYLE,JACK(in the paint)",2
15:57,"TURNOVER  by LAMEY,HAYDEN",,,,,,,"TURNOVER  by LAMEY,HAYDEN",2
15:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:46,,,,,"MISS LAYUP by CHRISTIFANO JR.,LOUI(in the paint)",,,"MISS LAYUP by CHRISTIFANO JR.,LOUI(in the paint)",2
15:46,"BLOCK  by DOTSON,PHIL",,,,,,,"BLOCK  by DOTSON,PHIL",2
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",2
15:40,"MISS 3PTR by LAMEY,HAYDEN",,,,,,,"MISS 3PTR by LAMEY,HAYDEN",2
--,"REBOUND OFF by DOTSON,PHIL",,,,,,,"REBOUND OFF by DOTSON,PHIL",2
15:35,"MISS LAYUP by DOTSON,PHIL(in the paint)",,,,,,,"MISS LAYUP by DOTSON,PHIL(in the paint)",2
15:35,,,,,"BLOCK  by BOYLE,JACK",,,"BLOCK  by BOYLE,JACK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:30,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",2
15:30,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",2
15:30,,,,,"MISS LAYUP by BOYLE,JACK(in the paint)",,,"MISS LAYUP by BOYLE,JACK(in the paint)",2
15:30,"BLOCK  by DEMPSEY,JACK",,,,,,,"BLOCK  by DEMPSEY,JACK",2
--,,,,,"REBOUND OFF by BOYLE,JACK",,,"REBOUND OFF by BOYLE,JACK",2
15:28,,,,,"FOUL  by GIUNTA,JACOB",,,"FOUL  by GIUNTA,JACOB",2
15:22,,,,,"SUB OUT by GIUNTA,JACOB",,,"SUB OUT by GIUNTA,JACOB",2
15:22,,,,,"SUB IN by OLMSTED,JOHNNY",,,"SUB IN by OLMSTED,JOHNNY",2
15:22,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",2
15:22,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",2
15:01,"GOOD JUMPER by DOTSON,PHIL",41,,44 (+3),,Rhodes 41-44 (-3),,"GOOD JUMPER by DOTSON,PHIL",2
14:38,"FOUL  by DOTSON,PHIL",,,,,,,"FOUL  by DOTSON,PHIL",2
14:38,,,,,"MISS FT by CHRISTIFANO JR.,LOUI",,,"MISS FT by CHRISTIFANO JR.,LOUI",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:38,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",2
14:38,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",2
14:38,,41,,45 (+4),"GOOD FT by CHRISTIFANO JR.,LOUI",UD 41-45 (-4),,"GOOD FT by CHRISTIFANO JR.,LOUI",2
14:23,"GOOD JUMPER by DOTSON,PHIL",43,,45 (+2),,Rhodes 43-45 (-2),,"GOOD JUMPER by DOTSON,PHIL",2
--,"ASSIST  by ESSICK,JALEN",,,,,,,"ASSIST  by ESSICK,JALEN",2
13:58,,43,,47 (+4),"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",UD 43-47 (-4),,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",2
13:48,"GOOD 3PTR by DOTSON,PHIL",46,,47 (+1),,Rhodes 46-47 (-1),,"GOOD 3PTR by DOTSON,PHIL",2
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",2
13:28,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",2
13:23,,,,,"MISS 3PTR by OLMSTED,ZAC",,,"MISS 3PTR by OLMSTED,ZAC",2
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",2
13:08,"GOOD LAYUP by WILEY,KOKI(in the paint)",48 (+1),,47,,Rhodes 48-47 (+1),,"GOOD LAYUP by WILEY,KOKI(in the paint)",2
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",2
12:45,,,,,"TURNOVER  by TOUSSAINT,LETRELL",,,"TURNOVER  by TOUSSAINT,LETRELL",2
12:45,"STEAL  by WALKER,JEFFERSON",,,,,,,"STEAL  by WALKER,JEFFERSON",2
12:40,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",2
--,"REBOUND OFF by WILEY,KOKI",,,,,,,"REBOUND OFF by WILEY,KOKI",2
12:21,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",2
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",2
12:17,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",2
12:17,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",2
12:17,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",2
12:17,,,,,"SUB OUT by CHRISTIFANO JR.,LOUI",,,"SUB OUT by CHRISTIFANO JR.,LOUI",2
12:17,,,,,"SUB IN by MILES,JAXON",,,"SUB IN by MILES,JAXON",2
12:17,,48,,48,"GOOD FT by BOYLE,JACK(fastbreak)",UD 48-48 (0),,"GOOD FT by BOYLE,JACK(fastbreak)",2
12:17,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
12:17,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",2
12:17,,48,,49 (+1),"GOOD FT by BOYLE,JACK(fastbreak)",UD 48-49 (-1),,"GOOD FT by BOYLE,JACK(fastbreak)",2
12:09,"MISS 3PTR by WALKER,JEFFERSON",,,,,,,"MISS 3PTR by WALKER,JEFFERSON",2
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",2
12:00,,,,,"TURNOVER  by OLMSTED,ZAC",,,"TURNOVER  by OLMSTED,ZAC",2
12:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
12:00,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",2
12:00,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",2
12:00,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",2
12:00,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",2
11:45,"MISS 3PTR by GEORGETOWN II,ARNESS",,,,,,,"MISS 3PTR by GEORGETOWN II,ARNESS",2
--,,,,,"REBOUND DEF by OLMSTED,ZAC",,,"REBOUND DEF by OLMSTED,ZAC",2
11:29,,,,,"MISS 3PTR by OLMSTED,JOHNNY",,,"MISS 3PTR by OLMSTED,JOHNNY",2
--,"REBOUND DEF by DOTSON,PHIL",,,,,,,"REBOUND DEF by DOTSON,PHIL",2
11:09,"TURNOVER  by DOTSON,PHIL",,,,,,,"TURNOVER  by DOTSON,PHIL",2
11:09,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",2
11:09,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",2
10:58,,,,,"TURNOVER  by BOYLE,JACK",,,"TURNOVER  by BOYLE,JACK",2
10:58,"STEAL  by DOTSON,PHIL",,,,,,,"STEAL  by DOTSON,PHIL",2
10:52,"MISS LAYUP by DOTSON,PHIL(in the paint)",,,,,,,"MISS LAYUP by DOTSON,PHIL(in the paint)",2
10:52,,,,,"BLOCK  by BOYLE,JACK",,,"BLOCK  by BOYLE,JACK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:35,,,,,"MISS LAYUP by BOYLE,JACK(in the paint)",,,"MISS LAYUP by BOYLE,JACK(in the paint)",2
--,"REBOUND DEF by DEMPSEY,JACK",,,,,,,"REBOUND DEF by DEMPSEY,JACK",2
10:11,"TURNOVER  by DOTSON,PHIL",,,,,,,"TURNOVER  by DOTSON,PHIL",2
10:11,,,,,"STEAL  by BOYLE,JACK",,,"STEAL  by BOYLE,JACK",2
10:07,,48,,51 (+3),"GOOD LAYUP by OLMSTED,JOHNNY(fastbreak)(in the paint)",UD 48-51 (-3),,"GOOD LAYUP by OLMSTED,JOHNNY(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BOYLE,JACK",,,"ASSIST  by BOYLE,JACK",2
09:44,"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",50,,51 (+1),,Rhodes 50-51 (-1),,"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",2
--,"ASSIST  by ESSICK,JALEN",,,,,,,"ASSIST  by ESSICK,JALEN",2
09:21,,50,,53 (+3),"GOOD JUMPER by BOYLE,JACK(in the paint)",UD 50-53 (-3),,"GOOD JUMPER by BOYLE,JACK(in the paint)",2
09:04,"GOOD DUNK by ESSICK,JALEN(in the paint)",52,,53 (+1),,Rhodes 52-53 (-1),,"GOOD DUNK by ESSICK,JALEN(in the paint)",2
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",2
08:49,,,,,"FOUL  by OLMSTED,ZAC",,,"FOUL  by OLMSTED,ZAC",2
08:49,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",2
08:49,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",2
08:49,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",2
08:49,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",2
08:33,"GOOD JUMPER by ESSICK,JALEN(in the paint)",54 (+1),,53,,Rhodes 54-53 (+1),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",2
08:14,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",2
08:14,,,,,"SUB OUT by OLMSTED,ZAC",,,"SUB OUT by OLMSTED,ZAC",2
08:14,,,,,"SUB IN by CHRISTIFANO JR.,LOUI",,,"SUB IN by CHRISTIFANO JR.,LOUI",2
08:14,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
08:14,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",2
08:14,,,,,"MISS FT by TOUSSAINT,LETRELL",,,"MISS FT by TOUSSAINT,LETRELL",2
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",2
07:57,,,,,"FOUL  by MILES,JAXON",,,"FOUL  by MILES,JAXON",2
07:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:47,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",56 (+3),,53,,Rhodes 56-53 (+3),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",2
--,"ASSIST  by WILLIAMS,ZAVIEN",,,,,,,"ASSIST  by WILLIAMS,ZAVIEN",2
07:19,,56,,56,"GOOD 3PTR by CHRISTIFANO JR.,LOUI",UD 56-56 (0),,"GOOD 3PTR by CHRISTIFANO JR.,LOUI",2
--,,,,,"ASSIST  by BOYLE,JACK",,,"ASSIST  by BOYLE,JACK",2
07:00,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",2
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",2
06:51,,,,,"FOUL  by BOYLE,JACK",,,"FOUL  by BOYLE,JACK",2
06:51,,,,,"TURNOVER  by BOYLE,JACK",,,"TURNOVER  by BOYLE,JACK",2
06:51,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",2
06:51,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",2
06:51,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",2
06:51,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",2
06:30,"MISS JUMPER by LAMEY,HAYDEN",,,,,,,"MISS JUMPER by LAMEY,HAYDEN",2
--,"REBOUND OFF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",2
06:24,"MISS JUMPER by GEORGETOWN II,ARNESS",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",2
--,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",,,"REBOUND DEF by TOUSSAINT,LETRELL",2
06:10,,,,,"MISS JUMPER by BOYLE,JACK(in the paint)",,,"MISS JUMPER by BOYLE,JACK(in the paint)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:06,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",2
06:06,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",2
06:06,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",2
06:06,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",2
06:01,,56,,58 (+2),"GOOD JUMPER by CHRISTIFANO JR.,LOUI(in the paint)",UD 56-58 (-2),,"GOOD JUMPER by CHRISTIFANO JR.,LOUI(in the paint)",2
05:52,,,,,"FOUL  by MILES,JAXON",,,"FOUL  by MILES,JAXON",2
05:52,"MISS FT by WALKER,JEFFERSON",,,,,,,"MISS FT by WALKER,JEFFERSON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:52,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
05:52,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",2
05:52,,,,,"SUB OUT by OLMSTED,JOHNNY",,,"SUB OUT by OLMSTED,JOHNNY",2
05:52,,,,,"SUB IN by OLMSTED,ZAC",,,"SUB IN by OLMSTED,ZAC",2
05:52,"MISS FT by WALKER,JEFFERSON",,,,,,,"MISS FT by WALKER,JEFFERSON",2
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",2
05:38,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",2
05:38,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",2
05:38,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",2
05:38,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",2
05:38,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",2
05:38,,,,,"MISS FT by CHRISTIFANO JR.,LOUI",,,"MISS FT by CHRISTIFANO JR.,LOUI",2
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",2
05:10,"MISS LAYUP by LAMEY,HAYDEN(in the paint)",,,,,,,"MISS LAYUP by LAMEY,HAYDEN(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:06,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
04:37,,,,,"MISS JUMPER by BOYLE,JACK",,,"MISS JUMPER by BOYLE,JACK",2
--,"REBOUND DEF by DOTSON,PHIL",,,,,,,"REBOUND DEF by DOTSON,PHIL",2
04:11,"GOOD JUMPER by DOTSON,PHIL",58,,58,,Rhodes 58-58 (0),,"GOOD JUMPER by DOTSON,PHIL",2
03:39,,,,,"MISS JUMPER by MILES,JAXON(in the paint)",,,"MISS JUMPER by MILES,JAXON(in the paint)",2
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",2
03:22,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",2
03:22,,,,,"STEAL  by TOUSSAINT,LETRELL",,,"STEAL  by TOUSSAINT,LETRELL",2
03:07,"FOUL  by DOTSON,PHIL",,,,,,,"FOUL  by DOTSON,PHIL",2
03:07,"FOUL  by DOTSON,PHIL",,,,,,,"FOUL  by DOTSON,PHIL",2
03:07,,58,,59 (+1),"GOOD FT by OLMSTED,ZAC",UD 58-59 (-1),,"GOOD FT by OLMSTED,ZAC",2
03:07,,58,,60 (+2),"GOOD FT by OLMSTED,ZAC",UD 58-60 (-2),,"GOOD FT by OLMSTED,ZAC",2
02:50,"GOOD LAYUP by ESSICK,JALEN(in the paint)",60,,60,,Rhodes 60-60 (0),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",2
02:50,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",2
02:50,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",2
02:50,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",2
02:50,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",2
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",2
02:33,"GOOD LAYUP by ESSICK,JALEN(in the paint)",62 (+2),,60,,Rhodes 62-60 (+2),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",2
02:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:30,,,,,"SUB OUT by MILES,JAXON",,,"SUB OUT by MILES,JAXON",2
02:30,,,,,"SUB IN by OLMSTED,JOHNNY",,,"SUB IN by OLMSTED,JOHNNY",2
02:30,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",2
02:30,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
02:30,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",2
02:30,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",2
02:11,,62,,62,"GOOD JUMPER by BOYLE,JACK(in the paint)",UD 62-62 (0),,"GOOD JUMPER by BOYLE,JACK(in the paint)",2
01:47,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",2
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",2
