Time Remaining,LOR,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
17:17,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,"MISS JUMPER by ESSICK,JALEN(in the paint)",2
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",2
17:12,,54 (+23),,31,"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 54-31 (-23),,"GOOD LAYUP by WILEY,KOKI(in the paint)",2
16:56,"GOOD JUMPER by SABET,ALI(in the paint)",56 (+25),,31,,LOR 56-31 (-25),,"GOOD JUMPER by SABET,ALI(in the paint)",2
16:56,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",2
16:56,"GOOD FT by SABET,ALI",57 (+26),,31,,LOR 57-31 (-26),,"GOOD FT by SABET,ALI",2
16:46,,57 (+24),,33,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",Rhodes 57-33 (-24),,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
16:29,"TURNOVER  by SABET,ALI",,,,,,,"TURNOVER  by SABET,ALI",2
16:29,"SUB OUT by BARRY,MYLES",,,,,,,"SUB OUT by BARRY,MYLES",2
16:29,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",2
16:29,"SUB IN by PEARSON,JARED",,,,,,,"SUB IN by PEARSON,JARED",2
16:29,"SUB IN by DEERING,ZACH",,,,,,,"SUB IN by DEERING,ZACH",2
16:16,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",2
--,"REBOUND DEF by DEERING,ZACH",,,,,,,"REBOUND DEF by DEERING,ZACH",2
16:09,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",2
16:09,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",2
16:09,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",2
16:09,"GOOD FT by SABET,ALI(fastbreak)",58 (+25),,33,,LOR 58-33 (-25),,"GOOD FT by SABET,ALI(fastbreak)",2
16:09,"GOOD FT by SABET,ALI(fastbreak)",59 (+26),,33,,LOR 59-33 (-26),,"GOOD FT by SABET,ALI(fastbreak)",2
15:54,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:51,"FOUL  by SABET,ALI",,,,,,,"FOUL  by SABET,ALI",2
15:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:51,"SUB OUT by CIURLIK,DECLAN",,,,,,,"SUB OUT by CIURLIK,DECLAN",2
15:51,"SUB IN by SARVIS,GAVIN",,,,,,,"SUB IN by SARVIS,GAVIN",2
15:44,"FOUL  by DEERING,ZACH",,,,,,,"FOUL  by DEERING,ZACH",2
15:44,,59 (+25),,34,"GOOD FT by ESSICK,JALEN",Rhodes 59-34 (-25),,"GOOD FT by ESSICK,JALEN",2
15:44,"SUB OUT by DEERING,ZACH",,,,,,,"SUB OUT by DEERING,ZACH",2
15:44,"SUB IN by HAYNES,JACK",,,,,,,"SUB IN by HAYNES,JACK",2
15:44,,59 (+24),,35,"GOOD FT by ESSICK,JALEN",Rhodes 59-35 (-24),,"GOOD FT by ESSICK,JALEN",2
15:35,"MISS LAYUP by HAYNES,JACK(in the paint)",,,,,,,"MISS LAYUP by HAYNES,JACK(in the paint)",2
15:35,,,,,"BLOCK  by WILEY,KOKI",,,"BLOCK  by WILEY,KOKI",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:20,"MISS 3PTR by BASS,TYLER",,,,,,,"MISS 3PTR by BASS,TYLER",2
--,"REBOUND OFF by PEARSON,JARED",,,,,,,"REBOUND OFF by PEARSON,JARED",2
15:13,"GOOD LAYUP by HAYNES,JACK(in the paint)",61 (+26),,35,,LOR 61-35 (-26),,"GOOD LAYUP by HAYNES,JACK(in the paint)",2
--,"ASSIST  by PEARSON,JARED",,,,,,,"ASSIST  by PEARSON,JARED",2
14:58,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",2
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",2
14:52,,61 (+23),,38,"GOOD 3PTR by WILEY,KOKI",Rhodes 61-38 (-23),,"GOOD 3PTR by WILEY,KOKI",2
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",2
14:27,"GOOD JUMPER by SABET,ALI",63 (+25),,38,,LOR 63-38 (-25),,"GOOD JUMPER by SABET,ALI",2
14:15,"FOUL  by SARVIS,GAVIN",,,,,,,"FOUL  by SARVIS,GAVIN",2
14:15,,,,,"MISS FT by ESSICK,JALEN",,,"MISS FT by ESSICK,JALEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:15,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",2
14:15,"SUB OUT by PEARSON,JARED",,,,,,,"SUB OUT by PEARSON,JARED",2
14:15,"SUB IN by BARRY,MYLES",,,,,,,"SUB IN by BARRY,MYLES",2
14:15,"SUB IN by SINGLETON,ALEX",,,,,,,"SUB IN by SINGLETON,ALEX",2
14:15,,63 (+24),,39,"GOOD FT by ESSICK,JALEN",Rhodes 63-39 (-24),,"GOOD FT by ESSICK,JALEN",2
14:02,"GOOD LAYUP by BARRY,MYLES(in the paint)",65 (+26),,39,,LOR 65-39 (-26),,"GOOD LAYUP by BARRY,MYLES(in the paint)",2
--,"ASSIST  by SARVIS,GAVIN",,,,,,,"ASSIST  by SARVIS,GAVIN",2
13:52,,,,,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",,,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",2
--,"REBOUND DEF by SABET,ALI",,,,,,,"REBOUND DEF by SABET,ALI",2
13:27,"MISS 3PTR by SABET,ALI",,,,,,,"MISS 3PTR by SABET,ALI",2
--,,,,,"REBOUND DEF by RAMBERG,CASS",,,"REBOUND DEF by RAMBERG,CASS",2
13:20,,65 (+24),,41,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",Rhodes 65-41 (-24),,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
13:01,"MISS 3PTR by SARVIS,GAVIN",,,,,,,"MISS 3PTR by SARVIS,GAVIN",2
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",2
12:49,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",2
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",2
12:48,"FOUL  by HAYNES,JACK",,,,,,,"FOUL  by HAYNES,JACK",2
12:48,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
12:48,,,,,"SUB OUT by RAMBERG,CASS",,,"SUB OUT by RAMBERG,CASS",2
12:48,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",2
12:48,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",2
12:48,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",2
12:48,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",2
12:48,"SUB OUT by SARVIS,GAVIN",,,,,,,"SUB OUT by SARVIS,GAVIN",2
12:48,"SUB OUT by SABET,ALI",,,,,,,"SUB OUT by SABET,ALI",2
12:48,"SUB OUT by HAYNES,JACK",,,,,,,"SUB OUT by HAYNES,JACK",2
12:48,"SUB IN by BASS,TYLER",,,,,,,"SUB IN by BASS,TYLER",2
12:48,"SUB IN by PEARSON,JARED",,,,,,,"SUB IN by PEARSON,JARED",2
12:48,"SUB IN by CIURLIK,DECLAN",,,,,,,"SUB IN by CIURLIK,DECLAN",2
12:47,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",2
12:47,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",2
12:34,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
12:24,"FOUL  by BASS,TYLER",,,,,,,"FOUL  by BASS,TYLER",2
12:24,"TURNOVER  by BASS,TYLER",,,,,,,"TURNOVER  by BASS,TYLER",2
12:13,,65 (+22),,43,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 65-43 (-22),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
11:46,"TURNOVER  by CIURLIK,DECLAN",,,,,,,"TURNOVER  by CIURLIK,DECLAN",2
11:46,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",2
11:39,,65 (+20),,45,"GOOD JUMPER by LAMEY,HAYDEN(fastbreak)",Rhodes 65-45 (-20),,"GOOD JUMPER by LAMEY,HAYDEN(fastbreak)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
11:19,,,,,"FOUL  by PRANGE,JONATHAN",,,"FOUL  by PRANGE,JONATHAN",2
11:19,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:19,,,,,"SUB OUT by PRANGE,JONATHAN",,,"SUB OUT by PRANGE,JONATHAN",2
11:19,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",2
11:19,"MISS FT by CIURLIK,DECLAN",,,,,,,"MISS FT by CIURLIK,DECLAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:19,"GOOD FT by CIURLIK,DECLAN",66 (+21),,45,,LOR 66-45 (-21),,"GOOD FT by CIURLIK,DECLAN",2
10:58,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",2
--,"REBOUND DEF by PEARSON,JARED",,,,,,,"REBOUND DEF by PEARSON,JARED",2
10:52,,,,,"FOUL  by WHITE,ELIJAH",,,"FOUL  by WHITE,ELIJAH",2
10:52,"GOOD FT by BASS,TYLER(fastbreak)",67 (+22),,45,,LOR 67-45 (-22),,"GOOD FT by BASS,TYLER(fastbreak)",2
10:52,"SUB OUT by PEARSON,JARED",,,,,,,"SUB OUT by PEARSON,JARED",2
10:52,"SUB IN by SABET,ALI",,,,,,,"SUB IN by SABET,ALI",2
10:52,"GOOD FT by BASS,TYLER(fastbreak)",68 (+23),,45,,LOR 68-45 (-23),,"GOOD FT by BASS,TYLER(fastbreak)",2
10:38,,68 (+20),,48,"GOOD 3PTR by LAMEY,HAYDEN",Rhodes 68-48 (-20),,"GOOD 3PTR by LAMEY,HAYDEN",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
10:15,"MISS JUMPER by BASS,TYLER(in the paint)",,,,,,,"MISS JUMPER by BASS,TYLER(in the paint)",2
10:15,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",2
--,"REBOUND OFF by SINGLETON,ALEX",,,,,,,"REBOUND OFF by SINGLETON,ALEX",2
10:14,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",2
10:14,"MISS FT by SINGLETON,ALEX",,,,,,,"MISS FT by SINGLETON,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:14,"GOOD FT by SINGLETON,ALEX",69 (+21),,48,,LOR 69-48 (-21),,"GOOD FT by SINGLETON,ALEX",2
10:14,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",2
10:14,"SUB IN by HAYNES,JACK",,,,,,,"SUB IN by HAYNES,JACK",2
09:51,"FOUL  by CIURLIK,DECLAN",,,,,,,"FOUL  by CIURLIK,DECLAN",2
09:51,,69 (+20),,49,"GOOD FT by WILEY,KOKI",Rhodes 69-49 (-20),,"GOOD FT by WILEY,KOKI",2
09:51,"SUB OUT by CIURLIK,DECLAN",,,,,,,"SUB OUT by CIURLIK,DECLAN",2
09:51,"SUB IN by PEARSON,JARED",,,,,,,"SUB IN by PEARSON,JARED",2
09:51,,69 (+19),,50,"GOOD FT by WILEY,KOKI",Rhodes 69-50 (-19),,"GOOD FT by WILEY,KOKI",2
09:36,"MISS JUMPER by SABET,ALI(in the paint)",,,,,,,"MISS JUMPER by SABET,ALI(in the paint)",2
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",2
09:32,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
09:22,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",2
09:22,"GOOD FT by BASS,TYLER",70 (+20),,50,,LOR 70-50 (-20),,"GOOD FT by BASS,TYLER",2
09:22,,,,,"SUB OUT by WHITE,ELIJAH",,,"SUB OUT by WHITE,ELIJAH",2
09:22,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",2
09:22,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",2
09:22,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",2
09:22,"GOOD FT by BASS,TYLER",71 (+21),,50,,LOR 71-50 (-21),,"GOOD FT by BASS,TYLER",2
09:03,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
--,"REBOUND DEF by PEARSON,JARED",,,,,,,"REBOUND DEF by PEARSON,JARED",2
08:55,"GOOD 3PTR by BASS,TYLER(fastbreak)",74 (+24),,50,,LOR 74-50 (-24),,"GOOD 3PTR by BASS,TYLER(fastbreak)",2
--,"ASSIST  by SABET,ALI",,,,,,,"ASSIST  by SABET,ALI",2
08:43,,74 (+22),,52,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",Rhodes 74-52 (-22),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",2
08:17,"MISS JUMPER by BASS,TYLER",,,,,,,"MISS JUMPER by BASS,TYLER",2
--,"REBOUND OFF by PEARSON,JARED",,,,,,,"REBOUND OFF by PEARSON,JARED",2
08:14,"GOOD LAYUP by PEARSON,JARED(in the paint)",76 (+24),,52,,LOR 76-52 (-24),,"GOOD LAYUP by PEARSON,JARED(in the paint)",2
08:03,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",2
07:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:59,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",2
07:59,"SUB OUT by HAYNES,JACK",,,,,,,"SUB OUT by HAYNES,JACK",2
07:59,"SUB IN by SARVIS,GAVIN",,,,,,,"SUB IN by SARVIS,GAVIN",2
07:59,"SUB IN by SINGLETON,ALEX",,,,,,,"SUB IN by SINGLETON,ALEX",2
07:40,"MISS JUMPER by SARVIS,GAVIN(in the paint)",,,,,,,"MISS JUMPER by SARVIS,GAVIN(in the paint)",2
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",2
07:30,,76 (+21),,55,"GOOD 3PTR by LAMEY,HAYDEN",Rhodes 76-55 (-21),,"GOOD 3PTR by LAMEY,HAYDEN",2
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",2
07:10,"TURNOVER  by SINGLETON,ALEX",,,,,,,"TURNOVER  by SINGLETON,ALEX",2
07:00,,76 (+18),,58,"GOOD 3PTR by WILEY,KOKI",Rhodes 76-58 (-18),,"GOOD 3PTR by WILEY,KOKI",2
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",2
06:24,"MISS JUMPER by SABET,ALI(in the paint)",,,,,,,"MISS JUMPER by SABET,ALI(in the paint)",2
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",2
06:18,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",2
06:15,"SUB OUT by SARVIS,GAVIN",,,,,,,"SUB OUT by SARVIS,GAVIN",2
06:15,"SUB IN by BASS,TYLER",,,,,,,"SUB IN by BASS,TYLER",2
06:00,,,,,"TURNOVER  by LAMEY,HAYDEN",,,"TURNOVER  by LAMEY,HAYDEN",2
06:00,"STEAL  by BASS,TYLER",,,,,,,"STEAL  by BASS,TYLER",2
05:46,"TURNOVER  by BARRY,MYLES",,,,,,,"TURNOVER  by BARRY,MYLES",2
05:46,,,,,"STEAL  by GEORGETOWN II,ARNESS",,,"STEAL  by GEORGETOWN II,ARNESS",2
05:34,,76 (+15),,61,"GOOD 3PTR by WALKER,JEFFERSON",Rhodes 76-61 (-15),,"GOOD 3PTR by WALKER,JEFFERSON",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
05:13,"MISS 3PTR by PEARSON,JARED",,,,,,,"MISS 3PTR by PEARSON,JARED",2
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",2
05:03,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",2
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",2
04:59,"FOUL  by PEARSON,JARED",,,,,,,"FOUL  by PEARSON,JARED",2
04:59,,,,,"MISS FT by GEORGETOWN II,ARNESS",,,"MISS FT by GEORGETOWN II,ARNESS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:59,"SUB OUT by PEARSON,JARED",,,,,,,"SUB OUT by PEARSON,JARED",2
04:59,"SUB IN by CIURLIK,DECLAN",,,,,,,"SUB IN by CIURLIK,DECLAN",2
04:59,,76 (+14),,62,"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 76-62 (-14),,"GOOD FT by GEORGETOWN II,ARNESS",2
04:48,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",2
04:48,"GOOD FT by BASS,TYLER",77 (+15),,62,,LOR 77-62 (-15),,"GOOD FT by BASS,TYLER",2
04:48,"GOOD FT by BASS,TYLER",78 (+16),,62,,LOR 78-62 (-16),,"GOOD FT by BASS,TYLER",2
04:22,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",2
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",2
04:02,,,,,"FOUL  by WALKER,JEFFERSON",,,"FOUL  by WALKER,JEFFERSON",2
04:02,"GOOD FT by BASS,TYLER",79 (+17),,62,,LOR 79-62 (-17),,"GOOD FT by BASS,TYLER",2
04:02,"GOOD FT by BASS,TYLER",80 (+18),,62,,LOR 80-62 (-18),,"GOOD FT by BASS,TYLER",2
03:53,,80 (+16),,64,"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 80-64 (-16),,"GOOD JUMPER by WILEY,KOKI(in the paint)",2
03:29,"GOOD JUMPER by SABET,ALI(in the paint)",82 (+18),,64,,LOR 82-64 (-18),,"GOOD JUMPER by SABET,ALI(in the paint)",2
03:18,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
03:18,"STEAL  by BARRY,MYLES",,,,,,,"STEAL  by BARRY,MYLES",2
03:14,"GOOD DUNK by SINGLETON,ALEX(fastbreak)(in the paint)",84 (+20),,64,,LOR 84-64 (-20),,"GOOD DUNK by SINGLETON,ALEX(fastbreak)(in the paint)",2
--,"ASSIST  by CIURLIK,DECLAN",,,,,,,"ASSIST  by CIURLIK,DECLAN",2
02:59,,84 (+18),,66,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 84-66 (-18),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",2
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",2
02:28,"MISS JUMPER by SABET,ALI(in the paint)",,,,,,,"MISS JUMPER by SABET,ALI(in the paint)",2
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",2
02:21,,84 (+16),,68,"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)(in the paint)",Rhodes 84-68 (-16),,"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)(in the paint)",2
02:21,"FOUL  by BARRY,MYLES",,,,,,,"FOUL  by BARRY,MYLES",2
02:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
02:21,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",2
02:21,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",2
02:21,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",2
02:21,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",2
02:21,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",2
02:21,,,,,"SUB IN by DEMPSEY,JACK",,,"SUB IN by DEMPSEY,JACK",2
02:21,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",2
02:21,,,,,"SUB IN by COOPER,LUKE",,,"SUB IN by COOPER,LUKE",2
02:21,,84 (+15),,69,"GOOD FT by WALKER,JEFFERSON(fastbreak)",Rhodes 84-69 (-15),,"GOOD FT by WALKER,JEFFERSON(fastbreak)",2
02:21,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
02:21,,,,,"SUB IN by WAGNER,MIKE",,,"SUB IN by WAGNER,MIKE",2
02:02,"TURNOVER  by BARRY,MYLES",,,,,,,"TURNOVER  by BARRY,MYLES",2
02:02,,,,,"STEAL  by WAGNER,MIKE",,,"STEAL  by WAGNER,MIKE",2
01:57,,84 (+13),,71,"GOOD LAYUP by DEMPSEY,JACK(fastbreak)(in the paint)",Rhodes 84-71 (-13),,"GOOD LAYUP by DEMPSEY,JACK(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WAGNER,MIKE",,,"ASSIST  by WAGNER,MIKE",2
01:24,"GOOD 3PTR by SABET,ALI",87 (+16),,71,,LOR 87-71 (-16),,"GOOD 3PTR by SABET,ALI",2
01:02,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",2
01:02,"SUB OUT by SABET,ALI",,,,,,,"SUB OUT by SABET,ALI",2
01:02,"SUB OUT by BARRY,MYLES",,,,,,,"SUB OUT by BARRY,MYLES",2
01:02,"SUB OUT by CIURLIK,DECLAN",,,,,,,"SUB OUT by CIURLIK,DECLAN",2
01:02,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",2
01:02,"SUB IN by JOHNSON,DEYLON",,,,,,,"SUB IN by JOHNSON,DEYLON",2
01:02,"SUB IN by NEW,DANIEL",,,,,,,"SUB IN by NEW,DANIEL",2
01:02,"SUB IN by MAYBRUN,KYLE",,,,,,,"SUB IN by MAYBRUN,KYLE",2
01:02,"SUB IN by QUARNSTROM,PATRICK",,,,,,,"SUB IN by QUARNSTROM,PATRICK",2
01:02,"SUB IN by BOGARD,EVAN",,,,,,,"SUB IN by BOGARD,EVAN",2
00:53,,,,,"MISS JUMPER by WHITE,ELIJAH(in the paint)",,,"MISS JUMPER by WHITE,ELIJAH(in the paint)",2
--,"REBOUND DEF by QUARNSTROM,PATRICK",,,,,,,"REBOUND DEF by QUARNSTROM,PATRICK",2
00:45,"MISS 3PTR by JOHNSON,DEYLON",,,,,,,"MISS 3PTR by JOHNSON,DEYLON",2
--,"REBOUND OFF by MAYBRUN,KYLE",,,,,,,"REBOUND OFF by MAYBRUN,KYLE",2
00:28,"MISS 3PTR by NEW,DANIEL",,,,,,,"MISS 3PTR by NEW,DANIEL",2
--,"REBOUND OFF by QUARNSTROM,PATRICK",,,,,,,"REBOUND OFF by QUARNSTROM,PATRICK",2
00:23,"MISS JUMPER by QUARNSTROM,PATRICK(in the paint)",,,,,,,"MISS JUMPER by QUARNSTROM,PATRICK(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:16,"MISS 3PTR by JOHNSON,DEYLON",,,,,,,"MISS 3PTR by JOHNSON,DEYLON",2
--,,,,,"REBOUND DEF by DEMPSEY,JACK",,,"REBOUND DEF by DEMPSEY,JACK",2
00:07,,,,,"TURNOVER  by WAGNER,MIKE",,,"TURNOVER  by WAGNER,MIKE",2
