Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
07:17,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:17,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
07:17,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",1
07:17,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
07:17,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
07:17,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
07:17,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
07:17,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",1
07:17,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",1
07:17,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
07:17,,,,,"SUB OUT by HOWELL,TAYLOR",,,"SUB OUT by HOWELL,TAYLOR",1
06:56,"MISS LAYUP by MURPHY,JUWAN",,,,,,,"MISS LAYUP by MURPHY,JUWAN",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
06:40,,,,,"MISS LAYUP by SMITH,LUKE",,,"MISS LAYUP by SMITH,LUKE",1
--,"REBOUND DEF by JR,BRUCE BRIGHT",,,,,,,"REBOUND DEF by JR,BRUCE BRIGHT",1
06:32,"MISS 3PTR by RUDAK,MATEUSZ",,,,,,,"MISS 3PTR by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
06:08,,13,,28 (+15),"GOOD 3PTR by LEE,MATT",SEWANEE 13-28 (+15),,"GOOD 3PTR by LEE,MATT",1
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",1
05:49,"GOOD 3PTR by JR,BRUCE BRIGHT",16,,28 (+12),,17BSC-M 16-28 (+12),,"GOOD 3PTR by JR,BRUCE BRIGHT",1
--,"ASSIST  by RUDAK,MATEUSZ",,,,,,,"ASSIST  by RUDAK,MATEUSZ",1
05:22,,16,,31 (+15),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 16-31 (+15),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",1
05:06,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
05:00,,,,,"MISS LAYUP by BUESCHER,HUNTER",,,"MISS LAYUP by BUESCHER,HUNTER",1
05:00,"BLOCK  by RUDAK,MATEUSZ",,,,,,,"BLOCK  by RUDAK,MATEUSZ",1
--,"REBOUND DEF by MURPHY,JUWAN",,,,,,,"REBOUND DEF by MURPHY,JUWAN",1
04:53,"MISS 3PTR by JR,BRUCE BRIGHT",,,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",1
--,"REBOUND OFF by BAK,CALVIN",,,,,,,"REBOUND OFF by BAK,CALVIN",1
04:49,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
04:25,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
04:18,"TURNOVER  by MURPHY,JUWAN",,,,,,,"TURNOVER  by MURPHY,JUWAN",1
04:17,,,,,"STEAL  by THOMAS,ADRIAN",,,"STEAL  by THOMAS,ADRIAN",1
04:14,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",1
--,,,,,"REBOUND OFF by BUESCHER,HUNTER",,,"REBOUND OFF by BUESCHER,HUNTER",1
04:12,,16,,33 (+17),"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",SEWANEE 16-33 (+17),,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",1
03:48,"MISS JUMPER by RUDAK,MATEUSZ",,,,,,,"MISS JUMPER by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
03:36,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
03:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:26,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:26,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
03:26,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
03:26,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",1
03:26,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
03:26,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
03:26,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",1
03:26,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
03:26,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",1
03:26,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",1
03:26,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
03:26,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
03:26,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",1
03:13,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
