Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
11:31,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
11:31,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
11:17,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,,,,,"REBOUND DEF by PORTER-BUNTON,CHRIS",,,"REBOUND DEF by PORTER-BUNTON,CHRIS",1
11:03,,,,,"MISS JUMPER by UGBA,AVERYL",,,"MISS JUMPER by UGBA,AVERYL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:43,"GOOD 3PTR by SMITH,LUKE",15,,18 (+3),,SEWANEE 15-18 (-3),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by MCDONOUGH,SEAN",,,,,,,"ASSIST  by MCDONOUGH,SEAN",1
10:18,,,,,"MISS 3PTR by MCCARTHY,ACOYDAN",,,"MISS 3PTR by MCCARTHY,ACOYDAN",1
--,,,,,"REBOUND OFF by UGBA,AVERYL",,,"REBOUND OFF by UGBA,AVERYL",1
10:14,,15,,20 (+5),"GOOD LAYUP by UGBA,AVERYL(in the paint)",APSU 15-20 (-5),,"GOOD LAYUP by UGBA,AVERYL(in the paint)",1
10:00,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,,,,,"REBOUND DEF by PORTER-BUNTON,CHRIS",,,"REBOUND DEF by PORTER-BUNTON,CHRIS",1
09:46,"FOUL  by HOLLOWAY,JACK",,,,,,,"FOUL  by HOLLOWAY,JACK",1
09:46,,15,,21 (+6),"GOOD FT by UGBA,AVERYL",APSU 15-21 (-6),,"GOOD FT by UGBA,AVERYL",1
09:46,,15,,22 (+7),"GOOD FT by UGBA,AVERYL",APSU 15-22 (-7),,"GOOD FT by UGBA,AVERYL",1
09:46,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
09:46,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
09:46,,,,,"SUB IN by GLOTTA,ZACH",,,"SUB IN by GLOTTA,ZACH",1
09:46,,,,,"SUB IN by TAYLOR,TERRY",,,"SUB IN by TAYLOR,TERRY",1
09:46,,,,,"SUB IN by GUMM,DAYTON",,,"SUB IN by GUMM,DAYTON",1
09:46,,,,,"SUB OUT by MARTIN,DEYSHAWN",,,"SUB OUT by MARTIN,DEYSHAWN",1
09:46,,,,,"SUB OUT by IVORY,TRE'",,,"SUB OUT by IVORY,TRE'",1
09:46,,,,,"SUB OUT by MCCARTHY,ACOYDAN",,,"SUB OUT by MCCARTHY,ACOYDAN",1
09:36,"GOOD LAYUP by SMITH,LUKE(in the paint)",17,,22 (+5),,SEWANEE 17-22 (-5),,"GOOD LAYUP by SMITH,LUKE(in the paint)",1
09:25,,17,,25 (+8),"GOOD 3PTR by GLOTTA,ZACH",APSU 17-25 (-8),,"GOOD 3PTR by GLOTTA,ZACH",1
08:53,"TURNOVER  by MCDONOUGH,SEAN",,,,,,,"TURNOVER  by MCDONOUGH,SEAN",1
08:52,,,,,"STEAL  by TAYLOR,TERRY",,,"STEAL  by TAYLOR,TERRY",1
08:45,,17,,27 (+10),"GOOD LAYUP by UGBA,AVERYL(in the paint)",APSU 17-27 (-10),,"GOOD LAYUP by UGBA,AVERYL(in the paint)",1
--,,,,,"ASSIST  by GLOTTA,ZACH",,,"ASSIST  by GLOTTA,ZACH",1
08:30,,,,,"FOUL  by PORTER-BUNTON,CHRIS",,,"FOUL  by PORTER-BUNTON,CHRIS",1
08:29,,,,,"SUB IN by MARTIN,DEYSHAWN",,,"SUB IN by MARTIN,DEYSHAWN",1
08:29,,,,,"SUB OUT by PORTER-BUNTON,CHRIS",,,"SUB OUT by PORTER-BUNTON,CHRIS",1
08:26,"GOOD 3PTR by SMITH,LUKE",20,,27 (+7),,SEWANEE 20-27 (-7),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
08:19,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
08:19,,20,,28 (+8),"GOOD FT by GLOTTA,ZACH",APSU 20-28 (-8),,"GOOD FT by GLOTTA,ZACH",1
