Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:46,,24,,35 (+11),"GOOD FT by HALL,MARCIS",HXM 24-35 (+11),,"GOOD FT by HALL,MARCIS",2
18:34,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",2
18:32,,,,,"STEAL  by HALL,MARCIS",,,"STEAL  by HALL,MARCIS",2
18:28,"FOUL  by HALL,JOEY",,,,,,,"FOUL  by HALL,JOEY",2
18:28,,24,,36 (+12),"GOOD FT by LINK,JACOB",HXM 24-36 (+12),,"GOOD FT by LINK,JACOB",2
18:28,,24,,37 (+13),"GOOD FT by LINK,JACOB",HXM 24-37 (+13),,"GOOD FT by LINK,JACOB",2
18:06,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
17:57,,24,,39 (+15),"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",HXM 24-39 (+15),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",2
17:32,"MISS 3PTR by GRAY,DYLAN",,,,,,,"MISS 3PTR by GRAY,DYLAN",2
--,"REBOUND OFF by JOHNSON,BRYSON",,,,,,,"REBOUND OFF by JOHNSON,BRYSON",2
17:20,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",26,,39 (+13),,UO 26-39 (+13),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",2
17:07,,26,,41 (+15),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 26-41 (+15),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
16:54,"TURNOVER  by HALL,JOEY",,,,,,,"TURNOVER  by HALL,JOEY",2
16:53,,,,,"STEAL  by ROUSE,TREY",,,"STEAL  by ROUSE,TREY",2
16:49,,26,,43 (+17),"GOOD LAYUP by ROUSE,TREY(in the paint)",HXM 26-43 (+17),,"GOOD LAYUP by ROUSE,TREY(in the paint)",2
16:35,"MISS 3PTR by BARNES,SKYLER",,,,,,,"MISS 3PTR by BARNES,SKYLER",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
16:29,"FOUL  by BARNES,SKYLER",,,,,,,"FOUL  by BARNES,SKYLER",2
16:29,,26,,44 (+18),"GOOD FT by LINK,JACOB",HXM 26-44 (+18),,"GOOD FT by LINK,JACOB",2
16:29,,26,,45 (+19),"GOOD FT by LINK,JACOB",HXM 26-45 (+19),,"GOOD FT by LINK,JACOB",2
16:29,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",2
16:29,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",2
16:29,"SUB OUT by HALL,JOEY",,,,,,,"SUB OUT by HALL,JOEY",2
16:29,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",2
16:21,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",2
16:03,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",28,,45 (+17),,UO 28-45 (+17),,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",2
--,"ASSIST  by BARNES,SKYLER",,,,,,,"ASSIST  by BARNES,SKYLER",2
15:42,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
--,"REBOUND DEF by KNIGHT,KELVIN",,,,,,,"REBOUND DEF by KNIGHT,KELVIN",2
15:31,"MISS 3PTR by BOBO,ZACH",,,,,,,"MISS 3PTR by BOBO,ZACH",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
15:23,,28,,47 (+19),"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HXM 28-47 (+19),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
15:09,"MISS JUMPER by GRAY,DYLAN",,,,,,,"MISS JUMPER by GRAY,DYLAN",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
14:59,"FOUL  by GRAY,DYLAN",,,,,,,"FOUL  by GRAY,DYLAN",2
14:59,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
14:59,,28,,48 (+20),"GOOD FT by BRASFIELD,KAM",HXM 28-48 (+20),,"GOOD FT by BRASFIELD,KAM",2
14:59,,28,,49 (+21),"GOOD FT by BRASFIELD,KAM",HXM 28-49 (+21),,"GOOD FT by BRASFIELD,KAM",2
14:59,"GOOD JUMPER by BOBO,ZACH",30,,49 (+19),,UO 30-49 (+19),,"GOOD JUMPER by BOBO,ZACH",2
--,"ASSIST  by CONLEY,CLAY",,,,,,,"ASSIST  by CONLEY,CLAY",2
14:59,"SUB IN by DUPOR,RENO",,,,,,,"SUB IN by DUPOR,RENO",2
14:59,"SUB IN by CONLEY,CLAY",,,,,,,"SUB IN by CONLEY,CLAY",2
14:59,"SUB IN by GREEN,CHRIS",,,,,,,"SUB IN by GREEN,CHRIS",2
14:59,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",2
14:59,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",2
14:59,"SUB OUT by KNIGHT,KELVIN",,,,,,,"SUB OUT by KNIGHT,KELVIN",2
14:59,"SUB OUT by GRAY,DYLAN",,,,,,,"SUB OUT by GRAY,DYLAN",2
14:59,"SUB OUT by BARNES,SKYLER",,,,,,,"SUB OUT by BARNES,SKYLER",2
14:45,,30,,51 (+21),"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 30-51 (+21),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
14:32,"MISS JUMPER by CONLEY,CLAY",,,,,,,"MISS JUMPER by CONLEY,CLAY",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
14:17,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",2
--,"REBOUND DEF by CONLEY,CLAY",,,,,,,"REBOUND DEF by CONLEY,CLAY",2
14:07,"MISS JUMPER by BOBO,ZACH",,,,,,,"MISS JUMPER by BOBO,ZACH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:06,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",2
14:06,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",2
13:56,,30,,54 (+24),"GOOD 3PTR by LINK,JACOB",HXM 30-54 (+24),,"GOOD 3PTR by LINK,JACOB",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
13:35,"TURNOVER  by GREEN,CHRIS",,,,,,,"TURNOVER  by GREEN,CHRIS",2
13:33,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
13:32,"FOUL  by GREEN,CHRIS",,,,,,,"FOUL  by GREEN,CHRIS",2
13:32,,30,,55 (+25),"GOOD FT by LINK,JACOB",HXM 30-55 (+25),,"GOOD FT by LINK,JACOB",2
13:32,,30,,56 (+26),"GOOD FT by LINK,JACOB",HXM 30-56 (+26),,"GOOD FT by LINK,JACOB",2
13:32,"SUB IN by WILLIAMS,KENNETH",,,,,,,"SUB IN by WILLIAMS,KENNETH",2
13:32,"SUB OUT by GREEN,CHRIS",,,,,,,"SUB OUT by GREEN,CHRIS",2
13:32,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
13:32,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
13:32,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",2
13:32,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",2
13:32,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
13:32,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
13:31,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
13:20,,30,,58 (+28),"GOOD LAYUP by ROBERTS,ERIC(in the paint)",HXM 30-58 (+28),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",2
13:09,"GOOD LAYUP by TURPIN,TIM(in the paint)",32,,58 (+26),,UO 32-58 (+26),,"GOOD LAYUP by TURPIN,TIM(in the paint)",2
--,"ASSIST  by DUPOR,RENO",,,,,,,"ASSIST  by DUPOR,RENO",2
12:52,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",2
--,"REBOUND DEF by WILLIAMS,KENNETH",,,,,,,"REBOUND DEF by WILLIAMS,KENNETH",2
12:41,"GOOD LAYUP by BOBO,ZACH(in the paint)",34,,58 (+24),,UO 34-58 (+24),,"GOOD LAYUP by BOBO,ZACH(in the paint)",2
12:41,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
12:41,"GOOD FT by BOBO,ZACH",35,,58 (+23),,UO 35-58 (+23),,"GOOD FT by BOBO,ZACH",2
12:32,,35,,60 (+25),"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HXM 35-60 (+25),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
12:15,"GOOD JUMPER by JENKINS,KEON",37,,60 (+23),,UO 37-60 (+23),,"GOOD JUMPER by JENKINS,KEON",2
--,"ASSIST  by WILLIAMS,KENNETH",,,,,,,"ASSIST  by WILLIAMS,KENNETH",2
11:57,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:54,"SUB IN by BARNES,SKYLER",,,,,,,"SUB IN by BARNES,SKYLER",2
11:54,"SUB IN by GRAY,DYLAN",,,,,,,"SUB IN by GRAY,DYLAN",2
11:54,"SUB OUT by DUPOR,RENO",,,,,,,"SUB OUT by DUPOR,RENO",2
11:54,"SUB OUT by CONLEY,CLAY",,,,,,,"SUB OUT by CONLEY,CLAY",2
11:54,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
11:54,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
11:44,"MISS JUMPER by BOBO,ZACH",,,,,,,"MISS JUMPER by BOBO,ZACH",2
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",2
11:32,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",2
11:21,"GOOD LAYUP by GRAY,DYLAN(in the paint)",39,,60 (+21),,UO 39-60 (+21),,"GOOD LAYUP by GRAY,DYLAN(in the paint)",2
--,"ASSIST  by TURPIN,TIM",,,,,,,"ASSIST  by TURPIN,TIM",2
10:58,,,,,"MISS LAYUP by NOTLEY,CHANDLER",,,"MISS LAYUP by NOTLEY,CHANDLER",2
--,,,,,"REBOUND OFF by ROBERTS,ERIC",,,"REBOUND OFF by ROBERTS,ERIC",2
10:55,,39,,62 (+23),"GOOD LAYUP by ROBERTS,ERIC(in the paint)",HXM 39-62 (+23),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",2
10:38,"MISS JUMPER by GRAY,DYLAN",,,,,,,"MISS JUMPER by GRAY,DYLAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:35,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",2
10:35,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
10:35,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
10:35,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",2
10:16,,39,,64 (+25),"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HXM 39-64 (+25),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
09:59,"GOOD LAYUP by TURPIN,TIM(in the paint)",41,,64 (+23),,UO 41-64 (+23),,"GOOD LAYUP by TURPIN,TIM(in the paint)",2
09:36,,,,,"MISS JUMPER by ROBERTS,ERIC",,,"MISS JUMPER by ROBERTS,ERIC",2
09:36,"BLOCK  by TURPIN,TIM",,,,,,,"BLOCK  by TURPIN,TIM",2
--,"REBOUND DEF by BARNES,SKYLER",,,,,,,"REBOUND DEF by BARNES,SKYLER",2
09:28,"MISS 3PTR by BOBO,ZACH",,,,,,,"MISS 3PTR by BOBO,ZACH",2
--,,,,,"REBOUND DEF by ROBERTS,ERIC",,,"REBOUND DEF by ROBERTS,ERIC",2
09:22,,41,,66 (+25),"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 41-66 (+25),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"ASSIST  by ROBERTS,ERIC",,,"ASSIST  by ROBERTS,ERIC",2
09:04,"FOUL  by GRAY,DYLAN",,,,,,,"FOUL  by GRAY,DYLAN",2
09:04,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
09:04,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",2
09:04,"SUB IN by ADKINS,JORDAN",,,,,,,"SUB IN by ADKINS,JORDAN",2
09:04,"SUB IN by DUPOR,RENO",,,,,,,"SUB IN by DUPOR,RENO",2
09:04,"SUB OUT by WILLIAMS,KENNETH",,,,,,,"SUB OUT by WILLIAMS,KENNETH",2
09:04,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",2
09:04,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",2
09:04,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",2
09:04,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",2
08:55,"GOOD JUMPER by GRAY,DYLAN",43,,66 (+23),,UO 43-66 (+23),,"GOOD JUMPER by GRAY,DYLAN",2
--,"ASSIST  by DUPOR,RENO",,,,,,,"ASSIST  by DUPOR,RENO",2
08:44,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
08:44,"SUB IN by HALL,JOEY",,,,,,,"SUB IN by HALL,JOEY",2
08:44,"SUB OUT by BARNES,SKYLER",,,,,,,"SUB OUT by BARNES,SKYLER",2
08:25,,,,,"MISS JUMPER by MOORE,AUSTIN",,,"MISS JUMPER by MOORE,AUSTIN",2
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",2
08:21,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",2
--,"REBOUND DEF by HALL,JOEY",,,,,,,"REBOUND DEF by HALL,JOEY",2
08:14,"MISS 3PTR by GRAY,DYLAN",,,,,,,"MISS 3PTR by GRAY,DYLAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:01,"MISS 3PTR by HALL,JOEY",,,,,,,"MISS 3PTR by HALL,JOEY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:34,,,,,"MISS 3PTR by MOORE,AUSTIN",,,"MISS 3PTR by MOORE,AUSTIN",2
--,"REBOUND DEF by GRAY,DYLAN",,,,,,,"REBOUND DEF by GRAY,DYLAN",2
07:17,"TURNOVER  by WILHELM,CORY",,,,,,,"TURNOVER  by WILHELM,CORY",2
07:15,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
07:12,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",2
07:06,,43,,68 (+25),"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HXM 43-68 (+25),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",2
06:55,"TURNOVER  by DUPOR,RENO",,,,,,,"TURNOVER  by DUPOR,RENO",2
06:55,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",2
06:55,"SUB IN by JENKINS,KEON",,,,,,,"SUB IN by JENKINS,KEON",2
06:55,"SUB OUT by GRAY,DYLAN",,,,,,,"SUB OUT by GRAY,DYLAN",2
06:55,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",2
06:30,,43,,70 (+27),"GOOD JUMPER by MOORE,AUSTIN",HXM 43-70 (+27),,"GOOD JUMPER by MOORE,AUSTIN",2
06:18,"TURNOVER  by DUPOR,RENO",,,,,,,"TURNOVER  by DUPOR,RENO",2
06:16,,,,,"STEAL  by CRISWELL,SEAN",,,"STEAL  by CRISWELL,SEAN",2
06:09,,43,,72 (+29),"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 43-72 (+29),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
06:09,"FOUL  by ADKINS,JORDAN",,,,,,,"FOUL  by ADKINS,JORDAN",2
06:09,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,"REBOUND DEF by TURPIN,TIM",,,,,,,"REBOUND DEF by TURPIN,TIM",2
06:09,"SUB IN by GREEN,CHRIS",,,,,,,"SUB IN by GREEN,CHRIS",2
06:09,"SUB OUT by HALL,JOEY",,,,,,,"SUB OUT by HALL,JOEY",2
05:55,"MISS JUMPER by GREEN,CHRIS",,,,,,,"MISS JUMPER by GREEN,CHRIS",2
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",2
05:47,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",2
05:47,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
05:47,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
05:31,"TURNOVER  by ADKINS,JORDAN",,,,,,,"TURNOVER  by ADKINS,JORDAN",2
05:29,,,,,"STEAL  by CALAMESE,MICHAEL",,,"STEAL  by CALAMESE,MICHAEL",2
05:20,,43,,74 (+31),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 43-74 (+31),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
05:01,"MISS JUMPER by JENKINS,KEON",,,,,,,"MISS JUMPER by JENKINS,KEON",2
--,,,,,"REBOUND DEF by MOORE,AUSTIN",,,"REBOUND DEF by MOORE,AUSTIN",2
04:54,"FOUL  by GREEN,CHRIS",,,,,,,"FOUL  by GREEN,CHRIS",2
04:54,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:54,,43,,75 (+32),"GOOD FT by BRASFIELD,KAM",HXM 43-75 (+32),,"GOOD FT by BRASFIELD,KAM",2
04:54,"SUB IN by CONLEY,CLAY",,,,,,,"SUB IN by CONLEY,CLAY",2
04:54,"SUB OUT by DUPOR,RENO",,,,,,,"SUB OUT by DUPOR,RENO",2
04:37,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",2
04:37,"TURNOVER  by CONLEY,CLAY",,,,,,,"TURNOVER  by CONLEY,CLAY",2
04:27,,,,,"MISS LAYUP by MOORE,AUSTIN",,,"MISS LAYUP by MOORE,AUSTIN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
04:22,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",2
04:22,,,,,"SUB IN by SHEPPARD,MARK",,,"SUB IN by SHEPPARD,MARK",2
04:22,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
04:22,,,,,"SUB OUT by MOORE,AUSTIN",,,"SUB OUT by MOORE,AUSTIN",2
04:12,,,,,"TURNOVER  by HALL,MARCIS",,,"TURNOVER  by HALL,MARCIS",2
04:09,"STEAL  by GREEN,CHRIS",,,,,,,"STEAL  by GREEN,CHRIS",2
04:06,"GOOD LAYUP by TURPIN,TIM(in the paint)",45,,75 (+30),,UO 45-75 (+30),,"GOOD LAYUP by TURPIN,TIM(in the paint)",2
03:40,,45,,77 (+32),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 45-77 (+32),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
03:18,"GOOD LAYUP by CONLEY,CLAY(in the paint)",47,,77 (+30),,UO 47-77 (+30),,"GOOD LAYUP by CONLEY,CLAY(in the paint)",2
02:59,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
02:59,"SUB IN by WILLIAMS,KENNETH",,,,,,,"SUB IN by WILLIAMS,KENNETH",2
02:59,"SUB IN by CUMMINS,MIOLIN",,,,,,,"SUB IN by CUMMINS,MIOLIN",2
02:59,"SUB OUT by GREEN,CHRIS",,,,,,,"SUB OUT by GREEN,CHRIS",2
02:59,"SUB OUT by CONLEY,CLAY",,,,,,,"SUB OUT by CONLEY,CLAY",2
02:59,,,,,"SUB IN by JOHNSON,DAMECKO",,,"SUB IN by JOHNSON,DAMECKO",2
02:59,,,,,"SUB IN by ABELL,STEPHEN",,,"SUB IN by ABELL,STEPHEN",2
02:59,,,,,"SUB IN by PRINS,ZACHARY",,,"SUB IN by PRINS,ZACHARY",2
02:59,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",2
02:59,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
02:59,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
02:48,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",2
02:37,"MISS 3PTR by ADKINS,JORDAN",,,,,,,"MISS 3PTR by ADKINS,JORDAN",2
--,,,,,"REBOUND DEF by JOHNSON,DAMECKO",,,"REBOUND DEF by JOHNSON,DAMECKO",2
02:29,,,,,"TURNOVER  by JOHNSON,DAMECKO",,,"TURNOVER  by JOHNSON,DAMECKO",2
02:17,"MISS JUMPER by JENKINS,KEON",,,,,,,"MISS JUMPER by JENKINS,KEON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:12,,,,,"FOUL  by SHEPPARD,MARK",,,"FOUL  by SHEPPARD,MARK",2
02:12,"GOOD FT by CUMMINS,MIOLIN",48,,77 (+29),,UO 48-77 (+29),,"GOOD FT by CUMMINS,MIOLIN",2
02:12,"GOOD FT by CUMMINS,MIOLIN",49,,77 (+28),,UO 49-77 (+28),,"GOOD FT by CUMMINS,MIOLIN",2
02:03,,,,,"MISS 3PTR by ABELL,STEPHEN",,,"MISS 3PTR by ABELL,STEPHEN",2
--,"REBOUND DEF by ADKINS,JORDAN",,,,,,,"REBOUND DEF by ADKINS,JORDAN",2
01:51,"TURNOVER  by CUMMINS,MIOLIN",,,,,,,"TURNOVER  by CUMMINS,MIOLIN",2
01:36,,,,,"MISS JUMPER by PRINS,ZACHARY",,,"MISS JUMPER by PRINS,ZACHARY",2
--,"REBOUND DEF by JENKINS,KEON",,,,,,,"REBOUND DEF by JENKINS,KEON",2
01:20,"TURNOVER  by WILLIAMS,KENNETH",,,,,,,"TURNOVER  by WILLIAMS,KENNETH",2
01:17,,,,,"STEAL  by PRINS,ZACHARY",,,"STEAL  by PRINS,ZACHARY",2
01:14,,,,,"MISS 3PTR by JOHNSON,DAMECKO",,,"MISS 3PTR by JOHNSON,DAMECKO",2
--,"REBOUND DEF by TURPIN,TIM",,,,,,,"REBOUND DEF by TURPIN,TIM",2
01:09,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",2
01:09,"GOOD FT by ADKINS,JORDAN",50,,77 (+27),,UO 50-77 (+27),,"GOOD FT by ADKINS,JORDAN",2
01:09,"MISS FT by ADKINS,JORDAN",,,,,,,"MISS FT by ADKINS,JORDAN",2
--,,,,,"REBOUND DEF by SHEPPARD,MARK",,,"REBOUND DEF by SHEPPARD,MARK",2
00:48,,,,,"MISS 3PTR by PRINS,ZACHARY",,,"MISS 3PTR by PRINS,ZACHARY",2
--,"REBOUND DEF by CUMMINS,MIOLIN",,,,,,,"REBOUND DEF by CUMMINS,MIOLIN",2
00:40,"FOUL  by CUMMINS,MIOLIN",,,,,,,"FOUL  by CUMMINS,MIOLIN",2
00:24,,50,,80 (+30),"GOOD 3PTR by PRINS,ZACHARY",HXM 50-80 (+30),,"GOOD 3PTR by PRINS,ZACHARY",2
--,,,,,"ASSIST  by CRAWFORD,TRACE",,,"ASSIST  by CRAWFORD,TRACE",2
00:08,"TURNOVER  by WILLIAMS,KENNETH",,,,,,,"TURNOVER  by WILLIAMS,KENNETH",2
00:06,,,,,"STEAL  by JOHNSON,DAMECKO",,,"STEAL  by JOHNSON,DAMECKO",2
