Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by NICKENS,ZACHARY",,,"REBOUND DEF by NICKENS,ZACHARY",1
06:32,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",1
06:32,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",1
06:32,,,,,"SUB IN by NICKENS,ZACHARY",,,"SUB IN by NICKENS,ZACHARY",1
06:32,,,,,"SUB IN by HILL,KAMERON",,,"SUB IN by HILL,KAMERON",1
06:32,,,,,"SUB OUT by HARDWICK,JOSH",,,"SUB OUT by HARDWICK,JOSH",1
06:32,,,,,"SUB OUT by HOLLAND,MICHAEL",,,"SUB OUT by HOLLAND,MICHAEL",1
06:20,,22,,34 (+12),"GOOD LAYUP by HOGAN,KAM(in the paint)",ACM 22-34 (-12),,"GOOD LAYUP by HOGAN,KAM(in the paint)",1
06:01,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",1
05:56,"GOOD TIPIN by CRISWELL,SEAN(in the paint)",24,,34 (+10),,HXM 24-34 (-10),,"GOOD TIPIN by CRISWELL,SEAN(in the paint)",1
05:46,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",1
05:46,,,,,"MISS FT by NICKENS,ZACHARY",,,"MISS FT by NICKENS,ZACHARY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:46,,24,,35 (+11),"GOOD FT by NICKENS,ZACHARY",ACM 24-35 (-11),,"GOOD FT by NICKENS,ZACHARY",1
05:46,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",1
05:46,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",1
05:36,"TURNOVER  by CRISWELL,SEAN",,,,,,,"TURNOVER  by CRISWELL,SEAN",1
05:35,,,,,"STEAL  by WELLS,AUSTIN",,,"STEAL  by WELLS,AUSTIN",1
05:32,,24,,37 (+13),"GOOD DUNK by MERCADEL,JUSTICE(fastbreak)",ACM 24-37 (-13),,"GOOD DUNK by MERCADEL,JUSTICE(fastbreak)",1
05:23,,,,,"FOUL  by WELLS,AUSTIN",,,"FOUL  by WELLS,AUSTIN",1
05:23,"GOOD FT by BRASFIELD,KAM",25,,37 (+12),,HXM 25-37 (-12),,"GOOD FT by BRASFIELD,KAM",1
05:23,"GOOD FT by BRASFIELD,KAM",26,,37 (+11),,HXM 26-37 (-11),,"GOOD FT by BRASFIELD,KAM",1
05:05,,,,,"MISS JUMPER by MERCADEL,JUSTICE",,,"MISS JUMPER by MERCADEL,JUSTICE",1
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",1
04:53,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by NICKENS,ZACHARY",,,"REBOUND DEF by NICKENS,ZACHARY",1
04:49,,,,,"TURNOVER  by NICKENS,ZACHARY",,,"TURNOVER  by NICKENS,ZACHARY",1
04:49,"STEAL  by MOORE,AUSTIN",,,,,,,"STEAL  by MOORE,AUSTIN",1
04:28,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",1
--,"REBOUND OFF by MOORE,AUSTIN",,,,,,,"REBOUND OFF by MOORE,AUSTIN",1
04:18,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
04:04,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",1
04:04,,26,,38 (+12),"GOOD FT by HILL,KAMERON",ACM 26-38 (-12),,"GOOD FT by HILL,KAMERON",1
04:04,,26,,39 (+13),"GOOD FT by HILL,KAMERON",ACM 26-39 (-13),,"GOOD FT by HILL,KAMERON",1
03:53,"MISS LAYUP by HALL,MARCIS",,,,,,,"MISS LAYUP by HALL,MARCIS",1
03:53,,,,,"BLOCK  by NICKENS,ZACHARY",,,"BLOCK  by NICKENS,ZACHARY",1
--,,,,,"REBOUND DEF by NICKENS,ZACHARY",,,"REBOUND DEF by NICKENS,ZACHARY",1
03:43,,,,,"MISS JUMPER by MERCADEL,JUSTICE",,,"MISS JUMPER by MERCADEL,JUSTICE",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
03:38,,,,,"FOUL  by HOGAN,KAM",,,"FOUL  by HOGAN,KAM",1
03:38,"GOOD FT by BRASFIELD,KAM",27,,39 (+12),,HXM 27-39 (-12),,"GOOD FT by BRASFIELD,KAM",1
03:38,"MISS FT by BRASFIELD,KAM",,,,,,,"MISS FT by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by HOGAN,KAM",,,"REBOUND DEF by HOGAN,KAM",1
