Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,UO,Game Score,Team Indicator,Play,Period
16:33,"GOOD FT by NOTLEY,CHANDLER",34,,36 (+2),,HXM 34-36 (-2),,"GOOD FT by NOTLEY,CHANDLER",2
16:33,"GOOD FT by NOTLEY,CHANDLER",35,,36 (+1),,HXM 35-36 (-1),,"GOOD FT by NOTLEY,CHANDLER",2
16:33,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",2
16:33,,,,,"SUB IN by TURPIN,TIM",,,"SUB IN by TURPIN,TIM",2
16:33,,,,,"SUB OUT by KNIGHT,KELVIN",,,"SUB OUT by KNIGHT,KELVIN",2
16:14,,,,,"MISS JUMPER by DUPOR,RENO",,,"MISS JUMPER by DUPOR,RENO",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
16:00,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",2
--,,,,,"REBOUND DEF by GRAY,DYLAN",,,"REBOUND DEF by GRAY,DYLAN",2
15:48,,,,,"MISS JUMPER by TURPIN,TIM",,,"MISS JUMPER by TURPIN,TIM",2
15:48,"BLOCK  by CRISWELL,SEAN",,,,,,,"BLOCK  by CRISWELL,SEAN",2
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",2
15:32,,,,,"FOUL  by DUPOR,RENO",,,"FOUL  by DUPOR,RENO",2
15:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:14,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",2
--,"REBOUND OFF by ROBERTS,ERIC",,,,,,,"REBOUND OFF by ROBERTS,ERIC",2
15:08,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",2
--,,,,,"REBOUND DEF by BARNES,SKYLER",,,"REBOUND DEF by BARNES,SKYLER",2
15:04,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
15:02,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",2
15:02,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",2
15:02,,,,,"SUB IN by CONLEY,CLAY",,,"SUB IN by CONLEY,CLAY",2
15:02,,,,,"SUB IN by BOBO,ZACH",,,"SUB IN by BOBO,ZACH",2
15:02,,,,,"SUB OUT by GRAY,DYLAN",,,"SUB OUT by GRAY,DYLAN",2
15:02,,,,,"SUB OUT by HALL,JOEY",,,"SUB OUT by HALL,JOEY",2
14:55,,35,,39 (+4),"GOOD 3PTR by BARNES,SKYLER",UO 35-39 (-4),,"GOOD 3PTR by BARNES,SKYLER",2
--,,,,,"ASSIST  by DUPOR,RENO",,,"ASSIST  by DUPOR,RENO",2
14:39,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",2
14:39,,,,,"SUB IN by KNIGHT,KELVIN",,,"SUB IN by KNIGHT,KELVIN",2
14:39,,,,,"SUB OUT by TURPIN,TIM",,,"SUB OUT by TURPIN,TIM",2
14:32,,35,,41 (+6),"GOOD JUMPER by CONLEY,CLAY",UO 35-41 (-6),,"GOOD JUMPER by CONLEY,CLAY",2
--,,,,,"ASSIST  by BARNES,SKYLER",,,"ASSIST  by BARNES,SKYLER",2
14:13,"GOOD 3PTR by ROUSE,TREY",38,,41 (+3),,HXM 38-41 (-3),,"GOOD 3PTR by ROUSE,TREY",2
13:51,"FOUL  by MOORE,AUSTIN",,,,,,,"FOUL  by MOORE,AUSTIN",2
13:51,,38,,42 (+4),"GOOD FT by BARNES,SKYLER",UO 38-42 (-4),,"GOOD FT by BARNES,SKYLER",2
13:51,,,,,"MISS FT by GRAY,DYLAN",,,"MISS FT by GRAY,DYLAN",2
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",2
13:51,,,,,"SUB IN by GRAY,DYLAN",,,"SUB IN by GRAY,DYLAN",2
13:51,,,,,"SUB OUT by BARNES,SKYLER",,,"SUB OUT by BARNES,SKYLER",2
13:44,,,,,"SUB IN by JOHNSON,BRYSON",,,"SUB IN by JOHNSON,BRYSON",2
13:44,,,,,"SUB OUT by GRAY,DYLAN",,,"SUB OUT by GRAY,DYLAN",2
13:36,"FOUL  by MOORE,AUSTIN",,,,,,,"FOUL  by MOORE,AUSTIN",2
13:36,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",2
13:36,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
13:24,,,,,"MISS 3PTR by DUPOR,RENO",,,"MISS 3PTR by DUPOR,RENO",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:20,,,,,"FOUL  by BOBO,ZACH",,,"FOUL  by BOBO,ZACH",2
13:20,,,,,"SUB IN by GRAY,DYLAN",,,"SUB IN by GRAY,DYLAN",2
13:20,,,,,"SUB OUT by JOHNSON,BRYSON",,,"SUB OUT by JOHNSON,BRYSON",2
12:52,"GOOD LAYUP by ROUSE,TREY(in the paint)",40,,42 (+2),,HXM 40-42 (-2),,"GOOD LAYUP by ROUSE,TREY(in the paint)",2
12:37,,,,,"TURNOVER  by BOBO,ZACH",,,"TURNOVER  by BOBO,ZACH",2
12:34,"STEAL  by CRAWFORD,TRACE",,,,,,,"STEAL  by CRAWFORD,TRACE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:16,"GOOD LAYUP by CRAWFORD,TRACE(fastbreak)(in the paint)",42,,42,,HXM 42-42 (0),,"GOOD LAYUP by CRAWFORD,TRACE(fastbreak)(in the paint)",2
12:04,"GOOD 3PTR by CRAWFORD,TRACE",45 (+3),,42,,HXM 45-42 (+3),,"GOOD 3PTR by CRAWFORD,TRACE",2
11:38,,,,,"TURNOVER  by KNIGHT,KELVIN",,,"TURNOVER  by KNIGHT,KELVIN",2
11:37,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:23,,,,,"FOUL  by HALL,JOEY",,,"FOUL  by HALL,JOEY",2
11:22,,,,,"SUB IN by BARNES,SKYLER",,,"SUB IN by BARNES,SKYLER",2
11:22,,,,,"SUB IN by HALL,JOEY",,,"SUB IN by HALL,JOEY",2
11:22,,,,,"SUB IN by WILHELM,CORY",,,"SUB IN by WILHELM,CORY",2
11:22,,,,,"SUB OUT by KNIGHT,KELVIN",,,"SUB OUT by KNIGHT,KELVIN",2
11:22,,,,,"SUB OUT by CONLEY,CLAY",,,"SUB OUT by CONLEY,CLAY",2
11:22,,,,,"SUB OUT by BOBO,ZACH",,,"SUB OUT by BOBO,ZACH",2
11:15,"GOOD 3PTR by ROUSE,TREY",48 (+6),,42,,HXM 48-42 (+6),,"GOOD 3PTR by ROUSE,TREY",2
10:57,,,,,"MISS 3PTR by HALL,JOEY",,,"MISS 3PTR by HALL,JOEY",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
10:38,"MISS JUMPER by CRAWFORD,TRACE",,,,,,,"MISS JUMPER by CRAWFORD,TRACE",2
--,"REBOUND OFF by CRAWFORD,TRACE",,,,,,,"REBOUND OFF by CRAWFORD,TRACE",2
10:25,,,,,"FOUL  by WILHELM,CORY",,,"FOUL  by WILHELM,CORY",2
10:25,"MISS FT by ROUSE,TREY",,,,,,,"MISS FT by ROUSE,TREY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:25,"GOOD FT by ROUSE,TREY",49 (+7),,42,,HXM 49-42 (+7),,"GOOD FT by ROUSE,TREY",2
10:25,,,,,"SUB IN by KNIGHT,KELVIN",,,"SUB IN by KNIGHT,KELVIN",2
10:25,,,,,"SUB OUT by WILHELM,CORY",,,"SUB OUT by WILHELM,CORY",2
10:10,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",2
10:10,,,,,"MISS FT by GRAY,DYLAN",,,"MISS FT by GRAY,DYLAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:10,,49 (+6),,43,"GOOD FT by GRAY,DYLAN",UO 49-43 (+6),,"GOOD FT by GRAY,DYLAN",2
10:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:10,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",2
10:10,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",2
10:10,,,,,"SUB IN by JOHNSON,BRYSON",,,"SUB IN by JOHNSON,BRYSON",2
10:10,,,,,"SUB OUT by DUPOR,RENO",,,"SUB OUT by DUPOR,RENO",2
10:08,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND DEF by KNIGHT,KELVIN",,,"REBOUND DEF by KNIGHT,KELVIN",2
09:59,,,,,"MISS 3PTR by KNIGHT,KELVIN",,,"MISS 3PTR by KNIGHT,KELVIN",2
--,,,,,"REBOUND OFF by BARNES,SKYLER",,,"REBOUND OFF by BARNES,SKYLER",2
09:53,,,,,"FOUL  by BARNES,SKYLER",,,"FOUL  by BARNES,SKYLER",2
09:53,"GOOD FT by ROUSE,TREY",50 (+7),,43,,HXM 50-43 (+7),,"GOOD FT by ROUSE,TREY",2
09:53,"GOOD FT by ROUSE,TREY",51 (+8),,43,,HXM 51-43 (+8),,"GOOD FT by ROUSE,TREY",2
09:41,,,,,"MISS LAYUP by JOHNSON,BRYSON",,,"MISS LAYUP by JOHNSON,BRYSON",2
--,,,,,"REBOUND OFF by KNIGHT,KELVIN",,,"REBOUND OFF by KNIGHT,KELVIN",2
09:36,,51 (+6),,45,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",UO 51-45 (+6),,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",2
09:21,"MISS JUMPER by CRAWFORD,TRACE",,,,,,,"MISS JUMPER by CRAWFORD,TRACE",2
--,,,,,"REBOUND DEF by GRAY,DYLAN",,,"REBOUND DEF by GRAY,DYLAN",2
09:11,,51 (+4),,47,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",UO 51-47 (+4),,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",2
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",2
09:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:56,"MISS JUMPER by NOTLEY,CHANDLER",,,,,,,"MISS JUMPER by NOTLEY,CHANDLER",2
--,,,,,"REBOUND DEF by GRAY,DYLAN",,,"REBOUND DEF by GRAY,DYLAN",2
08:48,,51 (+2),,49,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",UO 51-49 (+2),,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",2
08:33,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",2
08:33,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
08:33,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
08:20,,51,,51,"GOOD LAYUP by GRAY,DYLAN(in the paint)",UO 51-51 (0),,"GOOD LAYUP by GRAY,DYLAN(in the paint)",2
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",2
07:55,,,,,"FOUL  by KNIGHT,KELVIN",,,"FOUL  by KNIGHT,KELVIN",2
07:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:55,"MISS FT by MOORE,AUSTIN",,,,,,,"MISS FT by MOORE,AUSTIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:55,"GOOD FT by MOORE,AUSTIN",52 (+1),,51,,HXM 52-51 (+1),,"GOOD FT by MOORE,AUSTIN",2
07:42,,,,,"MISS 3PTR by BARNES,SKYLER",,,"MISS 3PTR by BARNES,SKYLER",2
--,,,,,"REBOUND OFF by HALL,JOEY",,,"REBOUND OFF by HALL,JOEY",2
07:36,,52,,54 (+2),"GOOD 3PTR by GRAY,DYLAN",UO 52-54 (-2),,"GOOD 3PTR by GRAY,DYLAN",2
--,,,,,"ASSIST  by HALL,JOEY",,,"ASSIST  by HALL,JOEY",2
07:21,,,,,"FOUL  by KNIGHT,KELVIN",,,"FOUL  by KNIGHT,KELVIN",2
07:20,"GOOD FT by CALAMESE,MICHAEL",53,,54 (+1),,HXM 53-54 (-1),,"GOOD FT by CALAMESE,MICHAEL",2
07:20,"GOOD FT by CALAMESE,MICHAEL",54,,54,,HXM 54-54 (0),,"GOOD FT by CALAMESE,MICHAEL",2
07:20,,,,,"SUB IN by TURPIN,TIM",,,"SUB IN by TURPIN,TIM",2
07:20,,,,,"SUB OUT by KNIGHT,KELVIN",,,"SUB OUT by KNIGHT,KELVIN",2
06:52,,,,,"MISS LAYUP by JOHNSON,BRYSON",,,"MISS LAYUP by JOHNSON,BRYSON",2
--,,,,,"REBOUND OFF by GRAY,DYLAN",,,"REBOUND OFF by GRAY,DYLAN",2
06:46,,,,,"MISS LAYUP by GRAY,DYLAN",,,"MISS LAYUP by GRAY,DYLAN",2
--,,,,,"REBOUND OFF by GRAY,DYLAN",,,"REBOUND OFF by GRAY,DYLAN",2
06:41,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
06:41,,54,,55 (+1),"GOOD FT by GRAY,DYLAN",UO 54-55 (-1),,"GOOD FT by GRAY,DYLAN",2
06:41,,54,,56 (+2),"GOOD FT by GRAY,DYLAN",UO 54-56 (-2),,"GOOD FT by GRAY,DYLAN",2
06:41,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",2
06:41,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",2
06:41,,,,,"SUB IN by BOBO,ZACH",,,"SUB IN by BOBO,ZACH",2
06:41,,,,,"SUB OUT by BARNES,SKYLER",,,"SUB OUT by BARNES,SKYLER",2
06:26,,,,,"FOUL  by GRAY,DYLAN",,,"FOUL  by GRAY,DYLAN",2
06:26,"GOOD FT by HALL,MARCIS",55,,56 (+1),,HXM 55-56 (-1),,"GOOD FT by HALL,MARCIS",2
06:26,"GOOD FT by HALL,MARCIS",56,,56,,HXM 56-56 (0),,"GOOD FT by HALL,MARCIS",2
06:07,,,,,"TURNOVER  by JOHNSON,BRYSON",,,"TURNOVER  by JOHNSON,BRYSON",2
06:07,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",2
06:07,,,,,"FOUL  by BOBO,ZACH",,,"FOUL  by BOBO,ZACH",2
06:07,"GOOD FT by BRASFIELD,KAM",57 (+1),,56,,HXM 57-56 (+1),,"GOOD FT by BRASFIELD,KAM",2
06:07,"GOOD FT by BRASFIELD,KAM",58 (+2),,56,,HXM 58-56 (+2),,"GOOD FT by BRASFIELD,KAM",2
06:07,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
06:07,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",2
06:07,,,,,"SUB IN by DUPOR,RENO",,,"SUB IN by DUPOR,RENO",2
06:07,,,,,"SUB OUT by JOHNSON,BRYSON",,,"SUB OUT by JOHNSON,BRYSON",2
05:58,,58,,58,"GOOD LAYUP by TURPIN,TIM(in the paint)",UO 58-58 (0),,"GOOD LAYUP by TURPIN,TIM(in the paint)",2
--,,,,,"ASSIST  by GRAY,DYLAN",,,"ASSIST  by GRAY,DYLAN",2
05:43,"MISS 3PTR by CRISWELL,SEAN",,,,,,,"MISS 3PTR by CRISWELL,SEAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:23,"MISS JUMPER by ROUSE,TREY",,,,,,,"MISS JUMPER by ROUSE,TREY",2
--,"REBOUND OFF by HALL,MARCIS",,,,,,,"REBOUND OFF by HALL,MARCIS",2
05:14,"GOOD LAYUP by HALL,MARCIS(in the paint)",60 (+2),,58,,HXM 60-58 (+2),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
05:08,,,,,"MISS JUMPER by BOBO,ZACH",,,"MISS JUMPER by BOBO,ZACH",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
05:02,,,,,"FOUL  by TURPIN,TIM",,,"FOUL  by TURPIN,TIM",2
05:02,"MISS FT by CRISWELL,SEAN",,,,,,,"MISS FT by CRISWELL,SEAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:02,"GOOD FT by CRISWELL,SEAN",61 (+3),,58,,HXM 61-58 (+3),,"GOOD FT by CRISWELL,SEAN",2
05:02,,,,,"SUB IN by BARNES,SKYLER",,,"SUB IN by BARNES,SKYLER",2
05:02,,,,,"SUB IN by CONLEY,CLAY",,,"SUB IN by CONLEY,CLAY",2
05:02,,,,,"SUB IN by WILHELM,CORY",,,"SUB IN by WILHELM,CORY",2
05:02,,,,,"SUB OUT by GRAY,DYLAN",,,"SUB OUT by GRAY,DYLAN",2
05:02,,,,,"SUB OUT by HALL,JOEY",,,"SUB OUT by HALL,JOEY",2
05:02,,,,,"SUB OUT by TURPIN,TIM",,,"SUB OUT by TURPIN,TIM",2
04:54,,,,,"MISS 3PTR by BOBO,ZACH",,,"MISS 3PTR by BOBO,ZACH",2
--,,,,,"REBOUND OFF by CONLEY,CLAY",,,"REBOUND OFF by CONLEY,CLAY",2
04:47,,61 (+1),,60,"GOOD LAYUP by CONLEY,CLAY(in the paint)",UO 61-60 (+1),,"GOOD LAYUP by CONLEY,CLAY(in the paint)",2
04:33,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND DEF by DUPOR,RENO",,,"REBOUND DEF by DUPOR,RENO",2
04:15,,,,,"TURNOVER  by BOBO,ZACH",,,"TURNOVER  by BOBO,ZACH",2
04:12,"STEAL  by CALAMESE,MICHAEL",,,,,,,"STEAL  by CALAMESE,MICHAEL",2
04:10,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",63 (+3),,60,,HXM 63-60 (+3),,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",2
03:52,,,,,"MISS JUMPER by CONLEY,CLAY",,,"MISS JUMPER by CONLEY,CLAY",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
03:34,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",65 (+5),,60,,HXM 65-60 (+5),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",2
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",2
03:25,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:25,,,,,"SUB IN by JOHNSON,BRYSON",,,"SUB IN by JOHNSON,BRYSON",2
03:25,,,,,"SUB OUT by DUPOR,RENO",,,"SUB OUT by DUPOR,RENO",2
03:10,,,,,"MISS JUMPER by GRAY,DYLAN",,,"MISS JUMPER by GRAY,DYLAN",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
03:03,,,,,"FOUL  by BARNES,SKYLER",,,"FOUL  by BARNES,SKYLER",2
03:01,"GOOD FT by CRISWELL,SEAN",66 (+6),,60,,HXM 66-60 (+6),,"GOOD FT by CRISWELL,SEAN",2
03:01,"GOOD FT by CRISWELL,SEAN",67 (+7),,60,,HXM 67-60 (+7),,"GOOD FT by CRISWELL,SEAN",2
03:01,,,,,"SUB IN by HALL,JOEY",,,"SUB IN by HALL,JOEY",2
03:01,,,,,"SUB OUT by BOBO,ZACH",,,"SUB OUT by BOBO,ZACH",2
02:45,,,,,"TURNOVER  by WILHELM,CORY",,,"TURNOVER  by WILHELM,CORY",2
02:42,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",2
02:16,"TURNOVER  by HALL,MARCIS",,,,,,,"TURNOVER  by HALL,MARCIS",2
02:10,,,,,"SUB IN by DUPOR,RENO",,,"SUB IN by DUPOR,RENO",2
02:10,,,,,"SUB OUT by JOHNSON,BRYSON",,,"SUB OUT by JOHNSON,BRYSON",2
02:08,,67 (+4),,63,"GOOD 3PTR by DUPOR,RENO",UO 67-63 (+4),,"GOOD 3PTR by DUPOR,RENO",2
--,,,,,"ASSIST  by HALL,JOEY",,,"ASSIST  by HALL,JOEY",2
01:43,"MISS LAYUP by CRISWELL,SEAN",,,,,,,"MISS LAYUP by CRISWELL,SEAN",2
01:43,,,,,"BLOCK  by WILHELM,CORY",,,"BLOCK  by WILHELM,CORY",2
--,,,,,"REBOUND DEF by WILHELM,CORY",,,"REBOUND DEF by WILHELM,CORY",2
01:33,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
01:33,,,,,"MISS FT by WILHELM,CORY",,,"MISS FT by WILHELM,CORY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:33,,,,,"SUB IN by JOHNSON,BRYSON",,,"SUB IN by JOHNSON,BRYSON",2
01:33,,,,,"SUB OUT by DUPOR,RENO",,,"SUB OUT by DUPOR,RENO",2
01:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:12,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by GRAY,DYLAN",,,"REBOUND DEF by GRAY,DYLAN",2
01:07,,,,,"SUB IN by BOBO,ZACH",,,"SUB IN by BOBO,ZACH",2
01:07,,,,,"SUB OUT by HALL,JOEY",,,"SUB OUT by HALL,JOEY",2
01:05,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",2
01:00,,,,,"SUB IN by DUPOR,RENO",,,"SUB IN by DUPOR,RENO",2
01:00,,,,,"SUB OUT by JOHNSON,BRYSON",,,"SUB OUT by JOHNSON,BRYSON",2
00:47,,67 (+2),,65,"GOOD LAYUP by WILHELM,CORY(in the paint)",UO 67-65 (+2),,"GOOD LAYUP by WILHELM,CORY(in the paint)",2
--,,,,,"ASSIST  by GRAY,DYLAN",,,"ASSIST  by GRAY,DYLAN",2
00:44,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
00:44,,67 (+1),,66,"GOOD FT by WILHELM,CORY",UO 67-66 (+1),,"GOOD FT by WILHELM,CORY",2
00:44,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",2
00:44,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",2
00:44,,,,,"SUB IN by JOHNSON,BRYSON",,,"SUB IN by JOHNSON,BRYSON",2
00:44,,,,,"SUB IN by HALL,JOEY",,,"SUB IN by HALL,JOEY",2
00:44,,,,,"SUB OUT by BOBO,ZACH",,,"SUB OUT by BOBO,ZACH",2
00:44,,,,,"SUB OUT by WILHELM,CORY",,,"SUB OUT by WILHELM,CORY",2
00:17,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by BOBO,ZACH",,,"REBOUND DEF by BOBO,ZACH",2
00:09,"FOUL  by MOORE,AUSTIN",,,,,,,"FOUL  by MOORE,AUSTIN",2
00:09,,67,,67,"GOOD FT by DUPOR,RENO",UO 67-67 (0),,"GOOD FT by DUPOR,RENO",2
00:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:09,,67,,68 (+1),"GOOD FT by DUPOR,RENO",UO 67-68 (-1),,"GOOD FT by DUPOR,RENO",2
00:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:09,"SUB OUT by MOORE,AUSTIN",,,,,,,"SUB OUT by MOORE,AUSTIN",2
00:09,,,,,"SUB IN by BOBO,ZACH",,,"SUB IN by BOBO,ZACH",2
00:09,,,,,"SUB OUT by DUPOR,RENO",,,"SUB OUT by DUPOR,RENO",2
00:03,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",2
00:03,,,,,"BLOCK  by WILHELM,CORY",,,"BLOCK  by WILHELM,CORY",2
--,,,,,"REBOUND DEF by BOBO,ZACH",,,"REBOUND DEF by BOBO,ZACH",2
