Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,ETBU,Game Score,Team Indicator,Play,Period
03:46,"GOOD 3PTR by LINK,JACOB",45 (+12),,33,,HC 45-33 (+12),,"GOOD 3PTR by LINK,JACOB",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
03:31,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",1
03:31,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:31,,45 (+11),,34,"GOOD FT by DOOLEY,ROBBY",ETBU 45-34 (+11),,"GOOD FT by DOOLEY,ROBBY",1
03:31,,45 (+10),,35,"GOOD FT by DOOLEY,ROBBY",ETBU 45-35 (+10),,"GOOD FT by DOOLEY,ROBBY",1
03:31,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
03:31,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
03:31,,,,,"SUB IN by WILKINSON,ALAN",,,"SUB IN by WILKINSON,ALAN",1
03:31,,,,,"SUB OUT by GOSEY,JORDAN",,,"SUB OUT by GOSEY,JORDAN",1
03:22,,,,,"FOUL  by SABO,GAVIN",,,"FOUL  by SABO,GAVIN",1
03:22,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",1
--,,,,,"REBOUND DEF by WILKINSON,ALAN",,,"REBOUND DEF by WILKINSON,ALAN",1
03:04,,,,,"MISS LAYUP by DOOLEY,ROBBY",,,"MISS LAYUP by DOOLEY,ROBBY",1
--,,,,,"REBOUND OFF by DOOLEY,ROBBY",,,"REBOUND OFF by DOOLEY,ROBBY",1
03:01,,45 (+8),,37,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",ETBU 45-37 (+8),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",1
02:48,"MISS LAYUP by ROUSE,TREY",,,,,,,"MISS LAYUP by ROUSE,TREY",1
--,,,,,"REBOUND DEF by SABO,GAVIN",,,"REBOUND DEF by SABO,GAVIN",1
02:41,,45 (+6),,39,"GOOD LAYUP by MACK,DION(fastbreak)(in the paint)",ETBU 45-39 (+6),,"GOOD LAYUP by MACK,DION(fastbreak)(in the paint)",1
02:26,,,,,"FOUL  by MACK,DION",,,"FOUL  by MACK,DION",1
02:26,"GOOD FT by SMITH,PRESTON",46 (+7),,39,,HC 46-39 (+7),,"GOOD FT by SMITH,PRESTON",1
02:26,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",1
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",1
02:26,,,,,"SUB IN by BROWN,LANDIN",,,"SUB IN by BROWN,LANDIN",1
02:26,,,,,"SUB OUT by MACK,DION",,,"SUB OUT by MACK,DION",1
02:20,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
02:19,,,,,"STEAL  by BROWN,LANDIN",,,"STEAL  by BROWN,LANDIN",1
02:18,,,,,"TURNOVER  by BROWN,LANDIN",,,"TURNOVER  by BROWN,LANDIN",1
02:17,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",1
02:13,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by WILKINSON,ALAN",,,"REBOUND DEF by WILKINSON,ALAN",1
02:07,,,,,"MISS LAYUP by SABO,GAVIN",,,"MISS LAYUP by SABO,GAVIN",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
02:01,,,,,"FOUL  by FONTENOT,NATHAN",,,"FOUL  by FONTENOT,NATHAN",1
