Time Remaining,UDM,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
16:30,"GOOD LAYUP by BEREZIN,SOLOMON(in the paint)",52 (+17),,35,,UDM 52-35 (-17),,"GOOD LAYUP by BEREZIN,SOLOMON(in the paint)",2
16:10,,52 (+15),,37,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 52-37 (-15),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
15:56,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",2
15:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:52,"GOOD DUNK by LEVI,SPENCER(in the paint)",54 (+17),,37,,UDM 54-37 (-17),,"GOOD DUNK by LEVI,SPENCER(in the paint)",2
--,"ASSIST  by COLVIN,DARRIUS",,,,,,,"ASSIST  by COLVIN,DARRIUS",2
15:39,"FOUL  by NORTON,BEN",,,,,,,"FOUL  by NORTON,BEN",2
15:39,"SUB IN by WAMBSGANSS,MICHAEL",,,,,,,"SUB IN by WAMBSGANSS,MICHAEL",2
15:39,"SUB OUT by NORTON,BEN",,,,,,,"SUB OUT by NORTON,BEN",2
15:23,,54 (+14),,40,"GOOD 3PTR by ROUSE,TREY",HXM 54-40 (-14),,"GOOD 3PTR by ROUSE,TREY",2
15:05,"GOOD 3PTR by WAMBSGANSS,MICHAEL",57 (+17),,40,,UDM 57-40 (-17),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",2
14:46,"FOUL  by BEREZIN,SOLOMON",,,,,,,"FOUL  by BEREZIN,SOLOMON",2
14:31,,57 (+15),,42,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 57-42 (-15),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
14:18,"GOOD LAYUP by CALTON,EMMANUEL(in the paint)",59 (+17),,42,,UDM 59-42 (-17),,"GOOD LAYUP by CALTON,EMMANUEL(in the paint)",2
14:09,,59 (+15),,44,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HXM 59-44 (-15),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
13:51,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",2
13:51,"GOOD FT by LEVI,SPENCER",60 (+16),,44,,UDM 60-44 (-16),,"GOOD FT by LEVI,SPENCER",2
13:51,"GOOD FT by LEVI,SPENCER",61 (+17),,44,,UDM 61-44 (-17),,"GOOD FT by LEVI,SPENCER",2
13:20,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",2
13:20,"BLOCK  by COLVIN,DARRIUS",,,,,,,"BLOCK  by COLVIN,DARRIUS",2
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",2
13:08,"GOOD LAYUP by LEVI,SPENCER(in the paint)",63 (+19),,44,,UDM 63-44 (-19),,"GOOD LAYUP by LEVI,SPENCER(in the paint)",2
13:04,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
13:04,"GOOD FT by LEVI,SPENCER",64 (+20),,44,,UDM 64-44 (-20),,"GOOD FT by LEVI,SPENCER",2
13:04,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",2
13:04,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",2
13:04,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",2
13:04,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
12:51,,64 (+18),,46,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 64-46 (-18),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
12:51,"FOUL  by LEVI,SPENCER",,,,,,,"FOUL  by LEVI,SPENCER",2
12:51,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",2
--,"REBOUND DEF by LEVI,SPENCER",,,,,,,"REBOUND DEF by LEVI,SPENCER",2
12:51,"SUB IN by NUNN,JOSHUA",,,,,,,"SUB IN by NUNN,JOSHUA",2
12:51,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",2
12:47,"GOOD LAYUP by BEREZIN,SOLOMON(in the paint)",66 (+20),,46,,UDM 66-46 (-20),,"GOOD LAYUP by BEREZIN,SOLOMON(in the paint)",2
12:36,,66 (+18),,48,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HXM 66-48 (-18),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
12:08,"MISS 3PTR by COLVIN,DARRIUS",,,,,,,"MISS 3PTR by COLVIN,DARRIUS",2
--,"REBOUND OFF by BEREZIN,SOLOMON",,,,,,,"REBOUND OFF by BEREZIN,SOLOMON",2
11:49,"GOOD 3PTR by BEREZIN,SOLOMON",69 (+21),,48,,UDM 69-48 (-21),,"GOOD 3PTR by BEREZIN,SOLOMON",2
--,"ASSIST  by COLVIN,DARRIUS",,,,,,,"ASSIST  by COLVIN,DARRIUS",2
11:33,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",2
11:33,,69 (+20),,49,"GOOD FT by HALL,MARCIS",HXM 69-49 (-20),,"GOOD FT by HALL,MARCIS",2
11:33,,69 (+19),,50,"GOOD FT by HALL,MARCIS",HXM 69-50 (-19),,"GOOD FT by HALL,MARCIS",2
11:22,"TURNOVER  by COLVIN,DARRIUS",,,,,,,"TURNOVER  by COLVIN,DARRIUS",2
11:19,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",2
11:13,,69 (+17),,52,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 69-52 (-17),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
11:09,"FOUL  by WAMBSGANSS,MICHAEL",,,,,,,"FOUL  by WAMBSGANSS,MICHAEL",2
11:09,,69 (+16),,53,"GOOD FT by HALL,MARCIS",HXM 69-53 (-16),,"GOOD FT by HALL,MARCIS",2
11:02,"TURNOVER  by NUNN,JOSHUA",,,,,,,"TURNOVER  by NUNN,JOSHUA",2
10:49,,69 (+14),,55,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 69-55 (-14),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
10:33,"TURNOVER  by NUNN,JOSHUA",,,,,,,"TURNOVER  by NUNN,JOSHUA",2
10:31,,,,,"STEAL  by MOORE,AUSTIN",,,"STEAL  by MOORE,AUSTIN",2
10:31,"FOUL  by NUNN,JOSHUA",,,,,,,"FOUL  by NUNN,JOSHUA",2
10:31,,69 (+13),,56,"GOOD FT by HALL,MARCIS",HXM 69-56 (-13),,"GOOD FT by HALL,MARCIS",2
10:31,,69 (+12),,57,"GOOD FT by HALL,MARCIS",HXM 69-57 (-12),,"GOOD FT by HALL,MARCIS",2
10:31,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",2
10:31,"SUB OUT by NUNN,JOSHUA",,,,,,,"SUB OUT by NUNN,JOSHUA",2
10:23,"FOUL  by LEVI,SPENCER",,,,,,,"FOUL  by LEVI,SPENCER",2
10:23,"SUB IN by NORTON,BEN",,,,,,,"SUB IN by NORTON,BEN",2
10:23,"SUB OUT by LEVI,SPENCER",,,,,,,"SUB OUT by LEVI,SPENCER",2
10:15,,,,,"FOUL  by MOORE,AUSTIN",,,"FOUL  by MOORE,AUSTIN",2
10:07,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",2
10:07,"GOOD FT by NORTON,BEN",70 (+13),,57,,UDM 70-57 (-13),,"GOOD FT by NORTON,BEN",2
10:07,"GOOD FT by NORTON,BEN",71 (+14),,57,,UDM 71-57 (-14),,"GOOD FT by NORTON,BEN",2
09:54,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",2
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",2
09:45,"TURNOVER  by CALTON,EMMANUEL",,,,,,,"TURNOVER  by CALTON,EMMANUEL",2
09:43,,,,,"STEAL  by CALAMESE,MICHAEL",,,"STEAL  by CALAMESE,MICHAEL",2
09:41,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
09:39,"STEAL  by CALTON,EMMANUEL",,,,,,,"STEAL  by CALTON,EMMANUEL",2
09:33,"SUB IN by HAYES,ISAIAH",,,,,,,"SUB IN by HAYES,ISAIAH",2
09:33,"SUB OUT by BEREZIN,SOLOMON",,,,,,,"SUB OUT by BEREZIN,SOLOMON",2
09:27,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
09:27,"MISS FT by COLVIN,DARRIUS",,,,,,,"MISS FT by COLVIN,DARRIUS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:27,"GOOD FT by COLVIN,DARRIUS",72 (+15),,57,,UDM 72-57 (-15),,"GOOD FT by COLVIN,DARRIUS",2
09:18,,,,,"MISS JUMPER by HALL,MARCIS",,,"MISS JUMPER by HALL,MARCIS",2
--,,,,,"REBOUND OFF by MOORE,AUSTIN",,,"REBOUND OFF by MOORE,AUSTIN",2
09:12,,,,,"MISS JUMPER by CALAMESE,MICHAEL",,,"MISS JUMPER by CALAMESE,MICHAEL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:50,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",2
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",2
08:36,,,,,"TURNOVER  by HALL,MARCIS",,,"TURNOVER  by HALL,MARCIS",2
08:36,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
08:36,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",2
08:36,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
08:36,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",2
08:22,"GOOD JUMPER by COLVIN,DARRIUS",74 (+17),,57,,UDM 74-57 (-17),,"GOOD JUMPER by COLVIN,DARRIUS",2
08:14,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:02,"MISS JUMPER by HAYES,ISAIAH",,,,,,,"MISS JUMPER by HAYES,ISAIAH",2
--,"REBOUND OFF by NORTON,BEN",,,,,,,"REBOUND OFF by NORTON,BEN",2
08:00,"FOUL  by NORTON,BEN",,,,,,,"FOUL  by NORTON,BEN",2
08:00,,,,,"MISS FT by CRISWELL,SEAN",,,"MISS FT by CRISWELL,SEAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:00,,74 (+16),,58,"GOOD FT by CRISWELL,SEAN",HXM 74-58 (-16),,"GOOD FT by CRISWELL,SEAN",2
08:00,"MISS LAYUP by WAMBSGANSS,MICHAEL",,,,,,,"MISS LAYUP by WAMBSGANSS,MICHAEL",2
08:00,"TURNOVER  by COLVIN,DARRIUS",,,,,,,"TURNOVER  by COLVIN,DARRIUS",2
08:00,,,,,"STEAL  by ROUSE,TREY",,,"STEAL  by ROUSE,TREY",2
08:00,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
--,,,,,"REBOUND OFF by BRASFIELD,KAM",,,"REBOUND OFF by BRASFIELD,KAM",2
08:00,"SUB IN by RUSSELL,JOHN",,,,,,,"SUB IN by RUSSELL,JOHN",2
08:00,"SUB IN by BEREZIN,SOLOMON",,,,,,,"SUB IN by BEREZIN,SOLOMON",2
08:00,"SUB OUT by NORTON,BEN",,,,,,,"SUB OUT by NORTON,BEN",2
08:00,"SUB OUT by HAYES,ISAIAH",,,,,,,"SUB OUT by HAYES,ISAIAH",2
08:00,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",2
08:00,,,,,"SUB OUT by FISHER,ELI",,,"SUB OUT by FISHER,ELI",2
07:53,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",2
07:44,,74 (+15),,59,"GOOD FT by BRASFIELD,KAM",HXM 74-59 (-15),,"GOOD FT by BRASFIELD,KAM",2
07:27,,74 (+14),,60,"GOOD FT by BRASFIELD,KAM",HXM 74-60 (-14),,"GOOD FT by BRASFIELD,KAM",2
06:57,"GOOD LAYUP by LEVI,SPENCER(in the paint)",76 (+16),,60,,UDM 76-60 (-16),,"GOOD LAYUP by LEVI,SPENCER(in the paint)",2
--,"ASSIST  by CALTON,EMMANUEL",,,,,,,"ASSIST  by CALTON,EMMANUEL",2
06:36,,76 (+13),,63,"GOOD 3PTR by EATON,JACK",HXM 76-63 (-13),,"GOOD 3PTR by EATON,JACK",2
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",2
06:29,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
06:29,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
06:15,"MISS JUMPER by COLVIN,DARRIUS",,,,,,,"MISS JUMPER by COLVIN,DARRIUS",2
--,"REBOUND OFF by RUSSELL,JOHN",,,,,,,"REBOUND OFF by RUSSELL,JOHN",2
06:09,"GOOD LAYUP by RUSSELL,JOHN(in the paint)",78 (+15),,63,,UDM 78-63 (-15),,"GOOD LAYUP by RUSSELL,JOHN(in the paint)",2
06:03,,78 (+12),,66,"GOOD 3PTR by MOORE,AUSTIN",HXM 78-66 (-12),,"GOOD 3PTR by MOORE,AUSTIN",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
05:45,"MISS LAYUP by CALTON,EMMANUEL",,,,,,,"MISS LAYUP by CALTON,EMMANUEL",2
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",2
05:38,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",2
--,,,,,"REBOUND OFF by CRISWELL,SEAN",,,"REBOUND OFF by CRISWELL,SEAN",2
05:33,,78 (+10),,68,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HXM 78-68 (-10),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",2
05:07,"FOUL  by CALTON,EMMANUEL",,,,,,,"FOUL  by CALTON,EMMANUEL",2
04:33,,,,,"MISS JUMPER by MOORE,AUSTIN",,,"MISS JUMPER by MOORE,AUSTIN",2
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",2
04:14,"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",80 (+12),,68,,UDM 80-68 (-12),,"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",2
04:05,"FOUL  by BEREZIN,SOLOMON",,,,,,,"FOUL  by BEREZIN,SOLOMON",2
04:05,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
04:05,,,,,"MISS FT by ROUSE,TREY",,,"MISS FT by ROUSE,TREY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:05,"SUB IN by LEVI,SPENCER",,,,,,,"SUB IN by LEVI,SPENCER",2
04:05,"SUB OUT by RUSSELL,JOHN",,,,,,,"SUB OUT by RUSSELL,JOHN",2
03:59,,,,,"MISS FT by ROUSE,TREY",,,"MISS FT by ROUSE,TREY",2
--,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",2
03:44,"MISS 3PTR by BEREZIN,SOLOMON",,,,,,,"MISS 3PTR by BEREZIN,SOLOMON",2
--,"REBOUND OFF by BEREZIN,SOLOMON",,,,,,,"REBOUND OFF by BEREZIN,SOLOMON",2
03:35,"GOOD 3PTR by WAMBSGANSS,MICHAEL",83 (+15),,68,,UDM 83-68 (-15),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",2
03:08,,83 (+13),,70,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HXM 83-70 (-13),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
02:48,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
02:36,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:26,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
02:22,"STEAL  by BEREZIN,SOLOMON",,,,,,,"STEAL  by BEREZIN,SOLOMON",2
02:08,"GOOD JUMPER by COLVIN,DARRIUS",85 (+15),,70,,UDM 85-70 (-15),,"GOOD JUMPER by COLVIN,DARRIUS",2
01:52,,85 (+13),,72,"GOOD JUMPER by MOORE,AUSTIN",HXM 85-72 (-13),,"GOOD JUMPER by MOORE,AUSTIN",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
01:44,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",2
01:44,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
01:30,"TURNOVER  by COLVIN,DARRIUS",,,,,,,"TURNOVER  by COLVIN,DARRIUS",2
01:28,,,,,"STEAL  by MOORE,AUSTIN",,,"STEAL  by MOORE,AUSTIN",2
01:23,,85 (+10),,75,"GOOD 3PTR by EATON,JACK",HXM 85-75 (-10),,"GOOD 3PTR by EATON,JACK",2
--,,,,,"ASSIST  by MOORE,AUSTIN",,,"ASSIST  by MOORE,AUSTIN",2
00:59,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",2
00:59,"GOOD FT by COLVIN,DARRIUS",86 (+11),,75,,UDM 86-75 (-11),,"GOOD FT by COLVIN,DARRIUS",2
00:59,"GOOD FT by COLVIN,DARRIUS",87 (+12),,75,,UDM 87-75 (-12),,"GOOD FT by COLVIN,DARRIUS",2
00:50,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",2
00:50,"BLOCK  by LEVI,SPENCER",,,,,,,"BLOCK  by LEVI,SPENCER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:42,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
00:42,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
00:42,"GOOD FT by BEREZIN,SOLOMON",88 (+13),,75,,UDM 88-75 (-13),,"GOOD FT by BEREZIN,SOLOMON",2
00:42,"MISS FT by BEREZIN,SOLOMON",,,,,,,"MISS FT by BEREZIN,SOLOMON",2
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",2
00:42,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
00:42,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
00:35,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",2
00:35,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:35,,88 (+12),,76,"GOOD FT by HALL,MARCIS",HXM 88-76 (-12),,"GOOD FT by HALL,MARCIS",2
00:27,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",2
00:27,"GOOD FT by WAMBSGANSS,MICHAEL",89 (+13),,76,,UDM 89-76 (-13),,"GOOD FT by WAMBSGANSS,MICHAEL",2
00:27,"GOOD FT by WAMBSGANSS,MICHAEL",90 (+14),,76,,UDM 90-76 (-14),,"GOOD FT by WAMBSGANSS,MICHAEL",2
00:22,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND OFF by EATON,JACK",,,"REBOUND OFF by EATON,JACK",2
00:15,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",2
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",2
