Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
18:43,,50 (+18),,32,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 50-32 (-18),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
18:28,"MISS LAYUP by KIRKENDOLL,TRAVION",,,,,,,"MISS LAYUP by KIRKENDOLL,TRAVION",2
--,,,,,"REBOUND DEF by ROBERTS,ERIC",,,"REBOUND DEF by ROBERTS,ERIC",2
18:20,,,,,"TURNOVER  by ROBERTS,ERIC",,,"TURNOVER  by ROBERTS,ERIC",2
18:20,"STEAL  by CARTER,KAHARRI",,,,,,,"STEAL  by CARTER,KAHARRI",2
17:58,"MISS JUMPER by REED,JAY",,,,,,,"MISS JUMPER by REED,JAY",2
--,,,,,"REBOUND DEF by ROBERTS,ERIC",,,"REBOUND DEF by ROBERTS,ERIC",2
17:53,,50 (+16),,34,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 50-34 (-16),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,,,,,"ASSIST  by ROBERTS,ERIC",,,"ASSIST  by ROBERTS,ERIC",2
17:35,"MISS 3PTR by MATTHEWS,TREYLAN",,,,,,,"MISS 3PTR by MATTHEWS,TREYLAN",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
17:22,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",2
17:22,"BLOCK  by CARTER,KAHARRI",,,,,,,"BLOCK  by CARTER,KAHARRI",2
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",2
17:14,"GOOD LAYUP by MATTHEWS,TREYLAN(in the paint)",52 (+18),,34,,CENTMB 52-34 (-18),,"GOOD LAYUP by MATTHEWS,TREYLAN(in the paint)",2
--,"ASSIST  by CARTER,KAHARRI",,,,,,,"ASSIST  by CARTER,KAHARRI",2
16:53,,52 (+16),,36,"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 52-36 (-16),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"ASSIST  by ROBERTS,ERIC",,,"ASSIST  by ROBERTS,ERIC",2
16:28,"MISS JUMPER by HARRIS,CEDRIC",,,,,,,"MISS JUMPER by HARRIS,CEDRIC",2
--,"REBOUND OFF by CARTER,KAHARRI",,,,,,,"REBOUND OFF by CARTER,KAHARRI",2
16:23,"MISS JUMPER by CARTER,KAHARRI",,,,,,,"MISS JUMPER by CARTER,KAHARRI",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
16:10,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
16:09,"STEAL  by KIRKENDOLL,TRAVION",,,,,,,"STEAL  by KIRKENDOLL,TRAVION",2
16:00,"MISS JUMPER by KIRKENDOLL,TRAVION",,,,,,,"MISS JUMPER by KIRKENDOLL,TRAVION",2
--,"REBOUND OFF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND OFF by KIRKENDOLL,TRAVION",2
15:55,"MISS LAYUP by KIRKENDOLL,TRAVION",,,,,,,"MISS LAYUP by KIRKENDOLL,TRAVION",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:51,"SUB IN by REED,JAY",,,,,,,"SUB IN by REED,JAY",2
15:51,"SUB IN by HAWKINS,NEIL",,,,,,,"SUB IN by HAWKINS,NEIL",2
15:51,"SUB OUT by CARTER,KAHARRI",,,,,,,"SUB OUT by CARTER,KAHARRI",2
15:51,"SUB OUT by JOHNSON,REGIS",,,,,,,"SUB OUT by JOHNSON,REGIS",2
15:51,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",2
15:51,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",2
15:45,"GOOD JUMPER by KIRKENDOLL,TRAVION",54 (+18),,36,,CENTMB 54-36 (-18),,"GOOD JUMPER by KIRKENDOLL,TRAVION",2
15:29,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",2
--,"REBOUND DEF by MATTHEWS,TREYLAN",,,,,,,"REBOUND DEF by MATTHEWS,TREYLAN",2
15:20,"GOOD JUMPER by HELZER,JAMES",56 (+20),,36,,CENTMB 56-36 (-20),,"GOOD JUMPER by HELZER,JAMES",2
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",2
15:07,,56 (+17),,39,"GOOD 3PTR by LINK,JACOB",HXM 56-39 (-17),,"GOOD 3PTR by LINK,JACOB",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
14:39,"TURNOVER  by KIRKENDOLL,TRAVION",,,,,,,"TURNOVER  by KIRKENDOLL,TRAVION",2
14:38,,,,,"STEAL  by CRISWELL,SEAN",,,"STEAL  by CRISWELL,SEAN",2
14:34,,56 (+15),,41,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 56-41 (-15),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
14:01,"MISS JUMPER by KIRKENDOLL,TRAVION",,,,,,,"MISS JUMPER by KIRKENDOLL,TRAVION",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
13:45,,56 (+12),,44,"GOOD 3PTR by CALAMESE,MICHAEL",HXM 56-44 (-12),,"GOOD 3PTR by CALAMESE,MICHAEL",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
13:41,"SUB IN by GRAY,JERICHO",,,,,,,"SUB IN by GRAY,JERICHO",2
13:41,"SUB IN by HELZER,JAMES",,,,,,,"SUB IN by HELZER,JAMES",2
13:41,"SUB OUT by REED,JAY",,,,,,,"SUB OUT by REED,JAY",2
13:41,"SUB OUT by HAWKINS,NEIL",,,,,,,"SUB OUT by HAWKINS,NEIL",2
13:31,"GOOD JUMPER by HARRIS,CEDRIC",58 (+14),,44,,CENTMB 58-44 (-14),,"GOOD JUMPER by HARRIS,CEDRIC",2
13:01,,58 (+11),,47,"GOOD 3PTR by LINK,JACOB",HXM 58-47 (-11),,"GOOD 3PTR by LINK,JACOB",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
12:32,"MISS JUMPER by HARRIS,CEDRIC",,,,,,,"MISS JUMPER by HARRIS,CEDRIC",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:25,"SUB IN by TARANTOLO,MITCHELL",,,,,,,"SUB IN by TARANTOLO,MITCHELL",2
12:25,"SUB OUT by HELZER,JAMES",,,,,,,"SUB OUT by HELZER,JAMES",2
12:25,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
12:25,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",2
12:20,,58 (+9),,49,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 58-49 (-9),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
12:20,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
12:20,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
12:01,"GOOD 3PTR by KIRKENDOLL,TRAVION",61 (+12),,49,,CENTMB 61-49 (-12),,"GOOD 3PTR by KIRKENDOLL,TRAVION",2
11:33,"FOUL  by MATTHEWS,TREYLAN",,,,,,,"FOUL  by MATTHEWS,TREYLAN",2
11:31,,61 (+10),,51,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 61-51 (-10),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
11:17,"FOUL  by TARANTOLO,MITCHELL",,,,,,,"FOUL  by TARANTOLO,MITCHELL",2
11:02,"FOUL  by GRAY,JERICHO",,,,,,,"FOUL  by GRAY,JERICHO",2
10:59,,61 (+7),,54,"GOOD 3PTR by ROUSE,TREY",HXM 61-54 (-7),,"GOOD 3PTR by ROUSE,TREY",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
10:39,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",2
10:39,"MISS FT by TARANTOLO,MITCHELL",,,,,,,"MISS FT by TARANTOLO,MITCHELL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:39,"GOOD FT by TARANTOLO,MITCHELL",62 (+8),,54,,CENTMB 62-54 (-8),,"GOOD FT by TARANTOLO,MITCHELL",2
10:39,"SUB IN by HARDY,RAYLON",,,,,,,"SUB IN by HARDY,RAYLON",2
10:39,"SUB IN by JOHNSON,REGIS",,,,,,,"SUB IN by JOHNSON,REGIS",2
10:39,"SUB OUT by MATTHEWS,TREYLAN",,,,,,,"SUB OUT by MATTHEWS,TREYLAN",2
10:39,"SUB OUT by GRAY,JERICHO",,,,,,,"SUB OUT by GRAY,JERICHO",2
10:14,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
10:00,"MISS 3PTR by HARDY,RAYLON",,,,,,,"MISS 3PTR by HARDY,RAYLON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:50,"FOUL  by HARRIS,CEDRIC",,,,,,,"FOUL  by HARRIS,CEDRIC",2
09:50,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
09:50,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
09:31,,62 (+5),,57,"GOOD 3PTR by EATON,JACK",HXM 62-57 (-5),,"GOOD 3PTR by EATON,JACK",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
09:11,"TURNOVER  by KIRKENDOLL,TRAVION",,,,,,,"TURNOVER  by KIRKENDOLL,TRAVION",2
08:58,,62 (+3),,59,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 62-59 (-3),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
08:43,"GOOD 3PTR by KIRKENDOLL,TRAVION",65 (+6),,59,,CENTMB 65-59 (-6),,"GOOD 3PTR by KIRKENDOLL,TRAVION",2
08:23,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
08:11,"GOOD LAYUP by HARDY,RAYLON(in the paint)",67 (+8),,59,,CENTMB 67-59 (-8),,"GOOD LAYUP by HARDY,RAYLON(in the paint)",2
07:26,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
07:26,"GOOD JUMPER by HARRIS,CEDRIC",69 (+10),,59,,CENTMB 69-59 (-10),,"GOOD JUMPER by HARRIS,CEDRIC",2
07:25,,69 (+7),,62,"GOOD 3PTR by EATON,JACK",HXM 69-62 (-7),,"GOOD 3PTR by EATON,JACK",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
07:13,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",2
07:13,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",2
07:07,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
07:07,"GOOD FT by KIRKENDOLL,TRAVION",70 (+8),,62,,CENTMB 70-62 (-8),,"GOOD FT by KIRKENDOLL,TRAVION",2
07:07,"GOOD FT by KIRKENDOLL,TRAVION",71 (+9),,62,,CENTMB 71-62 (-9),,"GOOD FT by KIRKENDOLL,TRAVION",2
07:07,"SUB IN by HAWKINS,NEIL",,,,,,,"SUB IN by HAWKINS,NEIL",2
07:07,"SUB OUT by TARANTOLO,MITCHELL",,,,,,,"SUB OUT by TARANTOLO,MITCHELL",2
06:59,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
06:57,"STEAL  by HARDY,RAYLON",,,,,,,"STEAL  by HARDY,RAYLON",2
06:47,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
06:28,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
06:27,"STEAL  by JOHNSON,REGIS",,,,,,,"STEAL  by JOHNSON,REGIS",2
06:24,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",2
06:24,"MISS FT by JOHNSON,REGIS",,,,,,,"MISS FT by JOHNSON,REGIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:24,"GOOD FT by JOHNSON,REGIS",72 (+10),,62,,CENTMB 72-62 (-10),,"GOOD FT by JOHNSON,REGIS",2
06:24,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",2
06:24,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
06:24,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",2
06:24,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",2
06:22,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",2
06:20,"STEAL  by KIRKENDOLL,TRAVION",,,,,,,"STEAL  by KIRKENDOLL,TRAVION",2
06:19,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
06:19,"GOOD FT by KIRKENDOLL,TRAVION",73 (+11),,62,,CENTMB 73-62 (-11),,"GOOD FT by KIRKENDOLL,TRAVION",2
06:19,"GOOD FT by KIRKENDOLL,TRAVION",74 (+12),,62,,CENTMB 74-62 (-12),,"GOOD FT by KIRKENDOLL,TRAVION",2
06:18,"FOUL  by JOHNSON,REGIS",,,,,,,"FOUL  by JOHNSON,REGIS",2
06:18,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
06:18,"STEAL  by JOHNSON,REGIS",,,,,,,"STEAL  by JOHNSON,REGIS",2
06:13,"FOUL  by JOHNSON,REGIS",,,,,,,"FOUL  by JOHNSON,REGIS",2
06:13,"SUB IN by CARTER,KAHARRI",,,,,,,"SUB IN by CARTER,KAHARRI",2
06:13,"SUB IN by MATTHEWS,TREYLAN",,,,,,,"SUB IN by MATTHEWS,TREYLAN",2
06:13,"SUB OUT by HARDY,RAYLON",,,,,,,"SUB OUT by HARDY,RAYLON",2
06:13,"SUB OUT by JOHNSON,REGIS",,,,,,,"SUB OUT by JOHNSON,REGIS",2
06:13,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",2
06:13,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
05:51,"FOUL  by HARRIS,CEDRIC",,,,,,,"FOUL  by HARRIS,CEDRIC",2
05:51,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",2
05:23,"MISS JUMPER by KIRKENDOLL,TRAVION",,,,,,,"MISS JUMPER by KIRKENDOLL,TRAVION",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
05:17,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",2
05:04,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",2
05:04,"GOOD FT by HARRIS,CEDRIC",75 (+13),,62,,CENTMB 75-62 (-13),,"GOOD FT by HARRIS,CEDRIC",2
05:04,"GOOD FT by HARRIS,CEDRIC",76 (+14),,62,,CENTMB 76-62 (-14),,"GOOD FT by HARRIS,CEDRIC",2
04:40,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by HARRIS,CEDRIC",,,,,,,"REBOUND DEF by HARRIS,CEDRIC",2
04:17,"TURNOVER  by HAWKINS,NEIL",,,,,,,"TURNOVER  by HAWKINS,NEIL",2
04:00,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,"REBOUND DEF by HELZER,JAMES",,,,,,,"REBOUND DEF by HELZER,JAMES",2
03:47,"TURNOVER  by HELZER,JAMES",,,,,,,"TURNOVER  by HELZER,JAMES",2
03:41,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
03:38,"STEAL  by KIRKENDOLL,TRAVION",,,,,,,"STEAL  by KIRKENDOLL,TRAVION",2
03:36,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
03:36,"MISS FT by KIRKENDOLL,TRAVION",,,,,,,"MISS FT by KIRKENDOLL,TRAVION",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:36,"GOOD FT by KIRKENDOLL,TRAVION",77 (+15),,62,,CENTMB 77-62 (-15),,"GOOD FT by KIRKENDOLL,TRAVION",2
03:21,"FOUL  by CARTER,KAHARRI",,,,,,,"FOUL  by CARTER,KAHARRI",2
03:21,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",2
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",2
03:21,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",2
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",2
03:08,"MISS JUMPER by HARRIS,CEDRIC",,,,,,,"MISS JUMPER by HARRIS,CEDRIC",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
03:05,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",2
03:05,"GOOD FT by CARTER,KAHARRI",78 (+16),,62,,CENTMB 78-62 (-16),,"GOOD FT by CARTER,KAHARRI",2
03:05,"GOOD FT by CARTER,KAHARRI",79 (+17),,62,,CENTMB 79-62 (-17),,"GOOD FT by CARTER,KAHARRI",2
02:58,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,"REBOUND DEF by HAWKINS,NEIL",,,,,,,"REBOUND DEF by HAWKINS,NEIL",2
02:37,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",81 (+19),,62,,CENTMB 81-62 (-19),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",2
--,"ASSIST  by CARTER,KAHARRI",,,,,,,"ASSIST  by CARTER,KAHARRI",2
02:26,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",2
--,"REBOUND DEF by MATTHEWS,TREYLAN",,,,,,,"REBOUND DEF by MATTHEWS,TREYLAN",2
02:17,"TURNOVER  by HAWKINS,NEIL",,,,,,,"TURNOVER  by HAWKINS,NEIL",2
02:16,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
02:16,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
02:06,"FOUL  by HARRIS,CEDRIC",,,,,,,"FOUL  by HARRIS,CEDRIC",2
02:06,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:06,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",2
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",2
02:06,"SUB IN by WEAVER,DYLLON",,,,,,,"SUB IN by WEAVER,DYLLON",2
02:06,"SUB OUT by HARRIS,CEDRIC",,,,,,,"SUB OUT by HARRIS,CEDRIC",2
01:57,"TURNOVER  by MATTHEWS,TREYLAN",,,,,,,"TURNOVER  by MATTHEWS,TREYLAN",2
01:56,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
01:53,,,,,"MISS 3PTR by CALAMESE,MICHAEL",,,"MISS 3PTR by CALAMESE,MICHAEL",2
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",2
01:39,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
01:26,,81 (+16),,65,"GOOD 3PTR by BRASFIELD,KAM",HXM 81-65 (-16),,"GOOD 3PTR by BRASFIELD,KAM",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
00:51,"GOOD 3PTR by MATTHEWS,TREYLAN",84 (+19),,65,,CENTMB 84-65 (-19),,"GOOD 3PTR by MATTHEWS,TREYLAN",2
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",2
00:40,"FOUL  by HAWKINS,NEIL",,,,,,,"FOUL  by HAWKINS,NEIL",2
00:40,,84 (+18),,66,"GOOD FT by BRASFIELD,KAM",HXM 84-66 (-18),,"GOOD FT by BRASFIELD,KAM",2
00:40,,84 (+17),,67,"GOOD FT by BRASFIELD,KAM",HXM 84-67 (-17),,"GOOD FT by BRASFIELD,KAM",2
00:40,"SUB IN by HARDY,RAYLON",,,,,,,"SUB IN by HARDY,RAYLON",2
00:40,"SUB OUT by KIRKENDOLL,TRAVION",,,,,,,"SUB OUT by KIRKENDOLL,TRAVION",2
00:12,"GOOD LAYUP by MATTHEWS,TREYLAN(in the paint)",86 (+19),,67,,CENTMB 86-67 (-19),,"GOOD LAYUP by MATTHEWS,TREYLAN(in the paint)",2
00:04,,86 (+17),,69,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",HXM 86-69 (-17),,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",2
