Time Remaining,HUNTINGM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
11:07,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
11:06,"STEAL  by LEE,JERROD",,,,,,,"STEAL  by LEE,JERROD",1
10:59,"MISS 3PTR by EDGAR,COURTNEE",,,,,,,"MISS 3PTR by EDGAR,COURTNEE",1
--,"REBOUND OFF by MOORER,TERRY",,,,,,,"REBOUND OFF by MOORER,TERRY",1
10:55,"SUB IN by THOMAS,JEREMIAH",,,,,,,"SUB IN by THOMAS,JEREMIAH",1
10:55,"SUB IN by PETTY,RYAN",,,,,,,"SUB IN by PETTY,RYAN",1
10:55,"SUB OUT by MOORER,TERRY",,,,,,,"SUB OUT by MOORER,TERRY",1
10:55,"SUB OUT by LEE,JERROD",,,,,,,"SUB OUT by LEE,JERROD",1
10:54,"TURNOVER  by HILL,AUSTIN",,,,,,,"TURNOVER  by HILL,AUSTIN",1
10:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:24,,,,,"TURNOVER  by ALLISON,BRANDON",,,"TURNOVER  by ALLISON,BRANDON",1
10:22,"STEAL  by PETTY,RYAN",,,,,,,"STEAL  by PETTY,RYAN",1
10:18,"MISS JUMPER by PETTY,RYAN",,,,,,,"MISS JUMPER by PETTY,RYAN",1
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",1
10:06,,22 (+5),,17,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",MILLSAPS 22-17 (-5),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
09:57,"MISS JUMPER by VARNEY,JASON",,,,,,,"MISS JUMPER by VARNEY,JASON",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
09:32,"SUB IN by BLACKMON,KANDEN",,,,,,,"SUB IN by BLACKMON,KANDEN",1
09:32,"SUB IN by HUGHES,TAYLOR",,,,,,,"SUB IN by HUGHES,TAYLOR",1
09:32,,,,,"SUB IN by MOGGED,JEREMY",,,"SUB IN by MOGGED,JEREMY",1
09:32,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
