Time Remaining,AUR,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
11:40,"SUB IN by LAGRONE,JORDAN",,,,,,,"SUB IN by LAGRONE,JORDAN",1
11:40,"SUB OUT by LAGRONE,JEREMY",,,,,,,"SUB OUT by LAGRONE,JEREMY",1
11:33,"GOOD 3PTR by FRITSCH,CHRIS",19 (+3),,16,,AUR 19-16 (-3),,"GOOD 3PTR by FRITSCH,CHRIS",1
--,"ASSIST  by LAGRONE,JORDAN",,,,,,,"ASSIST  by LAGRONE,JORDAN",1
11:15,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",,,"REBOUND OFF by BUTTS,KEYSHAWN",1
11:05,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,"REBOUND DEF by KLADIS,NICK",,,,,,,"REBOUND DEF by KLADIS,NICK",1
10:52,"MISS 3PTR by KRAMP,PAT",,,,,,,"MISS 3PTR by KRAMP,PAT",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
10:28,,19 (+1),,18,"GOOD JUMPER by BUTTS,KEYSHAWN",RHO 19-18 (-1),,"GOOD JUMPER by BUTTS,KEYSHAWN",1
10:09,"GOOD 3PTR by LAGRONE,JORDAN",22 (+4),,18,,AUR 22-18 (-4),,"GOOD 3PTR by LAGRONE,JORDAN",1
--,"ASSIST  by KRAMP,PAT",,,,,,,"ASSIST  by KRAMP,PAT",1
09:51,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
09:51,"BLOCK  by FRITSCH,CHRIS",,,,,,,"BLOCK  by FRITSCH,CHRIS",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
09:51,"FOUL  by KRAMP,PAT",,,,,,,"FOUL  by KRAMP,PAT",1
09:51,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:51,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
