Time Remaining,E&H,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
02:22,"GOOD LAYUP by WYNN,ALIC(in the paint)",38 (+8),,30,,E&H 38-30 (-8),,"GOOD LAYUP by WYNN,ALIC(in the paint)",1
--,"ASSIST  by SHELOR,JOHN",,,,,,,"ASSIST  by SHELOR,JOHN",1
02:06,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
01:52,"MISS 3PTR by BRANSCOMB,CHASE",,,,,,,"MISS 3PTR by BRANSCOMB,CHASE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:40,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
01:40,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
01:33,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
01:33,"STEAL  by CONLEY,CLIF",,,,,,,"STEAL  by CONLEY,CLIF",1
01:33,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",1
01:33,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
01:23,"GOOD JUMPER by BRANSCOMB,CHASE",40 (+10),,30,,E&H 40-30 (-10),,"GOOD JUMPER by BRANSCOMB,CHASE",1
--,"ASSIST  by GRAVLEY,RYAN",,,,,,,"ASSIST  by GRAVLEY,RYAN",1
01:05,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,"REBOUND DEF by SHELOR,JOHN",,,,,,,"REBOUND DEF by SHELOR,JOHN",1
00:56,"MISS LAYUP by GRAVLEY,RYAN",,,,,,,"MISS LAYUP by GRAVLEY,RYAN",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
00:33,,40 (+8),,32,"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 40-32 (-8),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
00:33,"FOUL  by WYNN,ALIC",,,,,,,"FOUL  by WYNN,ALIC",1
00:33,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
00:33,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
00:33,,,,,"MISS FT by GEE,TYLER",,,"MISS FT by GEE,TYLER",1
--,"REBOUND DEF by WYNN,ALIC",,,,,,,"REBOUND DEF by WYNN,ALIC",1
00:02,"MISS 3PTR by GRAVLEY,RYAN",,,,,,,"MISS 3PTR by GRAVLEY,RYAN",1
--,"REBOUND OFF by WYNN,ALIC",,,,,,,"REBOUND OFF by WYNN,ALIC",1
19:43,"MISS LAYUP by FERGUSON,AARON",,,,,,,"MISS LAYUP by FERGUSON,AARON",2
--,"REBOUND OFF by SELF,BRANDON",,,,,,,"REBOUND OFF by SELF,BRANDON",2
19:41,"MISS LAYUP by SELF,BRANDON",,,,,,,"MISS LAYUP by SELF,BRANDON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:20,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",2
19:11,"GOOD LAYUP by FERGUSON,AARON(in the paint)",42 (+10),,32,,E&H 42-32 (-10),,"GOOD LAYUP by FERGUSON,AARON(in the paint)",2
--,"ASSIST  by GRAVLEY,RYAN",,,,,,,"ASSIST  by GRAVLEY,RYAN",2
18:39,"FOUL  by SHELOR,JOHN",,,,,,,"FOUL  by SHELOR,JOHN",2
18:39,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:39,,42 (+9),,33,"GOOD FT by BUTTS,KEYSHAWN",RHO 42-33 (-9),,"GOOD FT by BUTTS,KEYSHAWN",2
18:20,"TURNOVER  by FERGUSON,AARON",,,,,,,"TURNOVER  by FERGUSON,AARON",2
18:12,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",2
17:49,"MISS LAYUP by FERGUSON,AARON",,,,,,,"MISS LAYUP by FERGUSON,AARON",2
--,"REBOUND OFF by SELF,BRANDON",,,,,,,"REBOUND OFF by SELF,BRANDON",2
17:45,"MISS DUNK by SELF,BRANDON",,,,,,,"MISS DUNK by SELF,BRANDON",2
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",2
17:36,,,,,"MISS JUMPER by GALVIN,DANIEL",,,"MISS JUMPER by GALVIN,DANIEL",2
17:36,"BLOCK  by FERGUSON,AARON",,,,,,,"BLOCK  by FERGUSON,AARON",2
--,"REBOUND DEF by TURNER,MYLES",,,,,,,"REBOUND DEF by TURNER,MYLES",2
17:32,"GOOD LAYUP by TURNER,MYLES(fastbreak)(in the paint)",44 (+11),,33,,E&H 44-33 (-11),,"GOOD LAYUP by TURNER,MYLES(fastbreak)(in the paint)",2
17:21,,,,,"MISS JUMPER by GALVIN,DANIEL",,,"MISS JUMPER by GALVIN,DANIEL",2
--,"REBOUND DEF by FERGUSON,AARON",,,,,,,"REBOUND DEF by FERGUSON,AARON",2
17:03,"TURNOVER  by TURNER,MYLES",,,,,,,"TURNOVER  by TURNER,MYLES",2
17:02,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",2
16:59,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",,,"REBOUND OFF by BUTTS,KEYSHAWN",2
16:55,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,"REBOUND DEF by SELF,BRANDON",,,,,,,"REBOUND DEF by SELF,BRANDON",2
16:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:45,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",2
16:45,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",2
16:45,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",2
16:45,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",2
16:45,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
16:45,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",2
16:45,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",2
16:45,"SUB IN by MCLEAN,JOHNNY",,,,,,,"SUB IN by MCLEAN,JOHNNY",2
16:45,"SUB IN by TURNER,MYLES",,,,,,,"SUB IN by TURNER,MYLES",2
16:45,"SUB IN by WYNN,ALIC",,,,,,,"SUB IN by WYNN,ALIC",2
16:45,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",2
16:45,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",2
16:24,"GOOD JUMPER by BRANSCOMB,CHASE",46 (+13),,33,,E&H 46-33 (-13),,"GOOD JUMPER by BRANSCOMB,CHASE",2
16:04,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:03,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",2
16:03,"SUB IN by CONLEY,CLIF",,,,,,,"SUB IN by CONLEY,CLIF",2
16:03,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",2
15:46,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",2
15:45,"TURNOVER  by BRANSCOMB,CHASE",,,,,,,"TURNOVER  by BRANSCOMB,CHASE",2
15:44,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",2
15:38,,46 (+11),,35,"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 46-35 (-11),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",2
15:21,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",2
15:21,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",2
15:12,"TURNOVER  by MCLEAN,JOHNNY",,,,,,,"TURNOVER  by MCLEAN,JOHNNY",2
15:11,,,,,"STEAL  by HARRISON,IAN",,,"STEAL  by HARRISON,IAN",2
15:04,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",2
14:56,,46 (+9),,37,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",RHO 46-37 (-9),,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",2
14:27,"TURNOVER  by CONLEY,CLIF",,,,,,,"TURNOVER  by CONLEY,CLIF",2
14:27,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",2
14:27,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
14:27,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",2
14:14,,,,,"MISS LAYUP by LOWRIE,ANDREW",,,"MISS LAYUP by LOWRIE,ANDREW",2
14:14,"BLOCK  by WYNN,ALIC",,,,,,,"BLOCK  by WYNN,ALIC",2
--,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",,,"REBOUND OFF by BUTTS,KEYSHAWN",2
14:09,,46 (+6),,40,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 46-40 (-6),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",2
13:41,"GOOD DUNK by WYNN,ALIC(in the paint)",48 (+8),,40,,E&H 48-40 (-8),,"GOOD DUNK by WYNN,ALIC(in the paint)",2
--,"ASSIST  by MCLEAN,JOHNNY",,,,,,,"ASSIST  by MCLEAN,JOHNNY",2
13:23,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",,,"MISS JUMPER by BUTTS,KEYSHAWN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:22,"FOUL  by BRANSCOMB,CHASE",,,,,,,"FOUL  by BRANSCOMB,CHASE",2
13:22,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",2
13:22,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",2
13:22,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",2
13:22,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",2
13:22,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
13:22,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",2
13:22,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",2
13:22,"SUB IN by GRAVLEY,RYAN",,,,,,,"SUB IN by GRAVLEY,RYAN",2
13:22,"SUB IN by TURNER,MYLES",,,,,,,"SUB IN by TURNER,MYLES",2
13:22,"SUB IN by WYNN,ALIC",,,,,,,"SUB IN by WYNN,ALIC",2
13:22,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",2
13:22,"SUB IN by ANZENBERGER,KEVIN",,,,,,,"SUB IN by ANZENBERGER,KEVIN",2
13:19,,48 (+5),,43,"GOOD 3PTR by LOWRIE,ANDREW",RHO 48-43 (-5),,"GOOD 3PTR by LOWRIE,ANDREW",2
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",2
12:50,"GOOD 3PTR by TURNER,MYLES",51 (+8),,43,,E&H 51-43 (-8),,"GOOD 3PTR by TURNER,MYLES",2
12:33,,,,,"MISS JUMPER by LOWRIE,ANDREW",,,"MISS JUMPER by LOWRIE,ANDREW",2
--,"REBOUND DEF by WYNN,ALIC",,,,,,,"REBOUND DEF by WYNN,ALIC",2
12:21,"SUB IN by CONLEY,CLIF",,,,,,,"SUB IN by CONLEY,CLIF",2
12:21,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",2
12:20,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",2
12:18,"GOOD LAYUP by BRANSCOMB,CHASE(in the paint)",53 (+10),,43,,E&H 53-43 (-10),,"GOOD LAYUP by BRANSCOMB,CHASE(in the paint)",2
--,"ASSIST  by TURNER,MYLES",,,,,,,"ASSIST  by TURNER,MYLES",2
12:07,,53 (+8),,45,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",RHO 53-45 (-8),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",2
--,,,,,"ASSIST  by GALVIN,DANIEL",,,"ASSIST  by GALVIN,DANIEL",2
11:53,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
11:53,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
11:53,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
11:53,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",2
11:53,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",2
11:53,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
11:53,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",2
11:53,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",2
11:53,"SUB IN by TURNER,MYLES",,,,,,,"SUB IN by TURNER,MYLES",2
11:53,"SUB IN by CONLEY,CLIF",,,,,,,"SUB IN by CONLEY,CLIF",2
11:53,"SUB IN by SELF,BRANDON",,,,,,,"SUB IN by SELF,BRANDON",2
11:53,"SUB IN by ANZENBERGER,KEVIN",,,,,,,"SUB IN by ANZENBERGER,KEVIN",2
11:53,"SUB IN by FERGUSON,AARON",,,,,,,"SUB IN by FERGUSON,AARON",2
11:53,"GOOD JUMPER by CONLEY,CLIF",55 (+10),,45,,E&H 55-45 (-10),,"GOOD JUMPER by CONLEY,CLIF",2
--,"ASSIST  by TURNER,MYLES",,,,,,,"ASSIST  by TURNER,MYLES",2
11:29,,55 (+7),,48,"GOOD 3PTR by DARST,DANIEL",RHO 55-48 (-7),,"GOOD 3PTR by DARST,DANIEL",2
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",2
11:00,"FOUL  by TURNER,MYLES",,,,,,,"FOUL  by TURNER,MYLES",2
11:00,"TURNOVER  by TURNER,MYLES",,,,,,,"TURNOVER  by TURNER,MYLES",2
10:36,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",2
--,"REBOUND DEF by FERGUSON,AARON",,,,,,,"REBOUND DEF by FERGUSON,AARON",2
10:34,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",2
10:34,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",2
10:34,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",2
10:34,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
10:34,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",2
10:34,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",2
10:34,"SUB IN by GRAVLEY,RYAN",,,,,,,"SUB IN by GRAVLEY,RYAN",2
10:34,"SUB IN by CONLEY,CLIF",,,,,,,"SUB IN by CONLEY,CLIF",2
10:34,"SUB IN by SELF,BRANDON",,,,,,,"SUB IN by SELF,BRANDON",2
10:34,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",2
10:34,"SUB IN by FERGUSON,AARON",,,,,,,"SUB IN by FERGUSON,AARON",2
10:34,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",2
10:34,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
10:09,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
10:02,"GOOD 3PTR by CONLEY,CLIF",58 (+10),,48,,E&H 58-48 (-10),,"GOOD 3PTR by CONLEY,CLIF",2
--,"ASSIST  by SHELOR,JOHN",,,,,,,"ASSIST  by SHELOR,JOHN",2
09:42,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",2
--,"REBOUND DEF by SELF,BRANDON",,,,,,,"REBOUND DEF by SELF,BRANDON",2
09:27,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",2
09:27,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",2
09:27,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",2
09:27,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
09:27,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
09:27,"GOOD FT by FERGUSON,AARON",59 (+11),,48,,E&H 59-48 (-11),,"GOOD FT by FERGUSON,AARON",2
09:27,"MISS FT by FERGUSON,AARON",,,,,,,"MISS FT by FERGUSON,AARON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:18,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",2
08:58,"MISS JUMPER by GRAVLEY,RYAN",,,,,,,"MISS JUMPER by GRAVLEY,RYAN",2
--,"REBOUND OFF by SHELOR,JOHN",,,,,,,"REBOUND OFF by SHELOR,JOHN",2
08:45,"GOOD LAYUP by SELF,BRANDON(in the paint)",61 (+13),,48,,E&H 61-48 (-13),,"GOOD LAYUP by SELF,BRANDON(in the paint)",2
--,"ASSIST  by GRAVLEY,RYAN",,,,,,,"ASSIST  by GRAVLEY,RYAN",2
08:23,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",2
08:23,"BLOCK  by FERGUSON,AARON",,,,,,,"BLOCK  by FERGUSON,AARON",2
--,"REBOUND DEF by FERGUSON,AARON",,,,,,,"REBOUND DEF by FERGUSON,AARON",2
08:08,"TURNOVER  by SHELOR,JOHN",,,,,,,"TURNOVER  by SHELOR,JOHN",2
08:08,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",2
08:08,"FOUL  by FERGUSON,AARON",,,,,,,"FOUL  by FERGUSON,AARON",2
08:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:08,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",2
08:08,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
08:08,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",2
08:08,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
08:08,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",2
08:08,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
08:08,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
08:08,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
08:08,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
08:08,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",2
07:58,"FOUL  by CONLEY,CLIF",,,,,,,"FOUL  by CONLEY,CLIF",2
07:50,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",2
07:48,"STEAL  by GRAVLEY,RYAN",,,,,,,"STEAL  by GRAVLEY,RYAN",2
07:45,"GOOD 3PTR by SHELOR,JOHN",64 (+16),,48,,E&H 64-48 (-16),,"GOOD 3PTR by SHELOR,JOHN",2
--,"ASSIST  by GRAVLEY,RYAN",,,,,,,"ASSIST  by GRAVLEY,RYAN",2
07:25,,64 (+14),,50,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",RHO 64-50 (-14),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",2
07:01,"MISS JUMPER by FERGUSON,AARON",,,,,,,"MISS JUMPER by FERGUSON,AARON",2
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",2
06:54,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",2
06:50,"FOUL  by SELF,BRANDON",,,,,,,"FOUL  by SELF,BRANDON",2
06:50,,64 (+13),,51,"GOOD FT by GALVIN,DANIEL",RHO 64-51 (-13),,"GOOD FT by GALVIN,DANIEL",2
06:50,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",2
06:50,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",2
06:50,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
06:50,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",2
06:50,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",2
06:50,"SUB IN by GRAVLEY,RYAN",,,,,,,"SUB IN by GRAVLEY,RYAN",2
06:50,"SUB IN by CONLEY,CLIF",,,,,,,"SUB IN by CONLEY,CLIF",2
06:50,"SUB IN by WYNN,ALIC",,,,,,,"SUB IN by WYNN,ALIC",2
06:50,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",2
06:50,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",2
06:50,,,,,"MISS FT by GALVIN,DANIEL",,,"MISS FT by GALVIN,DANIEL",2
--,"REBOUND DEF by BRANSCOMB,CHASE",,,,,,,"REBOUND DEF by BRANSCOMB,CHASE",2
06:28,"TURNOVER  by GRAVLEY,RYAN",,,,,,,"TURNOVER  by GRAVLEY,RYAN",2
06:28,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",2
06:20,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",2
--,"REBOUND DEF by WYNN,ALIC",,,,,,,"REBOUND DEF by WYNN,ALIC",2
05:53,"MISS 3PTR by BRANSCOMB,CHASE",,,,,,,"MISS 3PTR by BRANSCOMB,CHASE",2
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",2
05:39,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:33,,64 (+11),,53,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 64-53 (-11),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
05:33,"FOUL  by CONLEY,CLIF",,,,,,,"FOUL  by CONLEY,CLIF",2
05:33,,,,,"MISS FT by GALVIN,DANIEL",,,"MISS FT by GALVIN,DANIEL",2
--,"REBOUND DEF by BRANSCOMB,CHASE",,,,,,,"REBOUND DEF by BRANSCOMB,CHASE",2
05:04,"MISS JUMPER by WYNN,ALIC",,,,,,,"MISS JUMPER by WYNN,ALIC",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
04:54,"FOUL  by GRAVLEY,RYAN",,,,,,,"FOUL  by GRAVLEY,RYAN",2
04:54,,64 (+10),,54,"GOOD FT by BUTTS,KEYSHAWN",RHO 64-54 (-10),,"GOOD FT by BUTTS,KEYSHAWN",2
04:54,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",2
04:54,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
04:54,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",2
04:54,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",2
04:54,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
04:54,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",2
04:54,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",2
04:54,"SUB IN by GRAVLEY,RYAN",,,,,,,"SUB IN by GRAVLEY,RYAN",2
04:54,"SUB IN by TURNER,MYLES",,,,,,,"SUB IN by TURNER,MYLES",2
04:54,"SUB IN by SELF,BRANDON",,,,,,,"SUB IN by SELF,BRANDON",2
04:54,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",2
04:54,"SUB IN by FERGUSON,AARON",,,,,,,"SUB IN by FERGUSON,AARON",2
04:54,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",2
04:51,,64 (+7),,57,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 64-57 (-7),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by GALVIN,DANIEL",,,"ASSIST  by GALVIN,DANIEL",2
04:46,"SUB IN by ANZENBERGER,KEVIN",,,,,,,"SUB IN by ANZENBERGER,KEVIN",2
04:46,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",2
04:17,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
04:17,"GOOD FT by GRAVLEY,RYAN",65 (+8),,57,,E&H 65-57 (-8),,"GOOD FT by GRAVLEY,RYAN",2
04:17,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
04:17,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
04:17,"GOOD FT by GRAVLEY,RYAN",66 (+9),,57,,E&H 66-57 (-9),,"GOOD FT by GRAVLEY,RYAN",2
03:59,,66 (+7),,59,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 66-59 (-7),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
