Time Remaining,JU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
16:22,"GOOD 3PTR by GILPIN,TAYLOR",39,,50 (+11),,JU 39-50 (+11),,"GOOD 3PTR by GILPIN,TAYLOR",2
16:02,,39,,53 (+14),"GOOD 3PTR by LOWRIE,ANDREW",RHO 39-53 (+14),,"GOOD 3PTR by LOWRIE,ANDREW",2
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",2
15:39,"MISS JUMPER by KING,TREVOR",,,,,,,"MISS JUMPER by KING,TREVOR",2
--,"REBOUND OFF by ST. JOHN,GUNNER",,,,,,,"REBOUND OFF by ST. JOHN,GUNNER",2
15:36,,,,,"FOUL  by MUHAMMAD,AQUIL",,,"FOUL  by MUHAMMAD,AQUIL",2
15:36,"GOOD FT by ST. JOHN,GUNNER",40,,53 (+13),,JU 40-53 (+13),,"GOOD FT by ST. JOHN,GUNNER",2
15:36,"GOOD FT by ST. JOHN,GUNNER",41,,53 (+12),,JU 41-53 (+12),,"GOOD FT by ST. JOHN,GUNNER",2
15:36,"SUB IN by FLEMMING,TRENT",,,,,,,"SUB IN by FLEMMING,TRENT",2
15:36,"SUB OUT by BOWEN,RICKEY",,,,,,,"SUB OUT by BOWEN,RICKEY",2
15:36,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
15:36,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",2
15:24,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",2
--,"REBOUND DEF by ST. JOHN,GUNNER",,,,,,,"REBOUND DEF by ST. JOHN,GUNNER",2
15:21,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",2
15:04,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",2
15:01,"MISS LAYUP by ST. JOHN,GUNNER",,,,,,,"MISS LAYUP by ST. JOHN,GUNNER",2
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",2
14:43,,41,,55 (+14),"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",RHO 41-55 (+14),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",2
14:42,"FOUL  by ST. JOHN,GUNNER",,,,,,,"FOUL  by ST. JOHN,GUNNER",2
14:42,,41,,56 (+15),"GOOD FT by SULLIVAN,BRENNAN",RHO 41-56 (+15),,"GOOD FT by SULLIVAN,BRENNAN",2
14:42,"SUB IN by PRICE,WAYLAND",,,,,,,"SUB IN by PRICE,WAYLAND",2
14:42,"SUB OUT by MCCLENDOND,JORDAN",,,,,,,"SUB OUT by MCCLENDOND,JORDAN",2
14:38,,,,,"FOUL  by LOWRIE,ANDREW",,,"FOUL  by LOWRIE,ANDREW",2
14:31,"MISS 3PTR by GILPIN,TAYLOR",,,,,,,"MISS 3PTR by GILPIN,TAYLOR",2
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",2
14:21,,41,,58 (+17),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 41-58 (+17),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
14:21,"FOUL  by GILPIN,TAYLOR",,,,,,,"FOUL  by GILPIN,TAYLOR",2
14:21,,41,,59 (+18),"GOOD FT by GEE,TYLER",RHO 41-59 (+18),,"GOOD FT by GEE,TYLER",2
14:21,"SUB IN by BOWEN,RICKEY",,,,,,,"SUB IN by BOWEN,RICKEY",2
14:21,"SUB OUT by KING,TREVOR",,,,,,,"SUB OUT by KING,TREVOR",2
14:11,"TURNOVER  by FLEMMING,TRENT",,,,,,,"TURNOVER  by FLEMMING,TRENT",2
13:56,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by GILPIN,TAYLOR",,,,,,,"REBOUND DEF by GILPIN,TAYLOR",2
13:45,"MISS LAYUP by GILPIN,TAYLOR",,,,,,,"MISS LAYUP by GILPIN,TAYLOR",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
13:31,,,,,"TURNOVER  by MUHAMMAD,AQUIL",,,"TURNOVER  by MUHAMMAD,AQUIL",2
13:12,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
13:12,"GOOD FT by BOWEN,RICKEY",42,,59 (+17),,JU 42-59 (+17),,"GOOD FT by BOWEN,RICKEY",2
13:12,"MISS FT by BOWEN,RICKEY",,,,,,,"MISS FT by BOWEN,RICKEY",2
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",2
13:12,"SUB IN by MCCLENDOND,JORDAN",,,,,,,"SUB IN by MCCLENDOND,JORDAN",2
13:12,"SUB OUT by ST. JOHN,GUNNER",,,,,,,"SUB OUT by ST. JOHN,GUNNER",2
13:03,"FOUL  by BOWEN,RICKEY",,,,,,,"FOUL  by BOWEN,RICKEY",2
12:54,"FOUL  by MCCLENDOND,JORDAN",,,,,,,"FOUL  by MCCLENDOND,JORDAN",2
12:54,,42,,60 (+18),"GOOD FT by DARST,DANIEL",RHO 42-60 (+18),,"GOOD FT by DARST,DANIEL",2
12:54,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",2
--,"REBOUND DEF by BOWEN,RICKEY",,,,,,,"REBOUND DEF by BOWEN,RICKEY",2
12:54,"SUB IN by ST. JOHN,GUNNER",,,,,,,"SUB IN by ST. JOHN,GUNNER",2
12:54,"SUB OUT by MCCLENDOND,JORDAN",,,,,,,"SUB OUT by MCCLENDOND,JORDAN",2
12:46,"MISS 3PTR by PRICE,WAYLAND",,,,,,,"MISS 3PTR by PRICE,WAYLAND",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
12:33,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",2
12:31,"STEAL  by PRICE,WAYLAND",,,,,,,"STEAL  by PRICE,WAYLAND",2
12:28,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",2
12:28,"GOOD FT by BOWEN,RICKEY",43,,60 (+17),,JU 43-60 (+17),,"GOOD FT by BOWEN,RICKEY",2
12:28,"MISS FT by BOWEN,RICKEY",,,,,,,"MISS FT by BOWEN,RICKEY",2
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",2
12:28,"SUB IN by KING,TREVOR",,,,,,,"SUB IN by KING,TREVOR",2
12:28,"SUB OUT by PRICE,WAYLAND",,,,,,,"SUB OUT by PRICE,WAYLAND",2
12:28,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",2
12:28,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
12:10,,,,,"MISS LAYUP by LOWRIE,ANDREW",,,"MISS LAYUP by LOWRIE,ANDREW",2
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",2
12:07,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",2
--,"REBOUND DEF by ST. JOHN,GUNNER",,,,,,,"REBOUND DEF by ST. JOHN,GUNNER",2
11:59,"GOOD LAYUP by BOWEN,RICKEY(in the paint)",45,,60 (+15),,JU 45-60 (+15),,"GOOD LAYUP by BOWEN,RICKEY(in the paint)",2
11:49,,45,,62 (+17),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 45-62 (+17),,"GOOD LAYUP by DARST,DANIEL(in the paint)",2
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",2
11:36,"TURNOVER  by BOWEN,RICKEY",,,,,,,"TURNOVER  by BOWEN,RICKEY",2
11:34,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",2
11:18,,,,,"MISS JUMPER by MUHAMMAD,AQUIL",,,"MISS JUMPER by MUHAMMAD,AQUIL",2
--,"REBOUND DEF by KING,TREVOR",,,,,,,"REBOUND DEF by KING,TREVOR",2
11:09,"MISS 3PTR by GILPIN,TAYLOR",,,,,,,"MISS 3PTR by GILPIN,TAYLOR",2
--,"REBOUND OFF by KING,TREVOR",,,,,,,"REBOUND OFF by KING,TREVOR",2
10:49,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
10:46,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
10:30,,45,,64 (+19),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 45-64 (+19),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",2
10:23,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:13,"TURNOVER  by BOWEN,RICKEY",,,,,,,"TURNOVER  by BOWEN,RICKEY",2
10:12,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",2
09:55,,,,,"MISS LAYUP by MUHAMMAD,AQUIL",,,"MISS LAYUP by MUHAMMAD,AQUIL",2
--,"REBOUND DEF by ST. JOHN,GUNNER",,,,,,,"REBOUND DEF by ST. JOHN,GUNNER",2
09:35,"TURNOVER  by KING,TREVOR",,,,,,,"TURNOVER  by KING,TREVOR",2
09:35,"SUB IN by MCCLENDOND,JORDAN",,,,,,,"SUB IN by MCCLENDOND,JORDAN",2
09:35,"SUB OUT by FLEMMING,TRENT",,,,,,,"SUB OUT by FLEMMING,TRENT",2
09:35,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
09:35,,,,,"SUB OUT by MUHAMMAD,AQUIL",,,"SUB OUT by MUHAMMAD,AQUIL",2
09:07,,,,,"MISS 3PTR by LOWRIE,ANDREW",,,"MISS 3PTR by LOWRIE,ANDREW",2
--,"REBOUND DEF by MCCLENDOND,JORDAN",,,,,,,"REBOUND DEF by MCCLENDOND,JORDAN",2
08:51,"TURNOVER  by MCCLENDOND,JORDAN",,,,,,,"TURNOVER  by MCCLENDOND,JORDAN",2
08:50,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",2
08:48,"FOUL  by ST. JOHN,GUNNER",,,,,,,"FOUL  by ST. JOHN,GUNNER",2
08:48,,45,,65 (+20),"GOOD FT by BUTTS,KEYSHAWN",RHO 45-65 (+20),,"GOOD FT by BUTTS,KEYSHAWN",2
08:48,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",2
--,"REBOUND DEF by MCCLENDOND,JORDAN",,,,,,,"REBOUND DEF by MCCLENDOND,JORDAN",2
08:39,"GOOD LAYUP by BOWEN,RICKEY(fastbreak)(in the paint)",47,,65 (+18),,JU 47-65 (+18),,"GOOD LAYUP by BOWEN,RICKEY(fastbreak)(in the paint)",2
08:39,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",2
08:39,"GOOD FT by BOWEN,RICKEY",48,,65 (+17),,JU 48-65 (+17),,"GOOD FT by BOWEN,RICKEY",2
08:39,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
08:39,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",2
08:26,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",2
08:23,"FOUL  by ST. JOHN,GUNNER",,,,,,,"FOUL  by ST. JOHN,GUNNER",2
08:23,,48,,66 (+18),"GOOD FT by DARST,DANIEL",RHO 48-66 (+18),,"GOOD FT by DARST,DANIEL",2
08:23,,48,,67 (+19),"GOOD FT by DARST,DANIEL",RHO 48-67 (+19),,"GOOD FT by DARST,DANIEL",2
08:23,"SUB IN by FLEMMING,TRENT",,,,,,,"SUB IN by FLEMMING,TRENT",2
08:23,"SUB OUT by ST. JOHN,GUNNER",,,,,,,"SUB OUT by ST. JOHN,GUNNER",2
08:08,"MISS LAYUP by KING,TREVOR",,,,,,,"MISS LAYUP by KING,TREVOR",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
07:52,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",2
07:29,"MISS LAYUP by BOWEN,RICKEY",,,,,,,"MISS LAYUP by BOWEN,RICKEY",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
07:28,"FOUL  by MCCLENDOND,JORDAN",,,,,,,"FOUL  by MCCLENDOND,JORDAN",2
07:28,,,,,"MISS FT by SULLIVAN,BRENNAN",,,"MISS FT by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by BOWEN,RICKEY",,,,,,,"REBOUND DEF by BOWEN,RICKEY",2
07:13,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",2
07:11,"FOUL  by BOWEN,RICKEY",,,,,,,"FOUL  by BOWEN,RICKEY",2
07:11,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:11,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:11,,48,,68 (+20),"GOOD FT by BUTTS,KEYSHAWN",RHO 48-68 (+20),,"GOOD FT by BUTTS,KEYSHAWN",2
07:11,"SUB IN by MARSHALL,NICK",,,,,,,"SUB IN by MARSHALL,NICK",2
07:11,"SUB IN by ST. JOHN,GUNNER",,,,,,,"SUB IN by ST. JOHN,GUNNER",2
07:11,"SUB OUT by FLEMMING,TRENT",,,,,,,"SUB OUT by FLEMMING,TRENT",2
07:11,"SUB OUT by KING,TREVOR",,,,,,,"SUB OUT by KING,TREVOR",2
07:11,,,,,"SUB IN by MUHAMMAD,AQUIL",,,"SUB IN by MUHAMMAD,AQUIL",2
07:11,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",2
07:06,"MISS JUMPER by BOWEN,RICKEY",,,,,,,"MISS JUMPER by BOWEN,RICKEY",2
--,"REBOUND OFF by GILPIN,TAYLOR",,,,,,,"REBOUND OFF by GILPIN,TAYLOR",2
07:02,"GOOD LAYUP by GILPIN,TAYLOR(in the paint)",50,,68 (+18),,JU 50-68 (+18),,"GOOD LAYUP by GILPIN,TAYLOR(in the paint)",2
06:40,,50,,71 (+21),"GOOD 3PTR by WEIR,JJ",RHO 50-71 (+21),,"GOOD 3PTR by WEIR,JJ",2
06:28,"MISS 3PTR by BOWEN,RICKEY",,,,,,,"MISS 3PTR by BOWEN,RICKEY",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
06:12,,50,,73 (+23),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 50-73 (+23),,"GOOD LAYUP by DARST,DANIEL(in the paint)",2
05:59,"MISS 3PTR by GILPIN,TAYLOR",,,,,,,"MISS 3PTR by GILPIN,TAYLOR",2
--,"REBOUND OFF by BOWEN,RICKEY",,,,,,,"REBOUND OFF by BOWEN,RICKEY",2
05:55,"GOOD LAYUP by BOWEN,RICKEY(in the paint)",52,,73 (+21),,JU 52-73 (+21),,"GOOD LAYUP by BOWEN,RICKEY(in the paint)",2
05:38,,52,,75 (+23),"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",RHO 52-75 (+23),,"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",2
05:28,"GOOD 3PTR by ST. JOHN,GUNNER",55,,75 (+20),,JU 55-75 (+20),,"GOOD 3PTR by ST. JOHN,GUNNER",2
--,"ASSIST  by BOWEN,RICKEY",,,,,,,"ASSIST  by BOWEN,RICKEY",2
05:13,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",2
--,"REBOUND DEF by MCCLENDOND,JORDAN",,,,,,,"REBOUND DEF by MCCLENDOND,JORDAN",2
05:04,"GOOD 3PTR by BOWEN,RICKEY",58,,75 (+17),,JU 58-75 (+17),,"GOOD 3PTR by BOWEN,RICKEY",2
05:02,,,,,"FOUL  by MUHAMMAD,AQUIL",,,"FOUL  by MUHAMMAD,AQUIL",2
05:02,"GOOD FT by BOWEN,RICKEY",59,,75 (+16),,JU 59-75 (+16),,"GOOD FT by BOWEN,RICKEY",2
05:02,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
05:02,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",2
05:02,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",2
04:55,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",2
04:45,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",2
04:45,"GOOD FT by MARSHALL,NICK",60,,75 (+15),,JU 60-75 (+15),,"GOOD FT by MARSHALL,NICK",2
04:45,"GOOD FT by MARSHALL,NICK",61,,75 (+14),,JU 61-75 (+14),,"GOOD FT by MARSHALL,NICK",2
04:23,,61,,77 (+16),"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",RHO 61-77 (+16),,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",2
04:11,"MISS 3PTR by MARSHALL,NICK",,,,,,,"MISS 3PTR by MARSHALL,NICK",2
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",2
03:55,,61,,79 (+18),"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",RHO 61-79 (+18),,"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",2
03:40,"MISS 3PTR by BOWEN,RICKEY",,,,,,,"MISS 3PTR by BOWEN,RICKEY",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
03:30,"FOUL  by MCCLENDOND,JORDAN",,,,,,,"FOUL  by MCCLENDOND,JORDAN",2
03:30,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:30,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",2
--,"REBOUND DEF by BOWEN,RICKEY",,,,,,,"REBOUND DEF by BOWEN,RICKEY",2
03:30,"SUB IN by KING,TREVOR",,,,,,,"SUB IN by KING,TREVOR",2
03:30,"SUB OUT by MCCLENDOND,JORDAN",,,,,,,"SUB OUT by MCCLENDOND,JORDAN",2
03:30,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
03:30,,,,,"SUB OUT by MUHAMMAD,AQUIL",,,"SUB OUT by MUHAMMAD,AQUIL",2
03:24,"MISS 3PTR by ST. JOHN,GUNNER",,,,,,,"MISS 3PTR by ST. JOHN,GUNNER",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
03:17,"FOUL  by GILPIN,TAYLOR",,,,,,,"FOUL  by GILPIN,TAYLOR",2
03:17,,61,,80 (+19),"GOOD FT by SULLIVAN,BRENNAN",RHO 61-80 (+19),,"GOOD FT by SULLIVAN,BRENNAN",2
03:17,,61,,81 (+20),"GOOD FT by SULLIVAN,BRENNAN",RHO 61-81 (+20),,"GOOD FT by SULLIVAN,BRENNAN",2
03:17,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
03:17,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
03:12,"MISS 3PTR by GILPIN,TAYLOR",,,,,,,"MISS 3PTR by GILPIN,TAYLOR",2
--,"REBOUND OFF by KING,TREVOR",,,,,,,"REBOUND OFF by KING,TREVOR",2
03:04,"TURNOVER  by MARSHALL,NICK",,,,,,,"TURNOVER  by MARSHALL,NICK",2
03:04,,,,,"STEAL  by LOWRIE,ANDREW",,,"STEAL  by LOWRIE,ANDREW",2
03:02,,61,,84 (+23),"GOOD 3PTR by DALTON,PRICE",RHO 61-84 (+23),,"GOOD 3PTR by DALTON,PRICE",2
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",2
02:52,"MISS 3PTR by KING,TREVOR",,,,,,,"MISS 3PTR by KING,TREVOR",2
--,"REBOUND OFF by MARSHALL,NICK",,,,,,,"REBOUND OFF by MARSHALL,NICK",2
02:46,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",2
02:46,"GOOD FT by KING,TREVOR",62,,84 (+22),,JU 62-84 (+22),,"GOOD FT by KING,TREVOR",2
02:46,"GOOD FT by MARSHALL,NICK",63,,84 (+21),,JU 63-84 (+21),,"GOOD FT by MARSHALL,NICK",2
02:46,"SUB IN by FLEMMING,TRENT",,,,,,,"SUB IN by FLEMMING,TRENT",2
02:46,"SUB OUT by GILPIN,TAYLOR",,,,,,,"SUB OUT by GILPIN,TAYLOR",2
02:25,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",2
02:13,"FOUL  by FLEMMING,TRENT",,,,,,,"FOUL  by FLEMMING,TRENT",2
02:13,,,,,"MISS FT by LOWRIE,ANDREW",,,"MISS FT by LOWRIE,ANDREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:13,,63,,85 (+22),"GOOD FT by LOWRIE,ANDREW",RHO 63-85 (+22),,"GOOD FT by LOWRIE,ANDREW",2
02:03,"MISS LAYUP by FLEMMING,TRENT",,,,,,,"MISS LAYUP by FLEMMING,TRENT",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
01:51,,63,,88 (+25),"GOOD 3PTR by DALTON,PRICE",RHO 63-88 (+25),,"GOOD 3PTR by DALTON,PRICE",2
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",2
01:40,"MISS 3PTR by BOWEN,RICKEY",,,,,,,"MISS 3PTR by BOWEN,RICKEY",2
--,,,,,"REBOUND DEF by LOWRIE,ANDREW",,,"REBOUND DEF by LOWRIE,ANDREW",2
01:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:32,"SUB IN by PRICE,WAYLAND",,,,,,,"SUB IN by PRICE,WAYLAND",2
01:32,"SUB OUT by BOWEN,RICKEY",,,,,,,"SUB OUT by BOWEN,RICKEY",2
01:32,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",2
01:32,,,,,"SUB IN by HAYES,JAMES",,,"SUB IN by HAYES,JAMES",2
01:32,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
01:32,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
01:22,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",2
01:10,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",2
01:10,"MISS FT by ST. JOHN,GUNNER",,,,,,,"MISS FT by ST. JOHN,GUNNER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:10,"MISS FT by ST. JOHN,GUNNER",,,,,,,"MISS FT by ST. JOHN,GUNNER",2
--,,,,,"REBOUND DEF by LOWRIE,ANDREW",,,"REBOUND DEF by LOWRIE,ANDREW",2
01:02,,,,,"MISS 3PTR by DALTON,PRICE",,,"MISS 3PTR by DALTON,PRICE",2
--,"REBOUND DEF by PRICE,WAYLAND",,,,,,,"REBOUND DEF by PRICE,WAYLAND",2
00:57,"TURNOVER  by PRICE,WAYLAND",,,,,,,"TURNOVER  by PRICE,WAYLAND",2
00:56,,,,,"STEAL  by DALTON,PRICE",,,"STEAL  by DALTON,PRICE",2
00:49,,63,,91 (+28),"GOOD 3PTR by DALTON,PRICE",RHO 63-91 (+28),,"GOOD 3PTR by DALTON,PRICE",2
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",2
00:35,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",2
00:35,"GOOD FT by MARSHALL,NICK",64,,91 (+27),,JU 64-91 (+27),,"GOOD FT by MARSHALL,NICK",2
00:35,"MISS FT by MARSHALL,NICK",,,,,,,"MISS FT by MARSHALL,NICK",2
--,,,,,"REBOUND DEF by SAMSON,VAUGHN",,,"REBOUND DEF by SAMSON,VAUGHN",2
00:30,,,,,"TURNOVER  by SAMSON,VAUGHN",,,"TURNOVER  by SAMSON,VAUGHN",2
00:30,"STEAL  by MARSHALL,NICK",,,,,,,"STEAL  by MARSHALL,NICK",2
00:30,"GOOD 3PTR by PRICE,WAYLAND",67,,91 (+24),,JU 67-91 (+24),,"GOOD 3PTR by PRICE,WAYLAND",2
--,"ASSIST  by MARSHALL,NICK",,,,,,,"ASSIST  by MARSHALL,NICK",2
00:22,,,,,"MISS 3PTR by DALTON,PRICE",,,"MISS 3PTR by DALTON,PRICE",2
--,,,,,"REBOUND OFF by SAMSON,VAUGHN",,,"REBOUND OFF by SAMSON,VAUGHN",2
00:11,,67,,93 (+26),"GOOD LAYUP by DALTON,PRICE(in the paint)",RHO 67-93 (+26),,"GOOD LAYUP by DALTON,PRICE(in the paint)",2
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",2
00:10,"FOUL  by MARSHALL,NICK",,,,,,,"FOUL  by MARSHALL,NICK",2
00:10,,67,,94 (+27),"GOOD FT by DALTON,PRICE",RHO 67-94 (+27),,"GOOD FT by DALTON,PRICE",2
00:10,"SUB IN by GILPIN,TAYLOR",,,,,,,"SUB IN by GILPIN,TAYLOR",2
00:10,"SUB OUT by MARSHALL,NICK",,,,,,,"SUB OUT by MARSHALL,NICK",2
00:06,"GOOD 3PTR by GILPIN,TAYLOR",70,,94 (+24),,JU 70-94 (+24),,"GOOD 3PTR by GILPIN,TAYLOR",2
