Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,OTT,Game Score,Team Indicator,Play,Period
02:01,,,,,"TURNOVER  by DENNISON,HUNTER",,,"TURNOVER  by DENNISON,HUNTER",1
02:01,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
02:01,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
02:01,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
02:01,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
02:01,,,,,"SUB IN by HOWARD,COREY",,,"SUB IN by HOWARD,COREY",1
02:01,,,,,"SUB OUT by ANDERS,EDDIE",,,"SUB OUT by ANDERS,EDDIE",1
01:42,"GOOD LAYUP by BATES,JACOB(in the paint)",40 (+8),,32,,CENTRE-M 40-32 (+8),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
01:27,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
01:27,,40 (+7),,33,"GOOD FT by HUGHES,MATT",OTT 40-33 (+7),,"GOOD FT by HUGHES,MATT",1
01:27,,40 (+6),,34,"GOOD FT by HUGHES,MATT",OTT 40-34 (+6),,"GOOD FT by HUGHES,MATT",1
01:27,,,,,"SUB IN by HOWARD,MICHAEL",,,"SUB IN by HOWARD,MICHAEL",1
01:27,,,,,"SUB IN by WATSON,GABE",,,"SUB IN by WATSON,GABE",1
01:27,,,,,"SUB OUT by HUGHES,MATT",,,"SUB OUT by HUGHES,MATT",1
01:27,,,,,"SUB OUT by DENNISON,HUNTER",,,"SUB OUT by DENNISON,HUNTER",1
01:04,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by HOWARD,COREY",,,"REBOUND DEF by HOWARD,COREY",1
00:52,,,,,"MISS JUMPER by HOWARD,COREY",,,"MISS JUMPER by HOWARD,COREY",1
--,,,,,"REBOUND OFF by HOWARD,MICHAEL",,,"REBOUND OFF by HOWARD,MICHAEL",1
00:44,,,,,"TURNOVER  by BRADLEY,ANDRE",,,"TURNOVER  by BRADLEY,ANDRE",1
00:43,"STEAL  by GRIFFIN,JAROD",,,,,,,"STEAL  by GRIFFIN,JAROD",1
00:37,,,,,"FOUL  by WATSON,GABE",,,"FOUL  by WATSON,GABE",1
00:37,"GOOD FT by WALKER,ART",41 (+7),,34,,CENTRE-M 41-34 (+7),,"GOOD FT by WALKER,ART",1
00:37,"GOOD FT by WALKER,ART",42 (+8),,34,,CENTRE-M 42-34 (+8),,"GOOD FT by WALKER,ART",1
00:37,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
00:37,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:15,,,,,"MISS JUMPER by WATSON,GABE",,,"MISS JUMPER by WATSON,GABE",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
00:02,"GOOD LAYUP by AYERS,PERRY(in the paint)",44 (+10),,34,,CENTRE-M 44-34 (+10),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
19:50,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
19:50,,44 (+9),,35,"GOOD FT by KOONTZ,NICK",OTT 44-35 (+9),,"GOOD FT by KOONTZ,NICK",2
19:50,,44 (+8),,36,"GOOD FT by KOONTZ,NICK",OTT 44-36 (+8),,"GOOD FT by KOONTZ,NICK",2
19:22,,,,,"FOUL  by CARTER,JUSTIN",,,"FOUL  by CARTER,JUSTIN",2
19:16,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",2
--,,,,,"REBOUND DEF by KOONTZ,NICK",,,"REBOUND DEF by KOONTZ,NICK",2
19:05,,44 (+5),,39,"GOOD 3PTR by KOONTZ,NICK",OTT 44-39 (+5),,"GOOD 3PTR by KOONTZ,NICK",2
18:42,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",46 (+7),,39,,CENTRE-M 46-39 (+7),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
18:13,,46 (+4),,42,"GOOD 3PTR by KOONTZ,NICK",OTT 46-42 (+4),,"GOOD 3PTR by KOONTZ,NICK",2
--,,,,,"ASSIST  by HUGHES,MATT",,,"ASSIST  by HUGHES,MATT",2
17:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:52,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
17:52,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
17:52,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
17:52,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
17:45,"GOOD JUMPER by RAKES,BAILEY",48 (+6),,42,,CENTRE-M 48-42 (+6),,"GOOD JUMPER by RAKES,BAILEY",2
17:24,,,,,"MISS LAYUP by HUGHES,MATT",,,"MISS LAYUP by HUGHES,MATT",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
17:12,,,,,"FOUL  by BRADLEY,ANDRE",,,"FOUL  by BRADLEY,ANDRE",2
17:01,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",2
--,,,,,"REBOUND DEF by CARTER,JUSTIN",,,"REBOUND DEF by CARTER,JUSTIN",2
16:48,,48 (+4),,44,"GOOD JUMPER by HUGHES,MATT(in the paint)",OTT 48-44 (+4),,"GOOD JUMPER by HUGHES,MATT(in the paint)",2
16:28,"GOOD LAYUP by BATES,JACOB(in the paint)",50 (+6),,44,,CENTRE-M 50-44 (+6),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
16:15,,,,,"TURNOVER  by DENNISON,HUNTER",,,"TURNOVER  by DENNISON,HUNTER",2
16:13,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",2
16:10,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",52 (+8),,44,,CENTRE-M 52-44 (+8),,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
16:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:50,,52 (+6),,46,"GOOD LAYUP by HUGHES,MATT(in the paint)",OTT 52-46 (+6),,"GOOD LAYUP by HUGHES,MATT(in the paint)",2
--,,,,,"ASSIST  by KOONTZ,NICK",,,"ASSIST  by KOONTZ,NICK",2
15:22,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by BRADLEY,ANDRE",,,"REBOUND DEF by BRADLEY,ANDRE",2
15:10,,,,,"MISS JUMPER by CARTER,JUSTIN",,,"MISS JUMPER by CARTER,JUSTIN",2
15:10,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",2
